excel_row,hunt_code,boundary_id,species,sex_type,weapon,old_hunt_name,new_hunt_name,database_hunt_name_raw,database_hunt_name_clean,score,field_score,status,reason
27,BR7301,12,Bear,Either Sex,Multiseason,"Book Cliffs, Little Creek Roadless","Book Cliffs, Little Creek Roadless",Book Cliffs Little Creek Roadless,Book Cliffs Little Creek Roadless,1.000,5,already_aligned,Clean workbook name already matches clean database name.
28,BR7310,455,Bear,Either Sex,Multiseason,Boulder/Kaiparowits,Boulder/Kaiparowits,Boulder/Kaiparowits,Boulder/Kaiparowits,1.000,5,already_aligned,Clean workbook name already matches clean database name.
29,BR7310,455,Bear,Either Sex,Multiseason,Boulder/Kaiparowits,Boulder/Kaiparowits,Boulder/Kaiparowits,Boulder/Kaiparowits,1.000,5,already_aligned,Clean workbook name already matches clean database name.
30,BR7310,455,Bear,Either Sex,Multiseason,Boulder/Kaiparowits,Boulder/Kaiparowits,Boulder/Kaiparowits,Boulder/Kaiparowits,1.000,5,already_aligned,Clean workbook name already matches clean database name.
31,BR7310,455,Bear,Either Sex,Multiseason,Boulder/Kaiparowits,Boulder/Kaiparowits,Boulder/Kaiparowits,Boulder/Kaiparowits,1.000,5,already_aligned,Clean workbook name already matches clean database name.
32,BR7324,610,Bear,Either Sex,Multiseason,Chalk Creek/East Canyon/Morgan-South Rich,Chalk Creek/East Canyon/Morgan-South Rich,Chalk Creek/East Canyon/Morgan-South Rich,Chalk Creek/East Canyon/Morgan-South Rich,1.000,5,already_aligned,Clean workbook name already matches clean database name.
33,BR7313,444,Bear,Either Sex,Multiseason,Diamond Mtn/Vernal/Bonanza,Diamond Mtn/Vernal/Bonanza,Diamond Mtn/Vernal/Bonanza,Diamond Mtn/Vernal/Bonanza,1.000,5,already_aligned,Clean workbook name already matches clean database name.
34,BR7313,444,Bear,Either Sex,Multiseason,Diamond Mtn/Vernal/Bonanza,Diamond Mtn/Vernal/Bonanza,Diamond Mtn/Vernal/Bonanza,Diamond Mtn/Vernal/Bonanza,1.000,5,already_aligned,Clean workbook name already matches clean database name.
35,BR7311,175,Bear,Either Sex,Multiseason,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,1.000,5,already_aligned,Clean workbook name already matches clean database name.
36,BR7321,5101,Bear,Either Sex,Multiseason,"Kamas/North Slope, Summit","Kamas/North Slope, Summit",Kamas/North Slope Summit,Kamas/North Slope Summit,1.000,5,already_aligned,Clean workbook name already matches clean database name.
37,BR7307,684,Bear,Either Sex,Multiseason,La Sal,La Sal,La Sal,La Sal,1.000,5,already_aligned,Clean workbook name already matches clean database name.
38,BR7307,684,Bear,Either Sex,Multiseason,La Sal,La Sal,La Sal,La Sal,1.000,5,already_aligned,Clean workbook name already matches clean database name.
39,BR7307,684,Bear,Either Sex,Multiseason,La Sal,La Sal,La Sal,La Sal,1.000,5,already_aligned,Clean workbook name already matches clean database name.
40,BR7307,684,Bear,Either Sex,Multiseason,La Sal,La Sal,La Sal,La Sal,1.000,5,already_aligned,Clean workbook name already matches clean database name.
41,BR7303,52,Bear,Either Sex,Multiseason,Manti-North,Manti-North,Manti North,Manti North,1.000,5,already_aligned,Clean workbook name already matches clean database name.
42,BR7303,52,Bear,Either Sex,Multiseason,Manti-North,Manti-North,Manti North,Manti North,1.000,5,already_aligned,Clean workbook name already matches clean database name.
43,BR7303,52,Bear,Either Sex,Multiseason,Manti-North,Manti-North,Manti North,Manti North,1.000,5,already_aligned,Clean workbook name already matches clean database name.
44,BR7304,744,Bear,Either Sex,Multiseason,"Manti-South/San Rafael, North","Manti-South/San Rafael, North",Manti South/San Rafael North,Manti South/San Rafael North,1.000,5,already_aligned,Clean workbook name already matches clean database name.
45,BR7304,744,Bear,Either Sex,Multiseason,"Manti-South/San Rafael, North","Manti-South/San Rafael, North",Manti South/San Rafael North,Manti South/San Rafael North,1.000,5,already_aligned,Clean workbook name already matches clean database name.
46,BR7304,744,Bear,Either Sex,Multiseason,"Manti-South/San Rafael, North","Manti-South/San Rafael, North",Manti South/San Rafael North,Manti South/San Rafael North,1.000,5,already_aligned,Clean workbook name already matches clean database name.
47,BR7305,616,Bear,Either Sex,Multiseason,Nebo,Nebo,Nebo,Nebo,1.000,5,already_aligned,Clean workbook name already matches clean database name.
48,BR7317,615,Bear,Either Sex,Multiseason,Nine Mile,Nine Mile,Nine Mile,Nine Mile,1.000,5,already_aligned,Clean workbook name already matches clean database name.
49,BR7317,615,Bear,Either Sex,Multiseason,Nine Mile,Nine Mile,Nine Mile,Nine Mile,1.000,5,already_aligned,Clean workbook name already matches clean database name.
50,BR7317,615,Bear,Either Sex,Multiseason,Nine Mile,Nine Mile,Nine Mile,Nine Mile,1.000,5,already_aligned,Clean workbook name already matches clean database name.
51,BR7317,615,Bear,Either Sex,Multiseason,Nine Mile,Nine Mile,Nine Mile,Nine Mile,1.000,5,already_aligned,Clean workbook name already matches clean database name.
52,BR7309,462,Bear,Either Sex,Multiseason,Panguitch Lake/Zion,Panguitch Lake/Zion,Panguitch Lake/Zion,Panguitch Lake/Zion,1.000,5,already_aligned,Clean workbook name already matches clean database name.
53,BR7323,163,Bear,Either Sex,Multiseason,Paunsaugunt,Paunsaugunt,Paunsaugunt,Paunsaugunt,1.000,5,already_aligned,Clean workbook name already matches clean database name.
54,BR7312,710,Bear,Either Sex,Multiseason,San Juan,San Juan,San Juan,San Juan,1.000,5,already_aligned,Clean workbook name already matches clean database name.
55,BR7312,710,Bear,Either Sex,Multiseason,San Juan,San Juan,San Juan,San Juan,1.000,5,already_aligned,Clean workbook name already matches clean database name.
56,BR7312,710,Bear,Either Sex,Multiseason,San Juan,San Juan,San Juan,San Juan,1.000,5,already_aligned,Clean workbook name already matches clean database name.
57,BR7312,710,Bear,Either Sex,Multiseason,San Juan,San Juan,San Juan,San Juan,1.000,5,already_aligned,Clean workbook name already matches clean database name.
58,BR7315,463,Bear,Either Sex,Multiseason,"Wasatch Mtns, Avintaquin/Currant Creek","Wasatch Mtns, Avintaquin/Currant Creek",Wasatch Mtns Avintaquin/Currant Creek,Wasatch Mtns Avintaquin/Currant Creek,1.000,5,already_aligned,Clean workbook name already matches clean database name.
59,BR7315,463,Bear,Either Sex,Multiseason,"Wasatch Mtns, Avintaquin/Currant Creek","Wasatch Mtns, Avintaquin/Currant Creek",Wasatch Mtns Avintaquin/Currant Creek,Wasatch Mtns Avintaquin/Currant Creek,1.000,5,already_aligned,Clean workbook name already matches clean database name.
60,BR7316,448,Bear,Either Sex,Multiseason,"Wasatch Mtns, West-Central","Wasatch Mtns, West-Central",Wasatch Mtns West-Central,Wasatch Mtns West-Central,1.000,5,already_aligned,Clean workbook name already matches clean database name.
61,BR7316,448,Bear,Either Sex,Multiseason,"Wasatch Mtns, West-Central","Wasatch Mtns, West-Central",Wasatch Mtns West-Central,Wasatch Mtns West-Central,1.000,5,already_aligned,Clean workbook name already matches clean database name.
62,BR7316,448,Bear,Either Sex,Multiseason,"Wasatch Mtns, West-Central","Wasatch Mtns, West-Central",Wasatch Mtns West-Central,Wasatch Mtns West-Central,1.000,5,already_aligned,Clean workbook name already matches clean database name.
63,BR7316,448,Bear,Either Sex,Multiseason,"Wasatch Mtns, West-Central","Wasatch Mtns, West-Central",Wasatch Mtns West-Central,Wasatch Mtns West-Central,1.000,5,already_aligned,Clean workbook name already matches clean database name.
64,BR7314,613,Bear,Either Sex,Multiseason,Yellowstone,Yellowstone,Yellowstone,Yellowstone,1.000,5,already_aligned,Clean workbook name already matches clean database name.
65,BR1000,5001,Bear,Either Sex,Multiseason,Statewide,Statewide,Statewide,Statewide,1.000,4,already_aligned,Clean workbook name already matches clean database name.
66,BI6534,667,Bison,Either Sex,Any Legal Weapon,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",,,,,skipped_no_database_strict_key_match,No DATABASE.csv rows with matching hunt_code + species + sex_type.
67,BI6531,889,Bison,Either Sex,Any Legal Weapon,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",,,,,skipped_no_database_strict_key_match,No DATABASE.csv rows with matching hunt_code + species + sex_type.
68,BI6503,94,Bison,Either Sex,Any Legal Weapon,Henry Mtns,Henry Mtns,,,,,skipped_no_database_strict_key_match,No DATABASE.csv rows with matching hunt_code + species + sex_type.
69,BI6505,94,Bison,Cow Only,Any Legal Weapon,Henry Mtns,Henry Mtns,,,,,skipped_no_database_strict_key_match,No DATABASE.csv rows with matching hunt_code + species + sex_type.
70,BI1000,5000,Bison,Either Sex,Any Legal Weapon,Henry Mtns,Henry Mtns,,,,,skipped_no_database_strict_key_match,No DATABASE.csv rows with matching hunt_code + species + sex_type.
71,BI1000,5000,Bison,Either Sex,Any Legal Weapon,Statewide,Statewide,,,,,skipped_no_database_strict_key_match,No DATABASE.csv rows with matching hunt_code + species + sex_type.
72,DS1002,98,Desert Bighorn Sheep,Male Only,Any Legal Weapon,"Kaiparowits, East","Kaiparowits, East","Kaiparowits, East","Kaiparowits, East",1.000,7,already_aligned,Clean workbook name already matches clean database name.
73,DS1003,5141,Desert Bighorn Sheep,Male Only,Any Legal Weapon,"Kaiparowits, Escalante East/West","Kaiparowits, Escalante East/West","Kaiparowits, Escalante East/West","Kaiparowits, Escalante East/West",1.000,7,already_aligned,Clean workbook name already matches clean database name.
74,DS1006,100,Desert Bighorn Sheep,Male Only,Any Legal Weapon,"Kaiparowits, West","Kaiparowits, West","Kaiparowits, West","Kaiparowits, West",1.000,7,already_aligned,Clean workbook name already matches clean database name.
75,DS6604,688,Desert Bighorn Sheep,Male Only,Any Legal Weapon,"La Sal, Potash/South Cisco","La Sal, Potash/South Cisco","La Sal, Potash/South Cisco","La Sal, Potash/South Cisco",1.000,7,already_aligned,Clean workbook name already matches clean database name.
76,DS6605,305,Desert Bighorn Sheep,Male Only,Any Legal Weapon,"Pine Valley, Beaver Dam","Pine Valley, Beaver Dam","Pine Valley, Beaver Dam","Pine Valley, Beaver Dam",1.000,7,already_aligned,Clean workbook name already matches clean database name.
77,DS1004,193,Desert Bighorn Sheep,Male Only,Any Legal Weapon,"San Rafael, Dirty Devil","San Rafael, Dirty Devil","San Rafael, Dirty Devil","San Rafael, Dirty Devil",1.000,7,already_aligned,Clean workbook name already matches clean database name.
78,DS1007,195,Desert Bighorn Sheep,Male Only,Any Legal Weapon,"San Rafael, South","San Rafael, South","San Rafael, South","San Rafael, South",1.000,7,already_aligned,Clean workbook name already matches clean database name.
79,DS1000,5110,Desert Bighorn Sheep,Male Only,Any Legal Weapon,Statewide,Statewide,Statewide,Statewide,1.000,7,already_aligned,Clean workbook name already matches clean database name.
80,DB1015,206,Deer,Buck,Archery,Henry Mtns,Henry Mtns,Diamond Mtn,Diamond Mtn,0.500,7,skipped_not_close_enough,"Same hunt_code, but cleaned names were not close enough for a safe automatic replacement."
81,DB1007,94,Deer,Buck,Multiseason,Henry Mtns,Henry Mtns,Henry Mtns,Henry Mtns,1.000,7,already_aligned,Clean workbook name already matches clean database name.
82,DB1001,163,Deer,Buck,Archery,Paunsaugunt,Paunsaugunt,Paunsaugunt,Paunsaugunt,1.000,7,already_aligned,Clean workbook name already matches clean database name.
83,DB1075,7,Deer,Buck,Archery,Paunsaugunt,Paunsaugunt,Book Cliffs (North & South),Book Cliffs (North & South),0.111,7,skipped_not_close_enough,"Same hunt_code, but cleaned names were not close enough for a safe automatic replacement."
84,DB1056,7,Deer,Buck,Any Legal Weapon,Paunsaugunt,Paunsaugunt,Book Cliffs (North & South),Book Cliffs (North & South),0.111,7,skipped_not_close_enough,"Same hunt_code, but cleaned names were not close enough for a safe automatic replacement."
85,DB1008,163,Deer,Buck,Multiseason,Paunsaugunt,Paunsaugunt,Paunsaugunt,Paunsaugunt,1.000,7,already_aligned,Clean workbook name already matches clean database name.
86,DB1008,163,Deer,Buck,Multiseason,Paunsaugunt,Paunsaugunt,Paunsaugunt,Paunsaugunt,1.000,7,already_aligned,Clean workbook name already matches clean database name.
87,DB1025,7,Deer,Buck,Muzzleloader,Paunsaugunt,Paunsaugunt,Book Cliffs,Book Cliffs,0.000,7,skipped_not_close_enough,"Same hunt_code, but cleaned names were not close enough for a safe automatic replacement."
88,DB1015,206,Deer,Buck,Muzzleloader,Paunsaugunt,Paunsaugunt,Diamond Mtn,Diamond Mtn,0.313,6,skipped_not_close_enough,"Same hunt_code, but cleaned names were not close enough for a safe automatic replacement."
89,DB1075,7,Deer,Buck,Archery,Book Cliffs (North & South),Book Cliffs (North & South),Book Cliffs (North & South),Book Cliffs (North & South),1.000,7,already_aligned,Clean workbook name already matches clean database name.
90,DB1015,206,Deer,Buck,Archery,Book Cliffs,Book Cliffs,Diamond Mtn,Diamond Mtn,0.125,7,skipped_not_close_enough,"Same hunt_code, but cleaned names were not close enough for a safe automatic replacement."
91,DB1047,206,Deer,Buck,Multiseason,Book Cliffs,Book Cliffs,Diamond Mtn,Diamond Mtn,0.125,7,skipped_not_close_enough,"Same hunt_code, but cleaned names were not close enough for a safe automatic replacement."
92,DB1047,206,Deer,Buck,Multiseason,Book Cliffs,Book Cliffs,Diamond Mtn,Diamond Mtn,0.125,7,skipped_not_close_enough,"Same hunt_code, but cleaned names were not close enough for a safe automatic replacement."
93,DB1044,7,Deer,Buck,Multiseason,Book Cliffs,Book Cliffs,Book Cliffs,Book Cliffs,1.000,7,already_aligned,Clean workbook name already matches clean database name.
94,DB1044,7,Deer,Buck,Multiseason,Book Cliffs,Book Cliffs,Book Cliffs,Book Cliffs,1.000,7,already_aligned,Clean workbook name already matches clean database name.
95,DB1076,7,Deer,Buck,Muzzleloader,Book Cliffs (North & South),Book Cliffs (North & South),Book Cliffs (North & South),Book Cliffs (North & South),1.000,7,already_aligned,Clean workbook name already matches clean database name.
96,DB1076,7,Deer,Buck,Muzzleloader,Book Cliffs (North & South),Book Cliffs (North & South),Book Cliffs (North & South),Book Cliffs (North & South),1.000,7,already_aligned,Clean workbook name already matches clean database name.
97,DB1015,206,Deer,Buck,Archery,Diamond Mtn,Diamond Mtn,Diamond Mtn,Diamond Mtn,1.000,7,already_aligned,Clean workbook name already matches clean database name.
98,DB1014,185,Deer,Buck,Archery,Diamond Mtn,Diamond Mtn,"San Juan, Elk Ridge","San Juan, Elk Ridge",0.056,7,skipped_not_close_enough,"Same hunt_code, but cleaned names were not close enough for a safe automatic replacement."
99,DB1046,185,Deer,Buck,Multiseason,Diamond Mtn,Diamond Mtn,"San Juan, Elk Ridge","San Juan, Elk Ridge",0.056,7,skipped_not_close_enough,"Same hunt_code, but cleaned names were not close enough for a safe automatic replacement."
100,DB1047,206,Deer,Buck,Multiseason,Diamond Mtn,Diamond Mtn,Diamond Mtn,Diamond Mtn,1.000,7,already_aligned,Clean workbook name already matches clean database name.
101,DB1047,206,Deer,Buck,Multiseason,Diamond Mtn,Diamond Mtn,Diamond Mtn,Diamond Mtn,1.000,7,already_aligned,Clean workbook name already matches clean database name.
102,DB1016,248,Deer,Buck,Muzzleloader,Diamond Mtn,Diamond Mtn,"West Desert, Vernon","West Desert, Vernon",0.056,6,skipped_not_close_enough,"Same hunt_code, but cleaned names were not close enough for a safe automatic replacement."
103,DB1016,248,Deer,Buck,Archery,"Fillmore, Oak Creek LE","Fillmore, Oak Creek LE","West Desert, Vernon","West Desert, Vernon",0.111,7,skipped_not_close_enough,"Same hunt_code, but cleaned names were not close enough for a safe automatic replacement."
104,DB1045,85,Deer,Buck,Multiseason,"Fillmore, Oak Creek LE","Fillmore, Oak Creek LE","Fillmore, Oak Creek","Fillmore, Oak Creek",1.000,7,already_aligned,Clean workbook name already matches clean database name.
105,DB1118,108,Deer,Buck,Multiseason,Dolores Triangle,Dolores Triangle,Dolores Triangle,Dolores Triangle,1.000,7,already_aligned,Clean workbook name already matches clean database name.
106,DB1014,185,Deer,Buck,Archery,"San Juan, Elk Ridge","San Juan, Elk Ridge","San Juan, Elk Ridge","San Juan, Elk Ridge",1.000,7,already_aligned,Clean workbook name already matches clean database name.
107,DB1042,248,Deer,Buck,Muzzleloader,"San Juan, Elk Ridge","San Juan, Elk Ridge","West Desert, Vernon","West Desert, Vernon",0.056,7,skipped_not_close_enough,"Same hunt_code, but cleaned names were not close enough for a safe automatic replacement."
108,DB1046,185,Deer,Buck,Multiseason,"San Juan, Elk Ridge","San Juan, Elk Ridge","San Juan, Elk Ridge","San Juan, Elk Ridge",1.000,7,already_aligned,Clean workbook name already matches clean database name.
109,DB1037,185,Deer,Buck,Muzzleloader,"San Juan, Elk Ridge","San Juan, Elk Ridge","San Juan, Elk Ridge","San Juan, Elk Ridge",1.000,7,already_aligned,Clean workbook name already matches clean database name.
110,DB1048,248,Deer,Buck,Archery,"West Desert, Vernon","West Desert, Vernon","West Desert, Vernon","West Desert, Vernon",1.000,6,already_aligned,Clean workbook name already matches clean database name.
111,DB1048,248,Deer,Buck,Archery,"West Desert, Vernon","West Desert, Vernon","West Desert, Vernon","West Desert, Vernon",1.000,6,already_aligned,Clean workbook name already matches clean database name.
112,DB1048,248,Deer,Buck,Multiseason,"West Desert, Vernon","West Desert, Vernon","West Desert, Vernon","West Desert, Vernon",1.000,7,already_aligned,Clean workbook name already matches clean database name.
113,DB1048,248,Deer,Buck,Multiseason,"West Desert, Vernon","West Desert, Vernon","West Desert, Vernon","West Desert, Vernon",1.000,7,already_aligned,Clean workbook name already matches clean database name.
114,DB1048,248,Deer,Buck,Multiseason,"West Desert, Vernon","West Desert, Vernon","West Desert, Vernon","West Desert, Vernon",1.000,7,already_aligned,Clean workbook name already matches clean database name.
115,DB1048,248,Deer,Buck,Multiseason,"West Desert, Vernon","West Desert, Vernon","West Desert, Vernon","West Desert, Vernon",1.000,7,already_aligned,Clean workbook name already matches clean database name.
116,DB1048,248,Deer,Buck,Muzzleloader,"West Desert, Vernon","West Desert, Vernon","West Desert, Vernon","West Desert, Vernon",1.000,6,already_aligned,Clean workbook name already matches clean database name.
117,DB1048,248,Deer,Buck,Muzzleloader,"West Desert, Vernon","West Desert, Vernon","West Desert, Vernon","West Desert, Vernon",1.000,6,already_aligned,Clean workbook name already matches clean database name.
118,DB0007,5108,Deer,Buck,Any Legal Weapon,Statewide,Statewide,Statewide,Statewide,1.000,7,already_aligned,Clean workbook name already matches clean database name.
119,EB3159,685,Elk,Bull,Any Legal Weapon,"Beaver, East","Beaver, East","Beaver, East","Beaver, East",1.000,6,already_aligned,Clean workbook name already matches clean database name.
120,EB3158,685,Elk,Bull,Archery,"Beaver, East","Beaver, East","Beaver, East","Beaver, East",1.000,6,already_aligned,Clean workbook name already matches clean database name.
121,EB3102,685,Elk,Bull,Multiseason,"Beaver, East","Beaver, East","Beaver, East","Beaver, East",1.000,7,already_aligned,Clean workbook name already matches clean database name.
122,EB3102,685,Elk,Bull,Multiseason,"Beaver, East","Beaver, East","Beaver, East","Beaver, East",1.000,7,already_aligned,Clean workbook name already matches clean database name.
123,EB3164,899,Elk,Bull,Any Legal Weapon,"Book Cliffs, Bitter Creek/East","Book Cliffs, Bitter Creek/East","Book Cliffs, Bitter Creek/East","Book Cliffs, Bitter Creek/East",1.000,6,already_aligned,Clean workbook name already matches clean database name.
124,EB3161,899,Elk,Bull,Archery,"Book Cliffs, Bitter Creek/East","Book Cliffs, Bitter Creek/East","Book Cliffs, Bitter Creek/East","Book Cliffs, Bitter Creek/East",1.000,6,already_aligned,Clean workbook name already matches clean database name.
125,EB3163,899,Elk,Bull,Late Any Legal Weapon,"Book Cliffs, Bitter Creek/East","Book Cliffs, Bitter Creek/East","Book Cliffs, Bitter Creek/East","Book Cliffs, Bitter Creek/East",1.000,7,already_aligned,Clean workbook name already matches clean database name.
126,EB3151,172,Elk,Bull,Multiseason,"Book Cliffs, Bitter Creek/East","Book Cliffs, Bitter Creek/East",Boulder,Boulder,0.172,6,skipped_not_close_enough,"Same hunt_code, but cleaned names were not close enough for a safe automatic replacement."
127,EB3191,172,Elk,Bull,Any Legal Weapon,Boulder,Boulder,Boulder,Boulder,1.000,6,already_aligned,Clean workbook name already matches clean database name.
128,EB3191,172,Elk,Bull,Any Legal Weapon,Boulder,Boulder,Boulder,Boulder,1.000,6,already_aligned,Clean workbook name already matches clean database name.
129,EB3191,172,Elk,Bull,Archery,Boulder,Boulder,Boulder,Boulder,1.000,6,already_aligned,Clean workbook name already matches clean database name.
130,EB3191,172,Elk,Bull,Mid Any Legal Weapon,Boulder,Boulder,Boulder,Boulder,1.000,7,already_aligned,Clean workbook name already matches clean database name.
131,EB3191,172,Elk,Bull,Multiseason,Boulder,Boulder,Boulder,Boulder,1.000,6,already_aligned,Clean workbook name already matches clean database name.
132,EB3191,172,Elk,Bull,Muzzleloader,Boulder,Boulder,Boulder,Boulder,1.000,6,already_aligned,Clean workbook name already matches clean database name.
133,EB3128,867,Elk,Bull,Multiseason,"Box Elder, Grouse Creek","Box Elder, Grouse Creek","Box Elder, Grouse Creek","Box Elder, Grouse Creek",1.000,7,already_aligned,Clean workbook name already matches clean database name.
134,EB3209,5129,Elk,Bull,Multiseason,"Box Elder, Pilot Mtn","Box Elder, Pilot Mtn","Box Elder, Pilot Mtn","Box Elder, Pilot Mtn",1.000,7,already_aligned,Clean workbook name already matches clean database name.
135,EB3105,33,Elk,Bull,Any Legal Weapon,"Cache, Meadowville","Cache, Meadowville","Cache, Meadowville","Cache, Meadowville",1.000,6,already_aligned,Clean workbook name already matches clean database name.
136,EB3105,33,Elk,Bull,Multiseason,"Cache, Meadowville","Cache, Meadowville","Cache, Meadowville","Cache, Meadowville",1.000,7,already_aligned,Clean workbook name already matches clean database name.
137,EB3107,41,Elk,Bull,Multiseason,"Cache, Meadowville","Cache, Meadowville","Cache, South","Cache, South",0.412,7,skipped_not_close_enough,"Same hunt_code, but cleaned names were not close enough for a safe automatic replacement."
138,EB3196,206,Elk,Bull,Late Any Legal Weapon,"Cache, South","Cache, South",Diamond Mtn,Diamond Mtn,0.313,7,skipped_not_close_enough,"Same hunt_code, but cleaned names were not close enough for a safe automatic replacement."
139,EB3107,41,Elk,Bull,Multiseason,"Cache, South","Cache, South","Cache, South","Cache, South",1.000,7,already_aligned,Clean workbook name already matches clean database name.
140,EB3196,206,Elk,Bull,Any Legal Weapon,Diamond Mtn,Diamond Mtn,Diamond Mtn,Diamond Mtn,1.000,6,already_aligned,Clean workbook name already matches clean database name.
141,EB3196,206,Elk,Bull,Any Legal Weapon,Diamond Mtn,Diamond Mtn,Diamond Mtn,Diamond Mtn,1.000,6,already_aligned,Clean workbook name already matches clean database name.
142,EB3195,206,Elk,Bull,Archery,Diamond Mtn,Diamond Mtn,Diamond Mtn,Diamond Mtn,1.000,6,already_aligned,Clean workbook name already matches clean database name.
143,EB3043,88,Elk,Bull,Late Any Legal Weapon,Diamond Mtn,Diamond Mtn,"Fillmore, Pahvant","Fillmore, Pahvant",0.250,7,skipped_not_close_enough,"Same hunt_code, but cleaned names were not close enough for a safe automatic replacement."
