hunt_code,old_hunt_name,new_hunt_name,species,weapon
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3097,San Juan Bull Elk,San Juan,Elk,Muzzleloader
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
EB3121,San Juan Bull Elk,San Juan,Elk,Any Legal Weapon
