target_workbook,excel_row_number,data_row_no,source_no,selected_hunt_code,boundary_audit_status,before_boundary_id,after_boundary_id,lock_status,lock_reason
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,12,11,11,EA1180,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5111,5111,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,13,12,12,EA1180,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5111,5111,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,14,13,13,EA1271,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5115,5115,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,15,14,14,EA1271,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5115,5115,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,16,15,15,EA1271,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5115,5115,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,17,16,16,EA1271,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5115,5115,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,18,17,17,EA2045,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5118,5118,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,19,18,18,EA2045,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5118,5118,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,20,19,19,EA2045,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5118,5118,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,21,20,20,EA2045,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5118,5118,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,22,21,21,BR7318,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,628,628,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,23,22,22,BR7300,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,449,449,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,24,23,23,BR7300,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,449,449,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,25,24,24,BR7300,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,449,449,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,26,25,25,BR7300,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,449,449,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,27,26,26,BR7301,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,12,12,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,28,27,27,BR7310,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,455,455,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,29,28,28,BR7310,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,455,455,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,30,29,29,BR7310,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,455,455,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,31,30,30,BR7310,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,455,455,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,32,31,31,BR7310,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,455,455,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,33,32,32,BR7313,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,444,444,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,34,33,33,BR7313,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,444,444,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,35,34,34,BR7311,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,175,175,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,36,35,35,BR7321,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5101,5101,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,37,36,36,BR7307,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,684,684,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,38,37,37,BR7307,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,684,684,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,39,38,38,BR7307,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,684,684,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,40,39,39,BR7307,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,684,684,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,41,40,40,BR7303,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,52,52,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,42,41,41,BR7303,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,52,52,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,43,42,42,BR7303,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,52,52,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,44,43,43,BR7304,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,744,744,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,45,44,44,BR7304,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,744,744,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,46,45,45,BR7304,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,744,744,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,47,46,46,BR7305,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,616,616,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,48,47,47,BR7317,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,615,615,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,49,48,48,BR7317,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,615,615,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,50,49,49,BR7317,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,615,615,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,51,50,50,BR7317,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,615,615,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,52,51,51,BR7309,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,462,462,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,53,52,52,BR7323,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,163,163,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,54,53,53,BR7312,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,710,710,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,55,54,54,BR7312,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,710,710,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,56,55,55,BR7312,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,710,710,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,57,56,56,BR7312,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,710,710,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,58,57,57,BR7315,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,463,463,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,59,58,58,BR7315,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,463,463,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,60,59,59,BR7316,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,448,448,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,61,60,60,BR7316,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,448,448,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,62,61,61,BR7316,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,448,448,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,63,62,62,BR7316,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,448,448,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,64,63,63,BR7314,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,613,613,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,65,64,64,BR1000,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5001,5001,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,66,65,65,BR1000,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5001,5001,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,67,66,66,BR1000,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5001,5001,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,68,67,67,BR1000,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5001,5001,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,69,68,68,BR1000,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5001,5001,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,70,69,69,BI1000,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5000,5000,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,71,70,70,BI1000,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5000,5000,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,72,71,71,DB1000,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,94,94,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,73,72,72,DB1000,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,94,94,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,74,73,73,DB1010,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,163,163,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,75,74,74,DB1010,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,163,163,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,76,75,75,DB1010,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,163,163,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,77,76,76,DB1008,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,163,163,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,78,77,77,DB1008,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,163,163,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,79,78,78,DB1006,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,163,163,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,80,79,79,DB1006,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,163,163,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,81,80,80,DB1075,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,7,7,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,82,81,81,DB1075,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,7,7,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,83,82,82,DB1075,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,7,7,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,84,83,83,DB1056,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,7,7,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,85,84,84,DB1056,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,7,7,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,86,85,85,DB1025,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,7,7,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,87,86,86,DB1025,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,7,7,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,88,87,87,DB1015,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,206,206,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,89,88,88,DB1015,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,206,206,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,90,89,89,DB1015,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,206,206,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,91,90,90,DB1047,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,206,206,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,92,91,91,DB1047,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,206,206,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,93,92,92,DB1038,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,206,206,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,94,93,93,DB1038,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,206,206,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,95,94,94,DB1045,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,85,85,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,96,95,95,DB1045,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,85,85,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,97,96,96,DB1014,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,185,185,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,98,97,97,DB1014,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,185,185,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,99,98,98,DB1046,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,185,185,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,100,99,99,DB1037,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,185,185,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,101,100,100,DB1016,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,248,248,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,102,101,101,DB1016,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,248,248,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,103,102,102,DB1016,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,248,248,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,104,103,103,DB1016,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,248,248,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,105,104,104,DB1048,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,248,248,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,106,105,105,DB1048,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,248,248,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,107,106,106,DB1042,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,248,248,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,108,107,107,DB1042,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,248,248,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,109,108,108,DB0007,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5108,5108,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,110,109,109,DB0007,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5108,5108,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,111,110,110,DB0007,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5108,5108,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,112,111,111,DB0007,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,5108,5108,LOCKED,row resolved via hunt code / boundary matching
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,113,112,112,DS6604,SINGLE_CANDIDATE_PRESERVED_BOUNDARY,688,688,LOCKED,row resolved via hunt code / boundary matching
