hunt_code,hunt_name_2025,hunt_name_2026,2025_species,2025_sex_type,2025_weapon,2025_hunt_type,2025_draw_design,2026_species,2026_sex_type,2026_weapon,2026_hunt_type,2026_draw_design
EB3063,Early - Fishlake/thousand Lakes,Fishlake/Thousand Lakes,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3064,Mid -Fishlake/thousand Lakes -Any Legal Weapon,Fishlake/Thousand Lakes,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3065,Late - Fishlake/thousand Lakes,Fishlake/Thousand Lakes,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3066,Early -San Juan Bull Elk,San Juan Bull Elk,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3067,Late - San Juan Bull Elk,San Juan Bull Elk,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3068,Early -Diamond Mtn,Diamond Mtn,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3069,Mid -Diamond Mtn,Diamond Mtn,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3072,Early,Wasatch Mtns,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3073,Late - Wasatch Mtns,Wasatch Mtns,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3081,"Cache, Meadowville -Muzzleloader","Cache, Meadowville",Elk,Bull,Muzzleloader,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3087,"La Sal, La Sal Mtns",La Sal Mtns,Elk,Bull,Muzzleloader,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3110,"Fillmore, Pahvant -Any Legal Weapon","Fillmore, Pahvant",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Unlimited
EB3111,"La Sal, La Sal Mtns",La Sal Mtns,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Unlimited
EB3113,Mt Dutton -Any Legal Weapon,Mt Dutton,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Unlimited
EB3115,"North Slope, Three Corners -Any Legal Weapon","North Slope, Three Corners",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Unlimited
EB3126,Mid -Manti,Manti,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3127,Mid -Wasatch Mtns,Wasatch Mtns,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3135,Barney Top/kaiparowits -Archery,Barney Top/Kaiparowits,Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3146,"Southwest Desert, South -Archery","Southwest Desert, South",Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3147,"Early -Box Elder, Grouse Creek","Box Elder, Grouse Creek",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3148,Early - Boulder,Boulder,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3149,Early,"Southwest Desert, South",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3150,Mid,"Box Elder, Grouse Creek",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3151,Late -Boulder,Boulder,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3152,"Late - Southwest Desert, South","Southwest Desert, South",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3156,Boulder -Any Legal Weapon,Boulder,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Unlimited
EB3158,"Late - Beaver, East","Beaver, East",Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3159,"Mid -Beaver, East","Beaver, East",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3161,"Late - Book Cliffs, Bitter Creek/east","Book Cliffs, Bitter Creek/East",Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3162,"Early -Book Cliffs, Bitter Creek/east","Book Cliffs, Bitter Creek/East",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3163,"Late - Book Cliffs, Bitter Creek/east","Book Cliffs, Bitter Creek/East",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3164,"Mid -Book Cliffs, Bitter Creek/east","Book Cliffs, Bitter Creek/East",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3167,"Mid -Book Cliffs, Little Creek Roadless","Book Cliffs, Little Creek Roadless",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3169,"Mid -Cache, Meadowville","Cache, Meadowville",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3170,"Late - Cache, South","Cache, South",Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3171,"Mid -Cache, South","Cache, South",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3172,Late - Manti,Manti,Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3174,Late - Nebo/san Pitch Mtns,Nebo/San Pitch Mtns,Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3175,Early - Nebo/san Pitch Mtns,Nebo/San Pitch Mtns,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3176,Late - Nebo/san Pitch Mtns,Nebo/San Pitch Mtns,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3177,Mid -Nebo/san Pitch Mtns,Nebo/San Pitch Mtns,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3180,"Late - Fillmore, Pahvant","Fillmore, Pahvant",Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3181,"Mid -Fillmore, Pahvant","Fillmore, Pahvant",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3182,"Late - La Sal, La Sal Mtns",La Sal Mtns,Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Unlimited
EB3183,"Mid -La Sal, La Sal Mtns",La Sal Mtns,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3184,Late - Monroe,Monroe,Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3185,Mid -Monroe,Monroe,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3186,Late -Mt Dutton,Mt Dutton,Elk,Bull,Archery,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
EB3187,Mid -Mt Dutton,Mt Dutton,Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,Elk,Bull,,Limited Entry,Max/Weighted Split
