xlsx_row,source_no,hunt_code_cell,hunt_code_count,mapped_code_count,geojson_code_count,row_mapping_status,boundary_ids,member_boundary_ids,geometry_statuses,boundary_geojson_paths,dwr_boundary_links,species,sex,hunt_name,weapon,organization,permits
197,196,EB3146|EB3149|EB3152|EB3155|EB3157|EB3197|EB3198,7,7,7,multi_candidate_all_mapped,872,,mapped,processed_data/boundaries/EB3146.geojson|processed_data/boundaries/EB3149.geojson|processed_data/boundaries/EB3152.geojson|processed_data/boundaries/EB3155.geojson|processed_data/boundaries/EB3157.geojson|processed_data/boundaries/EB3197.geojson|processed_data/boundaries/EB3198.geojson,,Elk,Bull,"Southwest Desert, South",Hunter's Choice,SFW,1
198,197,EB3157,1,1,1,single_code_mapped,872,,mapped,processed_data/boundaries/EB3157.geojson,,Elk,Bull,"Southwest Desert, South",Multiseason,RMEF,1
199,198,EB3157,1,1,1,single_code_mapped,872,,mapped,processed_data/boundaries/EB3157.geojson,,Elk,Bull,"Southwest Desert, South",Multiseason,MDF,1
200,199,EB3155,1,1,1,single_code_mapped,872,,mapped,processed_data/boundaries/EB3155.geojson,,Elk,Bull,"Southwest Desert, South",Muzzleloader,RMEF,1
201,200,EB3073,1,1,1,single_code_mapped,222,,mapped,processed_data/boundaries/EB3073.geojson,,Elk,Bull,Wasatch Mtns,"Any Legal Weapon, late",RMEF,1
202,201,EB3127,1,1,1,single_code_mapped,222,,mapped,processed_data/boundaries/EB3127.geojson,,Elk,Bull,Wasatch Mtns,"Any Legal Weapon, mid",SFW,1
203,202,EB3022|EB3072|EB3073|EB3100|EB3124|EB3127|EB3199,7,7,7,multi_candidate_all_mapped,222,,mapped,processed_data/boundaries/EB3022.geojson|processed_data/boundaries/EB3072.geojson|processed_data/boundaries/EB3073.geojson|processed_data/boundaries/EB3100.geojson|processed_data/boundaries/EB3124.geojson|processed_data/boundaries/EB3127.geojson|processed_data/boundaries/EB3199.geojson,,Elk,Bull,Wasatch Mtns,Archery,WCF,1
204,203,EB3022|EB3072|EB3073|EB3100|EB3124|EB3127|EB3199,7,7,7,multi_candidate_all_mapped,222,,mapped,processed_data/boundaries/EB3022.geojson|processed_data/boundaries/EB3072.geojson|processed_data/boundaries/EB3073.geojson|processed_data/boundaries/EB3100.geojson|processed_data/boundaries/EB3124.geojson|processed_data/boundaries/EB3127.geojson|processed_data/boundaries/EB3199.geojson,,Elk,Bull,Wasatch Mtns,Hunter's Choice,SFW,1
205,204,EB3022|EB3072|EB3073|EB3100|EB3124|EB3127|EB3199,7,7,7,multi_candidate_all_mapped,222,,mapped,processed_data/boundaries/EB3022.geojson|processed_data/boundaries/EB3072.geojson|processed_data/boundaries/EB3073.geojson|processed_data/boundaries/EB3100.geojson|processed_data/boundaries/EB3124.geojson|processed_data/boundaries/EB3127.geojson|processed_data/boundaries/EB3199.geojson,,Elk,Bull,Wasatch Mtns,Hunter's Choice,SFW,1
206,205,EB3124,1,1,1,single_code_mapped,222,,mapped,processed_data/boundaries/EB3124.geojson,,Elk,Bull,Wasatch Mtns,Multiseason,RMEF,1
207,206,EB3124,1,1,1,single_code_mapped,222,,mapped,processed_data/boundaries/EB3124.geojson,,Elk,Bull,Wasatch Mtns,Multiseason,MDF,1
208,207,EB3100,1,1,1,single_code_mapped,222,,mapped,processed_data/boundaries/EB3100.geojson,,Elk,Bull,Wasatch Mtns,Muzzleloader,MDF,1
209,208,EB1000,1,1,1,single_code_mapped,5119,12;17;33;36;41;51;108;128;140;163;241;616;617;622;625;629;683;685;175;183;206;222;88;630;634;449;455,mapped,processed_data/boundaries/EB1000.geojson,,Elk,Bull,Statewide,,SFW,1
210,209,MB6000,1,1,1,single_code_mapped,29,,mapped,processed_data/boundaries/MB6000.geojson,,Moose,Bull,Cache,Any Legal Weapon,UCWF,1
211,210,MB6006,1,1,1,single_code_mapped,138,,mapped,processed_data/boundaries/MB6006.geojson,,Moose,Bull,"North Slope, Summit",Any Legal Weapon,SCI,1
212,211,MB6006,1,1,1,single_code_mapped,138,,mapped,processed_data/boundaries/MB6006.geojson,,Moose,Bull,"North Slope, Summit",Any Legal Weapon,SFW,1
213,212,MB6011,1,1,1,single_code_mapped,743,,mapped,processed_data/boundaries/MB6011.geojson,,Moose,Bull,Wasatch Mtns/Central Mtns,Any Legal Weapon,NWTF,1
