csv_row,hunt_code,boundary_id,species,sex_type,weapon,old_hunt_name,new_hunt_name,hunt_type,hunt_class,change_category
674,EB3514,568,Elk,Bull,Any Legal Weapon,Deseret CWMU,Deseret,CWMU,CWMU,cwmu_hunt_type_label_removed
675,MA1010,568,Moose,Antlerless,Any Legal Weapon,Deseret CWMU,Deseret,CWMU,CWMU,cwmu_hunt_type_label_removed
676,MB6206,568,Moose,Bull,Any Legal Weapon,Deseret CWMU,Deseret,CWMU,CWMU,cwmu_hunt_type_label_removed
677,PB5302,568,Pronghorn,Buck,Any Legal Weapon,Deseret CWMU,Deseret,CWMU,CWMU,cwmu_hunt_type_label_removed
678,DB1259,569,Deer,Buck,Any Legal Weapon,Tunnel Hollow CWMU,Tunnel Hollow,CWMU,CWMU,cwmu_hunt_type_label_removed
679,EA1257,569,Elk,Antlerless,Any Legal Weapon,Tunnel Hollow CWMU,Tunnel Hollow,CWMU,CWMU,cwmu_hunt_type_label_removed
680,EB3614,569,Elk,Bull,Any Legal Weapon,Tunnel Hollow CWMU,Tunnel Hollow,CWMU,CWMU,cwmu_hunt_type_label_removed
681,DB1312,571,Deer,Buck,Any Legal Weapon,Woodruff Creek South CWMU,Woodruff Creek South,CWMU,CWMU,cwmu_hunt_type_label_removed
682,EA1177,571,Elk,Antlerless,Any Legal Weapon,Woodruff Creek South CWMU,Woodruff Creek South,CWMU,CWMU,cwmu_hunt_type_label_removed
683,EB3564,571,Elk,Bull,Any Legal Weapon,Woodruff Creek South CWMU,Woodruff Creek South,CWMU,CWMU,cwmu_hunt_type_label_removed
684,MB6256,571,Moose,Bull,Any Legal Weapon,Woodruff Creek South CWMU,Woodruff Creek South,CWMU,CWMU,cwmu_hunt_type_label_removed
685,DB1265,572,Deer,Buck,Any Legal Weapon,Mountain Top CWMU,Mountain Top,CWMU,CWMU,cwmu_hunt_type_label_removed
686,DB1245,573,Deer,Buck,Any Legal Weapon,Guildersleeve CWMU,Guildersleeve,CWMU,CWMU,cwmu_hunt_type_label_removed
687,EA1138,573,Elk,Antlerless,Any Legal Weapon,Guildersleeve CWMU,Guildersleeve,CWMU,CWMU,cwmu_hunt_type_label_removed
688,EB3523,573,Elk,Bull,Any Legal Weapon,Guildersleeve CWMU,Guildersleeve,CWMU,CWMU,cwmu_hunt_type_label_removed
689,DB1286,574,Deer,Buck,Any Legal Weapon,Pisgah Mountain CWMU,Pisgah Mountain,CWMU,CWMU,cwmu_hunt_type_label_removed
690,DB1207,575,Deer,Buck,Any Legal Weapon,Bear Springs CWMU,Bear Springs,CWMU,CWMU,cwmu_hunt_type_label_removed
691,EA1198,575,Elk,Antlerless,Any Legal Weapon,Bear Springs CWMU,Bear Springs,CWMU,CWMU,cwmu_hunt_type_label_removed
692,EB3503,575,Elk,Bull,Any Legal Weapon,Bear Springs CWMU,Bear Springs,CWMU,CWMU,cwmu_hunt_type_label_removed
693,EA1164,576,Elk,Antlerless,Any Legal Weapon,SJ Ranch CWMU,SJ Ranch,CWMU,CWMU,cwmu_hunt_type_label_removed
694,EB3551,576,Elk,Bull,Any Legal Weapon,SJ Ranch CWMU,SJ Ranch,CWMU,CWMU,cwmu_hunt_type_label_removed
695,DB1246,577,Deer,Buck,Any Legal Weapon,Hardscrabble CWMU,Hardscrabble,CWMU,CWMU,cwmu_hunt_type_label_removed
696,EA1139,577,Elk,Antlerless,Any Legal Weapon,Hardscrabble CWMU,Hardscrabble,CWMU,CWMU,cwmu_hunt_type_label_removed
