hunt_code,source_hunt_name,source_species,source_sex_type,source_hunt_type,source_weapon,source_season,source_permits_res,source_permits_nr,source_permits_total,canonical_match_count,canonical_permit_sets,status,source_file
BR1008,Book Cliffs,Black Bear,Either Sex,Restricted Pursuit - Summer,Pursuit Only,"July 6 - 16, 2026",26,2,28,47,26|2|28,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR1009,La Sal,Black Bear,Either Sex,Restricted Pursuit - Summer,Pursuit Only,"July 6 - 16, 2026",14,1,15,47,14|1|15,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR1010,San Juan,Black Bear,Either Sex,Restricted Pursuit - Summer,Pursuit Only,"July 6 - 16, 2026",14,1,15,47,14|1|15,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR1011,Book Cliffs,Black Bear,Either Sex,Restricted Pursuit - Late Summer,Pursuit Only,"July 18 - July 31, 2026",26,2,28,47,26|2|28,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR1012,La Sal,Black Bear,Either Sex,Restricted Pursuit - Late Summer,Pursuit Only,"July 18 - July 31, 2026",14,1,15,47,14|1|15,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR1013,San Juan,Black Bear,Either Sex,Restricted Pursuit - Late Summer,Pursuit Only,"July 18 - July 31, 2026",14,1,15,47,14|1|15,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR1015,Book Cliffs,Black Bear,Either Sex,Restricted Pursuit - Spring,Pursuit Only,"March 28 - May 25, 2026",0,2,2,47,0|2|2,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR1016,San Juan,Black Bear,Either Sex,Restricted Pursuit - Spring,Pursuit Only,"March 28 - May 25, 2026",0,2,2,47,0|2|2,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR1017,La Sal,Black Bear,Either Sex,Restricted Pursuit - Spring,Pursuit Only,"March 28 - May 25, 2026",0,2,2,47,0|2|2,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR1018,Black Bear Pursuit - Nonresident,Black Bear,Either Sex,Pursuit,Pursuit Only,"Spring: Mar 28-May 25, 2026 | Summer: July 6-July 31, 2026 | Fall: Nov 2-8, 2026",,,0,0,,missing_from_canonical,dwr_huntboundary_black_bear_either_sex.json
BR7000,Beaver,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",9,1,10,47,9|1|10,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7001,"Book Cliffs, Bitter Creek/South",Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",49,5,54,47,49|5|54,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7003,"Manti, North",Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",17,2,19,47,17|2|19,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7004,"Manti, South/San Rafael, North",Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",18,0,18,47,18|2|20,permit_mismatch,dwr_huntboundary_black_bear_either_sex.json
BR7005,Nebo,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",7,0,7,47,7|0|7,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7007,"Fillmore, Pahvant",Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",1,0,1,47,1|0|1,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7009,Mt Dutton,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",4,0,4,47,4|0|4,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7010,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",9,0,9,47,9|0|9,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7011,Paunsaugunt,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",4,0,4,47,4|0|4,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7012,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",20,2,22,47,20|2|22,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7013,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",7,0,7,47,7|0|7,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7014,San Juan,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",35,3,38,47,35|3|38,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7015,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",7,0,7,47,7|0|7,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7016,"Wasatch Mtns, West-Central",Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",36,4,40,47,36|4|40,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7017,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",2,0,2,47,2|0|2,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7018,"Kamas/North Slope, Summit",Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",5,0,5,47,5|0|5,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7020,Monroe,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",1,0,1,47,1|0|1,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7021,Dolores Triangle,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",2,0,2,0,,missing_from_canonical,dwr_huntboundary_black_bear_either_sex.json
BR7022,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",40,3,43,0,,missing_from_canonical,dwr_huntboundary_black_bear_either_sex.json
BR7100,Beaver,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",9,1,10,47,9|1|10,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7101,"Book Cliffs, Bitter Creek/South",Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",14,1,15,47,14|1|15,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7102,"Book Cliffs, Little Creek Roadless",Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",5,0,5,47,5|0|5,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7104,"Manti, North",Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",17,1,18,47,17|1|18,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7105,"Manti, South/San Rafael, North",Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",18,2,20,47,18|2|20,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7106,Nebo,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",8,0,8,47,8|0|8,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7109,Mt Dutton,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",3,0,3,47,3|0|3,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7110,Nine Mile,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",18,2,20,47,18|2|20,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7111,"North Slope, Three Corners/West Daggett",Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",1,0,1,47,1|0|1,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7112,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",5,0,5,47,5|0|5,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7113,Paunsaugunt,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",3,0,3,47,3|0|3,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7114,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",13,1,14,47,13|1|14,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7115,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",7,0,7,47,7|0|7,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7116,San Juan,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",22,2,24,47,22|2|24,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7117,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",5,0,5,47,5|0|5,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7118,Yellowstone,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",5,0,5,47,5|0|5,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7119,"Wasatch Mtns, Avintaquin/Currant Creek",Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",5,0,5,47,5|0|5,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7120,"Wasatch Mtns, West-Central",Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",22,1,23,47,22|1|23,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7121,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",4,0,4,47,4|0|4,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7122,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",7,0,7,47,7|0|7,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7123,"Kamas/North Slope, Summit",Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",6,0,6,47,6|0|6,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7124,"Fillmore, Pahvant",Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",2,0,2,47,2|0|2,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7125,Monroe,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",1,0,1,47,1|0|1,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7126,Dolores Triangle,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",6,0,6,0,,missing_from_canonical,dwr_huntboundary_black_bear_either_sex.json
BR7127,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,"May 25 - June 28, 2026",25,2,27,0,,missing_from_canonical,dwr_huntboundary_black_bear_either_sex.json
BR7200,Beaver,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,1,10,47,9|1|10,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7201,"Book Cliffs, Bitter Creek/South",Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 14, 2026 & Oct. 2 - Nov. 8, 2026",18,2,20,47,18|2|20,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7203,"Manti, North",Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",10,1,11,47,10|1|11,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7204,"Manti, South/San Rafael, North",Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",18,2,20,47,18|2|20,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7205,Nebo,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",5,0,5,47,5|0|5,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7207,"Fillmore, Pahvant",Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,47,1|0|1,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7210,Mt Dutton,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",3,0,3,47,1|0|1,permit_mismatch,dwr_huntboundary_black_bear_either_sex.json
BR7211,Nine Mile,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",26,3,29,47,18|0|18,permit_mismatch,dwr_huntboundary_black_bear_either_sex.json
BR7212,"North Slope, Three Corners/West Daggett",Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",2,0,2,47,2|0|2,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7213,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,0,9,47,9|0|9,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7214,Paunsaugunt,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,47,4|0|4,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7215,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,1,10,47,9|1|10,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7216,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",5,0,5,47,5|0|5,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7217,San Juan,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",6,0,6,47,6|0|6,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7218,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",7,0,7,47,7|0|7,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7219,Yellowstone,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,47,4|0|4,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7220,"Wasatch Mtns, Avintaquin/Currant Creek",Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,0,9,47,9|0|9,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7221,"Wasatch Mtns, West-Central",Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",18,2,20,47,18|2|20,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7224,"Book Cliffs, Little Creek Roadless",Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",14,1,15,47,14|1|15,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7225,"Book Cliffs, Little Creek Roadless",Black Bear,Either Sex,Spot and Stalk,Any Legal Weapon,"Sept. 1 - Nov. 8, 2026",5,0,5,47,5|0|5,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7228,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,47,1|0|1,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7229,"Kamas/North Slope, Summit",Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,47,4|0|4,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7237,Monroe,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,47,1|0|1,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7238,Dolores Triangle,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",2,0,2,0,,missing_from_canonical,dwr_huntboundary_black_bear_either_sex.json
BR7239,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",6,0,6,0,,missing_from_canonical,dwr_huntboundary_black_bear_either_sex.json
BR7300,"Book Cliffs, Bitter Creek/South",Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 14 & Aug. 15 - Oct. 1 & Oct. 2 - Nov. 8, 2026",9,1,10,47,9|1|10,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7301,"Book Cliffs, Little Creek Roadless",Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Sept. 1 - Nov. 8, 2026",5,0,5,47,5|0|5,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7303,"Manti, North",Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 6 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",13,1,14,47,13|1|14,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7304,"Manti, South/San Rafael, North",Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",18,2,20,47,18|2|20,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7305,Nebo,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 6 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",5,0,5,47,5|0|5,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7307,La Sal,Black Bear,Either Sex,Multiseason - Conservation,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",,,0,4,||1,permit_mismatch,dwr_huntboundary_black_bear_either_sex.json
BR7308,"North Slope, Three Corners/West Daggett",Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,47,1|0|1,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7309,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",4,0,4,47,4|0|4,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7310,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 6 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",10,1,11,47,10|1|11,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7311,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,47,3|0|3,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7312,San Juan,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",11,1,12,47,11|1|12,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7313,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",5,0,5,47,5|0|5,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
BR7314,Yellowstone,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,47,3|0|3,matched_permit_split,dwr_huntboundary_black_bear_either_sex.json
