csv_row,hunt_code,boundary_id,species,sex_type,weapon,old_hunt_name,new_hunt_name,old_hunt_type,new_hunt_type,old_hunt_class,new_hunt_class,change_category
306,EL3190,172,Elk,Bull,Archery,Boulder,Boulder,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
307,EL3191,172,Elk,Bull,Any Legal Weapon,Boulder,Boulder,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
320,EL3018,175,Elk,Bull,Archery,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
321,EL3063,175,Elk,Bull,Any Legal Weapon,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
322,EL3064,175,Elk,Bull,Any Legal Weapon,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
323,EL3065,175,Elk,Bull,Any Legal Weapon,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
324,EL3096,175,Elk,Bull,Muzzleloader,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
325,EL3192,175,Elk,Bull,Archery,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
333,EL3019,183,Elk,Bull,Archery,San Juan Bull Elk,San Juan,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
334,EL3066,183,Elk,Bull,Any Legal Weapon,San Juan Bull Elk,San Juan,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
335,EL3067,183,Elk,Bull,Any Legal Weapon,San Juan Bull Elk,San Juan,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
336,EL3097,183,Elk,Bull,Muzzleloader,San Juan Bull Elk,San Juan,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
337,EL3193,183,Elk,Bull,Archery,San Juan Bull Elk,San Juan,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
338,EL3194,183,Elk,Bull,Any Legal Weapon,San Juan Bull Elk,San Juan,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
351,LP5046,194,Pronghorn,Buck,Any Legal Weapon,"San Rafael, North - Private Land Only","San Rafael, North",Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
366,EA2030,206,Elk,Antlerless,Any Legal Weapon,Diamond Mtn,Diamond Mtn,Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
374,EL3020,206,Elk,Bull,Archery,Diamond Mtn,Diamond Mtn,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
375,EL3068,206,Elk,Bull,Any Legal Weapon,Diamond Mtn,Diamond Mtn,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
376,EL3069,206,Elk,Bull,Any Legal Weapon,Diamond Mtn,Diamond Mtn,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
377,EL3098,206,Elk,Bull,Muzzleloader,Diamond Mtn,Diamond Mtn,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
378,EL3195,206,Elk,Bull,Archery,Diamond Mtn,Diamond Mtn,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
379,EL3196,206,Elk,Bull,Any Legal Weapon,Diamond Mtn,Diamond Mtn,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
380,LD1023,206,Deer,Buck,Any Legal Weapon,Diamond Mtn - Private Land Only,Diamond Mtn,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
381,LO0008,206,Deer,Buck,Archery,Diamond Mtn Landowner Association,Diamond Mtn Landowner Association,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
382,LO0009,206,Deer,Buck,Any Legal Weapon,Diamond Mtn Landowner Association,Diamond Mtn Landowner Association,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
383,LO0010,206,Deer,Buck,Muzzleloader,Diamond Mtn Landowner Association,Diamond Mtn Landowner Association,Limited Entry - Private Land Only,Limited Entry,,Private Land Only,private_land_split_to_hunt_class
384,LO0011,206,Elk,Bull,Archery,Diamond Mtn Landowner Association,Diamond Mtn Landowner Association,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
385,LO0012,206,Elk,Bull,Any Legal Weapon,Diamond Mtn Landowner Association,Diamond Mtn Landowner Association,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
386,LO0013,206,Elk,Bull,Any Legal Weapon,Diamond Mtn Landowner Association,Diamond Mtn Landowner Association,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
387,LO0014,206,Elk,Bull,Muzzleloader,Diamond Mtn Landowner Association,Diamond Mtn Landowner Association,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
388,LO0015,206,Elk,Bull,Any Legal Weapon,Diamond Mtn Landowner Association,Diamond Mtn Landowner Association,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
400,EL3022,222,Elk,Bull,Archery,Wasatch Mtns,Wasatch Mtns,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
401,EL3072,222,Elk,Bull,Any Legal Weapon,Wasatch Mtns,Wasatch Mtns,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
402,EL3073,222,Elk,Bull,Any Legal Weapon,Wasatch Mtns,Wasatch Mtns,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
403,EL3100,222,Elk,Bull,Muzzleloader,Wasatch Mtns,Wasatch Mtns,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
404,EL3127,222,Elk,Bull,Any Legal Weapon,Wasatch Mtns,Wasatch Mtns,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
405,EL3199,222,Elk,Bull,Archery,Wasatch Mtns,Wasatch Mtns,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
410,EA2013,227,Elk,Antlerless,Any Legal Weapon,"Wasatch Mtns, Currant Creek","Wasatch Mtns, Currant Creek",Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
419,EL3137,241,Elk,Bull,Archery,West Desert Deep Creek,West Desert Deep Creek,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
420,EL3144,241,Elk,Bull,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",West Desert Deep Creek,West Desert Deep Creek,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
423,LP5051,245,Pronghorn,Buck,Any Legal Weapon,"West Desert, Rush Valley - Private Land Only","West Desert, Rush Valley",Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
441,EA2003,276,Elk,Antlerless,Any Legal Weapon,East Canyon,East Canyon,Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
443,EL3205,276,Elk,Bull,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",East Canyon,East Canyon,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
444,LO1603,276,Deer,Buck,Any Legal Weapon (Late),East Canyon,East Canyon,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
445,LO1604,276,Deer,Buck,Archery,East Canyon,East Canyon,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
446,LO1605,276,Deer,Buck,Any Legal Weapon (Early),East Canyon,East Canyon,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
447,LO1606,276,Deer,Buck,Muzzleloader,East Canyon,East Canyon,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
451,EA2029,277,Elk,Antlerless,Any Legal Weapon,"Nine Mile, Range Creek","Nine Mile, Range Creek",Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
500,LO1518,455,Deer,Buck,Archery,Boulder/Kaiparowits,Boulder/Kaiparowits,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
501,LO1629,455,Deer,Buck,Restricted Rifle,Boulder/Kaiparowits,Boulder/Kaiparowits,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
502,LO1630,455,Deer,Buck,Restricted Muzzleloader,Boulder/Kaiparowits,Boulder/Kaiparowits,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
741,LO1501,607,Deer,Buck,Archery,Box Elder,Box Elder,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
742,LO1531,607,Deer,Buck,Any Legal Weapon (Late),Box Elder,Box Elder,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
743,LO1561,607,Deer,Buck,Muzzleloader,Box Elder,Box Elder,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
744,LO1631,607,Deer,Buck,Any Legal Weapon (Early),Box Elder,Box Elder,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
753,LO1514,609,Deer,Buck,Archery,Ogden,Ogden,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
754,LO1544,609,Deer,Buck,Any Legal Weapon (Late),Ogden,Ogden,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
755,LO1574,609,Deer,Buck,Muzzleloader,Ogden,Ogden,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
767,EA2040,611,Elk,Antlerless,Any Legal Weapon,Kamas,Kamas,Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
768,LO1508,611,Deer,Buck,Archery,Kamas,Kamas,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
769,LO1538,611,Deer,Buck,Any Legal Weapon (Late),Kamas,Kamas,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
770,LO1568,611,Deer,Buck,Muzzleloader,Kamas,Kamas,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
771,LO1592,611,Deer,Buck,Any Legal Weapon (Early),Kamas,Kamas,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
779,LO1513,612,Deer,Buck,Archery,North Slope,North Slope,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
780,LO1543,612,Deer,Buck,Any Legal Weapon (Late),North Slope,North Slope,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
781,LO1573,612,Deer,Buck,Muzzleloader,North Slope,North Slope,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
782,LO1598,612,Deer,Buck,Any Legal Weapon (Early),North Slope,North Slope,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
793,EA2006,613,Elk,Antlerless,Any Legal Weapon,Yellowstone,Yellowstone,Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
795,LO1523,613,Deer,Buck,Archery,Yellowstone,Yellowstone,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
796,LO1553,613,Deer,Buck,Any Legal Weapon (Late),Yellowstone,Yellowstone,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
797,LO1583,613,Deer,Buck,Muzzleloader,Yellowstone,Yellowstone,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
806,EA2028,614,Elk,Antlerless,Any Legal Weapon,Vernal/Bonanza,Vernal/Bonanza,Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
807,LO1522,614,Deer,Buck,Archery,Vernal/Bonanza,Vernal/Bonanza,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
808,LO1552,614,Deer,Buck,Any Legal Weapon (Late),Vernal/Bonanza,Vernal/Bonanza,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
809,LO1582,614,Deer,Buck,Muzzleloader,Vernal/Bonanza,Vernal/Bonanza,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
811,BI6538,615,Bison,Hunters Choice,Any Legal Weapon,"Nine Mile, Private Lands Only",Nine Mile,General Season,General Season,General Season,Private Land Only,private_land_split_to_hunt_class
821,LO1512,615,Deer,Buck,Archery,Nine Mile,Nine Mile,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
