row,no,species,hunt_name,sex_type,old_hunt_code,new_hunt_code,old_boundary_id,new_boundary_id,old_map_geojson,new_map_geojson,status
315,314,Turkey,Northern Area,Bearded,RS0001,TK1014,5135,888,processed_data/boundaries/RS0001.geojson,processed_data/boundaries/TK1014.geojson,patched
316,315,Turkey,Northern Area,Bearded,RS0001,TK1014,5135,888,processed_data/boundaries/RS0001.geojson,processed_data/boundaries/TK1014.geojson,patched
317,316,Turkey,Northern Area,Bearded,RS0001,TK1014,5135,888,processed_data/boundaries/RS0001.geojson,processed_data/boundaries/TK1014.geojson,patched
318,317,Turkey,Northern Area,Bearded,RS0001,TK1014,5135,888,processed_data/boundaries/RS0001.geojson,processed_data/boundaries/TK1014.geojson,patched
319,318,Turkey,Northern Area,Bearded,RS0001,TK1014,5135,888,processed_data/boundaries/RS0001.geojson,processed_data/boundaries/TK1014.geojson,patched
320,319,Turkey,Northern Area,Bearded,RS0001,TK1014,5135,888,processed_data/boundaries/RS0001.geojson,processed_data/boundaries/TK1014.geojson,patched
321,320,Turkey,Southeastern Area,Bearded,RS0001,TK1015,5135,884,processed_data/boundaries/RS0001.geojson,processed_data/boundaries/TK1015.geojson,patched
322,321,Turkey,Southeastern Area,Bearded,RS0001,TK1015,5135,884,processed_data/boundaries/RS0001.geojson,processed_data/boundaries/TK1015.geojson,patched
323,322,Turkey,Southeastern Area,Bearded,RS0001,TK1015,5135,884,processed_data/boundaries/RS0001.geojson,processed_data/boundaries/TK1015.geojson,patched
324,323,Turkey,Southeastern Area,Bearded,TK1007,TK1015,885,884,processed_data/boundaries/TK1007.geojson,processed_data/boundaries/TK1015.geojson,patched
325,324,Turkey,Southeastern Area,Bearded,TK1007,TK1015,885,884,processed_data/boundaries/TK1007.geojson,processed_data/boundaries/TK1015.geojson,patched
326,325,Turkey,Southeastern Area,Bearded,TK1007,TK1015,885,884,processed_data/boundaries/TK1007.geojson,processed_data/boundaries/TK1015.geojson,patched
327,326,Turkey,Southeastern Area,Bearded,TK1007,TK1015,885,884,processed_data/boundaries/TK1007.geojson,processed_data/boundaries/TK1015.geojson,patched
328,327,Turkey,Southeastern Area,Bearded,TK1007,TK1015,885,884,processed_data/boundaries/TK1007.geojson,processed_data/boundaries/TK1015.geojson,patched
