hunt_code,boundary_id,member_boundary_ids,geometry_status,boundary_geojson_path,boundary_kmz_path,boundary_kml_path,dwr_boundary_link,source_boundary_ids,database_hunt_name,database_species,database_weapon,database_hunt_type,in_display_boundary_index,in_database,in_hunt_code_boundary_map,in_boundary_manifest,split_hunt_json_exists,geojson_exists
DB1006,163,,mapped,processed_data/boundaries/DB1006.geojson,,,,172,Boulder,Deer,Muzzleloader,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1007,94,,mapped,processed_data/boundaries/DB1007.geojson,,,,172,Boulder,Deer,Multiseason,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1008,163,,mapped,processed_data/boundaries/DB1008.geojson,,,,172,Boulder,Deer,Late Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1010,163,,mapped,processed_data/boundaries/DB1010.geojson,,,,172,Boulder,Deer,Mid Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1011,7,,mapped,processed_data/boundaries/DB1011.geojson,,,,455,Boulder/Kaiparowits,Deer,Multiseason,Limited Entry - Multiseason,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
DB1012,85,,mapped,processed_data/boundaries/DB1012.geojson,,,,867,"Box Elder, Grouse Creek",Deer,Multiseason,Conservation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DB1013,108,,mapped,processed_data/boundaries/DB1013.geojson,,,,867,"Box Elder, Grouse Creek",Deer,Early Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1014,185,,mapped,processed_data/boundaries/DB1014.geojson,,,,867,"Box Elder, Grouse Creek",Deer,Mid Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1015,206,,mapped,processed_data/boundaries/DB1015.geojson,,,,867,"Box Elder, Grouse Creek",Deer,Muzzleloader,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1016,248,,mapped,processed_data/boundaries/DB1016.geojson,,,,20,"Box Elder, Newfoundland Mtn",Deer,Any Legal Weapon,Conservation,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1019,85,,mapped,processed_data/boundaries/DB1019.geojson,,,,20,"Box Elder, Newfoundland Mtn",Deer,Any Legal Weapon,Once-in-a-lifetime,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1020,108,,mapped,processed_data/boundaries/DB1020.geojson,,,,20,"Box Elder, Newfoundland Mtn",Deer,Any Legal Weapon,Once-in-a-lifetime,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1022,185,,mapped,processed_data/boundaries/DB1022.geojson,,,,20,"Box Elder, Newfoundland Mtn",Deer,Archery,Once-in-a-lifetime,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1023,206,,mapped,processed_data/boundaries/DB1023.geojson,,,,682,"Box Elder, Pilot Mtn",Deer,Early Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1024,248,,mapped,processed_data/boundaries/DB1024.geojson,,,,682,"Box Elder, Pilot Mtn",Deer,Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1025,7,,mapped,processed_data/boundaries/DB1025.geojson,,,,682;683,"Box Elder, Pilot Mtn",Deer,Multiseason,Conservation,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1029,85,,mapped,processed_data/boundaries/DB1029.geojson,,,,24,"Box Elder, Promontory",Deer,Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1031,108,,mapped,processed_data/boundaries/DB1031.geojson,,,,24,"Box Elder, Promontory",Deer,Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1037,185,,mapped,processed_data/boundaries/DB1037.geojson,,,,25,"Box Elder, Puddle Valley",Deer,Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1038,206,,mapped,processed_data/boundaries/DB1038.geojson,,,,25,"Box Elder, Puddle Valley",Deer,Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1042,248,,mapped,processed_data/boundaries/DB1042.geojson,,,,27,"Box Elder, Snowville",Deer,Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1044,7,,mapped,processed_data/boundaries/DB1044.geojson,,,,27,"Box Elder, Snowville",Deer,Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1045,85,,mapped,processed_data/boundaries/DB1045.geojson,,,,27,"Box Elder, Snowville",Deer,Muzzleloader,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1046,185,,mapped,processed_data/boundaries/DB1046.geojson,,,,755,"Box Elder, West",Deer,Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1047,206,,mapped,processed_data/boundaries/DB1047.geojson,,,,755,"Box Elder, West",Deer,Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1048,248,,mapped,processed_data/boundaries/DB1048.geojson,,,,755,"Box Elder, West",Deer,Muzzleloader,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1058,163,,mapped,processed_data/boundaries/DB1058.geojson,,,,7;15;32;85;94;108;138;163;185;206;248;609;610;611;612;613;615;621;625;628;629;630;632;633;635;636;714;802,Buck Deer - Statewide Permit,Deer,Any Legal Weapon,Statewide,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DB1073,163,,mapped,processed_data/boundaries/DB1073.geojson,,,,29,Cache,Deer,Any Legal Weapon,Once-in-a-lifetime,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1074,163,,mapped,processed_data/boundaries/DB1074.geojson,,,,29;33;38;39;40;302;303,Cache (Conservation),Deer,Any Legal Weapon,Conservation,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DB1118,108,,mapped,processed_data/boundaries/DB1118.geojson,,,,33,"Cache, Meadowville",Deer,Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DS1000,5110,688;187;190;193;194;94;98;99;100;635;636;756,mapped,processed_data/boundaries/DS1000.geojson,,,,33,"Cache, Meadowville",Desert Bighorn Sheep,Early Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DS1002,98,,mapped,processed_data/boundaries/DS1002.geojson,,,,33,"Cache, Meadowville",Desert Bighorn Sheep,Late Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DS1003,5141,933;934,mapped,processed_data/boundaries/DS1003.geojson,,,,33,"Cache, Meadowville",Desert Bighorn Sheep,Muzzleloader,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DS1004,193,,mapped,processed_data/boundaries/DS1004.geojson,,,,33,"Cache, Meadowville",Desert Bighorn Sheep,Multiseason,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DS1006,100,,mapped,processed_data/boundaries/DS1006.geojson,,,,33,"Cache, Meadowville",Desert Bighorn Sheep,Late Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DS1007,195,,mapped,processed_data/boundaries/DS1007.geojson,,,,33,"Cache, Meadowville",Desert Bighorn Sheep,Mid Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DS6601,98,,mapped,processed_data/boundaries/DS6601.geojson,,,,41,"Cache, South",Desert Bighorn Sheep,Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DS6602,99,,mapped,processed_data/boundaries/DS6602.geojson,,,,41,"Cache, South",Desert Bighorn Sheep,Early Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DS6603,100,,mapped,processed_data/boundaries/DS6603.geojson,,,,41,"Cache, South",Desert Bighorn Sheep,Late Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DS6604,688,,mapped,processed_data/boundaries/DS6604.geojson,,,,41,"Cache, South",Desert Bighorn Sheep,Muzzleloader,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DS6605,305,,mapped,processed_data/boundaries/DS6605.geojson,,,,41,"Cache, South",Desert Bighorn Sheep,Multiseason,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DS6608,193,,mapped,processed_data/boundaries/DS6608.geojson,,,,41,"Cache, South",Desert Bighorn Sheep,Late Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DS6610,195,,mapped,processed_data/boundaries/DS6610.geojson,,,,41,"Cache, South",Desert Bighorn Sheep,Mid Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DS6621,305,,mapped,processed_data/boundaries/DS6621.geojson,,,,887,Central Area,Desert Bighorn Sheep,Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DS6624,193,,mapped,processed_data/boundaries/DS6624.geojson,,,,887,Central Area,Desert Bighorn Sheep,Any Legal Weapon,Conservation,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EA1180,5111,108;617;684;879,mapped,processed_data/boundaries/EA1180.geojson,,,,610,Chalk Creek/East Canyon/Morgan-South Rich,Elk,Multiseason,Conservation,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
EA1270,5114,175;698;699,mapped,processed_data/boundaries/EA1270.geojson,,,,610,Chalk Creek/East Canyon/Morgan-South Rich,Elk,Multiseason,Limited Entry - Multiseason,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
EA1271,5115,43;45;47;49;51;55;58;861;862;938,mapped,processed_data/boundaries/EA1271.geojson,,,,688;187;190;193;194;94;98;99;100;635;636;756,Desert Bighorn Sheep - Statewide Permit,Elk,Any Legal Weapon,Statewide,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
EA2041,5117,29;33;38;39;40;302;303,mapped,processed_data/boundaries/EA2041.geojson,,,,206,Diamond Mtn,Elk,Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EA2045,5118,222;224;225;227;234;238;240;480;817;845;920;921,mapped,processed_data/boundaries/EA2045.geojson,,,,206,Diamond Mtn,Elk,Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB1000,5119,12;17;33;36;41;51;108;128;140;163;241;616;617;622;625;629;683;685;175;183;206;222;88;630;634;449;455,mapped,processed_data/boundaries/EB1000.geojson,data/boundaries/kmz/EB1000.kmz,data/boundaries/kml/EB1000.kml,,206,Diamond Mtn,Elk,Muzzleloader,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3000,685,,mapped,processed_data/boundaries/EB3000.geojson,,,,206,Diamond Mtn,Elk,Multiseason,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3003,33,,mapped,processed_data/boundaries/EB3003.geojson,,,,206,Diamond Mtn,Elk,Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3005,41,,mapped,processed_data/boundaries/EB3005.geojson,,,,206,Diamond Mtn,Elk,Early Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3006,51,,mapped,processed_data/boundaries/EB3006.geojson,,,,206,Diamond Mtn,Elk,Mid Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3008,88,,mapped,processed_data/boundaries/EB3008.geojson,,,,206,Diamond Mtn,Elk,Muzzleloader,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3009,617,,mapped,processed_data/boundaries/EB3009.geojson,,,,206,Diamond Mtn,Elk,Multiseason,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3010,629,,mapped,processed_data/boundaries/EB3010.geojson,,,,206,Diamond Mtn,Elk,Late Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3011,630,,mapped,processed_data/boundaries/EB3011.geojson,,,,206,Diamond Mtn,Elk,Late Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3015,634,,mapped,processed_data/boundaries/EB3015.geojson,,,,444,Diamond Mtn/Vernal/Bonanza,Elk,Multiseason,Limited Entry - Multiseason,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
EB3018,175,,mapped,processed_data/boundaries/EB3018.geojson,,,,108,Dolores Triangle,Elk,Archery,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3019,183,,mapped,processed_data/boundaries/EB3019.geojson,,,,108,Dolores Triangle,Elk,Any Legal Weapon,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3020,206,,mapped,processed_data/boundaries/EB3020.geojson,,,,108,Dolores Triangle,Elk,Muzzleloader,Limited Entry,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3022,222,,mapped,processed_data/boundaries/EB3022.geojson,,,,108,Dolores Triangle,Elk,Multiseason,Conservation,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
EB3024,685,,mapped,processed_data/boundaries/EB3024.geojson,,,,12;17;33;36;41;51;108;128;140;163;241;616;617;622;625;629;683;685;175;183;206;222;88;630;634;449;455,Elk - Statewide Permit,Elk,Any Legal Weapon,Statewide,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
