workbook,sheet,row,hunt_code,conservation_code,boundary_id,species,expected_species_from_prefix,hunt_name
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,253,GO1000,CGO1000,5131,Pronghorn,Mountain Goat,"Nine Mile, Anthro-Myton Bench"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,254,GO1000,CGO1000,5131,Pronghorn,Mountain Goat,"Nine Mile, Anthro-Myton Bench"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,255,GO1000,CGO1000,5131,Pronghorn,Mountain Goat,"Nine Mile, Anthro-Myton Bench"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,256,GO1000,CGO1000,5131,Pronghorn,Mountain Goat,"Nine Mile, Anthro-Myton Bench"
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,Table 1,302,PB1000,CPB1000,5134,Rocky Mountain Bighorn Sheep,Pronghorn,"Book Cliffs, South"
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,Table 1,201,EA2045,CEA2045,5118,Elk,Antlerless Elk,Wasatch Mtns
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,Table 1,202,EA2045,CEA2045,5118,Elk,Antlerless Elk,Wasatch Mtns
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,Table 1,291,RS1001,CRS1001,15,Rocky Mountain Sheep,Rocky Mountain Bighorn Sheep,"Book Cliffs, South"
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,Table 1,292,RS0001,CRS0001,5135,Rocky Mountain Sheep,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtns"
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,Table 1,293,RS6722,CRS6722,20,Rocky Mountain Sheep,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtns"
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,Table 1,294,RS0001,CRS0001,5135,Rocky Mountain Sheep,Rocky Mountain Bighorn Sheep,"Fillmore, Oak Creek"
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,Table 1,295,RS0001,CRS0001,5135,Rocky Mountain Sheep,Rocky Mountain Bighorn Sheep,"Nine Mile, Gray Canyon"
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/2025-27 Conservation Permits.xlsx,Table 1,296,RS0001,CRS0001,5135,Rocky Mountain Sheep,Rocky Mountain Bighorn Sheep,Statewide
