source_file,page_number,hunt_code,hunt_name,year,residency,points,eligible_applicants,bonus_permits,regular_permits,total_permits,success_ratio
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Nonresident,13,0,0,0,0,N/A
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Resident,12,0,0,0,0,N/A
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Nonresident,12,0,0,0,0,N/A
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Resident,11,0,0,0,0,N/A
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Nonresident,11,0,0,0,0,N/A
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Resident,10,0,0,0,0,N/A
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Nonresident,10,0,0,0,0,N/A
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Resident,9,0,0,0,0,N/A
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Nonresident,9,0,0,0,0,N/A
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Resident,8,1,1,0,1,1 in 1.0
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Nonresident,8,1,0,0,0,N/A
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Resident,7,0,0,0,0,N/A
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Nonresident,7,0,0,0,0,N/A
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Resident,6,0,0,0,0,N/A
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Nonresident,6,2,0,0,0,N/A
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Resident,5,2,2,0,2,1 in 1.0
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Nonresident,5,1,0,0,0,N/A
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Resident,4,2,2,0,2,1 in 1.0
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Nonresident,4,0,0,0,0,N/A
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Resident,3,3,0,1,1,1 in 3.0
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Nonresident,3,2,0,1,1,1 in 2.0
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Resident,2,1,0,0,0,N/A
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Nonresident,2,2,0,0,0,N/A
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Resident,1,5,0,2,2,1 in 2.5
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Nonresident,1,0,0,0,0,N/A
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Resident,0,1,0,1,1,1 in 1.0
25_bg-odds.pdf,336,EB3197,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South -Archery",2025,Nonresident,0,1,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,32,0,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,32,0,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,31,0,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,31,0,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,30,0,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,30,0,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,29,0,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,29,0,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,28,0,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,28,0,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,27,0,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,27,0,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,26,0,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,26,0,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,25,0,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,25,0,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,24,1,1,0,1,1 in 1.0
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,24,2,2,0,2,1 in 1.0
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,23,2,2,0,2,1 in 1.0
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,23,2,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,22,2,2,0,2,1 in 1.0
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,22,4,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,21,2,1,1,2,1 in 1.0
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,21,4,0,1,1,1 in 4.0
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,20,1,1,0,1,1 in 1.0
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,20,0,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,19,1,1,0,1,1 in 1.0
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,19,2,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,18,3,3,0,3,1 in 1.0
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,18,2,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,17,2,2,0,2,1 in 1.0
