excel_row,No.,Species,Area,Condition,Organization,HUNT CODE,expected_prefixes,HUNT NAME,SEX,WEAPON,BOUNDARY ID,MAP GEOJSON,readiness_flags
112,111,Deer,"West Desert, Vernon",Hunter's Choice,SFW,DB0007,DB,,,,5108,processed_data/boundaries/DB0007.geojson,blank_hunt_name;blank_weapon;blank_sex
113,112,Deer,"West Desert, Vernon",Hunter's Choice,SFW,DS6604,DB,"La Sal, Potash/South Cisco",Ram,Any Legal Weapon,688,processed_data/boundaries/DS6604.geojson,prefix_species_mismatch
114,113,Deer,"West Desert, Vernon",Multiseason,SFW,DS6604,DB,,,,688,processed_data/boundaries/DS6604.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
115,114,Deer,"West Desert, Vernon",Multiseason,MDF,DS6604,DB,,,,688,processed_data/boundaries/DS6604.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
116,115,Deer,"West Desert, Vernon",Muzzleloader,MDF,DS6604,DB,,,,688,processed_data/boundaries/DS6604.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
117,116,Deer,"West Desert, Vernon",Muzzleloader,DSC,DS1000,DB,Statewide,Ram,Any Legal Weapon,5110,processed_data/boundaries/DS1000.geojson,prefix_species_mismatch
118,117,Deer,Statewide,"Any Legal Weapon, late",MDF,EB3025,DB,"Beaver, East",Bull,"Any Legal Weapon, late",685,processed_data/boundaries/EB3025.geojson,prefix_species_mismatch
120,119,Elk,"Beaver, East",Archery,UAA,EB3000,"EA,EB",,,,685,processed_data/boundaries/EB3000.geojson,blank_hunt_name;blank_weapon;blank_sex
123,122,Elk,"Book Cliffs, Bitter Creek/East","Any Legal Weapon, late",RMEF,EB3163,"EA,EB",,,,899,processed_data/boundaries/EB3163.geojson,blank_hunt_name;blank_weapon;blank_sex
124,123,Elk,"Book Cliffs, Bitter Creek/East",Archery,SFW,EB3163,"EA,EB",,,,899,processed_data/boundaries/EB3160.geojson|processed_data/boundaries/EB3161.geojson|processed_data/boundaries/EB3162.geojson|processed_data/boundaries/EB3163.geojson|processed_data/boundaries/EB3164.geojson|processed_data/boundaries/EB3165.geojson|processed_data/boundaries/EB3166.geojson,blank_hunt_name;blank_weapon;blank_sex
125,124,Elk,"Book Cliffs, Bitter Creek/East",Hunter's Choice,DSC,EB3163,"EA,EB",,,,899,processed_data/boundaries/EB3160.geojson|processed_data/boundaries/EB3161.geojson|processed_data/boundaries/EB3162.geojson|processed_data/boundaries/EB3163.geojson|processed_data/boundaries/EB3164.geojson|processed_data/boundaries/EB3165.geojson|processed_data/boundaries/EB3166.geojson,blank_hunt_name;blank_weapon;blank_sex
128,127,Elk,Boulder,"Any Legal Weapon, mid",SFW,EB3191,"EA,EB",,,,172,processed_data/boundaries/EB3191.geojson,blank_hunt_name;blank_weapon;blank_sex
129,128,Elk,Boulder,Archery,SFW,EB3191,"EA,EB",,,,172,processed_data/boundaries/EB3145.geojson|processed_data/boundaries/EB3148.geojson|processed_data/boundaries/EB3151.geojson|processed_data/boundaries/EB3154.geojson|processed_data/boundaries/EB3156.geojson|processed_data/boundaries/EB3190.geojson|processed_data/boundaries/EB3191.geojson,blank_hunt_name;blank_weapon;blank_sex
130,129,Elk,Boulder,Hunter's Choice,SCI,EB3191,"EA,EB",,,,172,processed_data/boundaries/EB3145.geojson|processed_data/boundaries/EB3148.geojson|processed_data/boundaries/EB3151.geojson|processed_data/boundaries/EB3154.geojson|processed_data/boundaries/EB3156.geojson|processed_data/boundaries/EB3190.geojson|processed_data/boundaries/EB3191.geojson,blank_hunt_name;blank_weapon;blank_sex
131,130,Elk,Boulder,Multiseason,MDF,EB3191,"EA,EB",,,,172,processed_data/boundaries/EB3145.geojson|processed_data/boundaries/EB3148.geojson|processed_data/boundaries/EB3151.geojson|processed_data/boundaries/EB3154.geojson|processed_data/boundaries/EB3156.geojson|processed_data/boundaries/EB3190.geojson|processed_data/boundaries/EB3191.geojson,blank_hunt_name;blank_weapon;blank_sex
132,131,Elk,Boulder,Muzzleloader,SFW,EB3191,"EA,EB",,,,172,processed_data/boundaries/EB3145.geojson|processed_data/boundaries/EB3148.geojson|processed_data/boundaries/EB3151.geojson|processed_data/boundaries/EB3154.geojson|processed_data/boundaries/EB3156.geojson|processed_data/boundaries/EB3190.geojson|processed_data/boundaries/EB3191.geojson,blank_hunt_name;blank_weapon;blank_sex
134,133,Elk,"Box Elder, Pilot Mtn",Multiseason,MDF,EB3033,"EA,EB",,,,33,processed_data/boundaries/EB3033.geojson,blank_hunt_name;blank_weapon;blank_sex
136,135,Elk,"Cache, Meadowville",Hunter's Choice,SCI,EB3105,"EA,EB",,,,33,processed_data/boundaries/EB3003.geojson|processed_data/boundaries/EB3032.geojson|processed_data/boundaries/EB3033.geojson|processed_data/boundaries/EB3081.geojson|processed_data/boundaries/EB3105.geojson|processed_data/boundaries/EB3168.geojson|processed_data/boundaries/EB3169.geojson,blank_hunt_name;blank_weapon;blank_sex
141,140,Elk,Diamond Mtn,"Any Legal Weapon, mid",RMEF,EB3020,"EA,EB",,,,206,processed_data/boundaries/EB3069.geojson,blank_hunt_name;blank_weapon;blank_sex
145,144,Elk,"Fillmore, Pahvant","Any Legal Weapon, late",RMEF,EB3008,"EA,EB",,,,88,processed_data/boundaries/EB3043.geojson,blank_hunt_name;blank_weapon;blank_sex
150,149,Elk,Fishlake/Thousand Lakes,"Any Legal Weapon, mid",SFW,EB3018,"EA,EB",,,,175,processed_data/boundaries/EB3064.geojson,blank_hunt_name;blank_weapon;blank_sex
151,150,Elk,Fishlake/Thousand Lakes,Archery,UAA,EB3018,"EA,EB",,,,175,processed_data/boundaries/EB3018.geojson,blank_hunt_name;blank_weapon;blank_sex
158,157,Elk,"La Sal, La Sal Mtns","Any Legal Weapon, mid",SFW,EB3009,"EA,EB",,,,617,processed_data/boundaries/EB3183.geojson,blank_hunt_name;blank_weapon;blank_sex
159,158,Elk,"La Sal, La Sal Mtns",Archery,MDF,EB3009,"EA,EB",,,,617,processed_data/boundaries/EB3009.geojson,blank_hunt_name;blank_weapon;blank_sex
166,165,Elk,Manti,"Any Legal Weapon, mid",SFW,EB3006,"EA,EB",,,,51,processed_data/boundaries/EB3126.geojson,blank_hunt_name;blank_weapon;blank_sex
167,166,Elk,Manti,Archery,SFW,EB3006,"EA,EB",,,,51,processed_data/boundaries/EB3006.geojson,blank_hunt_name;blank_weapon;blank_sex
173,172,Elk,Monroe,"Any Legal Weapon, late",SCI,EB3010,"EA,EB",,,,629,processed_data/boundaries/EB3048.geojson,blank_hunt_name;blank_weapon;blank_sex
177,176,Elk,Mt Dutton,"Any Legal Weapon, late",RMEF,EB3011,"EA,EB",,,,630,processed_data/boundaries/EB3050.geojson,blank_hunt_name;blank_weapon;blank_sex
180,179,Elk,Mt Dutton,Multiseason,MDF,EB3176,"EA,EB",,,,901,processed_data/boundaries/EB3176.geojson,blank_hunt_name;blank_weapon;blank_sex
181,180,Elk,Nebo/San Pitch Mtns,"Any Legal Weapon, late",SFW,EB3176,"EA,EB",,,,901,processed_data/boundaries/EB3176.geojson,blank_hunt_name;blank_weapon;blank_sex
185,184,Elk,"North Slope, Three Corners",Multiseason,NWTF,EB3057,"EA,EB",,,,634,processed_data/boundaries/EB3057.geojson,blank_hunt_name;blank_weapon;blank_sex
190,189,Elk,San Juan Bull Elk,"Any Legal Weapon, mid",SFW,EB3019,"EA,EB",,,,183,processed_data/boundaries/EB3194.geojson,blank_hunt_name;blank_weapon;blank_sex
194,193,Elk,"Southwest Desert, South","Any Legal Weapon, late",MDF,EB3198,"EA,EB",,,,872,processed_data/boundaries/EB3152.geojson,blank_hunt_name;blank_weapon;blank_sex
200,199,Elk,"Southwest Desert, South",Muzzleloader,RMEF,EB3127,"EA,EB",,,,222,processed_data/boundaries/EB3127.geojson,blank_hunt_name;blank_weapon;blank_sex
201,200,Elk,Wasatch Mtns,"Any Legal Weapon, late",RMEF,EB3127,"EA,EB",,,,222,processed_data/boundaries/EB3073.geojson,blank_hunt_name;blank_weapon;blank_sex
202,201,Elk,Wasatch Mtns,"Any Legal Weapon, mid",SFW,EB3127,"EA,EB",,,,222,processed_data/boundaries/EB3127.geojson,blank_hunt_name;blank_weapon;blank_sex
206,205,Elk,Wasatch Mtns,Multiseason,RMEF,EB1000,"EA,EB",Statewide,Bull,,5119,processed_data/boundaries/EB1000.geojson,blank_weapon
207,206,Elk,Wasatch Mtns,Multiseason,MDF,MB6000,"EA,EB",Cache,Bull,Any Legal Weapon,29,processed_data/boundaries/MB6000.geojson,prefix_species_mismatch
208,207,Elk,Wasatch Mtns,Muzzleloader,MDF,MB6006,"EA,EB","North Slope, Summit",Bull,Any Legal Weapon,138,processed_data/boundaries/MB6006.geojson,prefix_species_mismatch
209,208,Elk,Statewide,Any Legal Weapon,SFW,MB6006,"EA,EB","North Slope, Summit",Bull,Any Legal Weapon,138,processed_data/boundaries/MB6006.geojson,prefix_species_mismatch
211,210,Moose,"North Slope, Summit",Any Legal Weapon,SCI,MB1000,MB,Statewide,Bull,,5133,processed_data/boundaries/MB1000.geojson,blank_weapon
212,211,Moose,"North Slope, Summit",Any Legal Weapon,SFW,MB1000,MB,,,,5133,processed_data/boundaries/MB1000.geojson,blank_hunt_name;blank_weapon;blank_sex
213,212,Moose,Wasatch Mtns/Central Mtns,Any Legal Weapon,NWTF,GO6808,MB,High Uintas West,Either Sex,Any Legal Weapon,148,processed_data/boundaries/GO6808.geojson,prefix_species_mismatch
214,213,Moose,Statewide,Any Legal Weapon,RMEF,GO6817,MB,"La Sal, La Sal Mtns",Either Sex,Any Legal Weapon,617,processed_data/boundaries/GO6817.geojson,prefix_species_mismatch
215,214,Mountain Goat,Beaver (early),"Any Legal Weapon, early",UWSF,GO6817,GO,,,,617,processed_data/boundaries/GO6817.geojson,blank_hunt_name;blank_weapon;blank_sex
216,215,Mountain Goat,High Uintas West,Any Legal Weapon,RMEF,GO6817,GO,,,,617,processed_data/boundaries/GO6817.geojson,blank_hunt_name;blank_weapon;blank_sex
218,217,Mountain Goat,Nebo,Any Legal Weapon,UWSF,GO1000,GO,Statewide,Either Sex,,5131,processed_data/boundaries/GO1000.geojson,blank_weapon
219,218,Mountain Goat,Nebo,Archery,UAA,GO1000,GO,,,,5131,processed_data/boundaries/GO1000.geojson,blank_hunt_name;blank_weapon;blank_sex
220,219,Mountain Goat,"Wasatch Mtns, Timpanogos",Any Legal Weapon,SCI,GO1000,GO,,,,5131,processed_data/boundaries/GO1000.geojson,blank_hunt_name;blank_weapon;blank_sex
221,220,Mountain Goat,Statewide,,SFW,GO1000,GO,,,,5131,processed_data/boundaries/GO1000.geojson,blank_hunt_name;blank_weapon;blank_sex
222,221,Pronghorn,Beaver,Hunter's Choice,UAA,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
223,222,Pronghorn,Beaver,Hunter's Choice,SFW,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
224,223,Pronghorn,"Book Cliffs, Bitter Creek",Any Legal Weapon,DSC,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
225,224,Pronghorn,"Book Cliffs, Bitter Creek",Any Legal Weapon,SFW,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
226,225,Pronghorn,"Book Cliffs, Bitter Creek",Any Legal Weapon,MDF,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
227,226,Pronghorn,"Book Cliffs, South",Any Legal Weapon,NWTF,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
228,227,Pronghorn,"Book Cliffs, South",Any Legal Weapon,MDF,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
229,228,Pronghorn,"Box Elder, Promontory",Any Legal Weapon,MDF,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
230,229,Pronghorn,"Box Elder, Puddle Valley",Any Legal Weapon,SFW,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
231,230,Pronghorn,"Box Elder, Snowville",Any Legal Weapon,SFW,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
232,231,Pronghorn,"Box Elder, Snowville",Any Legal Weapon,SFW,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
233,232,Pronghorn,"Box Elder, West",Any Legal Weapon,UHA,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
234,233,Pronghorn,"Box Elder, West",Any Legal Weapon,SFW,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
235,234,Pronghorn,"Fillmore, Oak Creek South",Any Legal Weapon,NWTF,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
236,235,Pronghorn,"Fillmore, Oak Creek South",Any Legal Weapon,SFW,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
237,236,Pronghorn,"Fillmore, Oak Creek South",Any Legal Weapon,MDF,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
238,237,Pronghorn,"La Sal, Potash/South Cisco",Any Legal Weapon,UHA,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
239,238,Pronghorn,Mt Dutton/Paunsaugunt,Any Legal Weapon,MDF,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
240,239,Pronghorn,Mt Dutton/Paunsaugunt,Any Legal Weapon,SFW,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
241,240,Pronghorn,"Nine Mile, Anthro-Myton Bench",Any Legal Weapon,NWTF,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
242,241,Pronghorn,"Nine Mile, Anthro-Myton Bench",Any Legal Weapon,WCF,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
243,242,Pronghorn,"Nine Mile, Anthro-Myton Bench",Any Legal Weapon,MDF,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
244,243,Pronghorn,"Nine Mile, Anthro-Myton Bench",Any Legal Weapon,NWTF,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
245,244,Pronghorn,"Nine Mile, Anthro-Myton Bench",Any Legal Weapon,WCF,GO1000,PB,,,,5131,processed_data/boundaries/GO1000.geojson,prefix_species_mismatch;blank_hunt_name;blank_weapon;blank_sex
247,246,Pronghorn,"Nine Mile, Anthro-Myton Bench",Any Legal Weapon,NWTF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
248,247,Pronghorn,"Nine Mile, Range Creek",Any Legal Weapon,NWTF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
249,248,Pronghorn,"North Slope, Summit",Any Legal Weapon,MDF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
250,249,Pronghorn,"North Slope, Three Corners/West Daggett",Any Legal Weapon,MDF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
251,250,Pronghorn,"North Slope, Three Corners/West Daggett",Any Legal Weapon,SFW,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
252,251,Pronghorn,"North Slope, Three Corners/West Daggett",Any Legal Weapon,SFW,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
253,252,Pronghorn,"Panguitch Lake/Zion, North",Any Legal Weapon,SFW,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
254,253,Pronghorn,"Panguitch Lake/Zion, North",Any Legal Weapon,MDF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
255,254,Pronghorn,Parker Mtn,Any Legal Weapon,MDF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
256,255,Pronghorn,Parker Mtn,Any Legal Weapon,SFW,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
257,256,Pronghorn,Parker Mtn,Any Legal Weapon,SFW,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
258,257,Pronghorn,Parker Mtn,Any Legal Weapon,SFW,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
259,258,Pronghorn,Pine Valley,Any Legal Weapon,MDF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
260,259,Pronghorn,Pine Valley,Any Legal Weapon,SFW,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
261,260,Pronghorn,"San Rafael, North",Any Legal Weapon,NWTF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
262,261,Pronghorn,"San Rafael, North",Any Legal Weapon,NWTF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
263,262,Pronghorn,"San Rafael, North",Any Legal Weapon,SFW,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
264,263,Pronghorn,"San Rafael, North",Any Legal Weapon,NWTF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
265,264,Pronghorn,"San Rafael, North",Any Legal Weapon,SFW,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
266,265,Pronghorn,Southwest Desert,Any Legal Weapon,DSC,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
267,266,Pronghorn,Southwest Desert,Any Legal Weapon,UAA,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
268,267,Pronghorn,Southwest Desert,Any Legal Weapon,NWTF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
269,268,Pronghorn,Southwest Desert,Any Legal Weapon,MDF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
270,269,Pronghorn,Southwest Desert,Any Legal Weapon,NWTF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
271,270,Pronghorn,Southwest Desert,Any Legal Weapon,SFW,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
272,271,Pronghorn,Southwest Desert,Any Legal Weapon,MDF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
273,272,Pronghorn,Southwest Desert,Any Legal Weapon,RMEF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
274,273,Pronghorn,Vernal,Any Legal Weapon,WCF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
275,274,Pronghorn,Vernal,Any Legal Weapon,WCF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
276,275,Pronghorn,Vernal,Any Legal Weapon,SCI,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
277,276,Pronghorn,Vernal,Any Legal Weapon,MDF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
278,277,Pronghorn,Vernal,Any Legal Weapon,NWTF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
279,278,Pronghorn,"West Desert, Riverbed",Any Legal Weapon,NWTF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
280,279,Pronghorn,"West Desert, Riverbed",Any Legal Weapon,MDF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
281,280,Pronghorn,"West Desert, Riverbed",Any Legal Weapon,SFW,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
282,281,Pronghorn,"West Desert, Riverbed",Any Legal Weapon,NWTF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
283,282,Pronghorn,"West Desert, Rush Valley",Any Legal Weapon,SFW,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
284,283,Pronghorn,"West Desert, Rush Valley",Any Legal Weapon,MDF,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
285,284,Pronghorn,"West Desert, Snake Valley",Any Legal Weapon,SFW,PB5039,PB,,,,138,processed_data/boundaries/PB5039.geojson,blank_hunt_name;blank_weapon;blank_sex
286,285,Pronghorn,"West Desert, Snake Valley",Any Legal Weapon,MDF,PB1000,PB,Statewide,Buck,,5134,processed_data/boundaries/PB1000.geojson,blank_weapon
287,286,Pronghorn,"West Desert, Snake Valley",Any Legal Weapon,RMEF,PB1000,PB,,,,5134,processed_data/boundaries/PB1000.geojson,blank_hunt_name;blank_weapon;blank_sex
288,287,Pronghorn,"West Desert, Snake Valley",Any Legal Weapon,SFW,PB1000,PB,,,,5134,processed_data/boundaries/PB1000.geojson,blank_hunt_name;blank_weapon;blank_sex
289,288,Pronghorn,"West Desert, Snake Valley",Any Legal Weapon,SFW,PB1000,PB,,,,5134,processed_data/boundaries/PB1000.geojson,blank_hunt_name;blank_weapon;blank_sex
290,289,Pronghorn,Statewide,,MDF,PB1000,PB,,,,5134,processed_data/boundaries/PB1000.geojson,blank_hunt_name;blank_weapon;blank_sex
