hunt_code,issue,value,sample_hunt_name
BR7117,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Diamond Mtn/vernal/bonanza
BR7118,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Yellowstone
BR7119,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Wasatch Mtns, Avintaquin/currant Creek"
BR7120,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Wasatch Mtns, West-central"
BR7121,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Cache/ogden
BR7122,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Chalk Creek/east Canyon/morgan-south Rich
BR7123,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Kamas/north Slope, Summit"
BR7124,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Fillmore, Pahvant"
BR7125,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Monroe
BR7200,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Beaver
BR7201,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, Bitter Creek/south"
BR7203,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Manti North
BR7204,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Manti South/san Rafael North
BR7205,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Nebo
BR7207,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Fillmore, Pahvant"
BR7208,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,La Sal
BR7210,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Mt Dutton
BR7211,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Nine Mile
BR7212,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"North Slope, Three Corners/west Daggett"
BR7213,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Panguitch Lake/zion
BR7214,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Paunsaugunt
BR7215,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Boulder/kaiparowits
BR7216,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Fishlake/thousand Lakes
BR7217,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,San Juan
BR7218,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Diamond Mtn/vernal/bonanza
BR7219,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Yellowstone
BR7220,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Wasatch Mtns, Avintaquin/currant Creek"
BR7221,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Wasatch Mtns, West-central"
BR7224,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, Little Creek Roadless"
BR7225,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, Little Creek Roadless"
BR7228,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Cache/ogden
BR7229,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Kamas/north Slope, Summit"
BR7237,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Monroe
BR7300,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, Bitter Creek/south"
BR7301,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, Little Creek Roadless"
BR7303,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Manti North
BR7304,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Manti South/san Rafael North
BR7305,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Nebo
BR7308,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"North Slope, Three Corners/west Daggett"
BR7309,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Panguitch Lake/zion
BR7310,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Boulder/kaiparowits
BR7311,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Fishlake/thousand Lakes
BR7312,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,San Juan
BR7313,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Diamond Mtn/vernal/bonanza
BR7314,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Yellowstone
BR7315,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Wasatch Mtns, Avintaquin/currant Creek"
BR7316,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Wasatch Mtns, West-central"
BR7317,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Nine Mile
BR7318,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Beaver
BR7320,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Cache/ogden
BR7321,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Kamas/north Slope, Summit"
BR7322,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Mt Dutton
BR7323,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Paunsaugunt
BR7325,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Chalk Creek/east Canyon/morgan-south Rich
DB1000,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Henry Mtns
DB1001,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Paunsaugunt
DB1002,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Antelope Island
DB1003,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Henry Mtns
DB1004,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Paunsaugunt
DB1005,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Henry Mtns
DB1006,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Paunsaugunt
DB1007,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Henry Mtns
DB1008,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Paunsaugunt
DB1009,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Henry Mtns
DB1010,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Paunsaugunt
DB1011,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Book Cliffs
DB1012,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Fillmore, Oak Creek Le"
DB1013,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Dolores Triangle
DB1014,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"San Juan, Elk Ridge"
DB1015,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Diamond Mtn
DB1016,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"West Desert, Vernon"
DB1017,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, North"
DB1018,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, South"
DB1019,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Fillmore, Oak Creek Le"
DB1020,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Dolores Triangle
DB1022,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"San Juan, Elk Ridge"
DB1023,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Diamond Mtn
DB1024,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"West Desert, Vernon"
DB1025,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Book Cliffs
DB1026,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Cache, Crawford Mtn"
DB1028,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Fillmore
DB1029,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Fillmore, Oak Creek Le"
DB1030,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Kamas
DB1031,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Dolores Triangle
DB1032,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Monroe
DB1033,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Nine Mile
DB1034,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Pine Valley
DB1037,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"San Juan, Elk Ridge"
DB1038,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Diamond Mtn
DB1039,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Yellowstone
DB1040,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Southwest Desert
DB1041,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Wasatch Mtns, East"
DB1042,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"West Desert, Vernon"
DB1043,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Zion
DB1044,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Book Cliffs
DB1045,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Fillmore, Oak Creek Le"
DB1046,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"San Juan, Elk Ridge"
DB1047,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Diamond Mtn
DB1048,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"West Desert, Vernon"
DB1053,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Mt Dutton
DB1054,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Ogden
DB1055,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Fishlake
DB1058,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Paunsaugunt
DB1065,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,North Slope
DB1073,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Paunsaugunt
DB1074,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Paunsaugunt
DB1077,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Box Elder
DB1078,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Cache
DB1079,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Manti/san Rafael
DB1080,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Nebo
DB1081,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,La Sal Mtns
DB1083,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Panguitch Lake
DB1084,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Boulder/kaiparowits
DB1085,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"San Juan, Abajo Mtns"
DB1086,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Vernal/bonanza
DB1087,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Wasatch Mtns, West"
DB1090,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Book Cliffs, Floy Canyon"
DB1091,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Kaiparowits
DB1100,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Chalk Creek
DB1101,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,East Canyon
DB1103,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Morgan-south Rich
DB1105,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,East Canyon
DB1106,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Thousand Lakes
DB1107,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Thousand Lakes
DB1108,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Thousand Lakes
DB1110,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Beaver, East"
DB1111,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"Beaver, West"
DB1112,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"West Desert, Swasey"
DB1113,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Oquirrh/tintic
DB1114,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Cedar/stansbury
DB1115,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Little Rockies
DB1116,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"San Juan, Mancos Mesa"
DB1119,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Moab Valley
DB1120,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Castle Valley
DB1200,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Alton
DB1201,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Alton
DB1202,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Antelope Creek
DB1203,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Avintaquin Canyon
DB1204,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Bally Watts
DB1205,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Bar J Ranch
DB1206,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Bear Mountain
DB1207,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Bear Springs
DB1208,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Blackhawk
DB1209,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Blind Springs
DB1211,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Blue Spring Hills
DB1212,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Bluebell
DB1213,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Boobe Hole
DB1215,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Buckhorn Ranch
DB1216,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Castle Valley Outdoors
DB1217,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Causey Spring
DB1219,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Chimney Rock
DB1222,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Coldwater Ranch
DB1224,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Cotton Thomas
DB1227,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Deer Haven
DB1228,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Deseret
DB1229,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Dilly Ranch
DB1230,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Double R Ranch
DB1231,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Dove Creek
DB1232,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Durst Mountain
DB1233,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,East Fork Chalk Creek
DB1234,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,East Zion
DB1236,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Engineer Springs
DB1237,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Ensign Ranches
DB1238,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Folley Ridge
DB1239,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Fort Ranch
DB1240,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,George Creek
DB1241,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Golden Spike
DB1242,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Grass Valley/clark Canyon
DB1243,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Grazing Pasture
DB1244,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Green Canyon
DB1245,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Guildersleeve
DB1246,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Hardscrabble
DB1248,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Heaston East
DB1249,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Hiawatha
DB1250,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Indian Creek
DB1251,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Indian Head
DB1252,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Ingham Peak
DB1253,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Circle E Ranch
DB1255,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Johnson Mountain Ranch
DB1256,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Junction Valley
DB1258,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Little Red Creek
DB1259,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Tunnel Hollow
DB1260,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Middle Ridge
DB1261,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Minnie Maud Ridge
DB1263,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Moon Ranch
DB1264,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Mountain Meadow
DB1265,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Mountain Top
DB1266,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Mt Carmel
DB1269,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,North Promontory
DB1270,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Nucor West
DB1271,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Oak Ranch
DB1272,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Old Woman Plateau
DB1273,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Park Valley Hereford
DB1274,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Patmos Ridge
DB1275,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Pine Canyon
DB1277,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Pocatello Valley
DB1279,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Preston Nutter Ranch
DB1280,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Promontory Point
DB1281,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Rattlesnake Pass
DB1282,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Redd Ranches
DB1283,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Roan Cliffs
DB1285,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Sand Creek
DB1286,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Pisgah Mountain
DB1287,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Scofield Canyons
DB1288,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Scofield West
DB1289,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Sharp Mountain
DB1290,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Skull Crack
DB1291,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Skull Valley South
DB1292,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Soldier Summit
DB1293,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,South Canyon
DB1294,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Spring Creek Acres
DB1295,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Spring Creek/dodge
DB1298,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Strawberry Ridge
DB1299,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Summit Point
DB1300,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Thatcher Mountain
DB1301,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Three C
DB1303,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,North Peaks
DB1304,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Two Bear
DB1305,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Wallsburg
DB1306,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Washakie
DB1308,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,West Hills
DB1309,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,West Willow Creek Ranch
DB1310,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,White's Valley
DB1312,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Woodruff Creek South
DB1317,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Jacob's Creek
DB1320,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Deer Creek
DB1322,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Pahvant Ensign
DB1323,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Rock House
DB1324,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Royal Ivory Outfitters
DB1325,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Double Cone
DB1326,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Rosette
DB1327,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Mountain Sky Ranch
DB1328,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Clear Creek
DB1330,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Iron Spring
DB1331,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Raft River
DB1332,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,West Ridge
DB1333,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,5s
DB1334,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Alton
DB1335,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Big Piney Ranch
DB1336,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,First Light
DB1337,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Little Pole Canyon
DB1341,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Dry Creek
DB1342,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Faust Valley
DB1343,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Red Iron
DB1344,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Salt Wells
DB1345,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Diamond Mountain Cwmu
DB1347,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,The Rose Of Snowville
DB1348,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Kimberly
DB1349,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Weber Florence Creek/stillman Creek
MB6000,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Cache
MB6001,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Chalk Creek
MB6002,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,East Canyon
MB6003,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"East Canyon, Morgan-summit"
MB6004,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Kamas
MB6005,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Morgan-south Rich
MB6006,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"North Slope, Summit"
MB6007,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,"North Slope, Three Corners/west Daggett"
MB6008,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Ogden
MB6009,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Diamond Mtn/vernal
MB6010,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Yellowstone
MB6011,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Wasatch Mtns/central Mtns
MB6012,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Box Elder
MB6200,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Bear Springs
MB6202,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Causey Spring
MB6206,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Deseret
MB6207,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Durst Mountain
MB6208,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,East Fork Chalk Creek
MB6209,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Ensign Ranches
MB6211,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Grass Valley/clark Canyon
MB6217,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Sharp Mountain
MB6219,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Skull Crack
MB6220,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,South Canyon
MB6222,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Strawberry Ridge
MB6223,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Three C
MB6224,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Two Bear
MB6225,supplemental_row_has_draw_success_fields,supplemental_permit_total_row,Wallsburg
