excel_row,no,status,score,notes,before_species,after_species,area,condition,organization,before_hunt_code,after_hunt_code,before_hunt_name,after_hunt_name,before_sex,after_sex,before_weapon,after_weapon,before_boundary_id,after_boundary_id,before_map_geojson,after_map_geojson
12,11,PATCHED_CURRENT_CODE,1.760,species;area=1.000;any_legal_weapon;conservation_weight;current_code_exact;geo;second=1.397,Elk,Elk,La Sal,Any Legal Weapon,WCF,EA1180,EA1180,La Sal (Conservation),La Sal (Conservation),Antlerless,Antlerless,Any Legal Weapon,Any Legal Weapon,5111,5111,processed_data/boundaries/EA1180.geojson,processed_data/boundaries/EA1180.geojson
13,12,PATCHED_CURRENT_CODE,1.760,species;area=1.000;any_legal_weapon;conservation_weight;current_code_exact;geo;second=1.397,Elk,Elk,La Sal,Any Legal Weapon,WCF,EA1180,EA1180,La Sal (Conservation),La Sal (Conservation),Antlerless,Antlerless,Any Legal Weapon,Any Legal Weapon,5111,5111,processed_data/boundaries/EA1180.geojson,processed_data/boundaries/EA1180.geojson
14,13,PATCHED_CURRENT_CODE,1.760,species;area=1.000;any_legal_weapon;conservation_weight;current_code_exact;geo;second=1.460,Elk,Elk,Manti,Any Legal Weapon,SFW,EA1271,EA1271,Manti (Conservation),Manti (Conservation),Antlerless,Antlerless,Any Legal Weapon,Any Legal Weapon,5115,5115,processed_data/boundaries/EA1271.geojson,processed_data/boundaries/EA1271.geojson
15,14,PATCHED_CURRENT_CODE,1.760,species;area=1.000;any_legal_weapon;conservation_weight;current_code_exact;geo;second=1.460,Elk,Elk,Manti,Any Legal Weapon,MDF,EA1271,EA1271,Manti (Conservation),Manti (Conservation),Antlerless,Antlerless,Any Legal Weapon,Any Legal Weapon,5115,5115,processed_data/boundaries/EA1271.geojson,processed_data/boundaries/EA1271.geojson
16,15,PATCHED_CURRENT_CODE,1.760,species;area=1.000;any_legal_weapon;conservation_weight;current_code_exact;geo;second=1.460,Elk,Elk,Manti,Any Legal Weapon,SFW,EA1271,EA1271,Manti (Conservation),Manti (Conservation),Antlerless,Antlerless,Any Legal Weapon,Any Legal Weapon,5115,5115,processed_data/boundaries/EA1271.geojson,processed_data/boundaries/EA1271.geojson
17,16,PATCHED_CURRENT_CODE,1.760,species;area=1.000;any_legal_weapon;conservation_weight;current_code_exact;geo;second=1.460,Elk,Elk,Manti,Any Legal Weapon,SFW,EA1271,EA1271,Manti (Conservation),Manti (Conservation),Antlerless,Antlerless,Any Legal Weapon,Any Legal Weapon,5115,5115,processed_data/boundaries/EA1271.geojson,processed_data/boundaries/EA1271.geojson
18,17,PATCHED_CURRENT_CODE,1.760,species;area=1.000;any_legal_weapon;conservation_weight;current_code_exact;geo;second=1.332,Elk,Elk,Wasatch Mtns,Any Legal Weapon,RMEF,EA2045,EA2045,Wasatch Mtns (Conservation),Wasatch Mtns (Conservation),Antlerless,Antlerless,Any Legal Weapon,Any Legal Weapon,5118,5118,processed_data/boundaries/EA2045.geojson,processed_data/boundaries/EA2045.geojson
19,18,PATCHED_CURRENT_CODE,1.760,species;area=1.000;any_legal_weapon;conservation_weight;current_code_exact;geo;second=1.332,Elk,Elk,Wasatch Mtns,Any Legal Weapon,MDF,EA2045,EA2045,Wasatch Mtns (Conservation),Wasatch Mtns (Conservation),Antlerless,Antlerless,Any Legal Weapon,Any Legal Weapon,5118,5118,processed_data/boundaries/EA2045.geojson,processed_data/boundaries/EA2045.geojson
20,19,PATCHED_CURRENT_CODE,1.760,species;area=1.000;any_legal_weapon;conservation_weight;current_code_exact;geo;second=1.332,Elk,Elk,Wasatch Mtns,Any Legal Weapon,SFW,EA2045,EA2045,Wasatch Mtns (Conservation),Wasatch Mtns (Conservation),Antlerless,Antlerless,Any Legal Weapon,Any Legal Weapon,5118,5118,processed_data/boundaries/EA2045.geojson,processed_data/boundaries/EA2045.geojson
21,20,PATCHED_CURRENT_CODE,1.760,species;area=1.000;any_legal_weapon;conservation_weight;current_code_exact;geo;second=1.332,Elk,Elk,Wasatch Mtns,Any Legal Weapon,SFW,EA2045,EA2045,Wasatch Mtns (Conservation),Wasatch Mtns (Conservation),Antlerless,Antlerless,Any Legal Weapon,Any Legal Weapon,5118,5118,processed_data/boundaries/EA2045.geojson,processed_data/boundaries/EA2045.geojson
22,21,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.152,Black Bear,Black Bear,Beaver,Multiseason,MDF,BR7318,BR7318,Beaver,Beaver,Either Sex,Either Sex,Multiseason,Multiseason,628,628,processed_data/boundaries/BR7318.geojson,processed_data/boundaries/BR7318.geojson
23,22,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.360,Black Bear,Black Bear,"Book Cliffs, Bitter Creek/South",Multiseason,SFW,BR7300,BR7300,Book Cliffs Bitter Creek/South,Book Cliffs Bitter Creek/South,Either Sex,Either Sex,Multiseason,Multiseason,449,449,processed_data/boundaries/BR7300.geojson,processed_data/boundaries/BR7300.geojson
24,23,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.360,Black Bear,Black Bear,"Book Cliffs, Bitter Creek/South",Multiseason,MDF,BR7300,BR7300,Book Cliffs Bitter Creek/South,Book Cliffs Bitter Creek/South,Either Sex,Either Sex,Multiseason,Multiseason,449,449,processed_data/boundaries/BR7300.geojson,processed_data/boundaries/BR7300.geojson
25,24,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.360,Black Bear,Black Bear,"Book Cliffs, Bitter Creek/South",Multiseason,SFW,BR7300,BR7300,Book Cliffs Bitter Creek/South,Book Cliffs Bitter Creek/South,Either Sex,Either Sex,Multiseason,Multiseason,449,449,processed_data/boundaries/BR7300.geojson,processed_data/boundaries/BR7300.geojson
26,25,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.360,Black Bear,Black Bear,"Book Cliffs, Bitter Creek/South",Multiseason,SFW,BR7300,BR7300,Book Cliffs Bitter Creek/South,Book Cliffs Bitter Creek/South,Either Sex,Either Sex,Multiseason,Multiseason,449,449,processed_data/boundaries/BR7300.geojson,processed_data/boundaries/BR7300.geojson
27,26,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.360,Black Bear,Black Bear,"Book Cliffs, Little Creek Roadless",Multiseason,SFW,BR7301,BR7301,Book Cliffs Little Creek Roadless,Book Cliffs Little Creek Roadless,Either Sex,Either Sex,Multiseason,Multiseason,12,12,processed_data/boundaries/BR7301.geojson,processed_data/boundaries/BR7301.geojson
28,27,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.194,Black Bear,Black Bear,Boulder/Kaiparowits,Multiseason,SFW,BR7310,BR7310,Boulder/Kaiparowits,Boulder/Kaiparowits,Either Sex,Either Sex,Multiseason,Multiseason,455,455,processed_data/boundaries/BR7310.geojson,processed_data/boundaries/BR7310.geojson
29,28,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.194,Black Bear,Black Bear,Boulder/Kaiparowits,Multiseason,SFW,BR7310,BR7310,Boulder/Kaiparowits,Boulder/Kaiparowits,Either Sex,Either Sex,Multiseason,Multiseason,455,455,processed_data/boundaries/BR7310.geojson,processed_data/boundaries/BR7310.geojson
30,29,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.194,Black Bear,Black Bear,Boulder/Kaiparowits,Multiseason,SFW,BR7310,BR7310,Boulder/Kaiparowits,Boulder/Kaiparowits,Either Sex,Either Sex,Multiseason,Multiseason,455,455,processed_data/boundaries/BR7310.geojson,processed_data/boundaries/BR7310.geojson
31,30,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.194,Black Bear,Black Bear,Boulder/Kaiparowits,Multiseason,SFW,BR7310,BR7310,Boulder/Kaiparowits,Boulder/Kaiparowits,Either Sex,Either Sex,Multiseason,Multiseason,455,455,processed_data/boundaries/BR7310.geojson,processed_data/boundaries/BR7310.geojson
32,31,REVIEW_TIE,1.460,species;area=1.000;multiseason;conservation_weight;geo;second=1.382,Black Bear,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,Multiseason,DSC,BR7310,BR7310,Boulder/Kaiparowits,Boulder/Kaiparowits,Either Sex,Either Sex,Multiseason,Multiseason,455,455,processed_data/boundaries/BR7310.geojson,processed_data/boundaries/BR7310.geojson
33,32,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.205,Black Bear,Black Bear,Diamond Mtn/Vernal/Bonanza,Multiseason,MDF,BR7313,BR7313,Diamond Mtn/Vernal/Bonanza,Diamond Mtn/Vernal/Bonanza,Either Sex,Either Sex,Multiseason,Multiseason,444,444,processed_data/boundaries/BR7313.geojson,processed_data/boundaries/BR7313.geojson
34,33,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.205,Black Bear,Black Bear,Diamond Mtn/Vernal/Bonanza,Multiseason,SFW,BR7313,BR7313,Diamond Mtn/Vernal/Bonanza,Diamond Mtn/Vernal/Bonanza,Either Sex,Either Sex,Multiseason,Multiseason,444,444,processed_data/boundaries/BR7313.geojson,processed_data/boundaries/BR7313.geojson
35,34,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.220,Black Bear,Black Bear,Fishlake/Thousand Lakes,Multiseason,SFW,BR7311,BR7311,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,Either Sex,Either Sex,Multiseason,Multiseason,175,175,processed_data/boundaries/BR7311.geojson,processed_data/boundaries/BR7311.geojson
36,35,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.232,Black Bear,Black Bear,"Kamas/North Slope, Summit",Multiseason,MDF,BR7321,BR7321,Kamas/North Slope Summit,Kamas/North Slope Summit,Either Sex,Either Sex,Multiseason,Multiseason,5101,5101,processed_data/boundaries/BR7321.geojson,processed_data/boundaries/BR7321.geojson
37,36,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.237,Black Bear,Black Bear,La Sal,Multiseason,UHA,BR7307,BR7307,La Sal,La Sal,Either Sex,Either Sex,Multiseason,Multiseason,684,684,processed_data/boundaries/BR7307.geojson,processed_data/boundaries/BR7307.geojson
38,37,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.237,Black Bear,Black Bear,La Sal,Multiseason,SFW,BR7307,BR7307,La Sal,La Sal,Either Sex,Either Sex,Multiseason,Multiseason,684,684,processed_data/boundaries/BR7307.geojson,processed_data/boundaries/BR7307.geojson
39,38,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.237,Black Bear,Black Bear,La Sal,Multiseason,MDF,BR7307,BR7307,La Sal,La Sal,Either Sex,Either Sex,Multiseason,Multiseason,684,684,processed_data/boundaries/BR7307.geojson,processed_data/boundaries/BR7307.geojson
40,39,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.237,Black Bear,Black Bear,La Sal,Multiseason,SFW,BR7307,BR7307,La Sal,La Sal,Either Sex,Either Sex,Multiseason,Multiseason,684,684,processed_data/boundaries/BR7307.geojson,processed_data/boundaries/BR7307.geojson
41,40,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.397,Black Bear,Black Bear,Manti-North,Multiseason,UHA,BR7303,BR7303,Manti North,Manti North,Either Sex,Either Sex,Multiseason,Multiseason,52,52,processed_data/boundaries/BR7303.geojson,processed_data/boundaries/BR7303.geojson
42,41,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.397,Black Bear,Black Bear,Manti-North,Multiseason,MDF,BR7303,BR7303,Manti North,Manti North,Either Sex,Either Sex,Multiseason,Multiseason,52,52,processed_data/boundaries/BR7303.geojson,processed_data/boundaries/BR7303.geojson
43,42,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.397,Black Bear,Black Bear,Manti-North,Multiseason,SFW,BR7303,BR7303,Manti North,Manti North,Either Sex,Either Sex,Multiseason,Multiseason,52,52,processed_data/boundaries/BR7303.geojson,processed_data/boundaries/BR7303.geojson
44,43,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.397,Black Bear,Black Bear,"Manti-South/San Rafael, North",Multiseason,MDF,BR7304,BR7304,Manti South/San Rafael North,Manti South/San Rafael North,Either Sex,Either Sex,Multiseason,Multiseason,744,744,processed_data/boundaries/BR7304.geojson,processed_data/boundaries/BR7304.geojson
45,44,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.397,Black Bear,Black Bear,"Manti-South/San Rafael, North",Multiseason,MDF,BR7304,BR7304,Manti South/San Rafael North,Manti South/San Rafael North,Either Sex,Either Sex,Multiseason,Multiseason,744,744,processed_data/boundaries/BR7304.geojson,processed_data/boundaries/BR7304.geojson
46,45,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.397,Black Bear,Black Bear,"Manti-South/San Rafael, North",Multiseason,SFW,BR7304,BR7304,Manti South/San Rafael North,Manti South/San Rafael North,Either Sex,Either Sex,Multiseason,Multiseason,744,744,processed_data/boundaries/BR7304.geojson,processed_data/boundaries/BR7304.geojson
47,46,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.169,Black Bear,Black Bear,Nebo,Multiseason,UHA,BR7305,BR7305,Nebo,Nebo,Either Sex,Either Sex,Multiseason,Multiseason,616,616,processed_data/boundaries/BR7305.geojson,processed_data/boundaries/BR7305.geojson
48,47,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.190,Black Bear,Black Bear,Nine Mile,Multiseason,SFW,BR7317,BR7317,Nine Mile,Nine Mile,Either Sex,Either Sex,Multiseason,Multiseason,615,615,processed_data/boundaries/BR7317.geojson,processed_data/boundaries/BR7317.geojson
49,48,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.190,Black Bear,Black Bear,Nine Mile,Multiseason,SFW,BR7317,BR7317,Nine Mile,Nine Mile,Either Sex,Either Sex,Multiseason,Multiseason,615,615,processed_data/boundaries/BR7317.geojson,processed_data/boundaries/BR7317.geojson
50,49,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.190,Black Bear,Black Bear,Nine Mile,Multiseason,SFW,BR7317,BR7317,Nine Mile,Nine Mile,Either Sex,Either Sex,Multiseason,Multiseason,615,615,processed_data/boundaries/BR7317.geojson,processed_data/boundaries/BR7317.geojson
51,50,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.190,Black Bear,Black Bear,Nine Mile,Multiseason,SFW,BR7317,BR7317,Nine Mile,Nine Mile,Either Sex,Either Sex,Multiseason,Multiseason,615,615,processed_data/boundaries/BR7317.geojson,processed_data/boundaries/BR7317.geojson
52,51,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.208,Black Bear,Black Bear,Panguitch Lake/Zion,Multiseason,MDF,BR7309,BR7309,Panguitch Lake/Zion,Panguitch Lake/Zion,Either Sex,Either Sex,Multiseason,Multiseason,462,462,processed_data/boundaries/BR7309.geojson,processed_data/boundaries/BR7309.geojson
53,52,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.217,Black Bear,Black Bear,Paunsaugunt,Multiseason,SFW,BR7323,BR7323,Paunsaugunt,Paunsaugunt,Either Sex,Either Sex,Multiseason,Multiseason,163,163,processed_data/boundaries/BR7323.geojson,processed_data/boundaries/BR7323.geojson
54,53,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.218,Black Bear,Black Bear,San Juan,Multiseason,UHA,BR7312,BR7312,San Juan,San Juan,Either Sex,Either Sex,Multiseason,Multiseason,710,710,processed_data/boundaries/BR7312.geojson,processed_data/boundaries/BR7312.geojson
55,54,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.218,Black Bear,Black Bear,San Juan,Multiseason,SFW,BR7312,BR7312,San Juan,San Juan,Either Sex,Either Sex,Multiseason,Multiseason,710,710,processed_data/boundaries/BR7312.geojson,processed_data/boundaries/BR7312.geojson
56,55,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.218,Black Bear,Black Bear,San Juan,Multiseason,SFW,BR7312,BR7312,San Juan,San Juan,Either Sex,Either Sex,Multiseason,Multiseason,710,710,processed_data/boundaries/BR7312.geojson,processed_data/boundaries/BR7312.geojson
57,56,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.218,Black Bear,Black Bear,San Juan,Multiseason,MDF,BR7312,BR7312,San Juan,San Juan,Either Sex,Either Sex,Multiseason,Multiseason,710,710,processed_data/boundaries/BR7312.geojson,processed_data/boundaries/BR7312.geojson
58,57,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.270,Black Bear,Black Bear,"Wasatch Mtns, Avintaquin/Currant Creek",Multiseason,SFW,BR7315,BR7315,Wasatch Mtns Avintaquin/Currant Creek,Wasatch Mtns Avintaquin/Currant Creek,Either Sex,Either Sex,Multiseason,Multiseason,463,463,processed_data/boundaries/BR7315.geojson,processed_data/boundaries/BR7315.geojson
59,58,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.270,Black Bear,Black Bear,"Wasatch Mtns, Avintaquin/Currant Creek",Multiseason,SFW,BR7315,BR7315,Wasatch Mtns Avintaquin/Currant Creek,Wasatch Mtns Avintaquin/Currant Creek,Either Sex,Either Sex,Multiseason,Multiseason,463,463,processed_data/boundaries/BR7315.geojson,processed_data/boundaries/BR7315.geojson
60,59,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.270,Black Bear,Black Bear,"Wasatch Mtns, West-Central",Multiseason,UAA,BR7316,BR7316,Wasatch Mtns West-Central,Wasatch Mtns West-Central,Either Sex,Either Sex,Multiseason,Multiseason,448,448,processed_data/boundaries/BR7316.geojson,processed_data/boundaries/BR7316.geojson
61,60,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.270,Black Bear,Black Bear,"Wasatch Mtns, West-Central",Multiseason,SFW,BR7316,BR7316,Wasatch Mtns West-Central,Wasatch Mtns West-Central,Either Sex,Either Sex,Multiseason,Multiseason,448,448,processed_data/boundaries/BR7316.geojson,processed_data/boundaries/BR7316.geojson
62,61,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.270,Black Bear,Black Bear,"Wasatch Mtns, West-Central",Multiseason,MDF,BR7316,BR7316,Wasatch Mtns West-Central,Wasatch Mtns West-Central,Either Sex,Either Sex,Multiseason,Multiseason,448,448,processed_data/boundaries/BR7316.geojson,processed_data/boundaries/BR7316.geojson
63,62,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.270,Black Bear,Black Bear,"Wasatch Mtns, West-Central",Multiseason,SFW,BR7316,BR7316,Wasatch Mtns West-Central,Wasatch Mtns West-Central,Either Sex,Either Sex,Multiseason,Multiseason,448,448,processed_data/boundaries/BR7316.geojson,processed_data/boundaries/BR7316.geojson
64,63,PATCHED_CURRENT_CODE,1.760,species;area=1.000;multiseason;conservation_weight;current_code_exact;geo;second=1.152,Black Bear,Black Bear,Yellowstone,Multiseason,WCF,BR7314,BR7314,Yellowstone,Yellowstone,Either Sex,Either Sex,Multiseason,Multiseason,613,613,processed_data/boundaries/BR7314.geojson,processed_data/boundaries/BR7314.geojson
65,64,PATCHED_CURRENT_CODE,1.050,species;area=0.500;current_code_exact;geo;second=1.166,Black Bear,Black Bear,Statewide,Multiseason,MDF,BR1000,BR1000,Statewide,Statewide,Either Sex,Either Sex,Multiseason,Any Legal Weapon,5001,5001,processed_data/boundaries/BR1000.geojson,processed_data/boundaries/BR1000.geojson
66,65,REVIEW_TIE,1.460,species;area=1.000;any_legal_weapon;conservation_weight;geo;second=1.382,Bison,Bison,"Book Cliffs, Bitter Creek, Hunter's Choice",Any Legal Weapon,UWSF,BR1000,BR1000,,,,,,,5001,5001,processed_data/boundaries/BR1000.geojson,processed_data/boundaries/BR1000.geojson
67,66,REVIEW_TIE,1.460,species;area=1.000;any_legal_weapon;conservation_weight;geo;second=1.382,Bison,Bison,"Book Cliffs, Little Creek/South, Hunter's Choice",Any Legal Weapon,SFW,BR1000,BR1000,,,,,,,5001,5001,processed_data/boundaries/BR1000.geojson,processed_data/boundaries/BR1000.geojson
68,67,REVIEW_TIE,1.460,species;area=1.000;any_legal_weapon;conservation_weight;geo;second=1.460,Bison,Bison,"Henry Mtns, Hunter's Choice (early)",Any Legal Weapon,RMEF,BR1000,BR1000,,,,,,,5001,5001,processed_data/boundaries/BR1000.geojson,processed_data/boundaries/BR1000.geojson
69,68,REVIEW_TIE,1.460,species;area=1.000;any_legal_weapon;conservation_weight;geo;second=1.460,Bison,Bison,"Henry Mtns, Cow Only (late)",Any Legal Weapon,SFW,BR1000,BR1000,,,,,,,5001,5001,processed_data/boundaries/BR1000.geojson,processed_data/boundaries/BR1000.geojson
70,69,REVIEW_TIE,1.460,species;area=1.000;any_legal_weapon;conservation_weight;geo;second=1.460,Bison,Bison,"Henry Mtns, Hunter's Choice (late)",Any Legal Weapon,SCI,BI1000,BI1000,Statewide,Statewide,Hunters Choice,Hunters Choice,Any Legal Weapon,Any Legal Weapon,5000,5000,processed_data/boundaries/BI1000.geojson,processed_data/boundaries/BI1000.geojson
71,70,PATCHED_CURRENT_CODE,1.584,species;area=0.581;any_legal_weapon;conservation_weight;current_code_exact;geo;second=1.167,Bison,Bison,Statewide,Any Legal Weapon,SFW,BI1000,BI1000,Statewide,Statewide,Hunters Choice,Hunters Choice,Any Legal Weapon,Any Legal Weapon,5000,5000,processed_data/boundaries/BI1000.geojson,processed_data/boundaries/BI1000.geojson
72,71,REVIEW_TIE,1.460,species;area=1.000;any_legal_weapon;conservation_weight;geo;second=1.434,Desert Bighorn Sheep,Desert Bighorn Sheep,"Kaiparowits, East",Any Legal Weapon,UWSF,DB1000,DB1000,Henry Mtns,Henry Mtns,Buck,Buck,Hunter's Choice,Hunter's Choice,94,94,processed_data/boundaries/DB1000.geojson|processed_data/boundaries/DB1003.geojson|processed_data/boundaries/DB1005.geojson|processed_data/boundaries/DB1007.geojson,processed_data/boundaries/DB1000.geojson|processed_data/boundaries/DB1003.geojson|processed_data/boundaries/DB1005.geojson|processed_data/boundaries/DB1007.geojson
