"row","source_no","hunt_code","reason","species","area","condition","db_species","db_weapon","db_hunt_name"
"212","211","MB6006","code_content_mismatch","Moose","North Slope, Summit","Any Legal Weapon","Bull","Moose","""North Slope"
"220","219","GO6820","code_content_mismatch","Mountain Goat","Wasatch Mtns, Timpanogos","Any Legal Weapon","Either Sex","Mountain Goat","""Wasatch Mtns"
"224","223","PB5026","code_content_mismatch","Pronghorn","Book Cliffs, Bitter Creek","Any Legal Weapon","Buck","Pronghorn","""Book Cliffs"
"225","224","PB5026","code_content_mismatch","Pronghorn","Book Cliffs, Bitter Creek","Any Legal Weapon","Buck","Pronghorn","""Book Cliffs"
"226","225","PB5026","code_content_mismatch","Pronghorn","Book Cliffs, Bitter Creek","Any Legal Weapon","Buck","Pronghorn","""Book Cliffs"
"227","226","PB5027","code_content_mismatch","Pronghorn","Book Cliffs, South","Any Legal Weapon","Buck","Pronghorn","""Book Cliffs"
"228","227","PB5027","code_content_mismatch","Pronghorn","Book Cliffs, South","Any Legal Weapon","Buck","Pronghorn","""Book Cliffs"
"229","228","PB5028","code_content_mismatch","Pronghorn","Box Elder, Promontory","Any Legal Weapon","Buck","Pronghorn","""Box Elder"
"230","229","PB5029","code_content_mismatch","Pronghorn","Box Elder, Puddle Valley","Any Legal Weapon","Buck","Pronghorn","""Box Elder"
"231","230","PB5030","code_content_mismatch","Pronghorn","Box Elder, Snowville","Any Legal Weapon","Buck","Pronghorn","""Box Elder"
"232","231","PB5030","code_content_mismatch","Pronghorn","Box Elder, Snowville","Any Legal Weapon","Buck","Pronghorn","""Box Elder"
"233","232","PB5031","code_content_mismatch","Pronghorn","Box Elder, West","Any Legal Weapon","Buck","Pronghorn","""Box Elder"
"234","233","PB5031","code_content_mismatch","Pronghorn","Box Elder, West","Any Legal Weapon","Buck","Pronghorn","""Box Elder"
"235","234","PB5033","code_content_mismatch","Pronghorn","Fillmore, Oak Creek South","Any Legal Weapon","Buck","Pronghorn","""Fillmore"
"236","235","PB5033","code_content_mismatch","Pronghorn","Fillmore, Oak Creek South","Any Legal Weapon","Buck","Pronghorn","""Fillmore"
"237","236","PB5033","code_content_mismatch","Pronghorn","Fillmore, Oak Creek South","Any Legal Weapon","Buck","Pronghorn","""Fillmore"
"238","237","PB5035","code_content_mismatch","Pronghorn","La Sal, Potash/South Cisco","Any Legal Weapon","Buck","Pronghorn","""La Sal"
"241","240","PB5037","code_content_mismatch","Pronghorn","Nine Mile, Anthro-Myton Bench","Any Legal Weapon","Buck","Pronghorn","""Nine Mile"
"242","241","PB5037","code_content_mismatch","Pronghorn","Nine Mile, Anthro-Myton Bench","Any Legal Weapon","Buck","Pronghorn","""Nine Mile"
"243","242","PB5037","code_content_mismatch","Pronghorn","Nine Mile, Anthro-Myton Bench","Any Legal Weapon","Buck","Pronghorn","""Nine Mile"
"244","243","PB5037","code_content_mismatch","Pronghorn","Nine Mile, Anthro-Myton Bench","Any Legal Weapon","Buck","Pronghorn","""Nine Mile"
"245","244","PB5037","code_content_mismatch","Pronghorn","Nine Mile, Anthro-Myton Bench","Any Legal Weapon","Buck","Pronghorn","""Nine Mile"
"246","245","PB5037","code_content_mismatch","Pronghorn","Nine Mile, Anthro-Myton Bench","Any Legal Weapon","Buck","Pronghorn","""Nine Mile"
"247","246","PB5037","code_content_mismatch","Pronghorn","Nine Mile, Anthro-Myton Bench","Any Legal Weapon","Buck","Pronghorn","""Nine Mile"
"248","247","PB5038","code_content_mismatch","Pronghorn","Nine Mile, Range Creek","Any Legal Weapon","Buck","Pronghorn","""Nine Mile"
"249","248","PB5039","code_content_mismatch","Pronghorn","North Slope, Summit","Any Legal Weapon","Buck","Pronghorn","""North Slope"
"250","249","PB5040","code_content_mismatch","Pronghorn","North Slope, Three Corners/West Daggett","Any Legal Weapon","Buck","Pronghorn","""North Slope"
"251","250","PB5040","code_content_mismatch","Pronghorn","North Slope, Three Corners/West Daggett","Any Legal Weapon","Buck","Pronghorn","""North Slope"
"252","251","PB5040","code_content_mismatch","Pronghorn","North Slope, Three Corners/West Daggett","Any Legal Weapon","Buck","Pronghorn","""North Slope"
"253","252","PB5041","code_content_mismatch","Pronghorn","Panguitch Lake/Zion, North","Any Legal Weapon","Buck","Pronghorn","""Panguitch Lake/Zion"
"254","253","PB5041","code_content_mismatch","Pronghorn","Panguitch Lake/Zion, North","Any Legal Weapon","Buck","Pronghorn","""Panguitch Lake/Zion"
"261","260","PB5046","code_content_mismatch","Pronghorn","San Rafael, North","Any Legal Weapon","Buck","Pronghorn","""San Rafael"
"262","261","PB5046","code_content_mismatch","Pronghorn","San Rafael, North","Any Legal Weapon","Buck","Pronghorn","""San Rafael"
"263","262","PB5046","code_content_mismatch","Pronghorn","San Rafael, North","Any Legal Weapon","Buck","Pronghorn","""San Rafael"
"264","263","PB5046","code_content_mismatch","Pronghorn","San Rafael, North","Any Legal Weapon","Buck","Pronghorn","""San Rafael"
"265","264","PB5046","code_content_mismatch","Pronghorn","San Rafael, North","Any Legal Weapon","Buck","Pronghorn","""San Rafael"
"279","278","PB5050","code_content_mismatch","Pronghorn","West Desert, Riverbed","Any Legal Weapon","Buck","Pronghorn","""West Desert"
"280","279","PB5050","code_content_mismatch","Pronghorn","West Desert, Riverbed","Any Legal Weapon","Buck","Pronghorn","""West Desert"
"281","280","PB5050","code_content_mismatch","Pronghorn","West Desert, Riverbed","Any Legal Weapon","Buck","Pronghorn","""West Desert"
"282","281","PB5050","code_content_mismatch","Pronghorn","West Desert, Riverbed","Any Legal Weapon","Buck","Pronghorn","""West Desert"
"283","282","PB5051","code_content_mismatch","Pronghorn","West Desert, Rush Valley","Any Legal Weapon","Buck","Pronghorn","""West Desert"
"284","283","PB5051","code_content_mismatch","Pronghorn","West Desert, Rush Valley","Any Legal Weapon","Buck","Pronghorn","""West Desert"
"285","284","PB5052","code_content_mismatch","Pronghorn","West Desert, Snake Valley","Any Legal Weapon","Buck","Pronghorn","""West Desert"
"286","285","PB5052","code_content_mismatch","Pronghorn","West Desert, Snake Valley","Any Legal Weapon","Buck","Pronghorn","""West Desert"
"287","286","PB5052","code_content_mismatch","Pronghorn","West Desert, Snake Valley","Any Legal Weapon","Buck","Pronghorn","""West Desert"
"288","287","PB5052","code_content_mismatch","Pronghorn","West Desert, Snake Valley","Any Legal Weapon","Buck","Pronghorn","""West Desert"
"289","288","PB5052","code_content_mismatch","Pronghorn","West Desert, Snake Valley","Any Legal Weapon","Buck","Pronghorn","""West Desert"
"329","328","TK1007","code_content_mismatch","Turkey","Southern Area","Multiseason","Turkey","Any Legal Weapon","Southern Area"
"330","329","TK1007","code_content_mismatch","Turkey","Southern Area","Multiseason","Turkey","Any Legal Weapon","Southern Area"
"331","330","TK1007","code_content_mismatch","Turkey","Southern Area","Multiseason","Turkey","Any Legal Weapon","Southern Area"
"332","331","TK1007","code_content_mismatch","Turkey","Southern Area","Multiseason","Turkey","Any Legal Weapon","Southern Area"
"333","332","TK1007","code_content_mismatch","Turkey","Southern Area","Multiseason","Turkey","Any Legal Weapon","Southern Area"
"334","333","TK1007","code_content_mismatch","Turkey","Southern Area","Multiseason","Turkey","Any Legal Weapon","Southern Area"
"335","334","TK1007","code_content_mismatch","Turkey","Southern Area","Multiseason","Turkey","Any Legal Weapon","Southern Area"
"336","335","TK1007","code_content_mismatch","Turkey","Southern Area","Multiseason","Turkey","Any Legal Weapon","Southern Area"
