xlsx_row,source_no,hunt_code_written,possible_hunt_codes,match_confidence,species,sex_type,hunt name,season,weapon,organization,review_flags
102,109,DB1016,DB1016,HIGH,Deer,Buck,"West Desert, Vernon",,Archery,MDF,
103,110,DB1016,DB1016,HIGH,Deer,Buck,"West Desert, Vernon",,Archery,SFW,
104,111,DB1016|DB1024|DB1042|DB1048,DB1016|DB1024|DB1042|DB1048,MEDIUM,Deer,Buck,"West Desert, Vernon",,Hunter's Choice,SFW,
105,112,DB1016|DB1024|DB1042|DB1048,DB1016|DB1024|DB1042|DB1048,MEDIUM,Deer,Buck,"West Desert, Vernon",,Hunter's Choice,SFW,
87,94,DB1025,DB1025,HIGH,Deer,Buck,Book Cliffs,,Muzzleloader,UHA,
88,95,DB1025,DB1025,HIGH,Deer,Buck,Book Cliffs,,Muzzleloader,WCF,
101,108,DB1037,DB1037,HIGH,Deer,Buck,"San Juan, Elk Ridge",,Muzzleloader,MDF,
94,101,DB1038,DB1038,HIGH,Deer,Buck,Diamond Mtn,,Muzzleloader,SFW,
108,115,DB1042,DB1042,HIGH,Deer,Buck,"West Desert, Vernon",,Muzzleloader,MDF,
109,116,DB1042,DB1042,HIGH,Deer,Buck,"West Desert, Vernon",,Muzzleloader,DSC,
85,92,DB1056,,HIGH,Deer,Buck,Book Cliffs,,Multiseason,SFW,
86,93,DB1056,,HIGH,Deer,Buck,Book Cliffs,,Multiseason,MDF,
96,103,DB1045,DB1045,HIGH,Deer,Buck,"Fillmore, Oak Creek LE",,Multiseason,MDF,
100,107,DB1046,DB1046,HIGH,Deer,Buck,"San Juan, Elk Ridge",,Multiseason,SFW,
92,99,DB1047,DB1047,HIGH,Deer,Buck,Diamond Mtn,,Multiseason,MDF,
93,100,DB1047,DB1047,HIGH,Deer,Buck,Diamond Mtn,,Multiseason,MDF,
106,113,DB1048,DB1048,HIGH,Deer,Buck,"West Desert, Vernon",,Multiseason,SFW,
107,114,DB1048,DB1048,HIGH,Deer,Buck,"West Desert, Vernon",,Multiseason,MDF,
118,78,DS1000,DS1000,HIGH,Desert Bighorn Sheep,Ram,Statewide,,Any Legal Weapon,SFW,
111,71,DS1002|DS6601,DS1002|DS6601,MEDIUM,Desert Bighorn Sheep,Ram,"Kaiparowits, East",,Any Legal Weapon,UWSF,
112,72,DS1003|DS6602,DS1003|DS6602,MEDIUM,Desert Bighorn Sheep,Ram,"Kaiparowits, Escalante",,Any Legal Weapon,UWSF,
116,76,DS1004|DS6608|DS6624,DS1004|DS6608|DS6624,MEDIUM,Desert Bighorn Sheep,Ram,"San Rafael, Dirty Devil",,Any Legal Weapon,SCI,
113,73,DS1006|DS6603,DS1006|DS6603,MEDIUM,Desert Bighorn Sheep,Ram,"Kaiparowits, West",,Any Legal Weapon,UWSF,
117,77,DS1007|DS6610,DS1007|DS6610,MEDIUM,Desert Bighorn Sheep,Ram,"San Rafael, South",,Any Legal Weapon,UWSF,
114,74,DS6604,DS6604,HIGH,Desert Bighorn Sheep,Ram,"La Sal, Potash/South Cisco",,Any Legal Weapon,SFW,
115,75,DS6605|DS6621,DS6605|DS6621,MEDIUM,Desert Bighorn Sheep,Ram,"Pine Valley, Beaver Dam",,Any Legal Weapon,UWSF,
10,9,EA1180,EA1180,HIGH, Elk,Antlerless,La Sal,,Any Legal Weapon,NWTF,
11,10,EA1180,EA1180,HIGH, Elk,Antlerless,La Sal,,Any Legal Weapon,UAA,
12,11,EA1180,EA1180,HIGH, Elk,Antlerless,La Sal,,Any Legal Weapon,WCF,
13,12,EA1180,EA1180,HIGH, Elk,Antlerless,La Sal,,Any Legal Weapon,WCF,
6,5,EA1270,EA1270,HIGH, Elk,Antlerless,Fishlake,,Any Legal Weapon,SCI,
7,6,EA1270,EA1270,HIGH, Elk,Antlerless,Fishlake,,Any Legal Weapon,SFW,
8,7,EA1270,EA1270,HIGH, Elk,Antlerless,Fishlake,,Any Legal Weapon,SFW,
9,8,EA1270,EA1270,HIGH, Elk,Antlerless,Fishlake,,Any Legal Weapon,SFW,
14,13,EA1271,EA1271,HIGH, Elk,Antlerless,Manti,,Any Legal Weapon,SFW,
15,14,EA1271,EA1271,HIGH, Elk,Antlerless,Manti,,Any Legal Weapon,MDF,
16,15,EA1271,EA1271,HIGH, Elk,Antlerless,Manti,,Any Legal Weapon,SFW,
17,16,EA1271,EA1271,HIGH, Elk,Antlerless,Manti,,Any Legal Weapon,SFW,
2,1,EA2041,EA2041,HIGH, Elk,Antlerless,Cache,,Any Legal Weapon,RMEF,
3,2,EA2041,EA2041,HIGH, Elk,Antlerless,Cache,,Any Legal Weapon,WCF,
4,3,EA2041,EA2041,HIGH, Elk,Antlerless,Cache,,Any Legal Weapon,NWTF,
5,4,EA2041,EA2041,HIGH, Elk,Antlerless,Cache,,Any Legal Weapon,RMEF,
18,17,EA2045,EA2045,HIGH, Elk,Antlerless,Wasatch Mtns,,Any Legal Weapon,RMEF,
19,18,EA2045,EA2045,HIGH, Elk,Antlerless,Wasatch Mtns,,Any Legal Weapon,MDF,
20,19,EA2045,EA2045,HIGH, Elk,Antlerless,Wasatch Mtns,,Any Legal Weapon,SFW,
21,20,EA2045,EA2045,HIGH, Elk,Antlerless,Wasatch Mtns,,Any Legal Weapon,SFW,
209,208,EB1000,EB1000,HIGH,Elk,Bull,Statewide,,,SFW,
120,119,EB3000,EB3000,HIGH,Elk,Bull,"Beaver, East",,Archery,UAA,
121,120,EB3000|EB3024|EB3025|EB3077|EB3102|EB3158|EB3159,EB3000|EB3024|EB3025|EB3077|EB3102|EB3158|EB3159,MEDIUM,Elk,Bull,"Beaver, East",,Hunter's Choice,SFW,
136,135,EB3003|EB3032|EB3033|EB3081|EB3105|EB3168|EB3169,EB3003|EB3032|EB3033|EB3081|EB3105|EB3168|EB3169,MEDIUM,Elk,Bull,"Cache, Meadowville",,Hunter's Choice,SCI,
138,137,EB3005|EB3036|EB3037|EB3083|EB3107|EB3170|EB3171,EB3005|EB3036|EB3037|EB3083|EB3107|EB3170|EB3171,MEDIUM,Elk,Bull,"Cache, South",,Hunter's Choice,MDF,
167,166,EB3006,EB3006,HIGH,Elk,Bull,Manti,,Archery,SFW,
168,167,EB3006|EB3038|EB3039|EB3084|EB3108|EB3126|EB3172,EB3006|EB3038|EB3039|EB3084|EB3108|EB3126|EB3172,MEDIUM,Elk,Bull,Manti,,Hunter's Choice,UWSF,
169,168,EB3006|EB3038|EB3039|EB3084|EB3108|EB3126|EB3172,EB3006|EB3038|EB3039|EB3084|EB3108|EB3126|EB3172,MEDIUM,Elk,Bull,Manti,,Hunter's Choice,MDF,
146,145,EB3008,EB3008,HIGH,Elk,Bull,"Fillmore, Pahvant",,Archery,SFW,
147,146,EB3008|EB3042|EB3043|EB3086|EB3110|EB3180|EB3181,EB3008|EB3042|EB3043|EB3086|EB3110|EB3180|EB3181,MEDIUM,Elk,Bull,"Fillmore, Pahvant",,Hunter's Choice,SFW,
159,158,EB3009,EB3009,HIGH,Elk,Bull,"La Sal, La Sal Mtns",,Archery,MDF,
160,159,EB3009|EB3045|EB3046|EB3087|EB3111|EB3182|EB3183,EB3009|EB3045|EB3046|EB3087|EB3111|EB3182|EB3183,MEDIUM,Elk,Bull,"La Sal, La Sal Mtns",,Hunter's Choice,MDF,
161,160,EB3009|EB3045|EB3046|EB3087|EB3111|EB3182|EB3183,EB3009|EB3045|EB3046|EB3087|EB3111|EB3182|EB3183,MEDIUM,Elk,Bull,"La Sal, La Sal Mtns",,Hunter's Choice,MDF,
174,173,EB3010,EB3010,HIGH,Elk,Bull,Monroe,,Archery,SFW,
175,174,EB3010|EB3047|EB3048|EB3088|EB3112|EB3184|EB3185,EB3010|EB3047|EB3048|EB3088|EB3112|EB3184|EB3185,MEDIUM,Elk,Bull,Monroe,,Hunter's Choice,MDF,
178,177,EB3011,EB3011,HIGH,Elk,Bull,Mt Dutton,,Archery,MDF,
179,178,EB3011|EB3049|EB3050|EB3089|EB3113|EB3186|EB3187,EB3011|EB3049|EB3050|EB3089|EB3113|EB3186|EB3187,MEDIUM,Elk,Bull,Mt Dutton,,Hunter's Choice,SFW,
187,186,EB3015|EB3056|EB3057|EB3093|EB3117|EB3188|EB3189,EB3015|EB3056|EB3057|EB3093|EB3117|EB3188|EB3189,MEDIUM,Elk,Bull,Panguitch Lake,,Hunter's Choice,SFW,
151,150,EB3018,EB3018,HIGH,Elk,Bull,Fishlake/Thousand Lakes,,Archery,UAA,
152,151,EB3018|EB3063|EB3064|EB3065|EB3096|EB3120|EB3192,EB3018|EB3063|EB3064|EB3065|EB3096|EB3120|EB3192,MEDIUM,Elk,Bull,Fishlake/Thousand Lakes,,Hunter's Choice,SFW,
153,152,EB3018|EB3063|EB3064|EB3065|EB3096|EB3120|EB3192,EB3018|EB3063|EB3064|EB3065|EB3096|EB3120|EB3192,MEDIUM,Elk,Bull,Fishlake/Thousand Lakes,,Hunter's Choice,RMEF,
191,190,EB3019,EB3019,HIGH,Elk,Bull,San Juan Bull Elk,,Archery,MDF,
192,191,EB3019|EB3066|EB3067|EB3097|EB3121|EB3193|EB3194,EB3019|EB3066|EB3067|EB3097|EB3121|EB3193|EB3194,MEDIUM,Elk,Bull,San Juan Bull Elk,,Hunter's Choice,MDF,
142,141,EB3020,EB3020,HIGH,Elk,Bull,Diamond Mtn,,Archery,MDF,
143,142,EB3020|EB3068|EB3069|EB3098|EB3122|EB3195|EB3196,EB3020|EB3068|EB3069|EB3098|EB3122|EB3195|EB3196,MEDIUM,Elk,Bull,Diamond Mtn,,Hunter's Choice,MDF,
203,202,EB3022|EB3072|EB3073|EB3100|EB3124|EB3127|EB3199,EB3022|EB3072|EB3073|EB3100|EB3124|EB3127|EB3199,MEDIUM,Elk,Bull,Wasatch Mtns,,Archery,WCF,
204,203,EB3022|EB3072|EB3073|EB3100|EB3124|EB3127|EB3199,EB3022|EB3072|EB3073|EB3100|EB3124|EB3127|EB3199,MEDIUM,Elk,Bull,Wasatch Mtns,,Hunter's Choice,SFW,
205,204,EB3022|EB3072|EB3073|EB3100|EB3124|EB3127|EB3199,EB3022|EB3072|EB3073|EB3100|EB3124|EB3127|EB3199,MEDIUM,Elk,Bull,Wasatch Mtns,,Hunter's Choice,SFW,
119,118,EB3025,EB3025,HIGH,Elk,Bull,"Beaver, East",,"Any Legal Weapon, late",SFW,
134,133,EB3031|EB3130|EB3209,EB3031|EB3130|EB3209,MEDIUM,Elk,Bull,"Box Elder, Pilot Mtn",,Multiseason,MDF,
135,134,EB3033,EB3033,HIGH,Elk,Bull,"Cache, Meadowville",,"Any Legal Weapon, late",RMEF,
165,164,EB3039,EB3039,HIGH,Elk,Bull,Manti,,"Any Legal Weapon, late",MDF,
145,144,EB3043,EB3043,HIGH,Elk,Bull,"Fillmore, Pahvant",,"Any Legal Weapon, late",RMEF,
157,156,EB3046,EB3046,HIGH,Elk,Bull,"La Sal, La Sal Mtns",,"Any Legal Weapon, late",RMEF,
173,172,EB3048,EB3048,HIGH,Elk,Bull,Monroe,,"Any Legal Weapon, late",SCI,
177,176,EB3050,EB3050,HIGH,Elk,Bull,Mt Dutton,,"Any Legal Weapon, late",RMEF,
186,185,EB3057,EB3057,HIGH,Elk,Bull,Panguitch Lake,,"Any Legal Weapon, late",MDF,
150,149,EB3064,EB3064,HIGH,Elk,Bull,Fishlake/Thousand Lakes,,"Any Legal Weapon, mid",SFW,
149,148,EB3065,EB3065,HIGH,Elk,Bull,Fishlake/Thousand Lakes,,"Any Legal Weapon, late",SFW,
189,188,EB3067,EB3067,HIGH,Elk,Bull,San Juan Bull Elk,,"Any Legal Weapon, late",RMEF,
141,140,EB3069,EB3069,HIGH,Elk,Bull,Diamond Mtn,,"Any Legal Weapon, mid",RMEF,
201,200,EB3073,EB3073,HIGH,Elk,Bull,Wasatch Mtns,,"Any Legal Weapon, late",RMEF,
172,171,EB3084,EB3084,HIGH,Elk,Bull,Manti,,Muzzleloader,MDF,
164,163,EB3087,EB3087,HIGH,Elk,Bull,"La Sal, La Sal Mtns",,Muzzleloader,SFW,
156,155,EB3096,EB3096,HIGH,Elk,Bull,Fishlake/Thousand Lakes,,Muzzleloader,MDF,
208,207,EB3100,EB3100,HIGH,Elk,Bull,Wasatch Mtns,,Muzzleloader,MDF,
122,121,EB3102,EB3102,HIGH,Elk,Bull,"Beaver, East",,Multiseason,MDF,
137,136,EB3105,EB3105,HIGH,Elk,Bull,"Cache, Meadowville",,Multiseason,RMEF,
139,138,EB3107,EB3107,HIGH,Elk,Bull,"Cache, South",,Multiseason,SFW,
170,169,EB3108,EB3108,HIGH,Elk,Bull,Manti,,Multiseason,NWTF,
171,170,EB3108,EB3108,HIGH,Elk,Bull,Manti,,Multiseason,RMEF,
148,147,EB3110,EB3110,HIGH,Elk,Bull,"Fillmore, Pahvant",,Multiseason,MDF,
162,161,EB3111,EB3111,HIGH,Elk,Bull,"La Sal, La Sal Mtns",,Multiseason,MDF,
163,162,EB3111,EB3111,HIGH,Elk,Bull,"La Sal, La Sal Mtns",,Multiseason,RMEF,
176,175,EB3112,EB3112,HIGH,Elk,Bull,Monroe,,Multiseason,RMEF,
180,179,EB3113,EB3113,HIGH,Elk,Bull,Mt Dutton,,Multiseason,MDF,
185,184,EB3115,EB3115,HIGH,Elk,Bull,"North Slope, Three Corners",,Multiseason,NWTF,
188,187,EB3117,EB3117,HIGH,Elk,Bull,Panguitch Lake,,Multiseason,MDF,
154,153,EB3120,EB3120,HIGH,Elk,Bull,Fishlake/Thousand Lakes,,Multiseason,SCI,
155,154,EB3120,EB3120,HIGH,Elk,Bull,Fishlake/Thousand Lakes,,Multiseason,MDF,
193,192,EB3121,EB3121,HIGH,Elk,Bull,San Juan Bull Elk,,Multiseason,RMEF,
144,143,EB3122,EB3122,HIGH,Elk,Bull,Diamond Mtn,,Multiseason,NWTF,
206,205,EB3124,EB3124,HIGH,Elk,Bull,Wasatch Mtns,,Multiseason,RMEF,
207,206,EB3124,EB3124,HIGH,Elk,Bull,Wasatch Mtns,,Multiseason,MDF,
166,165,EB3126,EB3126,HIGH,Elk,Bull,Manti,,"Any Legal Weapon, mid",SFW,
202,201,EB3127,EB3127,HIGH,Elk,Bull,Wasatch Mtns,,"Any Legal Weapon, mid",SFW,
133,132,EB3128|EB3147|EB3150|EB3153,EB3128|EB3147|EB3150|EB3153,MEDIUM,Elk,Bull,"Box Elder, Grouse Creek",,Multiseason,SFW,
129,128,EB3145|EB3148|EB3151|EB3154|EB3156|EB3190|EB3191,EB3145|EB3148|EB3151|EB3154|EB3156|EB3190|EB3191,MEDIUM,Elk,Bull,Boulder,,Archery,SFW,
130,129,EB3145|EB3148|EB3151|EB3154|EB3156|EB3190|EB3191,EB3145|EB3148|EB3151|EB3154|EB3156|EB3190|EB3191,MEDIUM,Elk,Bull,Boulder,,Hunter's Choice,SCI,
131,130,EB3145|EB3148|EB3151|EB3154|EB3156|EB3190|EB3191,EB3145|EB3148|EB3151|EB3154|EB3156|EB3190|EB3191,MEDIUM,Elk,Bull,Boulder,,Multiseason,MDF,
132,131,EB3145|EB3148|EB3151|EB3154|EB3156|EB3190|EB3191,EB3145|EB3148|EB3151|EB3154|EB3156|EB3190|EB3191,MEDIUM,Elk,Bull,Boulder,,Muzzleloader,SFW,
196,195,EB3146|EB3149|EB3152|EB3155|EB3157|EB3197|EB3198,EB3146|EB3149|EB3152|EB3155|EB3157|EB3197|EB3198,MEDIUM,Elk,Bull,"Southwest Desert, South",,Archery,UAA,
197,196,EB3146|EB3149|EB3152|EB3155|EB3157|EB3197|EB3198,EB3146|EB3149|EB3152|EB3155|EB3157|EB3197|EB3198,MEDIUM,Elk,Bull,"Southwest Desert, South",,Hunter's Choice,SFW,
127,126,EB3151,EB3151,HIGH,Elk,Bull,Boulder,,"Any Legal Weapon, late",MDF,
194,193,EB3152,EB3152,HIGH,Elk,Bull,"Southwest Desert, South",,"Any Legal Weapon, late",MDF,
200,199,EB3155,EB3155,HIGH,Elk,Bull,"Southwest Desert, South",,Muzzleloader,RMEF,
198,197,EB3157,EB3157,HIGH,Elk,Bull,"Southwest Desert, South",,Multiseason,RMEF,
199,198,EB3157,EB3157,HIGH,Elk,Bull,"Southwest Desert, South",,Multiseason,MDF,
124,123,EB3160|EB3161|EB3162|EB3163|EB3164|EB3165|EB3166,EB3160|EB3161|EB3162|EB3163|EB3164|EB3165|EB3166,MEDIUM,Elk,Bull,"Book Cliffs, Bitter Creek/East",,Archery,SFW,
125,124,EB3160|EB3161|EB3162|EB3163|EB3164|EB3165|EB3166,EB3160|EB3161|EB3162|EB3163|EB3164|EB3165|EB3166,MEDIUM,Elk,Bull,"Book Cliffs, Bitter Creek/East",,Hunter's Choice,DSC,
126,125,EB3160|EB3161|EB3162|EB3163|EB3164|EB3165|EB3166,EB3160|EB3161|EB3162|EB3163|EB3164|EB3165|EB3166,MEDIUM,Elk,Bull,"Book Cliffs, Bitter Creek/East",,Multiseason,WCF,
123,122,EB3163,EB3163,HIGH,Elk,Bull,"Book Cliffs, Bitter Creek/East",,"Any Legal Weapon, late",RMEF,
182,181,EB3173|EB3174|EB3175|EB3176|EB3177|EB3178|EB3179,EB3173|EB3174|EB3175|EB3176|EB3177|EB3178|EB3179,MEDIUM,Elk,Bull,Nebo/San Pitch Mtns,,Archery,SFW,
183,182,EB3173|EB3174|EB3175|EB3176|EB3177|EB3178|EB3179,EB3173|EB3174|EB3175|EB3176|EB3177|EB3178|EB3179,MEDIUM,Elk,Bull,Nebo/San Pitch Mtns,,Hunter's Choice,MDF,
181,180,EB3176,EB3176,HIGH,Elk,Bull,Nebo/San Pitch Mtns,,"Any Legal Weapon, late",SFW,
184,183,EB3178,EB3178,HIGH,Elk,Bull,Nebo/San Pitch Mtns,,Multiseason,NWTF,
158,157,EB3183,EB3183,HIGH,Elk,Bull,"La Sal, La Sal Mtns",,"Any Legal Weapon, mid",SFW,
128,127,EB3191,EB3191,HIGH,Elk,Bull,Boulder,,"Any Legal Weapon, mid",SFW,
190,189,EB3194,EB3194,HIGH,Elk,Bull,San Juan Bull Elk,,"Any Legal Weapon, mid",SFW,
140,139,EB3196,EB3196,HIGH,Elk,Bull,Diamond Mtn,,"Any Legal Weapon, late",MDF,
195,194,EB3198,EB3198,HIGH,Elk,Bull,"Southwest Desert, South",,"Any Legal Weapon, mid",SFW,
221,220,GO1000,GO1000,HIGH,Mountain Goat,Either Sex,Statewide,,,SFW,
215,214,GO6800|GO6801|GO6822,GO6800|GO6801|GO6822,MEDIUM,Mountain Goat,Either Sex,Beaver (early),,"Any Legal Weapon, early",UWSF,
218,217,GO6803|GO6821,GO6803|GO6821,MEDIUM,Mountain Goat,Either Sex,Nebo,,Any Legal Weapon,UWSF,
219,218,GO6803|GO6821,GO6803|GO6821,MEDIUM,Mountain Goat,Either Sex,Nebo,,Archery,UAA,
216,215,GO6808,GO6808,HIGH,Mountain Goat,Either Sex,High Uintas West,,Any Legal Weapon,RMEF,
217,216,GO6817,GO6817,HIGH,Mountain Goat,Either Sex,"La Sal, La Sal Mtns",,Any Legal Weapon,SFW,
220,219,GO6820,GO6820,HIGH,Mountain Goat,Either Sex,"Wasatch Mtns, Timpanogos",,Any Legal Weapon,SCI,
