cols,ext,headers,list_changed_hunt_codes,list_changes,list_largest_group_decreases,list_largest_group_increases,list_largest_species_decreases,list_largest_species_increases,list_lock_codes,list_misses,list_no_quota_published_codes,list_notes,list_organization_counts,list_predictive_reference_codes_added_this_run,list_predictive_reference_codes_locked,list_species_counts,list_stale_quota_fixed_codes,list_total_only_codes,list_validation_errors,mtime,path,rows,size
21,.csv,source_no|permit_class|source_year_range|model_target_year|species_raw|species|hunt_family|area|condition|value|organization|permit_total,,,,,,,,,,,,,,,,,,1779805168.477655,data_model\harvest_quality\raw_packages\unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected\official_2025_2027_conservation_permits_each_row_per_year.csv,336,78856
21,.csv,source_no|permit_class|source_year_range|model_target_year|species_raw|species|hunt_family|area|condition|value|organization|permit_total,,,,,,,,,,,,,,,,,,1779805168.585747,data_truth\harvest_results_truth\raw_packages\unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected\official_2025_2027_conservation_permits_each_row_per_year.csv,336,78856
json-list,.json,,,,,,,,,,,,,,,,,,,1781837999.106984,data\conservation-permit-workbook-2025-27-raw.json,336,76717
9,.csv,source_pdf|page|raw_line|species|area|condition|value|organization|raw_text,,,,,,,,,,,,,,,,,,1778232585.4388492,pipeline\RAW\hunt_unit_database\2026\reports\conservation_permits_2025_2027_extracted_detail.csv,336,71603
8,.csv,row_number|species|area|condition|average_value|source_row|organization|hunt_class,,,,,,,,,,,,,,,,,,1779595901.3157296,data\conservation-permit-workbook-2025-27-raw.csv,336,26840
8,.csv,row_number|species|area|condition|average_value|source_row|organization|hunt_class,,,,,,,,,,,,,,,,,,1777597370.2407987,pipeline\RAW\hunt_unit_database\2025\csv\conservation-permit-workbook-2025-27-raw.csv,336,26840
json-list,.json,,,,,,,,,,,,,,,,,,,1782033438.790446,data\conservation-permit-hunt-table-2025-27.json,271,234746
json-list,.json,,,,,,,,,,,,,,,,,,,1782033438.790446,pages-dist\data\conservation-permit-hunt-table-2025-27.json,271,234746
json-list,.json,,,,,,,,,,,,,,,,,,,1776796726.595296,pipeline\RAW\hunt_unit_database\2025\json\conservation-permit-hunt-table-2025-27.json,271,234204
46,.csv,overlay_id|permit_class|source_cycle|permit_year_rule|species|sex|huntType|huntClass|area|unitCode|unitNames|weapon,,,,,,,,,,,,,,,,,,1779805168.4593318,data_model\harvest_quality\raw_packages\2026_for_2026_conservation_overlay_truth_2026_species_corrected\conservation_permit_overlay_2026_resolved_species_corrected.csv,271,158135
46,.csv,overlay_id|permit_class|source_cycle|permit_year_rule|species|sex|huntType|huntClass|area|unitCode|unitNames|weapon,,,,,,,,,,,,,,,,,,1779805168.5686767,data_truth\harvest_results_truth\raw_packages\2026_for_2026_conservation_overlay_truth_2026_species_corrected\conservation_permit_overlay_2026_resolved_species_corrected.csv,271,158135
21,.csv,huntCode|species|sex|huntType|huntClass|area|unitCode|unitNames|weapon|conditions|permitCount|organizations,,,,,,,,,,,,,,,,,,1777597373.5733833,pipeline\RAW\hunt_unit_database\2025\csv\conservation-permit-hunt-table-2025-27.csv,271,83112
21,.csv,huntCode|species|sex|huntType|draw_design|area|unitCode|unitNames|weapon|conditions|permitCount|organizations,,,,,,,,,,,,,,,,,,1782033438.7794464,data\conservation-permit-hunt-table-2025-27.csv,271,72124
16,.csv,species|area|condition|conservation_permit_count_2025_2027|permits_2026_conservation|organizations|total_value|match_status|match_score|hunt_code|hunt_name|database_species,,,,,,,,,,,,,,,,,,1778230853.5218756,pipeline\RAW\hunt_unit_database\2026\reports\conservation_permits_2025_2027_database_match.csv,194,40014
9,.csv,species|area|condition|condition_note|conservation_permit_count_2025_2027|permits_2026_conservation|organizations|total_value|source_pdf,,,,,,,,,,,,,,,,,,1778232585.4448528,pipeline\RAW\hunt_unit_database\2026\reports\conservation_permits_2025_2027_grouped.csv,194,32969
11,.csv,species_raw|species|hunt_family|area|condition|conservation_rows|permits_per_year|permit_year_instances_2025_2027|selected_hunt_codes|possible_hunt_code_sets|match_confidence,,,,,,,,,,,,,,,,,,1779805168.469654,data_model\harvest_quality\raw_packages\unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected\conservation_permit_area_condition_summary_annual_per_row.csv,194,18357
11,.csv,species_raw|species|hunt_family|area|condition|conservation_rows|permits_per_year|permit_year_instances_2025_2027|selected_hunt_codes|possible_hunt_code_sets|match_confidence,,,,,,,,,,,,,,,,,,1779805168.577675,data_truth\harvest_results_truth\raw_packages\unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected\conservation_permit_area_condition_summary_annual_per_row.csv,194,18357
27,.csv,source_no|permit_class|source_year_range|model_target_year|species_raw|species|hunt_family|area|condition|value|organization|permit_total,,,,,,,,,,,,,,,,,,1779805168.4706535,data_model\harvest_quality\raw_packages\unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected\conservation_permit_manual_review_queue_annual_per_row.csv,165,88779
27,.csv,source_no|permit_class|source_year_range|model_target_year|species_raw|species|hunt_family|area|condition|value|organization|permit_total,,,,,,,,,,,,,,,,,,1779805168.5796776,data_truth\harvest_results_truth\raw_packages\unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected\conservation_permit_manual_review_queue_annual_per_row.csv,165,88779
14,.csv,reported_hunt_year|model_target_year|hunt_code|species|hunt_name|hunt_type|permits|permit_overlay_class|permit_overlay_use|public_draw_odds_use|p_draw_math_use|source_file,,,,,,,,,,,,,,,,,,1782055315.0647116,audits\2025_canonical_finalization\conservation_overlay_codes_vs_draw_canonical.csv,78,23230
json-list,.json,,,,,,,,,,,,,,,,,,,1781837999.1014738,data\conservation-permit-areas.json,55,21419
json-list,.json,,,,,,,,,,,,,,,,,,,1781837999.1014738,pages-dist\data\conservation-permit-areas.json,55,21419
json-dict,.json,,,,,,,,7,,,,,0,6,,,,0,1781838001.6128056,processed_data\desert_bighorn_conservation_permit_code_lock_2026_summary.json,19,1946
json-dict,.json,,,,,,,,7,,5,,,,,,1,2,0,1781838001.5918937,processed_data\conservation_permit_hunt_code_lock_2026_summary.json,16,1692
json-dict,.json,,,,5,5,5,5,,,,,,,,,,,,1781838000.6794713,data_truth\permit_overlay_truth\normalized\conservation_permit_trends_2022_2027_summary.json,12,7376
10,.csv,dimension|key|permits_2022_2024|permits_2025_2027|annual_avg_2022_2024|annual_avg_2025_2027|cycle_change|annual_avg_change|pct_change|trend_direction,,,,,,,,,,,,,,,,,,1779819236.3058295,data_truth\permit_overlay_truth\normalized\conservation_permit_trends_by_species_2022_2027.csv,11,801
10,.csv,dimension|key|permits_2022_2024|permits_2025_2027|annual_avg_2022_2024|annual_avg_2025_2027|cycle_change|annual_avg_change|pct_change|trend_direction,,,,,,,,,,,,,,,,,,1779819236.3048267,data_truth\permit_overlay_truth\normalized\conservation_permit_trends_by_group_2022_2027.csv,11,630
36,.csv,hunt_code|boundary_id|boundary_ids|hunt_name|species|hunt_class|hunt_type|draw_family|weapon|sex_type|youth_flag|eligibility_class,,,,,,,,,,,,,,,,,,1781838002.04876,pages-dist\processed_data\hard_data_exports\unit_specific_conservation_expo_bundles.csv,8,3438
36,.csv,hunt_code|boundary_id|boundary_ids|hunt_name|species|hunt_class|hunt_type|draw_family|weapon|sex_type|youth_flag|eligibility_class,,,,,,,,,,,,,,,,,,1781838002.04876,processed_data\hard_data_exports\unit_specific_conservation_expo_bundles.csv,8,3438
json-dict,.json,,0,0,,,,,,0,,,,,,,,,,1778232666.5852726,pipeline\RAW\hunt_unit_database\2026\reports\conservation_permit_backfill_2026_report.json,8,426
json-dict,.json,,,,,,,,,,,,,,,,,,,1776796726.5917797,pipeline\RAW\hunt_unit_database\2025\json\conservation-permit-hunt-table-2025-27-summary.json,8,395
json-dict,.json,,,,,,,,,,,,,,,,,,,1781837999.1034758,data\conservation-permit-hunt-table-2025-27-summary.json,8,382
18,.csv,hunt_code|hunt_name|species|sex_type|weapon|hunt_type|season|Non Res|Res|Total|permit_status|permit_allocation_type,,,,,,,,,,,,,,,,,,1779678523.6167393,data_truth\permit_overlay_truth\normalized\conservation_permit_hunt_code_lock_2026.csv,7,3605
18,.csv,hunt_code|hunt_name|species|sex_type|weapon|hunt_type|season|Non Res|Res|Total|permit_status|permit_source_authority,,,,,,,,,,,,,,,,,,1779678562.7176402,data_truth\permit_overlay_truth\normalized\desert_bighorn_conservation_permit_code_lock_2026.csv,7,3409
json-dict,.json,,,,,,,,,,,,,,,,,,,1778232585.4458497,pipeline\RAW\hunt_unit_database\2026\reports\conservation_permits_2025_2027_extraction_report.json,7,992
json-dict,.json,,,,,,,,,,,,11,,,11,,,,1776796726.5962954,pipeline\RAW\hunt_unit_database\2025\json\conservation-permit-workbook-2025-27-summary.json,5,1661
json-dict,.json,,,,,,,,,,,,11,,,11,,,,1781837999.1079865,data\conservation-permit-workbook-2025-27-summary.json,5,1564
json-dict,.json,,,,,,,,,,,,,,,,,,,1778230853.5228727,pipeline\RAW\hunt_unit_database\2026\reports\conservation_permits_2025_2027_database_match_report.json,5,554
json-dict,.json,,,,,,,,,,,4,,,,,,,,1776796726.5917797,pipeline\RAW\hunt_unit_database\2025\json\conservation-permit-hunt-table-2025-27-audit.json,3,932
json-dict,.json,,,,,,,,,,,4,,,,,,,,1781837999.1024735,data\conservation-permit-hunt-table-2025-27-audit.json,3,910
17,.csv,source_file|source_sheet|hunt_name|hunt_code|sex_type|species|weapon|hunt_type|season|permits_2026_res|permits_2026_nr|permits_2026_total,,,,,,,,,,,,,,,,,,1780538967.4423,pages-dist\processed_data\hard_data_exports\hunt_tables\2026\GENERATED_CSV\2026_ELK_BULL_CONSERVATION_PERMIT.csv,2,689
17,.csv,source_file|source_sheet|hunt_name|hunt_code|sex_type|species|weapon|hunt_type|season|permits_2026_res|permits_2026_nr|permits_2026_total,,,,,,,,,,,,,,,,,,1780538967.4423,processed_data\hard_data_exports\hunt_tables\2026\GENERATED_CSV\2026_ELK_BULL_CONSERVATION_PERMIT.csv,2,689
10,.csv,hunt_name|hunt_code|sex_type|species|weapon|hunt_type|season|permits_2026_res|permits_2026_nr|permits_2026_total,,,,,,,,,,,,,,,,,,1778199176.6387348,pipeline\RAW\hunt_unit_database\2026\backups\database_backfill_20260508_071556\2026_elk_bull_conservation_permit.csv,2,463
11,.csv,hunt_name|hunt_code|sex_type|species|weapon|hunt_type|season|permits_2026_res|permits_2026_nr|permits_2026_total|NOTES,,,,,,,,,,,,,,,,,,1778224557.0007408,pipeline\RAW\hunt_unit_database\2026\csv\2026_elk_bull_conservation_permit.csv,2,410
13,.csv,source_pdf|source_file|source_page|hunt_code|hunt_name|species_or_category|method_or_weapon|permits_2026_res|permits_2026_nr|permits_2026_total|parse_status|raw_hunt_line,,,,,,,,,,,,,,,,,,1780537658.773707,pipeline\RAW\hunt_unit_database\2026\csv\current_year_permit_numbers\2026_deer_buck_conservation_permit_rows_extracted.csv,0,188
,.xlsx,,,,,,,,,,,,,,,,,,,1779819236.3088272,data_truth\permit_overlay_truth\raw_sources\2022_2024_conservation_permits\source_files\2022_2024_conservation_permits_extracted.xlsx,xlsx,27280
,.xlsx,,,,,,,,,,,,,,,,,,,1779668646.1948352,pipeline\RAW\hunt_unit_database\2023\2022_2024_conservation_permits_extracted.xlsx,xlsx,27280
,.xlsx,,,,,,,,,,,,,,,,,,,1779668600.3992877,pipeline\RAW\hunt_unit_database\2023\csv\2022_2024_conservation_permits_extracted.xlsx,xlsx,27280
,.xlsx,,,,,,,,,,,,,,,,,,,1782054978.1003711,processed_data\hard_data_exports\hunt_tables\2026\CLEAN_XLXS_STAGED\2025-27 Conservation Permits.xlsx,xlsx,27249
,.xlsx,,,,,,,,,,,,,,,,,,,1778231952.4583156,pipeline\RAW\hunt_unit_database\2026\pdf\Conservation Permits\2025-27 Conservation Permits.xlsx,xlsx,24927
,.xlsx,,,,,,,,,,,,,,,,,,,1780330716.9217777,pages-dist\processed_data\hard_data_exports\hunt_tables\2026\CLEAN_XLXS_STAGED\2025-27 Conservation Permits.xlsx,xlsx,19000
,.xlsx,,,,,,,,,,,,,,,,,,,1780330720.7090206,pages-dist\processed_data\hard_data_exports\hunt_tables\2026\CLEAN_XLXS_STAGED\2026_ELK_BULL_CONSERVATION_PERMIT.xlsx,xlsx,6851
,.xlsx,,,,,,,,,,,,,,,,,,,1780330720.7090206,processed_data\hard_data_exports\hunt_tables\2026\CLEAN_XLXS_STAGED\2026_ELK_BULL_CONSERVATION_PERMIT.xlsx,xlsx,6851
,.xlsx,,,,,,,,,,,,,,,,,,,1779969748.8076887,processed_data\backups\hunt_tables_2026_age_infill_20260528_124407\processed_data\hard_data_exports\hunt_tables\2026\2026_ELK_BULL_CONSERVATION_PERMIT.xlsx,xlsx,6794
,.xlsx,,,,,,,,,,,,,,,,,,,1780046262.361586,pipeline\RAW\hunt_unit_database\2026\formatted_xlsx\2026_elk_bull_conservation_permit.xlsx,xlsx,5699
,.xlsx,,,,,,,,,,,,,,,,,,,1777766047.89077,pipeline\RAW\hunt_unit_database\2026\xlsx\2026_elk_bull_conservation_permit.xlsx,xlsx,5620
,.xlsx,,,,,,,,,,,,,,,,,,,1780117017.740441,pages-dist\processed_data\hard_data_exports\hunt_tables\2026\CLEAN_XLXS_STAGED\~$2025-27 Conservation Permits.xlsx,xlsx,165
,.xlsx,,,,,,,,,,,,,,,,,,,1780117017.740441,processed_data\hard_data_exports\hunt_tables\2026\CLEAN_XLXS_STAGED\~$2025-27 Conservation Permits.xlsx,xlsx,165
