pdf_name,title,hunt_code_count,canonical_row_count,canonical_code_count,missing_canonical_codes,output_pdf,output_xlsx,preview
2026_PERMITS=2027_MODEL__O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS.pdf,O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS,18,1054,18,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS.xlsx,
2026_PERMITS=2027_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf,O.I.L. MTN GOAT DRAW RESULTS,17,826,17,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__O.I.L. MTN GOAT DRAW RESULTS.xlsx,
2026_PERMITS=2027_MODEL__O.I.L. ROCKY MTN SHEEP DRAW RESULTS.pdf,O.I.L. ROCKY MTN SHEEP DRAW RESULTS,15,756,15,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__O.I.L. ROCKY MTN SHEEP DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__O.I.L. ROCKY MTN SHEEP DRAW RESULTS.xlsx,
2026_PERMITS=2027_MODEL__SPORTSMAN BISON DRAW RESULTS.pdf,SPORTSMAN BISON DRAW RESULTS,1,2,1,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__SPORTSMAN BISON DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__SPORTSMAN BISON DRAW RESULTS.xlsx,
2026_PERMITS=2027_MODEL__SPORTSMAN BLACK BEAR DRAW RESULTS.pdf,SPORTSMAN BLACK BEAR DRAW RESULTS,1,2,1,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__SPORTSMAN BLACK BEAR DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__SPORTSMAN BLACK BEAR DRAW RESULTS.xlsx,
2026_PERMITS=2027_MODEL__SPORTSMAN DESERT BIGHORN SHEEP DRAW RESULTS.pdf,SPORTSMAN DESERT BIGHORN SHEEP DRAW RESULTS,1,2,1,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__SPORTSMAN DESERT BIGHORN SHEEP DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__SPORTSMAN DESERT BIGHORN SHEEP DRAW RESULTS.xlsx,
2026_PERMITS=2027_MODEL__SPORTSMAN DRAW RESULTS.pdf,SPORTSMAN DRAW RESULTS,10,20,10,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__SPORTSMAN DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__SPORTSMAN DRAW RESULTS.xlsx,outputs\2026_PERMITS=2027_MODEL_species_family_docs\previews\2026_PERMITS=2027_MODEL__SPORTSMAN DRAW RESULTS__summary.png
2026_PERMITS=2027_MODEL__SPORTSMAN ELK DRAW RESULTS.pdf,SPORTSMAN ELK DRAW RESULTS,1,2,1,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__SPORTSMAN ELK DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__SPORTSMAN ELK DRAW RESULTS.xlsx,
2026_PERMITS=2027_MODEL__SPORTSMAN MOOSE DRAW RESULTS.pdf,SPORTSMAN MOOSE DRAW RESULTS,1,2,1,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__SPORTSMAN MOOSE DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__SPORTSMAN MOOSE DRAW RESULTS.xlsx,
2026_PERMITS=2027_MODEL__SPORTSMAN MTN GOAT DRAW RESULTS.pdf,SPORTSMAN MTN GOAT DRAW RESULTS,1,2,1,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__SPORTSMAN MTN GOAT DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__SPORTSMAN MTN GOAT DRAW RESULTS.xlsx,
2026_PERMITS=2027_MODEL__SPORTSMAN PRONGHORN DRAW RESULTS.pdf,SPORTSMAN PRONGHORN DRAW RESULTS,1,2,1,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__SPORTSMAN PRONGHORN DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__SPORTSMAN PRONGHORN DRAW RESULTS.xlsx,
2026_PERMITS=2027_MODEL__SPORTSMAN ROCKY MTN BIGHORN SHEEP DRAW RESULTS.pdf,SPORTSMAN ROCKY MTN BIGHORN SHEEP DRAW RESULTS,1,2,1,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__SPORTSMAN ROCKY MTN BIGHORN SHEEP DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__SPORTSMAN ROCKY MTN BIGHORN SHEEP DRAW RESULTS.xlsx,
2026_PERMITS=2027_MODEL__SPORTSMAN TURKEY DRAW RESULTS.pdf,SPORTSMAN TURKEY DRAW RESULTS,1,2,1,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__SPORTSMAN TURKEY DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__SPORTSMAN TURKEY DRAW RESULTS.xlsx,
2026_PERMITS=2027_MODEL__YOUTH ELK DRAW RESULTS.pdf,YOUTH ELK DRAW RESULTS,1,2,1,,outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__YOUTH ELK DRAW RESULTS.pdf,outputs\2026_PERMITS=2027_MODEL_species_family_docs\xlsx\2026_PERMITS=2027_MODEL__YOUTH ELK DRAW RESULTS.xlsx,
