hunt_code,boundary_id,hunt_name,species,hunt_class,hunt_type,draw_family,weapon,sex_type,season,access_type,permits_2024_res,permits_2024_nr,permits_2024_total,permits_2024_source,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_source,permits_2026_res,permits_2026_nr,permits_2026_total,permits_2026_source,permits_2026_draw_source,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status,draw_2026_system_type,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,percent_harvest_success_previous_hunting_season,average_harvest_age,average_harvest_age_3yr_reported,current_age_3yr_average,average_harvest_age_source_file,average_harvest_age_review_status,dwr_huntplanner_age_objective,dwr_huntplanner_population_objective,dwr_huntplanner_current_population_estimate,conservation_permits_2026_total,conservation_permits_2026_source,notes,source_authority,source_file,data_status,generated_at,huntCode,code,title,huntTitle,unitName,unitCode,boundaryId,boundaryID,BoundaryID,boundary_id_numeric,totalPermits,permitsTotal,quota,dates,sex,sexType,type,category,Weapon,boundaryLink
BI6515,637,Henry Mtns,Bison,BIG_GAME_BISON,Once-in-a-Lifetime,,Archery,Cow Only;Either Sex,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF_CONFIRMED_TRUTH_ONLY_BACKFILL; source=draw_results_long/canonical_yearly; raw_pdf_confirmed=TRUE; matched_pdfs=2019_PERMITS=2020_MODEL__O.I.L._BISON_DRAW_RESULTS.pdf | 2020_PERMITS=2021_MODEL__O.I.L._BISON_DRAW_RESULTS.pdf,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI6515,BI6515,Henry Mtns,Henry Mtns,Henry Mtns,637,637,637,637,637,,,,,Cow Only;Either Sex,Cow Only;Either Sex,Once-in-a-Lifetime,BIG_GAME_BISON,Archery,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6515
BI6516,94,Henry Mtns,Bison,Max/Weighted Split,Once-in-a-lifetime,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Hunters Choice,Nov 25 2026 - Dec 6 2026,Public,6,1,7,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,5,0,5,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,6,0,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,6,0,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,MAX_WEIGHTED_SPLIT,541,7,Bonus Point Draw Results,100,,,,,,,650 adults,569 adults,3,data/conservation-permit-hunt-table-2025-27.json; reviewed official DWR 2025-27 conservation-permit crosswalk; non-additive per-hunt-code coverage; checked 2026-08-28,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI6516,BI6516,Henry Mtns,Henry Mtns,Henry Mtns,94,94,94,94,94,6,6,6,Nov 25 2026 - Dec 6 2026,Hunters Choice,Hunters Choice,Once-in-a-lifetime,Max/Weighted Split,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6516
BI6517,7,Book Cliffs,Bison,Limited Entry,Once-in-a-Lifetime,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Hunters Choice,,Public,,,,,,,,,,,,,,,,,,,,MAX_WEIGHTED_SPLIT,,,,,,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI6517,BI6517,Book Cliffs,Book Cliffs,Book Cliffs,7,7,7,7,7,,,,,Hunters Choice,Hunters Choice,Once-in-a-Lifetime,Limited Entry,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6517
BI6518,7,Book Cliffs,Bison,BIG_GAME_BISON,Once-in-a-Lifetime,,Any Legal Weapon,Either Sex,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF_CONFIRMED_TRUTH_ONLY_BACKFILL; source=draw_results_long/canonical_yearly; raw_pdf_confirmed=TRUE; matched_pdfs=2019_PERMITS=2020_MODEL__O.I.L._BISON_DRAW_RESULTS.pdf,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI6518,BI6518,Book Cliffs,Book Cliffs,Book Cliffs,7,7,7,7,7,,,,,Either Sex,Either Sex,Once-in-a-Lifetime,BIG_GAME_BISON,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6518
BI6519,12,"Book Cliffs, Little Creek Roadless",Bison,Limited Entry,Once-in-a-Lifetime,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Bull,,Public,,,,,,,,,,,,,,,,,,,,MAX_WEIGHTED_SPLIT,,,,,,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI6519,BI6519,"Book Cliffs, Little Creek Roadless","Book Cliffs, Little Creek Roadless","Book Cliffs, Little Creek Roadless",12,12,12,12,12,,,,,Bull,Bull,Once-in-a-Lifetime,Limited Entry,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6519
BI6520,7,Book Cliffs,Bison,Limited Entry,Once-in-a-Lifetime,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Bull,,Public,,,,,,,,,,,,,,,,,,,,MAX_WEIGHTED_SPLIT,,,,,,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI6520,BI6520,Book Cliffs,Book Cliffs,Book Cliffs,7,7,7,7,7,,,,,Bull,Bull,Once-in-a-Lifetime,Limited Entry,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6520
BI6521,7,Book Cliffs,Bison,Limited Entry,Once-in-a-Lifetime,MAX_WEIGHTED_SPLIT,Archery,Bull,,Public,,,,,,,,,,,,,,,,,,,,MAX_WEIGHTED_SPLIT,,,,,,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI6521,BI6521,Book Cliffs,Book Cliffs,Book Cliffs,7,7,7,7,7,,,,,Bull,Bull,Once-in-a-Lifetime,Limited Entry,Archery,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6521
BI6522,449,"Book Cliffs, Bitter Creek/south",Bison,BIG_GAME_BISON,Once-in-a-Lifetime,,Any Legal Weapon,Cow Only,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF_CONFIRMED_TRUTH_ONLY_BACKFILL; source=draw_results_long/canonical_yearly; raw_pdf_confirmed=TRUE; matched_pdfs=2020_PERMITS=2021_MODEL__O.I.L._BISON_DRAW_RESULTS.pdf,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI6522,BI6522,"Book Cliffs, Bitter Creek/south","Book Cliffs, Bitter Creek/south","Book Cliffs, Bitter Creek/south",449,449,449,449,449,,,,,Cow Only,Cow Only,Once-in-a-Lifetime,BIG_GAME_BISON,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6522
BI6523,449,"Book Cliffs, Bitter Creek/south",Bison,Limited Entry,Once-in-a-Lifetime,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Bull,,Public,,,,,,,,,,,,,,,,,,,,MAX_WEIGHTED_SPLIT,,,,,,,,,,,,,1,data/conservation-permit-hunt-table-2025-27.json; reviewed official DWR 2025-27 conservation-permit crosswalk; non-additive per-hunt-code coverage; checked 2026-08-28,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI6523,BI6523,"Book Cliffs, Bitter Creek/south","Book Cliffs, Bitter Creek/south","Book Cliffs, Bitter Creek/south",449,449,449,449,449,,,,,Bull,Bull,Once-in-a-Lifetime,Limited Entry,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6523
BI6524,12,"Book Cliffs, Little Creek Roadless",Bison,Limited Entry,Once-in-a-Lifetime,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Bull,,Public,,,,,,,,,,,,,,,,,,,,MAX_WEIGHTED_SPLIT,,,,,,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI6524,BI6524,"Book Cliffs, Little Creek Roadless","Book Cliffs, Little Creek Roadless","Book Cliffs, Little Creek Roadless",12,12,12,12,12,,,,,Bull,Bull,Once-in-a-Lifetime,Limited Entry,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6524
