hunt_code,residency,user_points,gap,status,trend,guaranteed_at_2026,guaranteed_at_2025,projected_draw_odds,hunt_point_summary_title,hunt_point_summary_guaranteed,hunt_point_summary_points,hunt_point_summary_status,hunt_point_summary_odds,hunt_point_summary_trend
BI6500,Nonresident,17,-17,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 17 pts,Status: 17 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,16,-16,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 16 pts,Status: 16 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,15,-15,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 15 pts,Status: 15 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,14,-14,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 14 pts,Status: 14 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,13,-13,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 13 pts,Status: 13 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,12,-12,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 12 pts,Status: 12 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,11,-11,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 11 pts,Status: 11 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,10,-10,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 10 pts,Status: 10 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,9,-9,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 9 pts,Status: 9 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,8,-8,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 8 pts,Status: 8 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,7,-7,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 7 pts,Status: 7 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
BI6500,Nonresident,6,-6,DRAWING IN MAX POOL,YELLOW,0,0,0.000,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 6 pts,Status: 6 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: YELLOW
