hunt_code,residency,points,algorithm_status,p_draw_mean,display_odds_text,reason_codes
BI6500,Resident,9,MODELED_BONUS,0.000073,~1 in 13635.4 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,10,MODELED_BONUS,0.000081,~1 in 12392.7 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,11,MODELED_BONUS,0.000088,~1 in 11357.7 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,12,MODELED_BONUS,0.000095,~1 in 10482.2 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,13,MODELED_BONUS,0.000103,~1 in 9732.0 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,14,MODELED_BONUS,0.000110,~1 in 9082.0 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,15,MODELED_BONUS,0.000117,~1 in 8513.4 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,16,MODELED_BONUS,0.000125,~1 in 8011.9 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,17,MODELED_BONUS,0.000132,~1 in 7566.1 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,18,MODELED_BONUS,0.000140,~1 in 7167.3 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,19,MODELED_BONUS,0.000147,~1 in 6808.5 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,20,MODELED_BONUS,0.000154,~1 in 6483.8 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,21,MODELED_BONUS,0.000162,~1 in 6188.7 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,22,MODELED_BONUS,0.000169,~1 in 5919.3 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,23,MODELED_BONUS,0.000176,~1 in 5672.4 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,24,MODELED_BONUS,0.000184,~1 in 5445.3 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,25,MODELED_BONUS,0.000191,~1 in 5235.6 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,26,MODELED_BONUS,0.000198,~1 in 5046.6 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,27,MODELED_BONUS,0.000206,~1 in 4866.0 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,28,MODELED_BONUS,0.000213,~1 in 4697.9 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,29,MODELED_BONUS,0.000220,~1 in 4541.0 or 0.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|PRIOR_YEAR_ZERO_SUCCESS|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
BI6500,Resident,30,MODELED_BONUS,0.400228,~1 in 2.5 or 40.0%,BONUS_RULE_SIMULATED|HUNT_KIND_OIL|DRAW_POOL_STANDARD|MAX_POOL_DEPRECATED_NO_AUTO_100|APPLICANT_STACK_ROLLED_FORWARD|MAX_POINT_BOUNDARY_RECOMPUTED|OFFICIAL_2026_QUOTA_USED|RAC_CURRENT_YEAR_ALLOTMENT_USED|QUOTA_UNCHANGED|ROLLOVER_ADJUSTED_PROBABILITY_USED|MODERATE_DEMAND_HARVEST_SIGNAL|HARVEST_DEMAND_ADJUSTMENT_APPLIED|MIXED_MODEL_USED|PRIOR_YEAR_WEIGHTED_BASELINE|QUOTA_ADJUSTED_COMPONENT_USED|ROLLOVER_COMPONENT_USED|HARVEST_COMPONENT_USED|UNCERTAINTY_BAND_A
