bucket,hunt_code,hunt_name,species,permit_type,draw_system_type,algorithm_status,present_in_ml_draw_predictions_v1,present_in_draw_reality_engine_predictive_v2,present_in_hunt_master_enriched,present_in_hunt_unit_reference_linked,reason_not_modeled,recommended_action
coverage_seen_not_in_database,CG0001,Cougar - Statewide OTC (Harvest Reporting: Northwest Manti),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG0002,Cougar - Statewide OTC (Harvest Reporting: Nebo),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG0006,Cougar - Statewide OTC (Harvest Reporting: Southwest Manti),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG0009,Cougar - Statewide OTC (Harvest Reporting: Morgan-South Rich),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG0015,"Cougar - Statewide OTC (Harvest Reporting: Wasatch Mtns, Currant Creek-North)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG0016,"Cougar - Statewide OTC (Harvest Reporting: Wasatch Mtns, West-Strawberry)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1001,"Cougar - Statewide OTC (Harvest Reporting: Book Cliffs, East)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1002,"Cougar - Statewide OTC (Harvest Reporting: Book Cliffs, Rattlesnake Canyon/Nine Mile, South)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1003,"Cougar - Statewide OTC (Harvest Reporting: Box Elder, Pilot Mtn)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1004,Cougar - Statewide OTC (Harvest Reporting: Cache),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1005,"Cougar - Statewide OTC (Harvest Reporting: Fillmore, Oak Creek)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1006,Cougar - Statewide OTC (Harvest Reporting: Henry Mtns),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1007,Cougar - Statewide OTC (Harvest Reporting: Kaiparowits),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1008,Cougar - Statewide OTC (Harvest Reporting: La Sal Mtns),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1009,"Cougar - Statewide OTC (Harvest Reporting: Nine Mile, North)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1010,"Cougar - Statewide OTC (Harvest Reporting: North Slope, Summit/West Daggett)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1011,"Cougar - Statewide OTC (Harvest Reporting: North Slope, Three Corners)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1012,Cougar - Statewide OTC (Harvest Reporting: Ogden),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1013,Cougar - Statewide OTC (Harvest Reporting: Paunsaugunt),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1014,"Cougar - Statewide OTC (Harvest Reporting: Pine Valley, North)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1015,"Cougar - Statewide OTC (Harvest Reporting: Pine Valley, South)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1016,Cougar - Statewide OTC (Harvest Reporting: San Juan),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1017,Cougar - Statewide OTC (Harvest Reporting: San Rafael),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1018,Cougar - Statewide OTC (Harvest Reporting: Bonanza/Diamond Mtn/Vernal),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1019,Cougar - Statewide OTC (Harvest Reporting: Yellowstone),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1020,Cougar - Statewide OTC (Harvest Reporting: Southwest Desert),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1021,"Cougar - Statewide OTC (Harvest Reporting: Wasatch Mtns, Avintaquin/Currant Creek)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1022,"Cougar - Statewide OTC (Harvest Reporting: Wasatch Mtns, Cascade)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1023,"Cougar - Statewide OTC (Harvest Reporting: Wasatch Mtns, Timpanogos)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1024,"Cougar - Statewide OTC (Harvest Reporting: West Desert, Mountain Ranges)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1025,Cougar - Statewide OTC (Harvest Reporting: Zion),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1026,"Cougar - Statewide OTC (Harvest Reporting: San Juan, Desert)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1027,"Cougar - Statewide OTC (Harvest Reporting: San Juan, Mountains)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1028,"Cougar - Statewide OTC (Harvest Reporting: Wasatch Mtns, Salt Lake)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1030,"Cougar - Statewide OTC (Harvest Reporting: Beaver, East)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1031,"Cougar - Statewide OTC (Harvest Reporting: Beaver, West)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1032,"Cougar - Statewide OTC (Harvest Reporting: Oquirrh-Stansbury, West)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1033,Cougar - Statewide OTC (Harvest Reporting: Chalk Creek),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG1035,"Cougar - Statewide OTC (Harvest Reporting: Beaver, Mineral Mountains)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG7500,,,,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG7501,Cougar - Statewide OTC (Harvest Reporting: Chalk Creek/Kamas),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG7504,Cougar - Statewide OTC (Harvest Reporting: Oquirrh-Stansbury),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG7505,,,,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG7507,,,,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG7600,Cougar - Statewide OTC (Harvest Reporting: Beaver),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG7601,"Cougar - Statewide OTC (Harvest Reporting: Box Elder, Desert)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG7606,Cougar - Statewide OTC (Harvest Reporting: Nebo-West Face),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG7607,Cougar - Statewide OTC (Harvest Reporting: Northeast Manti),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG7609,Cougar - Statewide OTC (Harvest Reporting: Southeast Manti),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG7611,"Cougar - Statewide OTC (Harvest Reporting: Fillmore, Pahvant)",Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG7613,Cougar - Statewide OTC (Harvest Reporting: Mt Dutton),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG7615,Cougar - Statewide OTC (Harvest Reporting: Panguitch Lake),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG7618,Cougar - Statewide OTC (Harvest Reporting: Boulder),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG7619,Cougar - Statewide OTC (Harvest Reporting: Fishlake),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,CG7620,Cougar - Statewide OTC (Harvest Reporting: Thousand Lakes),Cougar,Statewide OTC,COUGAR_LICENSE_BASED,REFERENCE_LICENSE_BASED_NO_DRAW,YES,YES,YES,YES,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DA1005,,,,PREFERENCE_ANTLERLESS_DEER|YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DA1010,,,,PREFERENCE_ANTLERLESS_DEER|YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DA1016,,,,PREFERENCE_ANTLERLESS_DEER|YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DA1019,,,,PREFERENCE_ANTLERLESS_DEER|YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DA1020,,,,PREFERENCE_ANTLERLESS_DEER|YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DA1021,,,,PREFERENCE_ANTLERLESS_DEER|YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DA1022,,,,PREFERENCE_ANTLERLESS_DEER|YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DA1023,,,,PREFERENCE_ANTLERLESS_DEER|YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DA1024,,,,PREFERENCE_ANTLERLESS_DEER|YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DA1025,,,,PREFERENCE_ANTLERLESS_DEER|YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DA1032,,,,PREFERENCE_ANTLERLESS_DEER|YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DA1034,,,,PREFERENCE_ANTLERLESS_DEER|YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DA1035,,,,PREFERENCE_ANTLERLESS_DEER|YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DA1036,,,,PREFERENCE_ANTLERLESS_DEER|YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DA1037,,,,PREFERENCE_ANTLERLESS_DEER|YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DA1038,,,,PREFERENCE_ANTLERLESS_DEER|YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DB1021,,,,BONUS_LE_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DB1051,,,,BONUS_LE_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DB1052,,,,BONUS_LE_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DB1220,,,,BONUS_LE_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DB1221,,,,BONUS_LE_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DB1225,,,,BONUS_LE_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DB1247,,,,BONUS_LE_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,DS6619,,,,BONUS_OIL_BIG_GAME,MODELED_BONUS,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,EA1003,,,,PREFERENCE_ANTLERLESS_ELK|YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,EA1005,,,,PREFERENCE_ANTLERLESS_ELK|YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
coverage_seen_not_in_database,EA1006,,,,PREFERENCE_ANTLERLESS_ELK|YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,NO,NO,NO,NO,OBSERVED_HISTORY_ONLY,Keep in coverage history unless a current canonical mapping is restored.
