hunt_code,in_forecast,in_backtest,in_current_database,forecast_eligible_2026,exclusion_reason,hunt_type,species,hunt_name,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status
BR1016,True,True,True,False,included_forecast,O.T.C.,Black Bear,San Juan,0,2,2,0,2,2,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR1017,True,True,True,False,included_forecast,O.T.C.,Black Bear,La Sal,0,2,2,0,2,2,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR1018,True,False,True,False,included_forecast,O.T.C.,Black Bear,Pursuit,,,,,,,,,
BR7000,True,True,True,True,included_forecast,Limited Entry,Black Bear,Beaver,9,1,10,9,1,10,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7001,True,True,True,True,included_forecast,Limited Entry,Black Bear,"Book Cliffs, Bitter Creek/South",49,5,54,49,5,54,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7002,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,,,,,,,
BR7003,True,True,True,True,included_forecast,Limited Entry,Black Bear,"Manti, North",17,2,19,17,2,19,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7004,True,True,True,True,included_forecast,Limited Entry,Black Bear,"Manti South/San Rafael, North",18,2,20,18,2,20,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7005,True,True,True,True,included_forecast,Limited Entry,Black Bear,Nebo,7,0,7,7,0,7,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7006,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,,,,,,,
BR7007,True,True,True,True,included_forecast,Limited Entry,Black Bear,"Fillmore, Pahvant",1,0,1,1,0,1,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7008,True,True,True,False,included_forecast,Limited Entry,Black Bear,La Sal,,,,,,,,,LIVE_DWR_2026_NOT_ACTIVE_HISTORICAL_ONLY
BR7009,True,True,True,True,included_forecast,Limited Entry,Black Bear,Mt Dutton,4,0,4,4,0,4,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7010,True,True,True,True,included_forecast,Limited Entry,Black Bear,Panguitch Lake/Zion,9,0,9,9,0,9,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7011,True,True,True,True,included_forecast,Limited Entry,Black Bear,Paunsaugunt,4,0,4,4,0,4,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7012,True,True,True,True,included_forecast,Limited Entry,Black Bear,Boulder/Kaiparowits,20,2,22,20,2,22,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7013,True,True,True,True,included_forecast,Limited Entry,Black Bear,Fishlake/Thousand Lakes,7,0,7,7,0,7,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7014,True,True,True,True,included_forecast,Limited Entry,Black Bear,San Juan,35,3,38,35,3,38,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7015,True,True,True,True,included_forecast,Limited Entry,Black Bear,Diamond Mtn/Vernal/Bonanza,7,0,7,7,0,7,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7016,True,True,True,True,included_forecast,Limited Entry,Black Bear,"Wasatch Mtns, West-Central",36,4,40,36,4,40,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7017,True,True,True,True,included_forecast,Limited Entry,Black Bear,Cache/Ogden,2,0,2,2,0,2,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7018,True,True,True,True,included_forecast,Limited Entry,Black Bear,"Kamas/North Slope, Summit",5,0,5,5,0,5,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7019,True,True,True,False,included_forecast,Limited Entry,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,,,,,,,,,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
BR7020,True,True,True,True,included_forecast,Limited Entry,Black Bear,Monroe,1,0,1,1,0,1,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7021,True,True,True,True,included_forecast,Limited Entry,Black Bear,Dolores Triangle,2,0,2,2,0,2,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7022,True,True,True,True,included_forecast,Limited Entry,Black Bear,La Sal Mtns,40,3,43,40,3,43,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7100,True,True,True,True,included_forecast,Limited Entry,Black Bear,Beaver,9,1,10,9,1,10,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7101,True,True,True,True,included_forecast,Limited Entry,Black Bear,"Book Cliffs, Bitter Creek/South",14,1,15,14,1,15,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7102,True,True,True,True,included_forecast,Limited Entry,Black Bear,"Book Cliffs, Little Creek Roadless",5,0,5,5,0,5,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7103,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,,,,,,,
BR7104,True,True,True,True,included_forecast,Limited Entry,Black Bear,"Manti, North",17,1,18,17,1,18,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7105,True,True,True,True,included_forecast,Limited Entry,Black Bear,"Manti South/San Rafael, North",18,2,20,18,2,20,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7106,True,True,True,True,included_forecast,Limited Entry,Black Bear,Nebo,8,0,8,8,0,8,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7107,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,,,,,,,
BR7108,True,True,True,False,included_forecast,Limited Entry,Black Bear,La Sal,,,,,,,,,LIVE_DWR_2026_NOT_ACTIVE_HISTORICAL_ONLY
BR7109,True,True,True,True,included_forecast,Limited Entry,Black Bear,Mt Dutton,3,0,3,3,0,3,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7110,True,True,True,True,included_forecast,Limited Entry,Black Bear,Nine Mile,18,2,20,18,2,20,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7111,True,True,True,True,included_forecast,Limited Entry,Black Bear,"North Slope, Three Corners/West Daggett",1,0,1,1,0,1,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7112,True,True,True,True,included_forecast,Limited Entry,Black Bear,Panguitch Lake/Zion,5,0,5,5,0,5,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7113,True,True,True,True,included_forecast,Limited Entry,Black Bear,Paunsaugunt,3,0,3,3,0,3,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7114,True,True,True,True,included_forecast,Limited Entry,Black Bear,Boulder/Kaiparowits,13,1,14,13,1,14,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7115,True,True,True,True,included_forecast,Limited Entry,Black Bear,Fishlake/Thousand Lakes,7,0,7,7,0,7,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7116,True,True,True,True,included_forecast,Limited Entry,Black Bear,San Juan,22,2,24,22,2,24,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7117,True,True,True,True,included_forecast,Limited Entry,Black Bear,Diamond Mtn/Vernal/Bonanza,5,0,5,5,0,5,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7118,True,True,True,True,included_forecast,Limited Entry,Black Bear,Yellowstone,5,0,5,5,0,5,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7119,True,True,True,True,included_forecast,Limited Entry,Black Bear,"Wasatch Mtns, Avintaquin/Currant Creek",5,0,5,5,0,5,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7120,True,True,True,True,included_forecast,Limited Entry,Black Bear,"Wasatch Mtns, West-Central",22,1,23,22,1,23,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7121,True,True,True,True,included_forecast,Limited Entry,Black Bear,Cache/Ogden,4,0,4,4,0,4,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7122,True,True,True,True,included_forecast,Limited Entry,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,7,0,7,7,0,7,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7123,True,True,True,True,included_forecast,Limited Entry,Black Bear,"Kamas/North Slope, Summit",6,0,6,6,0,6,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7124,True,True,True,True,included_forecast,Limited Entry,Black Bear,"Fillmore, Pahvant",2,0,2,2,0,2,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7125,True,True,True,True,included_forecast,Limited Entry,Black Bear,Monroe,1,0,1,1,0,1,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7126,True,True,True,True,included_forecast,Limited Entry,Black Bear,Dolores Triangle,6,0,6,6,0,6,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7127,True,True,True,True,included_forecast,Limited Entry,Black Bear,La Sal Mtns,25,2,27,25,2,27,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7200,True,True,True,True,included_forecast,Limited Entry,Black Bear,Beaver,9,1,10,9,1,10,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7201,True,True,True,True,included_forecast,Limited Entry,Black Bear,"Book Cliffs, Bitter Creek/South",18,2,20,18,2,20,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7202,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,,,,,,,
BR7203,True,True,True,True,included_forecast,Limited Entry,Black Bear,"Manti, North",10,1,11,10,1,11,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7204,True,True,True,True,included_forecast,Limited Entry,Black Bear,"Manti South/San Rafael, North",18,2,20,18,2,20,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7205,True,True,True,True,included_forecast,Limited Entry,Black Bear,Nebo,5,0,5,5,0,5,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7206,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,,,,,,,
BR7207,True,True,True,True,included_forecast,Limited Entry,Black Bear,"Fillmore, Pahvant",1,0,1,1,0,1,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7208,True,True,True,False,included_forecast,Limited Entry,Black Bear,La Sal,,,,,,,,,LIVE_DWR_2026_NOT_ACTIVE_HISTORICAL_ONLY
BR7209,True,True,True,False,included_forecast,Limited Entry,Black Bear,Monroe,,,,,,,,,
BR7210,True,True,True,True,included_forecast,Limited Entry,Black Bear,Mt Dutton,3,0,3,3,0,3,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7211,True,True,True,True,included_forecast,Limited Entry,Black Bear,Nine Mile,5,0,5,5,0,5,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7212,True,True,True,True,included_forecast,Limited Entry,Black Bear,"North Slope, Three Corners/West Daggett",2,0,2,2,0,2,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7213,True,True,True,True,included_forecast,Limited Entry,Black Bear,Panguitch Lake/Zion,9,0,9,9,0,9,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7214,True,True,True,True,included_forecast,Limited Entry,Black Bear,Paunsaugunt,4,0,4,4,0,4,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7215,True,True,True,True,included_forecast,Limited Entry,Black Bear,Boulder/Kaiparowits,9,1,10,9,1,10,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7216,True,True,True,True,included_forecast,Limited Entry,Black Bear,Fishlake/Thousand Lakes,5,0,5,5,0,5,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7217,True,True,True,True,included_forecast,Limited Entry,Black Bear,San Juan,6,0,6,6,0,6,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
BR7218,True,True,True,True,included_forecast,Limited Entry,Black Bear,Diamond Mtn/Vernal/Bonanza,7,0,7,7,0,7,FALLBACK_EXISTING_2026_PERMITS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,FALLBACK_EXISTING_2026_PERMITS
