"local_path","size_bytes","size_mb","git_tracked","r2_bucket","r2_key","r2_uri","public_url_candidate","uploaded_at"
"audits/draw_truth_rebuild/draw_results_long_clean_rebuild/draw_results_long_CLEAN_CANDIDATE.csv","132078197","125.96","False","uoga-data","hunt-builder/large-files/audits/draw_truth_rebuild/draw_results_long_clean_rebuild/draw_results_long_CLEAN_CANDIDATE.csv","r2://uoga-data/hunt-builder/large-files/audits/draw_truth_rebuild/draw_results_long_clean_rebuild/draw_results_long_CLEAN_CANDIDATE.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/draw_truth_rebuild/draw_results_long_clean_rebuild/draw_results_long_CLEAN_CANDIDATE.csv","2026-06-20T20:53:28"
"audits/draw_truth_rebuild/draw_results_long_clean_rebuild_now/draw_results_long_CLEAN_CANDIDATE.csv","132078197","125.96","False","uoga-data","hunt-builder/large-files/audits/draw_truth_rebuild/draw_results_long_clean_rebuild_now/draw_results_long_CLEAN_CANDIDATE.csv","r2://uoga-data/hunt-builder/large-files/audits/draw_truth_rebuild/draw_results_long_clean_rebuild_now/draw_results_long_CLEAN_CANDIDATE.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/draw_truth_rebuild/draw_results_long_clean_rebuild_now/draw_results_long_CLEAN_CANDIDATE.csv","2026-06-20T20:53:32"
"data_truth/finalized_draw_truth_ALL.csv","129267681","123.28","False","uoga-data","hunt-builder/large-files/data_truth/finalized_draw_truth_ALL.csv","r2://uoga-data/hunt-builder/large-files/data_truth/finalized_draw_truth_ALL.csv","https://json.uoga.workers.dev/hunt-builder/large-files/data_truth/finalized_draw_truth_ALL.csv","2026-06-20T20:53:36"
"audits/draw_truth_rebuild/draw_results_long_identity_clear_hunt_class_check_20260607/planned_mutations.csv","127658394","121.74","False","uoga-data","hunt-builder/large-files/audits/draw_truth_rebuild/draw_results_long_identity_clear_hunt_class_check_20260607/planned_mutations.csv","r2://uoga-data/hunt-builder/large-files/audits/draw_truth_rebuild/draw_results_long_identity_clear_hunt_class_check_20260607/planned_mutations.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/draw_truth_rebuild/draw_results_long_identity_clear_hunt_class_check_20260607/planned_mutations.csv","2026-06-20T20:53:40"
"audits/draw_truth_rebuild/draw_results_long_identity_clear_hunt_class_check_20260607/mutation_ledger.csv","127658394","121.74","False","uoga-data","hunt-builder/large-files/audits/draw_truth_rebuild/draw_results_long_identity_clear_hunt_class_check_20260607/mutation_ledger.csv","r2://uoga-data/hunt-builder/large-files/audits/draw_truth_rebuild/draw_results_long_identity_clear_hunt_class_check_20260607/mutation_ledger.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/draw_truth_rebuild/draw_results_long_identity_clear_hunt_class_check_20260607/mutation_ledger.csv","2026-06-20T20:53:45"
"engine_rebuild_from_truth/engine/prediction_outputs.csv","121507527","115.88","False","uoga-data","hunt-builder/large-files/engine_rebuild_from_truth/engine/prediction_outputs.csv","r2://uoga-data/hunt-builder/large-files/engine_rebuild_from_truth/engine/prediction_outputs.csv","https://json.uoga.workers.dev/hunt-builder/large-files/engine_rebuild_from_truth/engine/prediction_outputs.csv","2026-06-20T20:53:49"
"audits/truth_document_audit/promote_2024_2025_yearly_truth_to_draw_results_long/promoted_2024_2025_conformed_rows.csv","118648202","113.15","False","uoga-data","hunt-builder/large-files/audits/truth_document_audit/promote_2024_2025_yearly_truth_to_draw_results_long/promoted_2024_2025_conformed_rows.csv","r2://uoga-data/hunt-builder/large-files/audits/truth_document_audit/promote_2024_2025_yearly_truth_to_draw_results_long/promoted_2024_2025_conformed_rows.csv","https://json.uoga.workers.dev/hunt-builder/large-files/audits/truth_document_audit/promote_2024_2025_yearly_truth_to_draw_results_long/promoted_2024_2025_conformed_rows.csv","2026-06-20T20:53:52"
"data/hunt_odds_history.json","113970739","108.69","False","uoga-data","hunt-builder/large-files/data/hunt_odds_history.json","r2://uoga-data/hunt-builder/large-files/data/hunt_odds_history.json","https://json.uoga.workers.dev/hunt-builder/large-files/data/hunt_odds_history.json","2026-06-20T20:53:56"
"pipeline/R2_OFFLOAD/incoming/processed_data/public_contracts/hunt_odds_history.json","113951774","108.67","False","uoga-data","hunt-builder/large-files/pipeline/R2_OFFLOAD/incoming/processed_data/public_contracts/hunt_odds_history.json","r2://uoga-data/hunt-builder/large-files/pipeline/R2_OFFLOAD/incoming/processed_data/public_contracts/hunt_odds_history.json","https://json.uoga.workers.dev/hunt-builder/large-files/pipeline/R2_OFFLOAD/incoming/processed_data/public_contracts/hunt_odds_history.json","2026-06-20T20:54:00"
"processed_data/public_contracts/hunt_odds_history.json","113951774","108.67","False","uoga-data","hunt-builder/large-files/processed_data/public_contracts/hunt_odds_history.json","r2://uoga-data/hunt-builder/large-files/processed_data/public_contracts/hunt_odds_history.json","https://json.uoga.workers.dev/hunt-builder/large-files/processed_data/public_contracts/hunt_odds_history.json","2026-06-20T20:54:04"
"processed_data/hunt_research_2026_ladder_bonus_max_random.json","110232489","105.13","False","uoga-data","hunt-builder/large-files/processed_data/hunt_research_2026_ladder_bonus_max_random.json","r2://uoga-data/hunt-builder/large-files/processed_data/hunt_research_2026_ladder_bonus_max_random.json","https://json.uoga.workers.dev/hunt-builder/large-files/processed_data/hunt_research_2026_ladder_bonus_max_random.json","2026-06-20T20:54:07"
"pipeline/R2_OFFLOAD/incoming/processed_data/hunt_research_2026_ladder_bonus_max_random.json","110232489","105.13","False","uoga-data","hunt-builder/large-files/pipeline/R2_OFFLOAD/incoming/processed_data/hunt_research_2026_ladder_bonus_max_random.json","r2://uoga-data/hunt-builder/large-files/pipeline/R2_OFFLOAD/incoming/processed_data/hunt_research_2026_ladder_bonus_max_random.json","https://json.uoga.workers.dev/hunt-builder/large-files/pipeline/R2_OFFLOAD/incoming/processed_data/hunt_research_2026_ladder_bonus_max_random.json","2026-06-20T20:54:11"
