hunt_code,year,residency,points,eligible_applicants,total_drawn,bonus_permits,regular_permits,total_permits,status,success_ratio,hunt_name,source_file,page_number,p_draw_percent
BI6500,2025,Resident,0,489,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 Big Game Draw Results.pdf,535,0.0
BI6500,2025,Resident,0,489,0,0,0,0,,,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,39,0.0
BI6503,2025,Nonresident,29,2,1,1,0,1,,1 in 2.0,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,50.0
BI6503,2025,Nonresident,29,2,1,1,0,1,,1 in 2.0,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,50.0
BI6503,2025,Nonresident,28,3,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,28,3,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,27,7,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,27,7,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,26,16,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,26,16,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,25,8,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,25,8,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,24,15,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,24,15,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,23,13,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,23,13,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,22,31,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,22,31,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,21,11,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,21,11,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,20,20,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,20,20,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,19,27,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,19,27,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,18,26,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,18,26,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,17,34,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,17,34,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,16,345,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,16,345,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,15,173,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,15,173,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,14,136,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,14,136,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,13,138,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,13,138,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,12,130,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,12,130,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,11,133,1,0,1,1,,1 in 133.0,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.7518796992481203
BI6503,2025,Nonresident,11,133,1,0,1,1,,1 in 133.0,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.7518796992481203
BI6503,2025,Nonresident,10,150,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
BI6503,2025,Nonresident,10,150,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 O.I.L. Draw Results.pdf,40,0.0
BI6503,2025,Nonresident,9,163,0,0,0,0,,,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,2025 Big Game Draw Results.pdf,536,0.0
