source_year,hunt_code,residency,points,species,hunt_name,weapon,public_permits_2025,max_point_permits_2025,random_permits_2025,guaranteed_at_2025,applicants_2025,odds_2025_actual,odds_2025_actual_pct,source_layer,source_origin
2025,BI6503,Nonresident,25,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,8,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,24,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,15,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,23,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,13,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,22,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,31,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,21,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,11,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,20,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,20,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,19,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,27,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,18,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,26,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,17,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,34,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,16,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,345,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,15,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,173,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,14,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,136,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,13,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,138,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,12,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,130,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,11,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,133,1 in 133.0,0.752,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,10,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,150,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,9,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,163,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,8,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,196,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,7,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,229,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,6,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,252,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,5,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,238,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,4,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,209,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,3,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,214,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,2,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,247,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,1,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,300,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6503,Nonresident,0,Bison,Henry Mtns,Any Legal Weapon,2,1,1,30,332,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,32,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,31,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,30,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,29,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,0,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,28,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,1,1 in 1.0,100.000,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,27,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,2,1 in 1.0,100.000,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,26,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,12,1 in 12.0,8.333,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,25,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,17,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,24,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,16,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,23,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,18,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,22,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,18,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,21,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,24,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,20,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,14,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,19,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,26,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,18,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,20,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,17,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,27,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,16,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,38,1 in 38.0,2.632,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,15,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,32,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,14,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,24,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,13,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,28,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,12,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,48,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,11,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,48,N/A,,draw_breakdown_2025,2025 raw PDFs
2025,BI6504,Resident,10,Bison,Henry Mtns,Any Legal Weapon,5,2,3,28,64,N/A,,draw_breakdown_2025,2025 raw PDFs
