hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,database_allotment_2026_res,database_allotment_2026_nr,database_allotment_2026_total,recommended_res,recommended_nr,recommended_total,database_alignment,reconciliation_status,winner_source,confidence,source_support_count,source_presence,conflicting_sources,recommended_action,decision_reason,hanumber_status,hunttable_status,utahdraws_status,buck_deer_status,database_status,prior_unresolved_classification,prior_unresolved_sources,remaining_split_bucket,remaining_matching_sources
BR7008,La Sal,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",49,5,54,49,5,54,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,MEDIUM_SINGLE_SOURCE,1,HANUMBER|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected as the only non-database source with permit values.,OK,DATABASE_ONLY,DATABASE_ONLY,,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,CORE_REVIEW,,
BR7021,Dolores Triangle,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",2,0,2,2,0,2,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected and exactly supported by 3 non-database source(s).,OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,CORE_REVIEW,,
BR7022,La Sal Mtns,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",40,3,43,40,3,43,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected and exactly supported by 3 non-database source(s).,OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,CORE_REVIEW,,
BR7108,La Sal,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 26 - June 29, 2025",25,2,27,25,2,27,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,MEDIUM_SINGLE_SOURCE,1,HANUMBER|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected as the only non-database source with permit values.,OK,DATABASE_ONLY,DATABASE_ONLY,,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,CORE_REVIEW,,
BR7126,Dolores Triangle,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",6,0,6,6,0,6,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected and exactly supported by 3 non-database source(s).,OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,CORE_REVIEW,,
BR7127,La Sal Mtns,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",25,2,27,25,2,27,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected and exactly supported by 3 non-database source(s).,OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,CORE_REVIEW,,
BR7208,La Sal,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug 1 - Aug 31, 2025 & Nov 3 - Nov 9, 2025",6,0,6,6,0,6,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,MEDIUM_SINGLE_SOURCE,1,HANUMBER|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected as the only non-database source with permit values.,OK,DATABASE_ONLY,DATABASE_ONLY,,RECONCILED_2026_TOTAL_MATCH_SPLIT_FILLED,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,CORE_REVIEW,,
BR7238,Dolores Triangle,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",2,0,2,2,0,2,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected and exactly supported by 3 non-database source(s).,OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,CORE_REVIEW,,
BR7239,La Sal Mtns,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",6,0,6,6,0,6,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected and exactly supported by 3 non-database source(s).,OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,CORE_REVIEW,,
BR7326,La Sal Mtns,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",13,1,14,13,1,14,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,HIGH_CONFIRMED_2PLUS,3,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected and exactly supported by 3 non-database source(s).,OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,CORE_REVIEW,,
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Any Legal Weapon,General Season,Aug 01 2026 - Aug 12 2026,,,20,,,20,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,HIGH_CONFIRMED_2PLUS,2,HANUMBER|HUNTTABLE|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected and exactly supported by 2 non-database source(s).,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,RECONCILED_2026_DA_RECOMMENDED_USER_CONFIRMED,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,REMAINING_AFTER_3_SOURCE_RULE,true_source_conflicts,HANUMBER
DA1018,"Pine Valley, New Harmony",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",General Season,Aug 01 2026 - Aug 12 2026,,,15,,,15,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,HIGH_CONFIRMED_2PLUS,2,HANUMBER|HUNTTABLE|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected and exactly supported by 2 non-database source(s).,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,RECONCILED_2026_DA_RECOMMENDED_USER_CONFIRMED,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,REMAINING_AFTER_3_SOURCE_RULE,true_source_conflicts,HANUMBER
DA1033,"San Juan, Monticello",Deer,Antlerless,Archery,General Season,Aug 01 2026 - Sept 14 2026,,,10,,,10,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,HIGH_CONFIRMED_2PLUS,2,HANUMBER|HUNTTABLE|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected and exactly supported by 2 non-database source(s).,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,RECONCILED_2026_DA_RECOMMENDED_USER_CONFIRMED,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,REMAINING_AFTER_3_SOURCE_RULE,true_source_conflicts,HANUMBER
DA1044,Myton,Deer,Antlerless,Any Legal Weapon,General Season,Sept 28 2024 - Dec 13 2024,,,50,,,50,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,MEDIUM_SINGLE_SOURCE,1,HANUMBER|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected as the only non-database source with permit values.,OK,DATABASE_ONLY,DATABASE_ONLY,,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,CORE_REVIEW,,
DA1051,Beaver City,Deer,Antlerless,Archery,General-Season,Aug 01 2026 - Sept 04 2026,,,10,,,10,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HUNTTABLE,MEDIUM_SINGLE_SOURCE,1,HUNTTABLE|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,hunttable selected as the only non-database source with permit values.,,LIVE_ONLY,,,RECONCILED_2026_RECOMMENDED_TOTAL_ONLY,DATABASE_MISSING,CORE_REVIEW,,
DB0007,Buck Deer - Statewide Permit,Deer,Buck,Any Legal Weapon,Statewide,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",,,1,,,1,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,UTAHDRAWS,MEDIUM_SINGLE_SOURCE,1,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,,PROMOTE_CANDIDATE_AFTER_REVIEW,utahdraws selected as the only non-database source with permit values.,OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,CORE_REVIEW,,
DB0008,Extended Archery Deer,Deer,Hunters Choice,Archery,Extended Archery,"Sept 12-Oct 15, 2026 -OR- Sept 12-Nov 30, 2026 See guidebook for units & dates",,,2000,,,2000,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,REVIEW_SOURCE_CONFLICT,2,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,UTAHDRAWS,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_TOTAL_ONLY,DATABASE_MATCHES_RECOMMENDED,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,true_source_conflicts,HANUMBER|HUNTTABLE
DB1001,Paunsaugunt,Deer,Buck,Archery,Premium Limited Entry,Aug 15 2026 - Sept 11 2026,26,3,29,26,3,29,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,UTAHDRAWS,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,CONSERVATION_TABLE_DB_MATCH,PERMIT_UNRESOLVED,,
DB1003,Henry Mtns,Deer,Buck,Any Legal Weapon,Premium Limited Entry,Oct 17 2026 - Oct 25 2026,24,3,27,24,3,27,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,UTAHDRAWS,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,CONSERVATION_TABLE_DB_MATCH,PERMIT_UNRESOLVED,,
DB1004,Paunsaugunt,Deer,Buck,Any Legal Weapon,Premium Limited Entry,Oct 17 2026 - Oct 31 2026,75,8,83,75,8,83,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,UTAHDRAWS,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,DATABASE_MATCHES_RECOMMENDED,PERMIT_UNRESOLVED,,
DB1006,Paunsaugunt,Deer,Buck,Muzzleloader,Premium Limited Entry,Sept 23 2026 - Oct 01 2026,26,3,29,26,3,29,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,UTAHDRAWS,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,DATABASE_MATCHES_RECOMMENDED,PERMIT_UNRESOLVED,,
DB1010,Paunsaugunt,Deer,Buck,Any Legal Weapon,Management Buck Deer,Nov 02 2026 - Nov 20 2026,30,3,33,30,3,33,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,UTAHDRAWS,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,DATABASE_MATCHES_RECOMMENDED,PERMIT_UNRESOLVED,,
DB1011,Book Cliffs,Deer,Buck,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,55,6,61,55,6,61,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,UTAHDRAWS,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,DATABASE_MATCHES_RECOMMENDED,PERMIT_UNRESOLVED,,
DB1015,Diamond Mtn,Deer,Buck,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,22,2,24,22,2,24,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,UTAHDRAWS,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,CONSERVATION_TABLE_DB_MATCH,PERMIT_UNRESOLVED,,
DB1016,"West Desert, Vernon",Deer,Buck,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,46,5,51,46,5,51,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,UTAHDRAWS,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,CONSERVATION_TABLE_DB_MATCH,PERMIT_UNRESOLVED,,
DB1017,"Book Cliffs, North",Deer,Buck,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,137,15,152,137,15,152,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,UTAHDRAWS,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,DATABASE_MATCHES_RECOMMENDED,PERMIT_UNRESOLVED,,
DB1018,"Book Cliffs, South",Deer,Buck,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,34,4,38,34,4,38,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,UTAHDRAWS,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,DATABASE_MATCHES_RECOMMENDED,PERMIT_UNRESOLVED,,
DB1019,"Fillmore, Oak Creek LE",Deer,Buck,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,33,4,37,33,4,37,DATABASE_MATCHES_RECOMMENDED,RECONCILED_DATABASE_ALLOTMENT_EXACT_MATCH,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,UTAHDRAWS,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,LIVE_DWR_RES_NR_SPLIT,CONSERVATION_TABLE_DB_MATCH,PERMIT_UNRESOLVED,,
