hunt_code,source_year,source_file,source_file_name,report_label,page_number_pdf_indexed,context_line_count,context_lines,source_use_recommendation
CG7502,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,COUGAR DRAW RESULTS,5,1,Hunt: CG7502,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
CG7506,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,COUGAR DRAW RESULTS,7,1,Hunt: CG7506,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
CG7602,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,COUGAR DRAW RESULTS,8,1,Hunt: CG7602,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
CG7603,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,COUGAR DRAW RESULTS,9,1,Hunt: CG7603,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
CG7605,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,COUGAR DRAW RESULTS,10,1,Hunt: CG7605,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
CG7610,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,COUGAR DRAW RESULTS,11,1,Hunt: CG7610,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
CG7612,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,COUGAR DRAW RESULTS,12,1,Hunt: CG7612,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1769,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__D.H. DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__D.H. DEER DRAW RESULTS.pdf,D.H. DEER DRAW RESULTS,3,1,Hunt: DB1769 Beaver - Any Legal Weapon,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1784,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__D.H. DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__D.H. DEER DRAW RESULTS.pdf,D.H. DEER DRAW RESULTS,17,1,Hunt: DB1784 Oquirrh-stansbury - Any Legal Weapon,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1796,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__D.H. DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__D.H. DEER DRAW RESULTS.pdf,D.H. DEER DRAW RESULTS,29,1,"Hunt: DB1796 West Desert, Tintic - Any Legal Weapon",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1797,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__D.H. DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__D.H. DEER DRAW RESULTS.pdf,D.H. DEER DRAW RESULTS,30,1,"Hunt: DB1797 West Desert, West -An y Legal Weapon",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1500,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS,3,1,Hunt: DB1500 Beaver - Archery Page 1,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1515,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS,17,1,Hunt: DB1515 Oquirrh-stansbury - Archery Page 15,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1527,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS,29,1,"Hunt: DB1527 West Desert, Tintic - Archery Page 27",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1528,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS,30,1,"Hunt: DB1528 West Desert, West -Archer y Page 28",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1530,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS,32,1,Hunt: DB1530 Beaver - Any Legal Weapon Page 30,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1532,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS,34,1,Hunt: DB1532 Cache - Any Legal Weapon Page 32,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1545,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS,46,1,Hunt: DB1545 Oquirrh-stansbury - Any Legal Weapon Page 44,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1548,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS,49,1,"Hunt: DB1548 Plateau, Boulder/kaiparowits - Any Legal Weapon Page 47",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1557,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS,58,1,"Hunt: DB1557 West Desert, Tintic - Any Legal Weapon Page 56",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1558,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS,59,1,"Hunt: DB1558 West Desert, West -An y Legal Weapon Page 57",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1560,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS,61,1,Hunt: DB1560 Beaver - Muzzleloader Page 59,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1562,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS,63,1,Hunt: DB1562 Cache - Muzzleloader Page 61,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1575,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS,75,1,Hunt: DB1575 Oquirrh-stansbury - Muzzleloader Page 73,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1578,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS,78,1,"Hunt: DB1578 Plateau, Boulder/kaiparowits - Muzzleloader Page 76",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1587,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS,87,1,"Hunt: DB1587 West Desert, Tintic - Muzzleloader Page 85",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1588,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS,88,1,"Hunt: DB1588 West Desert, West - Muzzleloader Page 86",SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1223,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,L.E. BIG GAME DRAW RESULTS,97,1,Hunt: DB1223 Cwmu Buck Deer - Conover-jensen - Any Legal Weapon Page 111,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1278,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,L.E. BIG GAME DRAW RESULTS,145,1,Hunt: DB1278 Cwmu Buck Deer - Powder Mountain - Any Legal Weapon Page 159,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1297,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,L.E. BIG GAME DRAW RESULTS,162,1,Hunt: DB1297 Cwmu Buck Deer - Stillman Creek Ranch - Any Legal Weapon Page 176,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1307,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,L.E. BIG GAME DRAW RESULTS,172,1,Hunt: DB1307 Cwmu Buck Deer - Weber Florence Creek - Any Legal Weapon Page 186,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
EB3510,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,L.E. BIG GAME DRAW RESULTS,324,1,Hunt: EB3510 Cwmu Any Bull Elk - Conover-jensen - Any Legal Weapon Page 354,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
EB3542,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,L.E. BIG GAME DRAW RESULTS,352,1,Hunt: EB3542 Cwmu Any Bull Elk - Powder Mountain - Any Legal Weapon Page 382,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
EB3563,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,L.E. BIG GAME DRAW RESULTS,371,1,Hunt: EB3563 Cwmu Any Bull Elk - Weber Florence Creek - Any Legal Weapon Page 401,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
PB5303,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,L.E. BIG GAME DRAW RESULTS,438,1,Hunt: PB5303 Cwmu Buck Pronghorn - Ensign Ranches - Any Legal Weapon Page 511,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
PB5307,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,L.E. BIG GAME DRAW RESULTS,441,1,Hunt: PB5307 Cwmu Buck Pronghorn - Rlf Deep Creek - Any Legal Weapon Page 514,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
MB6210,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,L.E. BIG GAME DRAW RESULTS,481,1,Hunt: MB6210 Cwmu Bull Moose - Folley Ridge - Any Legal Weapon Page 443,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
MB6226,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,L.E. BIG GAME DRAW RESULTS,486,1,Hunt: MB6226 Cwmu Bull Moose - Weber Florence Creek - Any Legal Weapon Page 448,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1223,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. DEER.pdf,2020_PERMITS=2021_MODEL__L.E. DEER.pdf,L.E. DEER,96,1,Hunt: DB1223 Cwmu Buck Deer - Conover-jensen - Any Legal Weapon Page 111,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1278,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. DEER.pdf,2020_PERMITS=2021_MODEL__L.E. DEER.pdf,L.E. DEER,144,1,Hunt: DB1278 Cwmu Buck Deer - Powder Mountain - Any Legal Weapon Page 159,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1297,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. DEER.pdf,2020_PERMITS=2021_MODEL__L.E. DEER.pdf,L.E. DEER,161,1,Hunt: DB1297 Cwmu Buck Deer - Stillman Creek Ranch - Any Legal Weapon Page 176,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
DB1307,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. DEER.pdf,2020_PERMITS=2021_MODEL__L.E. DEER.pdf,L.E. DEER,171,1,Hunt: DB1307 Cwmu Buck Deer - Weber Florence Creek - Any Legal Weapon Page 186,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
EB3510,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. ELK.pdf,2020_PERMITS=2021_MODEL__L.E. ELK.pdf,L.E. ELK,139,1,Hunt: EB3510 Cwmu Any Bull Elk - Conover-jensen - Any Legal Weapon Page 354,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
EB3542,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. ELK.pdf,2020_PERMITS=2021_MODEL__L.E. ELK.pdf,L.E. ELK,167,1,Hunt: EB3542 Cwmu Any Bull Elk - Powder Mountain - Any Legal Weapon Page 382,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
EB3563,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. ELK.pdf,2020_PERMITS=2021_MODEL__L.E. ELK.pdf,L.E. ELK,186,1,Hunt: EB3563 Cwmu Any Bull Elk - Weber Florence Creek - Any Legal Weapon Page 401,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
PB5303,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. PRONGHORN.pdf,2020_PERMITS=2021_MODEL__L.E. PRONGHORN.pdf,L.E. PRONGHORN,61,1,Hunt: PB5303 Cwmu Buck Pronghorn - Ensign Ranches - Any Legal Weapon Page 511,SOURCE_EVIDENCE_ONLY_2020_HISTORICAL_NOT_CURRENT_2026
