hunt_code,hunt_name,legacy_res,legacy_nr,legacy_total,dwr_res,dwr_nr,dwr_total,source_support_count,source_support_files,mismatch_fields,recommended_winner_flag,db_hunt_type,db_hunt_class,db_boundary_id,db_permit_allotment_2026_res,db_permit_allotment_2026_nr,db_permit_allotment_2026_total,db_permits_2026_res,db_permits_2026_nr,db_permits_2026_total,db_permits_2026_source,db_permits_2026_draw_source,db_permit_allotment_2026_source,db_permit_allotment_2026_source_file,db_permit_allotment_2026_status
DB1338,Sweetwater CWMU,,,0,,,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,REVIEW_REQUIRED,CWMU,,891,,,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1338,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
DB1343,Red Iron CWMU,,,0,1,0,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,907,1,0,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1343,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING
DB1344,Salt Wells CWMU,,,0,1,0,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,906,1,0,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1344,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING
DB1345,Diamond Mountain CWMU,,,0,1,0,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,923,1,0,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1345,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING
DB1348,Kimberly CWMU,,,0,1,0,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,922,1,0,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1348,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING
EA1010,"Cache, Rich",31,4,35,18,2,20,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,38,18,2,20,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EA1011,"Cache, Richards Hollow",18,2,20,9,1,10,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,39,9,1,10,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EA1021,Nebo,252,28,280,207,23,230,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,616,207,23,230,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EA1033,Kamas,90,10,100,112,13,125,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,611,112,13,125,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EA1035,"Kamas, Oakley",90,10,100,112,13,125,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,104,112,13,125,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EA1054,"Nine Mile, West Anthro",90,10,100,45,5,50,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,132,45,5,50,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EA1063,Ogden,90,10,100,67,8,75,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,609,67,8,75,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EA1069,Panguitch Lake,22,3,25,31,4,35,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,634,31,4,35,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EA1126,Cotton Thomas CWMU,,,0,5,,5,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,REVIEW_REQUIRED,CWMU,,640,5,,5,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1126,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
EA1176,Weber Florence Creek CWMU,,,0,65,,65,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,REVIEW_REQUIRED,CWMU,,524,65,,65,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1176,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
EA1180,La Sal (Conservation),,,17,,,8,1,hunt_unit_reference_linked,total,REVIEW_REQUIRED,Conservation,Conservation,684,,,8,,,,Utah DWR Hunt Planner,,Utah DWR Hunt Planner,2026_elk_antlerless__total.xlsx,NO_QUOTA_PUBLISHED
EA1193,"Cache, Rich",31,4,35,18,2,20,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,38,18,2,20,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EA1208,Nebo,292,33,325,247,28,275,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,616,247,28,275,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EA1222,"Beaver, East",36,4,40,27,3,30,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,685,27,3,30,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EA1223,"Beaver, East",36,4,40,27,3,30,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,685,27,3,30,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EA1251,"Southwest Desert, Burbank/Garrison",11,1,12,13,2,15,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,893,13,2,15,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EA1266,"Box Elder, Hansel Mtn",27,3,30,18,2,20,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,18,18,2,20,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EA1267,Cache,180,20,200,81,9,90,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,29,81,9,90,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EA1269,Ogden (excludes Hyrum),270,30,300,180,20,200,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,924,180,20,200,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EA1284,Panguitch Lake,49,6,55,31,4,35,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,634,31,4,35,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EA1285,Panguitch Lake,22,3,25,31,4,35,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,634,31,4,35,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EA2033,Kamas,180,20,200,225,25,250,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,611,225,25,250,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EA2036,"Oquirrh-Stansbury, East",63,7,70,54,6,60,4,draw_reality_engine;hunt_master_enriched;hunt_unit_reference_linked;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,General Season,Antlerless,86,54,6,60,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,LIVE_DWR_RES_NR_SPLIT
EB3010,Monroe,21,2,23,10,1,11,6,draw_reality_engine;draw_reality_engine_predictive_v2;hunt_master_enriched;hunt_unit_reference_linked;ml_draw_predictions_v1;point_ladder_view,"res,nr,total",RECOMMEND_DWR_TRUTH_SOURCE,Limited Entry,Mature Bull,629,10,1,11,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT
EB3047,Monroe,8,1,9,3,1,4,6,draw_reality_engine;draw_reality_engine_predictive_v2;hunt_master_enriched;hunt_unit_reference_linked;ml_draw_predictions_v1;point_ladder_view,"res,total",RECOMMEND_DWR_TRUTH_SOURCE,Limited Entry,Mature Bull,629,3,1,4,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT
EB3088,Monroe,13,1,14,10,1,11,6,draw_reality_engine;draw_reality_engine_predictive_v2;hunt_master_enriched;hunt_unit_reference_linked;ml_draw_predictions_v1;point_ladder_view,"res,total",RECOMMEND_DWR_TRUTH_SOURCE,Limited Entry,Mature Bull,629,10,1,11,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT
EB3112,Monroe,3,0,3,2,0,2,6,draw_reality_engine;draw_reality_engine_predictive_v2;hunt_master_enriched;hunt_unit_reference_linked;ml_draw_predictions_v1;point_ladder_view,"res,total",RECOMMEND_DWR_TRUTH_SOURCE,Limited Entry,Mature Bull,629,2,0,2,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT
EB3185,Monroe,24,3,27,18,3,21,6,draw_reality_engine;draw_reality_engine_predictive_v2;hunt_master_enriched;hunt_unit_reference_linked;ml_draw_predictions_v1;point_ladder_view,"res,total",RECOMMEND_DWR_TRUTH_SOURCE,Limited Entry,Mature Bull,629,18,3,21,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull,LIVE_DWR_RES_NR_SPLIT
EB3561,Two Bear CWMU,,,0,5,0,5,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,521,5,0,5,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3561,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
EB3609,Royal Ivory Outfitters CWMU,,,0,3,0,3,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,828,3,0,3,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3609,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
EB3616,Sweetwater CWMU,,,0,,,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,REVIEW_REQUIRED,CWMU,,891,,,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3616,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
EB3617,Diamond Mountain CWMU,,,0,1,0,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,923,1,0,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3617,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
MA1006,"Wasatch Mtns, West",,,0,4,1,5,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,Once-in-a-lifetime,,620,4,1,5,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=MA1006,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
MB6200,Bear Springs CWMU,,,0,1,0,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,575,1,0,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=MB6200,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING
MB6207,Durst Mountain CWMU,,,0,1,0,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,567,1,0,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=MB6207,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING
MB6209,Ensign Ranches CWMU,,,0,1,0,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,522,1,0,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=MB6209,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING
MB6217,Sharp Mountain CWMU,,,0,1,0,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,490,1,0,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=MB6217,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING
MB6220,South Canyon CWMU,,,0,1,0,1,2,draw_reality_engine_predictive_v2;ml_draw_predictions_v1,total,RECOMMEND_DWR_TRUTH_SOURCE,CWMU,,491,1,0,1,,,,DWR_HUNT_PLANNER_HaNumber_NONZERO_BACKFILL,,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=MB6220,CROSSWALK_CONFIRMED_ACTIVE_2025_PDF_2026_NUMBERS_PENDING
