hunt_code,hunt_name,species,permits_2024_res,permits_2024_nr,permits_2024_total,permits_2024_source
DA1042,"San Juan, Monticello",Deer,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5003,"Box Elder, Promontory",Pronghorn,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5028,"Box Elder, Promontory",Pronghorn,4,1,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PD1012,"Box Elder, Promontory",Pronghorn,5,1,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5004,"Box Elder, Puddle Valley",Pronghorn,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5029,"Box Elder, Puddle Valley",Pronghorn,9,1,10,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5005,"Box Elder, Snowville",Pronghorn,4,1,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5030,"Box Elder, Snowville",Pronghorn,8,1,9,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PD1000,"Box Elder, Snowville",Pronghorn,9,2,11,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DA1001,"Box Elder, West Bear River",Deer,16,1,17,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DA1002,"Box Elder, West Bear River",Deer,16,0,16,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1078,Cache,Deer,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1502,Cache,Deer,494,35,529,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1771,Cache,Deer,94,3,97,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
MB6000,Cache,Moose,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1026,"Cache, Crawford Mtn",Deer,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3003,"Cache, Meadowville",Elk,4,3,7,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3032,"Cache, Meadowville",Elk,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3033,"Cache, Meadowville",Elk,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3081,"Cache, Meadowville",Elk,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3105,"Cache, Meadowville",Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3168,"Cache, Meadowville",Elk,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3169,"Cache, Meadowville",Elk,5,1,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3132,"Cache, North",Elk,6,1,7,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3139,"Cache, North",Elk,4,1,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1010,"Cache, Rich",Elk,23,4,27,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1193,"Cache, Rich",Elk,16,3,19,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5073,"Cache, Rich",Pronghorn,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5074,"Cache, Rich",Pronghorn,1,1,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5075,"Cache, Rich",Pronghorn,1,1,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1011,"Cache, Richards Hollow",Elk,15,3,18,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1012,"Cache, Richmond Hyde Park",Elk,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1206,"Cache, Richmond Hyde Park",Elk,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3005,"Cache, South",Elk,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3036,"Cache, South",Elk,1,1,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3037,"Cache, South",Elk,1,1,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3083,"Cache, South",Elk,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3107,"Cache, South",Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3170,"Cache, South",Elk,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3171,"Cache, South",Elk,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1013,"Manti, Central",Elk,17,4,21,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1015,"Manti, Ferron Canyon",Elk,36,2,38,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1017,"Manti, Gordon Creek-Price Canyon",Elk,25,1,26,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1018,"Manti, Horn Mtn",Elk,19,2,21,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3006,Manti,Elk,35,4,39,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3038,Manti,Elk,15,1,16,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3039,Manti,Elk,22,2,24,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3084,Manti,Elk,13,4,17,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3108,Manti,Elk,5,1,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3126,Manti,Elk,25,4,29,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3172,Manti,Elk,1,1,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7003,Manti North,Black Bear,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7104,Manti North,Black Bear,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7203,Manti North,Black Bear,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7303,Manti North,Black Bear,4,1,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1020,"Manti, Mohrland-Stump Flat",Elk,22,5,27,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1022,"Manti, North",Elk,98,8,106,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1100,Chalk Creek,Deer,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1599,Chalk Creek,Deer,499,5,504,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1600,Chalk Creek,Deer,259,6,265,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1601,Chalk Creek,Deer,244,8,252,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1602,Chalk Creek,Deer,179,2,181,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1799,Chalk Creek,Deer,20,0,20,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1026,Chalk Creek,Elk,234,7,241,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
MB6001,Chalk Creek,Moose,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
RS6721,"Oquirrh-Stansbury, West",Rocky Mountain Bighorn Sheep,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DA1027,"East Canyon, Davis-North Salt Lake",Deer,20,1,21,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
MB6003,"East Canyon, Morgan-Summit",Moose,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5008,"Fillmore, Oak Creek South",Pronghorn,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5033,"Fillmore, Oak Creek South",Pronghorn,8,2,10,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5065,"Fillmore, Oak Creek South",Pronghorn,5,1,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PD1034,"Fillmore, Oak Creek South",Pronghorn,9,2,11,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PD1035,"Fillmore, Oak Creek South",Pronghorn,11,2,13,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1012,"Fillmore, Oak Creek LE",Deer,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1019,"Fillmore, Oak Creek LE",Deer,8,1,9,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1029,"Fillmore, Oak Creek LE",Deer,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1045,"Fillmore, Oak Creek LE",Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1209,"Fillmore, Oak Creek LE",Elk,17,2,19,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA2036,"Oquirrh-Stansbury, East",Elk,19,3,22,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7007,Fillmore Pahvant,Black Bear,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7124,Fillmore Pahvant,Black Bear,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7207,Fillmore Pahvant,Black Bear,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1030,"Fillmore, Pahvant",Elk,15,2,17,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1031,"Fillmore, Pahvant",Elk,18,2,20,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3008,"Fillmore, Pahvant",Elk,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3042,"Fillmore, Pahvant",Elk,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3043,"Fillmore, Pahvant",Elk,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3086,"Fillmore, Pahvant",Elk,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3110,"Fillmore, Pahvant",Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3180,"Fillmore, Pahvant",Elk,1,1,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3181,"Fillmore, Pahvant",Elk,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7017,Cache/Ogden,Black Bear,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7121,Cache/Ogden,Black Bear,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7228,Cache/Ogden,Black Bear,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7320,Cache/Ogden,Black Bear,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7122,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BI6503,Henry Mtns,Bison,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BI6504,Henry Mtns,Bison,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BI6505,Henry Mtns,Bison,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BI6506,Henry Mtns,Bison,5,1,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BI6509,Henry Mtns,Bison,1,1,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BI6516,Henry Mtns,Bison,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1000,Henry Mtns Premium,Deer,4,1,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1003,Henry Mtns Premium,Deer,9,2,11,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1005,Henry Mtns Premium,Deer,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1007,Henry Mtns Premium,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DS6600,Henry Mtns,Desert Bighorn Sheep,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1077,Boulder-Circle Cliffs,Elk,11,1,12,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5034,Kaiparowits,Pronghorn,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DS6601,"Kaiparowits, East",Desert Bighorn Sheep,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DS6603,"Kaiparowits, West",Desert Bighorn Sheep,1,1,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
GO6804,High Uintas Kamas,Mountain Goat,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1035,"Kamas, Oakley",Elk,58,11,69,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1207,"Nebo, Moroni Hills",Elk,8,2,10,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1226,"Nebo, Moroni Hills",Elk,10,0,10,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1013,Dolores Triangle,Deer,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1020,Dolores Triangle,Deer,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1031,Dolores Triangle,Deer,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1037,Dolores Triangle,Elk,21,2,23,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3044,Dolores Triangle,Elk,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PD1033,"San Rafael, Poison Springs Bench",Pronghorn,9,1,10,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DA1003,"Monroe/Plateau, Sevier Valley",Deer,7,0,7,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1231,"West Desert, Tintic Valley",Elk,38,3,41,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1103,Morgan-South Rich,Deer,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1607,Morgan-South Rich,Deer,307,17,324,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1608,Morgan-South Rich,Deer,181,3,184,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1609,Morgan-South Rich,Deer,165,9,174,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1610,Morgan-South Rich,Deer,105,1,106,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1801,Morgan-South Rich,Deer,8,0,8,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1228,Morgan-South Rich,Elk,40,4,44,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1229,Morgan-South Rich,Elk,78,14,92,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
MA1005,Morgan-South Rich,Moose,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
MB6005,Morgan-South Rich,Moose,1,1,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1044,"Morgan-South Rich, South Rich",Elk,13,2,15,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA2034,"Nine Mile, Anthro",Elk,6,2,8,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5011,"Nine Mile, Anthro-Myton Bench",Pronghorn,7,1,8,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5037,"Nine Mile, Anthro-Myton Bench",Pronghorn,17,4,21,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5059,"Nine Mile, Anthro-Myton Bench",Pronghorn,10,1,11,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1054,"Nine Mile, West Anthro",Elk,102,6,108,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1056,"North Slope, Greendale",Elk,4,1,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1058,"North Slope, Henrys Fork-Burnt Fork",Elk,47,6,53,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1196,"North Slope, Summit",Elk,35,4,39,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
MB6006,"North Slope, Summit",Moose,6,1,7,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
PB5039,"North Slope, Summit",Pronghorn,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3013,"North Slope, Three Corners",Elk,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3053,"North Slope, Three Corners",Elk,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3091,"North Slope, Three Corners",Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3115,"North Slope, Three Corners",Elk,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
RS6708,"North Slope, Three Corners",Rocky Mountain Bighorn Sheep,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1060,"North Slope, West Daggett",Elk,12,1,13,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1061,"North Slope, West Daggett",Elk,6,1,7,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1250,"North Slope, West Daggett",Elk,20,2,22,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
RS6709,"North Slope, Summit/West Daggett",Rocky Mountain Bighorn Sheep,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
GO6805,High Uintas Central,Mountain Goat,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
GO6806,High Uintas East,Mountain Goat,1,1,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
GO6807,High Uintas Leidy Peak,Mountain Goat,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
GO6808,High Uintas West,Mountain Goat,5,1,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
GO6810,"Ogden, Willard Peak",Mountain Goat,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7011,Paunsaugunt,Black Bear,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7113,Paunsaugunt,Black Bear,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7214,Paunsaugunt,Black Bear,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7323,Paunsaugunt,Black Bear,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1001,Paunsaugunt Premium,Deer,10,1,11,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1004,Paunsaugunt Premium,Deer,27,2,29,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1006,Paunsaugunt Premium,Deer,7,2,9,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1008,Paunsaugunt Premium,Deer,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1010,Paunsaugunt Management,Deer,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1058,Paunsaugunt Cactus,Deer,4,1,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1073,Paunsaugunt Management,Deer,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1074,Paunsaugunt Management,Deer,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1073,Paunsaugunt,Elk,9,2,11,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DA1009,"Pine Valley, Enterprise",Deer,14,1,15,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3145,Boulder,Elk,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3148,Boulder,Elk,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3151,Boulder,Elk,4,1,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3154,Boulder,Elk,4,1,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3156,Boulder,Elk,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3190,Boulder,Elk,1,1,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3191,Boulder,Elk,4,1,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7013,Fishlake/Thousand Lakes,Black Bear,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7115,Fishlake/Thousand Lakes,Black Bear,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7216,Fishlake/Thousand Lakes,Black Bear,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
BR7311,Fishlake/Thousand Lakes,Black Bear,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EA1078,Fishlake/Thousand Lakes,Elk,68,6,74,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3018,Fishlake/Thousand Lakes,Elk,15,2,17,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3063,Fishlake/Thousand Lakes,Elk,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3064,Fishlake/Thousand Lakes,Elk,15,3,18,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3065,Fishlake/Thousand Lakes,Elk,7,2,9,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3096,Fishlake/Thousand Lakes,Elk,9,1,10,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3120,Fishlake/Thousand Lakes,Elk,1,1,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3192,Fishlake/Thousand Lakes,Elk,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3019,San Juan Bull Elk,Elk,4,1,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3066,San Juan Bull Elk,Elk,4,1,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3067,San Juan Bull Elk,Elk,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3097,San Juan Bull Elk,Elk,5,1,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3121,San Juan Bull Elk,Elk,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3193,San Juan Bull Elk,Elk,1,1,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
EB3194,San Juan Bull Elk,Elk,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
DB1014,"San Juan, Elk Ridge",Deer,3,1,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING
