hunt_code,hit_in_2020_pdf,hit_count,source_files,report_labels,page_numbers,resolution_use
DB1297,YES,2,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__L.E. DEER.pdf,L.E. BIG GAME DRAW RESULTS; L.E. DEER,162; 161,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1307,YES,2,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__L.E. DEER.pdf,L.E. BIG GAME DRAW RESULTS; L.E. DEER,172; 171,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1339,NO,0,,,,NO_2020_EVIDENCE_FOUND
DB1340,NO,0,,,,NO_2020_EVIDENCE_FOUND
DB1500,YES,3,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS; LIFETIME G.S. DEER DRAW RESULTS; YOUTH G.S. DEER DRAW RESULTS,3; 2; 2,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1515,YES,3,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS; LIFETIME G.S. DEER DRAW RESULTS; YOUTH G.S. DEER DRAW RESULTS,17; 16; 16,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1527,YES,3,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS; LIFETIME G.S. DEER DRAW RESULTS; YOUTH G.S. DEER DRAW RESULTS,29; 28; 28,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1528,YES,2,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS; LIFETIME G.S. DEER DRAW RESULTS,30; 29,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1530,YES,3,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS; LIFETIME G.S. DEER DRAW RESULTS; YOUTH G.S. DEER DRAW RESULTS,32; 31; 30,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1532,YES,3,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS; LIFETIME G.S. DEER DRAW RESULTS; YOUTH G.S. DEER DRAW RESULTS,34; 33; 32,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1545,YES,3,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS; LIFETIME G.S. DEER DRAW RESULTS; YOUTH G.S. DEER DRAW RESULTS,46; 45; 44,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1548,YES,3,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS; LIFETIME G.S. DEER DRAW RESULTS; YOUTH G.S. DEER DRAW RESULTS,49; 48; 47,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1557,YES,3,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS; LIFETIME G.S. DEER DRAW RESULTS; YOUTH G.S. DEER DRAW RESULTS,58; 57; 56,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1558,YES,3,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS; LIFETIME G.S. DEER DRAW RESULTS; YOUTH G.S. DEER DRAW RESULTS,59; 58; 57,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1560,YES,3,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS; LIFETIME G.S. DEER DRAW RESULTS; YOUTH G.S. DEER DRAW RESULTS,61; 60; 59,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1562,YES,3,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS; LIFETIME G.S. DEER DRAW RESULTS; YOUTH G.S. DEER DRAW RESULTS,63; 62; 61,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1575,YES,3,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS; LIFETIME G.S. DEER DRAW RESULTS; YOUTH G.S. DEER DRAW RESULTS,75; 74; 73,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1578,YES,3,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS; LIFETIME G.S. DEER DRAW RESULTS; YOUTH G.S. DEER DRAW RESULTS,78; 77; 76,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1587,YES,3,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS; LIFETIME G.S. DEER DRAW RESULTS; YOUTH G.S. DEER DRAW RESULTS,87; 86; 85,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1588,YES,3,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,G.S. BUCK DEER DRAW RESULTS; LIFETIME G.S. DEER DRAW RESULTS; YOUTH G.S. DEER DRAW RESULTS,88; 87; 86,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1769,YES,2,2020_PERMITS=2021_MODEL__D.H. DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH D.H. DEER DRAW RESULTS.pdf,D.H. DEER DRAW RESULTS; YOUTH D.H. DEER DRAW RESULTS,3; 2,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1784,YES,2,2020_PERMITS=2021_MODEL__D.H. DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH D.H. DEER DRAW RESULTS.pdf,D.H. DEER DRAW RESULTS; YOUTH D.H. DEER DRAW RESULTS,17; 11,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1796,YES,2,2020_PERMITS=2021_MODEL__D.H. DEER DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH D.H. DEER DRAW RESULTS.pdf,D.H. DEER DRAW RESULTS; YOUTH D.H. DEER DRAW RESULTS,29; 23,HISTORICAL_SOURCE_EVIDENCE_ONLY
DB1797,YES,1,2020_PERMITS=2021_MODEL__D.H. DEER DRAW RESULTS.pdf,D.H. DEER DRAW RESULTS,30,HISTORICAL_SOURCE_EVIDENCE_ONLY
EA1009,YES,2,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS; YOUTH ANTLERLESS DRAW RESULTS,36; 33,HISTORICAL_SOURCE_EVIDENCE_ONLY
EA1052,YES,2,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS; YOUTH ANTLERLESS DRAW RESULTS,65; 62,HISTORICAL_SOURCE_EVIDENCE_ONLY
EA1091,YES,2,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS; YOUTH ANTLERLESS DRAW RESULTS,92; 89,HISTORICAL_SOURCE_EVIDENCE_ONLY
EA1098,YES,2,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS; YOUTH ANTLERLESS DRAW RESULTS,96; 93,HISTORICAL_SOURCE_EVIDENCE_ONLY
EA1099,YES,2,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS; YOUTH ANTLERLESS DRAW RESULTS,97; 94,HISTORICAL_SOURCE_EVIDENCE_ONLY
EA1100,YES,2,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS; YOUTH ANTLERLESS DRAW RESULTS,98; 95,HISTORICAL_SOURCE_EVIDENCE_ONLY
EA1144,NO,0,,,,NO_2020_EVIDENCE_FOUND
EA1155,YES,2,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS; YOUTH ANTLERLESS DRAW RESULTS,139; 134,HISTORICAL_SOURCE_EVIDENCE_ONLY
EA1194,YES,2,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS; YOUTH ANTLERLESS DRAW RESULTS,165; 159,HISTORICAL_SOURCE_EVIDENCE_ONLY
EA1205,YES,1,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS,172,HISTORICAL_SOURCE_EVIDENCE_ONLY
EA1227,YES,2,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS; YOUTH ANTLERLESS DRAW RESULTS,187; 177,HISTORICAL_SOURCE_EVIDENCE_ONLY
EA1253,NO,0,,,,NO_2020_EVIDENCE_FOUND
EA1255,NO,0,,,,NO_2020_EVIDENCE_FOUND
EA2035,NO,0,,,,NO_2020_EVIDENCE_FOUND
EB3510,YES,2,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__L.E. ELK.pdf,L.E. BIG GAME DRAW RESULTS; L.E. ELK,324; 139,HISTORICAL_SOURCE_EVIDENCE_ONLY
EB3542,YES,2,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__L.E. ELK.pdf,L.E. BIG GAME DRAW RESULTS; L.E. ELK,352; 167,HISTORICAL_SOURCE_EVIDENCE_ONLY
EB3563,YES,2,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__L.E. ELK.pdf,L.E. BIG GAME DRAW RESULTS; L.E. ELK,371; 186,HISTORICAL_SOURCE_EVIDENCE_ONLY
EB3612,NO,0,,,,NO_2020_EVIDENCE_FOUND
MA1000,YES,1,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS,230,HISTORICAL_SOURCE_EVIDENCE_ONLY
MB6210,YES,3,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__O.I.L. BULL MOOSE.pdf; 2020_PERMITS=2021_MODEL__O.I.L. MOOSE.pdf,L.E. BIG GAME DRAW RESULTS; O.I.L. BULL MOOSE; O.I.L. MOOSE,481; 21; 21,HISTORICAL_SOURCE_EVIDENCE_ONLY
MB6226,YES,3,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__O.I.L. BULL MOOSE.pdf; 2020_PERMITS=2021_MODEL__O.I.L. MOOSE.pdf,L.E. BIG GAME DRAW RESULTS; O.I.L. BULL MOOSE; O.I.L. MOOSE,486; 26; 26,HISTORICAL_SOURCE_EVIDENCE_ONLY
MB6252,NO,0,,,,NO_2020_EVIDENCE_FOUND
PB5303,YES,2,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__L.E. PRONGHORN.pdf,L.E. BIG GAME DRAW RESULTS; L.E. PRONGHORN,438; 61,HISTORICAL_SOURCE_EVIDENCE_ONLY
PB5307,YES,2,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__L.E. PRONGHORN.pdf,L.E. BIG GAME DRAW RESULTS; L.E. PRONGHORN,441; 64,HISTORICAL_SOURCE_EVIDENCE_ONLY
PD1005,YES,2,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS; YOUTH ANTLERLESS DRAW RESULTS,198; 187,HISTORICAL_SOURCE_EVIDENCE_ONLY
PD1014,YES,2,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS; YOUTH ANTLERLESS DRAW RESULTS,203; 192,HISTORICAL_SOURCE_EVIDENCE_ONLY
PD1037,YES,2,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS; YOUTH ANTLERLESS DRAW RESULTS,222; 211,HISTORICAL_SOURCE_EVIDENCE_ONLY
PD1038,YES,2,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS; YOUTH ANTLERLESS DRAW RESULTS,223; 212,HISTORICAL_SOURCE_EVIDENCE_ONLY
PD1041,YES,2,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf; 2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,ANTLERLESS DRAW RESULTS; YOUTH ANTLERLESS DRAW RESULTS,226; 215,HISTORICAL_SOURCE_EVIDENCE_ONLY
