hunt_code,prefix,first_present_report_year_in_transition,previous_report_year_absent,first_present_model_year_in_transition,previous_model_year_absent,seen_before_previous_year,source_files_first_present_year,source_pages_first_present_year
DB1334,DB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. DEER.pdf,181|182
DB1598,DB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2022_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,95|98
DS6624,DS,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. DESERT BIGHORN SHEEP.pdf,18|531
EA1082,EA,2021,2020,2022,2021,NO,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,78|82
EA1233,EA,2021,2020,2022,2021,NO,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,175
EA1234,EA,2021,2020,2022,2021,NO,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,167|176
EA1235,EA,2021,2020,2022,2021,NO,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,177
EA1236,EA,2021,2020,2022,2021,NO,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,168|178
EA1237,EA,2021,2020,2022,2021,NO,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,169|179
EA1238,EA,2021,2020,2022,2021,NO,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,170|180
EA1239,EA,2021,2020,2022,2021,NO,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,181
EA1240,EA,2021,2020,2022,2021,NO,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,171|182
EA1241,EA,2021,2020,2022,2021,NO,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,172|183
EA1242,EA,2021,2020,2022,2021,NO,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,173|184
EA1243,EA,2021,2020,2022,2021,NO,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,174|185
EA1244,EA,2021,2020,2022,2021,NO,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,175|186
EA1245,EA,2021,2020,2022,2021,NO,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,176|187
EB3130,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,96|279
EB3131,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,97|280
EB3132,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,98|281
EB3133,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,99|282
EB3134,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,100|283
EB3135,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,101|284
EB3136,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,102|285
EB3137,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,103|286
EB3138,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,104|287
EB3139,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,105|288
EB3140,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,106|289
EB3141,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,107|290
EB3142,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,108|291
EB3143,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,109|292
EB3144,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,110|293
EB3145,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,111|294
EB3146,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,112|295
EB3147,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,113|296
EB3148,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,114|297
EB3149,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,115|298
EB3150,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,116|299
EB3151,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,117|300
EB3152,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,118|301
EB3153,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,119|302
EB3154,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,120|303
EB3155,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,121|304
EB3156,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,122|305
EB3157,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,123|306
EB3608,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,184|367
EB3609,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,185|368
EB3610,EB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,186|369
MB6200,MB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BULL MOOSE.pdf,14|471
MB6216,MB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BULL MOOSE.pdf,23|480
MB6217,MB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BULL MOOSE.pdf,24|481
MB6220,MB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BULL MOOSE.pdf,26|483
MB6223,MB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BULL MOOSE.pdf,28|485
MB6225,MB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BULL MOOSE.pdf,30|487
MB6240,MB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BULL MOOSE.pdf,32|489
MB6252,MB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BULL MOOSE.pdf,34|491
MB6257,MB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BULL MOOSE.pdf,36|493
MB6262,MB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BULL MOOSE.pdf,37|494
MB6263,MB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BULL MOOSE.pdf,38|495
MB6264,MB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BULL MOOSE.pdf,39|496
PB5063,PB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. PRONGHORN.pdf,59|429
PB5064,PB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. PRONGHORN.pdf,60|430
PB5065,PB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. PRONGHORN.pdf,61|431
PB5066,PB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. PRONGHORN.pdf,62|432
PB5067,PB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. PRONGHORN.pdf,63|433
PB5338,PB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. PRONGHORN.pdf,85|455
PB5339,PB,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. PRONGHORN.pdf,86|456
PD1043,PD,2021,2020,2022,2021,NO,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,207|220
RS6727,RS,2021,2020,2022,2021,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. ROCKY MTN SHEEP.pdf,15|547
BI6528,BI,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__O.I.L. BISON.pdf,9|514
BI6529,BI,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__O.I.L. BISON.pdf,10|515
BI6530,BI,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__O.I.L. BISON.pdf,11|516
BI6531,BI,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__O.I.L. BISON.pdf,12|517
BI6532,BI,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__O.I.L. BISON.pdf,13|518
BI6533,BI,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__O.I.L. BISON.pdf,14|519
BI6534,BI,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__O.I.L. BISON.pdf,15|520
BI6535,BI,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__O.I.L. BISON.pdf,16|521
BI6536,BI,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__O.I.L. BISON.pdf,17|522
BR7019,BR,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__BEAR DRAW RESULTS.pdf,29
BR7020,BR,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__BEAR DRAW RESULTS.pdf,30
BR7124,BR,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__BEAR DRAW RESULTS.pdf,53
BR7125,BR,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__BEAR DRAW RESULTS.pdf,54
BR7322,BR,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__BEAR DRAW RESULTS.pdf,97
BR7323,BR,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__BEAR DRAW RESULTS.pdf,98
DA1047,DA,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,24|25
DB1094,DB,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. DEER.pdf,72|73
DB1299,DB,2022,2021,2023,2022,YES,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. DEER.pdf,155|156
DB1308,DB,2022,2021,2023,2022,YES,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. DEER.pdf,163|164
DB1312,DB,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. DEER.pdf,166|167
DB1335,DB,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. DEER.pdf,183|184
DB1336,DB,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. DEER.pdf,184|185
DB1337,DB,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. DEER.pdf,185|186
DB1338,DB,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. DEER.pdf,186|187
DB1339,DB,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. DEER.pdf,187|188
DB1340,DB,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. DEER.pdf,188|189
EA1037,EA,2022,2021,2023,2022,YES,2022/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,49|51
EA1177,EA,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf,141
EA1250,EA,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,170|180
EA1251,EA,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,171|181
EA1252,EA,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,172|182
EA1253,EA,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,173|183
EA1254,EA,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,174|184
EA1255,EA,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf,185
EA1256,EA,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,175|186
EA1257,EA,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,176|187
EB3558,EB,2022,2021,2023,2022,YES,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. ELK.pdf,172|362
EB3564,EB,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. ELK.pdf,177|367
EB3611,EB,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. ELK.pdf,186|376
EB3612,EB,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. ELK.pdf,187|377
EB3613,EB,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. ELK.pdf,188|378
EB3614,EB,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. ELK.pdf,189|379
MA1006,MA,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf,219
MB6256,MB,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__O.I.L. BULL MOOSE.pdf,33|502
MB6265,MB,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__O.I.L. BULL MOOSE.pdf,35|504
PB5072,PB,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. PRONGHORN.pdf,64|444
PB5341,PB,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. PRONGHORN.pdf,88|468
PD1044,PD,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,202|214
TK1021,TK,2022,2021,2023,2022,NO,2022/2022_PERMITS=2023_MODEL__TURKEY DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__YOUTH TURKEY DRAW RESULTS.pdf,7|8
BI6537,BI,2023,2022,2024,2023,NO,2023/2023_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2023/2023_PERMITS=2024_MODEL__O.I.L. BISON.pdf,18|507
DA1048,DA,2023,2022,2024,2023,NO,2023/2023_PERMITS=2024_MODEL__ANTLERLESS DRAW RESULTS.pdf|2023/2023_PERMITS=2024_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,20
DA1049,DA,2023,2022,2024,2023,NO,2023/2023_PERMITS=2024_MODEL__ANTLERLESS DRAW RESULTS.pdf|2023/2023_PERMITS=2024_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,21
DB1100,DB,2023,2022,2024,2023,NO,2023/2023_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2023/2023_PERMITS=2024_MODEL__L.E. DEER.pdf,71
DB1101,DB,2023,2022,2024,2023,NO,2023/2023_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2023/2023_PERMITS=2024_MODEL__L.E. DEER.pdf,72
