hunt_code,gap_side,present_in_public_age_export_universe,present_in_database2_1394_universe,present_in_database_csv_truth_1449,present_in_source_of_truth_json_1411,species,hunt_type,weapon,hunt_name,permit_allotment_2026_total,gap_classification,recommended_action
DB1089,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Deer,Limited Entry,Muzzleloader,"West Desert, West",5,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
DB1094,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Deer,Limited Entry,Muzzleloader,Myton,20,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
DB1276,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Deer,CWMU,Any Legal Weapon,Plymouth Peak CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
DB1320,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Deer,CWMU,Any Legal Weapon,Deer Creek CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
DB1324,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Deer,CWMU,Any Legal Weapon,Royal Ivory Outfitters CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
DB1338,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Deer,CWMU,Any Legal Weapon,Sweetwater CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
DB1343,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Deer,CWMU,Any Legal Weapon,Red Iron CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
DB1344,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Deer,CWMU,Any Legal Weapon,Salt Wells CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
DB1345,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Deer,CWMU,Any Legal Weapon,Diamond Mountain CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
DB1348,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Deer,CWMU,Any Legal Weapon,Kimberly CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
DS6602,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Desert Bighorn Sheep,Once-in-a-lifetime,Any Legal Weapon,"Kaiparowits, Escalante",8,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
EA1040,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Elk,General Season,Any Legal Weapon,"Monroe, Koosharem Valley",8,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
EA1074,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Elk,General Season,Any Legal Weapon,Pine Valley,5,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
EA1116,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Elk,General Season,Any Legal Weapon,Zion,20,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
EA1126,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Elk,CWMU,Any Legal Weapon,Cotton Thomas CWMU,5,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
EA1176,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Elk,CWMU,Any Legal Weapon,Weber Florence Creek CWMU,65,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
EA1252,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Elk,General Season,Any Legal Weapon,"Southwest Desert, Burbank/Garrison",5,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
EB3561,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Elk,CWMU,Any Legal Weapon,Two Bear CWMU,5,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
EB3609,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Elk,CWMU,Any Legal Weapon,Royal Ivory Outfitters CWMU,3,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
EB3616,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Elk,CWMU,Any Legal Weapon,Sweetwater CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
EB3617,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Elk,CWMU,Any Legal Weapon,Diamond Mountain CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
MA1006,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Moose,Once-in-a-lifetime,Any Legal Weapon,"Wasatch Mtns, West",5,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
MB6200,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Moose,CWMU,Any Legal Weapon,Bear Springs CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
MB6207,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Moose,CWMU,Any Legal Weapon,Durst Mountain CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
MB6209,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Moose,CWMU,Any Legal Weapon,Ensign Ranches CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
MB6217,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Moose,CWMU,Any Legal Weapon,Sharp Mountain CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
MB6220,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Moose,CWMU,Any Legal Weapon,South Canyon CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
MB6223,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Moose,CWMU,Any Legal Weapon,Three C CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
MB6224,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Moose,CWMU,Any Legal Weapon,Two Bear CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
MB6225,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Moose,CWMU,Any Legal Weapon,Wallsburg CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
MB6240,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Moose,CWMU,Any Legal Weapon,Chimney Rock CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
MB6254,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Moose,CWMU,Any Legal Weapon,SJ Ranch CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
MB6257,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Moose,CWMU,Any Legal Weapon,Ingham Peak CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
MB6259,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Moose,CWMU,Any Legal Weapon,Royal Ivory Outfitters CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
MB6263,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Moose,CWMU,Any Legal Weapon,Moon Ranch CWMU,,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
MB6264,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Moose,CWMU,Any Legal Weapon,Sand Creek CWMU,,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
PB5313,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Pronghorn,CWMU,Any Legal Weapon,West Willow Creek Ranch CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
PB5341,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Pronghorn,CWMU,Any Legal Weapon,Sweetwater CWMU,1,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
PD1006,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Pronghorn,General Season,Any Legal Weapon,Parker Mtn,25,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
PD1016,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Pronghorn,CWMU,Any Legal Weapon,Zane CWMU,4,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
PD1025,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Pronghorn,CWMU,Any Legal Weapon,Cottonwood Ridge CWMU,4,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
PD1026,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Pronghorn,CWMU,Any Legal Weapon,Pahvant Ensign CWMU,4,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
PD1032,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Pronghorn,CWMU,Any Legal Weapon,Antelope Creek CWMU,6,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
PD1045,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Pronghorn,CWMU,Any Legal Weapon,The Rose of Snowville CWMU,4,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
PD1046,PUBLIC_ONLY_VS_DATABASE2_1394,YES,NO,YES,NO,Pronghorn,CWMU,Any Legal Weapon,Green River Flat CWMU,6,CANONICAL_BASELINE_STALE_MISSING_ACTIVE_CODE,REALIGN_BASELINE_UNIVERSE_TO_DATABASE_CSV_1449
