hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,database_allotment_2026_res,database_allotment_2026_nr,database_allotment_2026_total,aligned_recommended_res,aligned_recommended_nr,aligned_recommended_total,alignment_type,winner_source,confidence,source_support_count,source_presence,recommended_action,unresolved_sources,unresolved_classification,remaining_split_bucket,remaining_matching_sources,remaining_matching_source_count
DB1026,"Cache, Crawford Mtn",Deer,Buck,Muzzleloader,Limited Entry,Nov 07 2026 - Nov 22 2026,8,1,9,8,1,9,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1034,Pine Valley,Deer,Buck,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,13,2,15,13,2,15,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1038,Diamond Mtn,Deer,Buck,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,22,2,24,22,2,24,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1041,"Wasatch Mtns, East",Deer,Buck,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,30,3,33,30,3,33,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1042,"West Desert, Vernon",Deer,Buck,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,46,5,51,46,5,51,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1043,Zion,Deer,Buck,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,15,2,17,15,2,17,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1079,Manti/San Rafael,Deer,Buck,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,40,5,45,40,5,45,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1087,"Wasatch Mtns, West",Deer,Buck,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,36,4,40,36,4,40,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1501,Box Elder,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,1040,,,1040,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1502,Cache,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,1160,,,1160,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1503,Manti/San Rafael,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,1800,,,1800,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1504,Nebo,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,1060,,,1060,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1506,Fillmore,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,460,,,460,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1508,Kamas,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,200,,,200,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1509,La Sal Mtns,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,360,,,360,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1510,Monroe,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,220,,,220,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1511,Mt Dutton,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,80,,,80,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1512,Nine Mile,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,280,,,280,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1513,North Slope,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,620,,,620,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1514,Ogden,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,540,,,540,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1516,Panguitch Lake,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,500,,,500,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1517,Pine Valley,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,600,,,600,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1518,Boulder/Kaiparowits,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,720,,,720,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1519,Fishlake,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,260,,,260,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1521,"San Juan, Abajo Mtns",Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,560,,,560,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1522,Vernal/Bonanza,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,420,,,420,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1523,Yellowstone,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,280,,,280,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1524,Southwest Desert,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,100,,,100,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1525,"Wasatch Mtns, East",Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,1300,,,1300,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1526,"Wasatch Mtns, West",Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,1580,,,1580,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1529,Zion,Deer,Buck,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,675,,,675,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1531,Box Elder,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,2080,,,2080,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1533,Manti/San Rafael,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,5400,,,5400,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1534,Nebo,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,3180,,,3180,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1536,Fillmore,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,920,,,920,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1538,Kamas,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,400,,,400,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1539,La Sal Mtns,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,1080,,,1080,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1540,Monroe,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,660,,,660,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1541,Mt Dutton,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,240,,,240,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1542,Nine Mile,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,560,,,560,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1543,North Slope,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,1240,,,1240,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1544,Ogden,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,1620,,,1620,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1546,Panguitch Lake,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,1000,,,1000,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1547,Pine Valley,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,1200,,,1200,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1549,Fishlake,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,520,,,520,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1551,"San Juan, Abajo Mtns",Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,1680,,,1680,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1552,Vernal/Bonanza,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,700,,,700,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1553,Yellowstone,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,840,,,840,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1554,Southwest Desert,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,300,,,300,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1555,"Wasatch Mtns, East",Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,3900,,,3900,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1556,"Wasatch Mtns, West",Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,4740,,,4740,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1559,Zion,Deer,Buck,Any Legal Weapon (Late),General Season,Oct 17 2026 - Oct 25 2026,,,1350,,,1350,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
DB1561,Box Elder,Deer,Buck,Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,,,1040,,,1040,DATABASE_MATCHES_RECOMMENDED,HANUMBER,REVIEW_SOURCE_CONFLICT,3,HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,REVIEW_BEFORE_PROMOTION,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,,,
