hunt_code,hunt_name,sex_type,species,weapon,hunt_type,season,xlsx_res,xlsx_nr,xlsx_total,xlsx_total_printed,xlsx_permit_shape,xlsx_row_start,xlsx_continuation_rows_collapsed,pasted_res,pasted_nr,pasted_total,pasted_permit_shape,xlsx_vs_pasted_status,hanumber_res,hanumber_nr,hanumber_total,hunttable_res,hunttable_nr,hunttable_total,utahdraws_res,utahdraws_nr,utahdraws_total,external_agreement_status,recommended_action,source_file,source_sha256
DB1008,Paunsaugunt,Buck,Deer,Multiseason,Premium Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 31, 2026",3,1,4,,RES_NR_SPLIT_TOTAL_COMPUTED,30,31,3,1,4,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,3,1,4,3,1,4,3,1,4,MATCHES_ALL_EXTERNAL_SOURCES_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1009,Henry Mtns (Management Buck Deer),Buck,Deer,Any Legal Weapon,Management Buck Deer,Oct 26 2026 - Oct 30 2026,10,1,11,,RES_NR_SPLIT_TOTAL_COMPUTED,32,33,10,1,11,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,10,1,11,10,1,11,10,1,11,MATCHES_ALL_EXTERNAL_SOURCES_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1010,Paunsaugunt,Buck,Deer,Any Legal Weapon,Management Buck Deer,Nov 02 2026 - Nov 20 2026,30,3,33,,RES_NR_SPLIT_TOTAL_COMPUTED,34,35,30,3,33,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,30,3,33,30,3,33,29,3,32,MATCHES_HANUMBER_AND_HUNTTABLE_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1011,Book Cliffs,Buck,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,55,6,61,,RES_NR_SPLIT_TOTAL_COMPUTED,36,37,55,6,61,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,55,6,61,55,6,61,54,5,59,MATCHES_HANUMBER_AND_HUNTTABLE_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1012,"Fillmore, Oak Creek LE",Buck,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,12,1,13,,RES_NR_SPLIT_TOTAL_COMPUTED,38,39,12,1,13,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,12,1,13,12,1,13,12,1,13,MATCHES_ALL_EXTERNAL_SOURCES_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1013,Dolores Triangle,Buck,Deer,Archery,Limited Entry,Oct 31 2026 - Nov 13 2026,5,0,5,,RES_NR_SPLIT_TOTAL_COMPUTED,40,41,5,0,5,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,5,0,5,5,0,5,5,0,5,MATCHES_ALL_EXTERNAL_SOURCES_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1014,"San Juan, Elk Ridge",Buck,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,15,2,17,,RES_NR_SPLIT_TOTAL_COMPUTED,42,43,15,2,17,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,15,2,17,15,2,17,15,2,17,MATCHES_ALL_EXTERNAL_SOURCES_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1015,Diamond Mtn,Buck,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,22,2,24,,RES_NR_SPLIT_TOTAL_COMPUTED,44,45,22,2,24,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,22,2,24,22,2,24,21,2,23,MATCHES_HANUMBER_AND_HUNTTABLE_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1016,"West Desert, Vernon",Buck,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,46,5,51,,RES_NR_SPLIT_TOTAL_COMPUTED,46,47,46,5,51,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,46,5,51,46,5,51,44,4,48,MATCHES_HANUMBER_AND_HUNTTABLE_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1017,"Book Cliffs, North",Buck,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,137,15,152,,RES_NR_SPLIT_TOTAL_COMPUTED,48,49,137,15,152,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,137,15,152,137,15,152,134,14,148,MATCHES_HANUMBER_AND_HUNTTABLE_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
