hunt_code,residency,points,guaranteed_at_2026,point_pool_zone,display_2026_max_point_pool,expected_display,status
BI6516,Nonresident,5,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,6,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,7,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,8,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,9,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,10,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,11,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,12,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,13,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,14,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,15,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,16,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,17,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,18,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,19,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,20,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,21,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,22,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,23,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,24,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,25,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,26,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,27,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,28,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,29,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,30,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,31,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,32,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Resident,27,27,max_pool_guaranteed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Resident,28,27,max_pool_guaranteed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Resident,29,27,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Resident,30,27,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Resident,31,27,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Resident,32,27,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,0,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,1,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,2,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,3,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,4,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,5,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,6,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,7,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,8,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,9,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,10,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,11,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,12,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,13,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,14,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,15,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,16,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,17,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,18,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,19,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,20,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,21,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,22,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,23,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,24,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,25,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,26,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,27,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,28,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,29,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,30,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,31,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Nonresident,32,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Resident,20,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Resident,21,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Resident,22,20,max_pool_guaranteed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Resident,23,20,max_pool_guaranteed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Resident,24,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Resident,25,20,max_pool_guaranteed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Resident,26,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Resident,27,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Resident,28,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Resident,29,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Resident,30,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Resident,31,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6528,Resident,32,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,0,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,1,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,2,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,3,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,4,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,5,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,6,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,7,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,8,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,9,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,10,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,11,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,12,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,13,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,14,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,15,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,16,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,17,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,18,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,19,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,20,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,21,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,22,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,23,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,24,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,25,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,26,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,27,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,28,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,29,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,30,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,31,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Nonresident,32,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Resident,13,13,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Resident,14,13,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Resident,15,13,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Resident,16,13,max_pool_cutoff_mixed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Resident,17,13,max_pool_guaranteed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Resident,18,13,max_pool_guaranteed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Resident,19,13,max_pool_guaranteed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Resident,20,13,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Resident,21,13,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Resident,22,13,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Resident,23,13,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Resident,24,13,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Resident,25,13,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Resident,26,13,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Resident,27,13,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Resident,28,13,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6529,Resident,29,13,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
