source_family,source_file,source_row_count,hunt_code,source_hunt_name,species,sex_type,weapon,hunt_type,hunt_class,source_res,source_nr,source_total,source_permit_shape,mapping_status,notes,comparison_status,current_reconciliation_confidence,current_reconciliation_winner,recommended_res,recommended_nr,recommended_total,database_res,database_nr,database_total,database_hunt_name,database_hunt_type,database_hunt_class,database_source
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1006,Paunsaugunt,Deer,Buck,Muzzleloader,L.E.,P.L.E.,26,3,29,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,26,3,29,26,3,29,Paunsaugunt Premium,Premium Limited Entry,Premium Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1007,Henry Mtns,Deer,Buck,Multiseason,L.E.,P.L.E.,1,,1,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_TOTAL_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,1,0,1,1,0,1,Henry Mtns Premium,Premium Limited Entry,Premium Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1008,Paunsaugunt,Deer,Buck,Multiseason,L.E.,P.L.E.,3,1,4,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,3,1,4,3,1,4,Paunsaugunt Premium,Premium Limited Entry,Premium Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1009,Henry Mtns (Management Buck Deer),Deer,Buck,Any Legal Weapon,L.E.,Management,10,1,11,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,10,1,11,10,1,11,Henry Mtns Management,Premium Limited Entry,Management,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1010,Paunsaugunt,Deer,Buck,Any Legal Weapon,L.E.,Management,30,3,33,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,30,3,33,30,3,33,Paunsaugunt Management,Premium Limited Entry,Management,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1011,Book Cliffs,Deer,Buck,Archery,L.E.,,55,6,61,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,55,6,61,55,6,61,Book Cliffs,Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1012,"Fillmore, Oak Creek LE",Deer,Buck,Archery,L.E.,,12,1,13,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,12,1,13,12,1,13,"Fillmore, Oak Creek LE",Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1013,Dolores Triangle,Deer,Buck,Archery,L.E.,,5,,5,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_TOTAL_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,5,0,5,5,0,5,Dolores Triangle,Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,L.E.,,15,2,17,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,15,2,17,15,2,17,"San Juan, Elk Ridge",Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1015,Diamond Mtn,Deer,Buck,Archery,L.E.,,22,2,24,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,22,2,24,22,2,24,Diamond Mtn,Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1016,"West Desert, Vernon",Deer,Buck,Archery,L.E.,,46,5,51,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,46,5,51,46,5,51,"West Desert, Vernon",Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1017,"Book Cliffs, North",Deer,Buck,Any Legal Weapon,L.E.,,137,15,152,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,137,15,152,137,15,152,"Book Cliffs, North",Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1018,"Book Cliffs, South",Deer,Buck,Any Legal Weapon,L.E.,,34,4,38,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,34,4,38,34,4,38,"Book Cliffs, South",Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1019,"Fillmore, Oak Creek LE",Deer,Buck,Any Legal Weapon,L.E.,,33,4,37,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,33,4,37,33,4,37,"Fillmore, Oak Creek LE",Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1020,Dolores Triangle,Deer,Buck,Any Legal Weapon,L.E.,,13,2,15,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,13,2,15,13,2,15,Dolores Triangle,Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,L.E.,,42,5,47,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,42,5,47,42,5,47,"San Juan, Elk Ridge",Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1023,Diamond Mtn,Deer,Buck,Any Legal Weapon,L.E.,,61,7,68,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,61,7,68,61,7,68,Diamond Mtn,Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1024,"West Desert, Vernon",Deer,Buck,Any Legal Weapon,L.E.,,130,14,144,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,130,14,144,130,14,144,"West Desert, Vernon",Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1025,Book Cliffs,Deer,Buck,Muzzleloader,L.E.,,55,6,61,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,55,6,61,55,6,61,Book Cliffs,Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1026,"Cache, Crawford Mtn",Deer,Buck,Muzzleloader,L.E.,,8,1,9,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,8,1,9,8,1,9,"Cache, Crawford Mtn",Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1028,Fillmore,Deer,Buck,Muzzleloader,L.E.,,11,1,12,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,11,1,12,11,1,12,Fillmore,Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1029,"Fillmore, Oak Creek LE",Deer,Buck,Muzzleloader,L.E.,,12,1,13,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,12,1,13,12,1,13,"Fillmore, Oak Creek LE",Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1030,Kamas,Deer,Buck,Muzzleloader,L.E.,,4,1,5,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,4,1,5,4,1,5,Kamas,Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1031,Dolores Triangle,Deer,Buck,Muzzleloader,L.E.,,5,,5,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_TOTAL_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,5,0,5,5,0,5,Dolores Triangle,Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1032,Monroe,Deer,Buck,Muzzleloader,L.E.,,5,1,6,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,5,1,6,5,1,6,Monroe,Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1033,Nine Mile,Deer,Buck,Muzzleloader,L.E.,,6,1,7,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,6,1,7,6,1,7,Nine Mile,Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1034,Pine Valley,Deer,Buck,Muzzleloader,L.E.,,13,2,15,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,13,2,15,13,2,15,Pine Valley,Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1037,"San Juan, Elk Ridge",Deer,Buck,Muzzleloader,L.E.,,15,2,17,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,15,2,17,15,2,17,"San Juan, Elk Ridge",Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1038,Diamond Mtn,Deer,Buck,Muzzleloader,L.E.,,22,2,24,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,22,2,24,22,2,24,Diamond Mtn,Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1039,Yellowstone,Deer,Buck,Muzzleloader,L.E.,,6,1,7,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,6,1,7,6,1,7,Yellowstone,Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1040,Southwest Desert,Deer,Buck,Muzzleloader,L.E.,,4,1,5,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,4,1,5,4,1,5,Southwest Desert,Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1041,"Wasatch Mtns, East",Deer,Buck,Muzzleloader,L.E.,,30,3,33,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,30,3,33,30,3,33,"Wasatch Mtns, East",Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1042,"West Desert, Vernon",Deer,Buck,Muzzleloader,L.E.,,46,5,51,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,46,5,51,46,5,51,"West Desert, Vernon",Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1043,Zion,Deer,Buck,Muzzleloader,L.E.,,15,2,17,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,15,2,17,15,2,17,Zion,Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1044,Book Cliffs,Deer,Buck,Multiseason,L.E.,,8,1,9,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,8,1,9,8,1,9,Book Cliffs,Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1045,"Fillmore, Oak Creek LE",Deer,Buck,Multiseason,L.E.,,2,,2,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_TOTAL_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,2,0,2,2,0,2,"Fillmore, Oak Creek LE",Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1046,"San Juan, Elk Ridge",Deer,Buck,Multiseason,L.E.,,2,,2,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_TOTAL_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,2,0,2,2,0,2,"San Juan, Elk Ridge",Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1047,Diamond Mtn,Deer,Buck,Multiseason,L.E.,,4,,4,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_TOTAL_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,4,0,4,4,0,4,Diamond Mtn,Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1048,"West Desert, Vernon",Deer,Buck,Multiseason,L.E.,,7,1,8,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,7,1,8,7,1,8,"West Desert, Vernon",Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1053,Mt Dutton,Deer,Buck,Muzzleloader,L.E.,,4,1,5,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,4,1,5,4,1,5,Mt Dutton,Limited Entry,Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
