row_key,hunt_code,residency,species,hunt_name,unit_name,average_harvest_age,harvest_success_pct,average_days_hunted,age_source_lineage,blank_classification,likely_should_exist_from_harvest_or_days,classification_reason
BR7111|Nonresident,BR7111,Nonresident,Black Bear,North Slope Three Corners/West Daggett,North Slope Three Corners/West Daggett,8.7,100.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7111|Resident,BR7111,Resident,Black Bear,North Slope Three Corners/West Daggett,North Slope Three Corners/West Daggett,8.7,100.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7112|Nonresident,BR7112,Nonresident,Black Bear,Panguitch Lake/Zion,Panguitch Lake/Zion,4.8,67.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7112|Resident,BR7112,Resident,Black Bear,Panguitch Lake/Zion,Panguitch Lake/Zion,4.8,67.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7113|Nonresident,BR7113,Nonresident,Black Bear,Paunsaugunt,Paunsaugunt,3.0,0.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7113|Resident,BR7113,Resident,Black Bear,Paunsaugunt,Paunsaugunt,3.0,0.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7114|Nonresident,BR7114,Nonresident,Black Bear,Boulder/Kaiparowits,Boulder/Kaiparowits,6.2,40.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7114|Resident,BR7114,Resident,Black Bear,Boulder/Kaiparowits,Boulder/Kaiparowits,6.2,40.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7115|Nonresident,BR7115,Nonresident,Black Bear,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,3.5,83.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7115|Resident,BR7115,Resident,Black Bear,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,3.5,83.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7116|Nonresident,BR7116,Nonresident,Black Bear,San Juan,San Juan,4.0,71.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7116|Resident,BR7116,Resident,Black Bear,San Juan,San Juan,4.0,71.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7117|Nonresident,BR7117,Nonresident,Black Bear,Diamond Mtn/Vernal/Bonanza,Diamond Mtn/Vernal/Bonanza,4.2,56.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7117|Resident,BR7117,Resident,Black Bear,Diamond Mtn/Vernal/Bonanza,Diamond Mtn/Vernal/Bonanza,4.2,56.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7118|Nonresident,BR7118,Nonresident,Black Bear,Yellowstone,Yellowstone,5.4,40.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7118|Resident,BR7118,Resident,Black Bear,Yellowstone,Yellowstone,5.4,40.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7119|Nonresident,BR7119,Nonresident,Black Bear,Wasatch Mtns Avintaquin/Currant Creek,Wasatch Mtns Avintaquin/Currant Creek,5.0,86.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7119|Resident,BR7119,Resident,Black Bear,Wasatch Mtns Avintaquin/Currant Creek,Wasatch Mtns Avintaquin/Currant Creek,5.0,86.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7120|Nonresident,BR7120,Nonresident,Black Bear,Wasatch Mtns West-Central,Wasatch Mtns West-Central,4.7,58.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7120|Resident,BR7120,Resident,Black Bear,Wasatch Mtns West-Central,Wasatch Mtns West-Central,4.7,58.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7121|Nonresident,BR7121,Nonresident,Black Bear,Cache/Ogden,Cache/Ogden,6.2,100.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7121|Resident,BR7121,Resident,Black Bear,Cache/Ogden,Cache/Ogden,6.2,100.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7122|Nonresident,BR7122,Nonresident,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,Chalk Creek/East Canyon/Morgan-South Rich,4.4,60.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7122|Resident,BR7122,Resident,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,Chalk Creek/East Canyon/Morgan-South Rich,4.4,60.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7123|Nonresident,BR7123,Nonresident,Black Bear,Kamas/North Slope Summit,Kamas/North Slope Summit,4.3,83.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7123|Resident,BR7123,Resident,Black Bear,Kamas/North Slope Summit,Kamas/North Slope Summit,4.3,83.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7124|Nonresident,BR7124,Nonresident,Black Bear,Fillmore Pahvant,Fillmore Pahvant,3.0,100.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
