hunt_code,hunt_name,species,database_alignment,action_taken,changed_fields,before_res,before_nr,before_total,after_res,after_nr,after_total,recommended_res,recommended_nr,recommended_total,winner_source,confidence,source_support_count,before_source,after_source,before_status,after_status,notes
DB1080,Nebo,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,23,3,26,23,3,26,23,3,26,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1081,La Sal Mtns,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,8,1,9,8,1,9,8,1,9,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1082,Oquirrh-Stansbury,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,12,1,13,12,1,13,12,1,13,HANUMBER,MEDIUM_SINGLE_SOURCE,1,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1083,Panguitch Lake,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,12,1,13,12,1,13,12,1,13,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1084,Boulder/Kaiparowits,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,12,1,13,12,1,13,12,1,13,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1085,"San Juan, Abajo Mtns",Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,13,1,14,13,1,14,13,1,14,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1086,Vernal/Bonanza,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,6,1,7,6,1,7,6,1,7,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1087,"Wasatch Mtns, West",Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,36,4,40,36,4,40,36,4,40,HANUMBER,REVIEW_SOURCE_CONFLICT,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1088,"West Desert, Tintic",Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,4,1,5,4,1,5,4,1,5,HANUMBER,MEDIUM_SINGLE_SOURCE,1,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1089,"West Desert, West",Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,4,1,5,4,1,5,4,1,5,HANUMBER,MEDIUM_SINGLE_SOURCE,1,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1090,HAMSS,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,6,1,7,6,1,7,6,1,7,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1091,HAMSS,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,4,1,5,4,1,5,4,1,5,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1094,Myton,Deer,DATABASE_TOTAL_MATCHES_RECOMMENDED,RECONCILED_TOTAL_MATCH,permit_allotment_2026_nr|permit_allotment_2026_source|permit_allotment_2026_source_file|permit_allotment_2026_status,20,,20,20,0,20,20,0,20,HANUMBER,MEDIUM_SINGLE_SOURCE,1,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,2026_CURRENT_PERMIT_RECONCILIATION:HANUMBER,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,RECONCILED_2026_TOTAL_MATCH_SPLIT_FILLED,DATABASE total already matches recommended total. Blank split cell(s) were filled from the recommended source.
DB1100,Chalk Creek,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,10,1,11,10,1,11,10,1,11,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1101,East Canyon,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,9,1,10,9,1,10,9,1,10,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1103,Morgan-South Rich,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,7,1,8,7,1,8,7,1,8,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1105,HAMSS,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,6,1,7,6,1,7,6,1,7,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1106,Thousand Lakes,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,20,2,22,20,2,22,20,2,22,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1107,Thousand Lakes,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,20,2,22,20,2,22,20,2,22,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1108,Thousand Lakes,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,27,3,30,27,3,30,27,3,30,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1109,Thousand Lakes,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,2,0,2,2,0,2,2,0,2,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1110,"Beaver, East",Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,10,1,11,10,1,11,10,1,11,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1111,"Beaver, West",Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,4,1,5,4,1,5,4,1,5,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1112,"West Desert, Swasey",Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,4,1,5,4,1,5,4,1,5,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1113,Oquirrh/Tintic,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,10,1,11,10,1,11,10,1,11,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1114,Cedar/Stansbury,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,5,1,6,5,1,6,5,1,6,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1115,Little Rockies,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,4,1,5,4,1,5,4,1,5,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1116,HAMSS,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,4,1,5,4,1,5,4,1,5,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1119,Moab Valley,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,9,1,10,9,1,10,9,1,10,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1120,Castle Valley,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,13,2,15,13,2,15,13,2,15,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1121,Antelope Island Management,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,2,0,2,2,0,2,2,0,2,HANUMBER,HIGH_CONFIRMED_2PLUS,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1200,Alton - Premium Buck CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,3,0,3,3,0,3,3,0,3,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1201,Alton - Management Buck CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,1,0,1,1,0,1,1,0,1,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1202,Antelope Creek CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,1,0,1,1,0,1,1,0,1,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1203,Avintaquin Canyon CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,1,0,1,1,0,1,1,0,1,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1204,Bally Watts CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,1,0,1,1,0,1,1,0,1,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1205,Bar J Ranch CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,1,0,1,1,0,1,1,0,1,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1206,Bear Mountain CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,1,0,1,1,0,1,1,0,1,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1207,Bear Springs CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,1,0,1,1,0,1,1,0,1,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1208,Blackhawk CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,2,0,2,2,0,2,2,0,2,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1209,Blind Springs CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,1,0,1,1,0,1,1,0,1,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1211,Blue Spring Hills CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,1,0,1,1,0,1,1,0,1,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1212,Bluebell CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,1,0,1,1,0,1,1,0,1,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1213,Boobe Hole CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,2,0,2,2,0,2,2,0,2,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1215,Buckhorn Ranch CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,1,0,1,1,0,1,1,0,1,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1216,Castle Valley Outdoors CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,1,0,1,1,0,1,1,0,1,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1217,Causey Spring CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,1,0,1,1,0,1,1,0,1,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1219,Chimney Rock CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,2,0,2,2,0,2,2,0,2,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1222,Coldwater Ranch CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,2,0,2,2,0,2,2,0,2,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1224,Cotton Thomas CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,1,0,1,1,0,1,1,0,1,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
DB1227,Deer Haven CWMU,Deer,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,2,0,2,2,0,2,2,0,2,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,DATABASE allotment already matches recommended resident/nonresident/total values.
