hunt_code,prefix,present_report_year,first_missing_report_year,present_model_year,first_missing_model_year,reappears_later,permanent_through_2026,source_files_present_year,source_pages_present_year
EA1185,EA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,152|158
EA1197,EA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,161|167
EA1210,EA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,177
EA1211,EA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,168|178
EA1214,EA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,169|179
EA1219,EA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,171|181
EA1230,EA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,180|190
EB3004,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,6|191
EB3012,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,14|199
EB3014,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,16|201
EB3017,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,19|204
EB3021,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,23|208
EB3023,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,25|210
EB3029,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,31|216
EB3030,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,32|217
EB3034,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,36|221
EB3035,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,37|222
EB3051,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,53|238
EB3052,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,54|239
EB3054,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,56|241
EB3055,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,57|242
EB3061,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,63|248
EB3062,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,64|249
EB3070,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,72|257
EB3071,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,73|258
EB3074,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,76|261
EB3075,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,77|262
EB3076,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,78|263
EB3080,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,82|267
EB3082,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,84|269
EB3090,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,92|277
EB3092,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,94|279
EB3095,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,97|282
EB3099,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,101|286
EB3101,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,103|288
EB3106,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,108|293
EB3114,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,116|301
EB3116,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,118|303
EB3119,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,121|306
EB3123,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,125|310
EB3125,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,127|312
EB3512,EB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,141|326
EB3558,EB,2020,2021,2021,2022,YES,NO,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. ELK.pdf,182|367
MA1004,MA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,233
MB6205,MB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__O.I.L. BULL MOOSE.pdf|2020/2020_PERMITS=2021_MODEL__O.I.L. MOOSE.pdf,16|476
MB6258,MB,2020,2021,2021,2022,YES,NO,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__O.I.L. BULL MOOSE.pdf|2020/2020_PERMITS=2021_MODEL__O.I.L. MOOSE.pdf,29|489
PB5333,PB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. PRONGHORN.pdf,79|456
PB5334,PB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. PRONGHORN.pdf,80|457
PB5335,PB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. PRONGHORN.pdf,81|458
PD1001,PD,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,184|195
PD1028,PD,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,202|213
PD1029,PD,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,203|214
PD1040,PD,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,214|225
RS6702,RS,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__O.I.L. ROCKY MTN SHEEP.pdf,3|530
BI1000,BI,2021,2022,2022,2023,YES,NO,2021/2021_PERMITS=2022_MODEL__SPORTSMAN DRAW RESULTS.pdf,1
BI6517,BI,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BISON.pdf,9|506
BI6519,BI,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BISON.pdf,10|507
BI6520,BI,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BISON.pdf,11|508
BI6521,BI,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BISON.pdf,12|509
BI6523,BI,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BISON.pdf,13|510
BI6524,BI,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BISON.pdf,14|511
BI6526,BI,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BISON.pdf,15|512
BR1000,BR,2021,2022,2022,2023,YES,NO,2021/2021_PERMITS=2022_MODEL__SPORTSMAN DRAW RESULTS.pdf,1
BR7209,BR,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,58
BR7226,BR,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,73
BR7227,BR,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,74
BR7230,BR,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,77
BR7231,BR,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,78
BR7232,BR,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,79
BR7233,BR,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,80
BR7234,BR,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,81
BR7235,BR,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,82
BR7236,BR,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,83
CG1000,CG,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__SPORTSMAN DRAW RESULTS.pdf,1
CG7503,CG,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__COUGAR DRAW RESULTS.pdf,5
CG9999,CG,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__SPORTSMAN DRAW RESULTS.pdf,1
DA1000,DA,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,2|3
DA1004,DA,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,6|7
DA1007,DA,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,7|8
DA1017,DA,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,12|13
DA1029,DA,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,17|18
DB0007,DB,2021,2022,2022,2023,YES,NO,2021/2021_PERMITS=2022_MODEL__SPORTSMAN DRAW RESULTS.pdf,1
DB1210,DB,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. DEER.pdf,81|82
DB1259,DB,2021,2022,2022,2023,YES,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. DEER.pdf,120|121
DB1302,DB,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. DEER.pdf,158|159
DS1000,DS,2021,2022,2022,2023,YES,NO,2021/2021_PERMITS=2022_MODEL__SPORTSMAN DRAW RESULTS.pdf,1
DS6612,DS,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. DESERT BIGHORN SHEEP.pdf,13|526
EA1055,EA,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,58|62
EA1066,EA,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,65|69
EA1067,EA,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,66|70
EA1068,EA,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,67|71
EA1190,EA,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,144|151
EA1241,EA,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,172|183
EB1000,EB,2021,2022,2022,2023,YES,NO,2021/2021_PERMITS=2022_MODEL__SPORTSMAN DRAW RESULTS.pdf,1
EB3528,EB,2021,2022,2022,2023,YES,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,148|331
EB3535,EB,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,155|338
EB3538,EB,2021,2022,2022,2023,YES,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,157|340
GO1000,GO,2021,2022,2022,2023,YES,NO,2021/2021_PERMITS=2022_MODEL__SPORTSMAN DRAW RESULTS.pdf,1
MA1001,MA,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,224
MA1003,MA,2021,2022,2022,2023,NO,YES,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,225
MB1000,MB,2021,2022,2022,2023,YES,NO,2021/2021_PERMITS=2022_MODEL__SPORTSMAN DRAW RESULTS.pdf,1
MB6201,MB,2021,2022,2022,2023,YES,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BULL MOOSE.pdf,15|472
MB6225,MB,2021,2022,2022,2023,YES,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BULL MOOSE.pdf,30|487
MB6252,MB,2021,2022,2022,2023,YES,NO,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. BULL MOOSE.pdf,34|491
