hunt_code,audit_bucket,presence_status,comparison_status,live_hunt_name,database_hunt_name,live_res,live_nr,live_total,database_compared_res,database_compared_nr,database_compared_total,live_shape_status,database_compare_source,source_url,notes
BI6531,MATCH_EXACT,LIVE_AND_DATABASE,MATCH,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",10,0,10,10,0,10,LIVE_DWR_RES_NR_SPLIT,DATABASE.permit_allotment_2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,
BI6532,MATCH_EXACT,LIVE_AND_DATABASE,MATCH,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",6,0,6,6,0,6,LIVE_DWR_RES_NR_SPLIT,DATABASE.permit_allotment_2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,
BI6534,MATCH_EXACT,LIVE_AND_DATABASE,MATCH,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",10,0,10,10,0,10,LIVE_DWR_RES_NR_SPLIT,DATABASE.permit_allotment_2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,
BI6535,MATCH_EXACT,LIVE_AND_DATABASE,MATCH,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",8,0,8,8,0,8,LIVE_DWR_RES_NR_SPLIT,DATABASE.permit_allotment_2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,
BI6536,REVIEW_DATABASE_ONLY_NOT_IN_LIVE_PULL,DATABASE_ONLY,DATABASE_ONLY,,"Book Cliffs, Bitter Creek",,,,15,0,15,,DATABASE.permit_allotment_2026,,Hunt code exists in current DATABASE.csv but was not exposed by queried live DWR HuntBoundary endpoints.
BI6537,MATCH_EXACT,LIVE_AND_DATABASE,MATCH,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",8,7,15,8,7,15,LIVE_DWR_RES_NR_SPLIT,DATABASE.permit_allotment_2026,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,
BI6538,BOTH_BLANK_NO_PERMIT_NUMBER,LIVE_AND_DATABASE,BOTH_BLANK,"Nine Mile, Private Lands Only","Nine Mile, Private Lands Only",,,,,,,LIVE_DWR_NO_QUOTA_PUBLISHED,,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,
BI6539,REVIEW_DATABASE_ONLY_NOT_IN_LIVE_PULL,DATABASE_ONLY,DATABASE_ONLY,,Henry Mtns,,,,11,0,11,,DATABASE.permit_allotment_2026,,Hunt code exists in current DATABASE.csv but was not exposed by queried live DWR HuntBoundary endpoints.
BR1000,BOTH_BLANK_NO_PERMIT_NUMBER,LIVE_AND_DATABASE,BOTH_BLANK,Black Bear - Statewide Permit,Black Bear - Statewide Permit,,,,,,,LIVE_DWR_NO_QUOTA_PUBLISHED,,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex,
BR1001,BOTH_BLANK_NO_PERMIT_NUMBER,LIVE_AND_DATABASE,BOTH_BLANK,Black Bear Harvest Objective Units,Black Bear Harvest Objective Units,,,,,,,LIVE_DWR_NO_QUOTA_PUBLISHED,,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex,
