year_folder,draw_results_year,model_year,old_name,new_name,action_taken,reason
2023,2023,2024,2023_PERMITS=2024_MODEL__O.I.L. DESERT BIGHORN SHEEP.pdf,2023_PERMITS=2024_MODEL__O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2023,2023,2024,2023_PERMITS=2024_MODEL__O.I.L. MTN GOAT.pdf,2023_PERMITS=2024_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2023,2023,2024,2023_PERMITS=2024_MODEL__O.I.L. ROCKY MTN SHEEP.pdf,2023_PERMITS=2024_MODEL__O.I.L. ROCKY MTN SHEEP DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2024,2024,2025,2024_PERMITS=2024_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,2024_PERMITS=2025_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,RENAMED,legacy name mapping
2024,2024,2025,2024_PERMITS=2025_MODEL__L.E. DEER.pdf,2024_PERMITS=2025_MODEL__L.E. DEER DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2024,2024,2025,2024_PERMITS=2025_MODEL__L.E. ELK.pdf,2024_PERMITS=2025_MODEL__L.E. ELK DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2024,2024,2025,2024_PERMITS=2025_MODEL__L.E. PRONGHORN.pdf,2024_PERMITS=2025_MODEL__L.E. PRONGHORN DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2024,2024,2025,2024_PERMITS=2025_MODEL__O.I.L. BISON.pdf,2024_PERMITS=2025_MODEL__O.I.L. BISON DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2024,2024,2025,2024_PERMITS=2025_MODEL__O.I.L. BULL MOOSE.pdf,2024_PERMITS=2025_MODEL__O.I.L. BULL MOOSE DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2024,2024,2025,2024_PERMITS=2025_MODEL__O.I.L. DESERT BIGHORN SHEEP.pdf,2024_PERMITS=2025_MODEL__O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2024,2024,2025,2024_PERMITS=2025_MODEL__O.I.L. MTN GOAT.pdf,2024_PERMITS=2025_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2024,2024,2025,2024_PERMITS=2025_MODEL__O.I.L. ROCKY MTN SHEEP.pdf,2024_PERMITS=2025_MODEL__O.I.L. ROCKY MTN SHEEP DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2021,2021,2022,2021_PERMITS=2022_MODEL__YOUTH_ELK_DRAW_RESULTS.pdf,2021_PERMITS=2022_MODEL__YOUTH ELK DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2023,2023,2024,2023_PERMITS=2024_MODEL__YOUTH_ELK_DRAW_RESULTS.pdf,2023_PERMITS=2024_MODEL__YOUTH ELK DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2024,2024,2025,2024_PERMITS=2025_MODEL__YOUTH_ELK_DRAW_RESULTS.pdf,2024_PERMITS=2025_MODEL__YOUTH ELK DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2025,2025,2026,2025_PERMITS=2026_MODEL__YOUTH_ELK_DRAW_RESULTS.pdf,2025_PERMITS=2026_MODEL__YOUTH ELK DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2022,2022,2023,2022_PERMITS=2023_MODEL__L.E.%20DRAW%20RESULTS.pdf,2022_PERMITS=2023_MODEL__L.E. DRAW RESULTS.pdf,RENAMED,percent-encoded canonical filename cleanup
2022,2022,2023,2022_PERMITS=2023_MODEL__O.I.L.%20DRAW%20RESULTS.pdf,2022_PERMITS=2023_MODEL__O.I.L. DRAW RESULTS.pdf,RENAMED,percent-encoded canonical filename cleanup
