year_folder,draw_results_year,model_year,old_path,old_name,new_path,new_name,extension,status,action_taken,category,reason
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__O.I.L. ROCKY MTN SHEEP DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__O.I.L. ROCKY MTN SHEEP DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__O.I.L. ROCKY MTN SHEEP DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__O.I.L. ROCKY MTN SHEEP DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,O.I.L. ROCKY MTN SHEEP DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__SPORTSMAN DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__SPORTSMAN DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__SPORTSMAN DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__SPORTSMAN DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,SPORTSMAN DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__TURKEY DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__TURKEY DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__TURKEY DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__TURKEY DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,TURKEY DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,YOUTH ANTLERLESS DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__YOUTH D.H. DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__YOUTH D.H. DEER DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__YOUTH D.H. DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__YOUTH D.H. DEER DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,YOUTH D.H. DEER DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__YOUTH ELK DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__YOUTH ELK DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__YOUTH ELK DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__YOUTH ELK DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,YOUTH ELK DRAW RESULTS,canonical category cleanup
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,YOUTH G.S. DEER DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__YOUTH TURKEY DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__YOUTH TURKEY DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__YOUTH TURKEY DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__YOUTH TURKEY DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,YOUTH TURKEY DRAW RESULTS,already normalized naming structure with non-reference category
2021,2021,2022,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2021\2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2021\2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,ANTLERLESS DRAW RESULTS,already normalized naming structure with non-reference category
2021,2021,2022,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2021\2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2021\2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,BEAR DRAW RESULTS,already normalized naming structure with non-reference category
