draw_results_year,permit_draw_year,report_year,model_year,hunt_code,prefix,source_appearance_count,source_file_count,source_files,source_report_families,source_pages,source_hunt_titles,combined_total_permits_values,current_database_match_statuses,name_match_statuses,totals_parse_statuses,lifecycle_classes,normalization_notes,duplicate_source_files,conflicting_source_names,conflicting_total_permits,crosscheck_status
2025,2025,2025,2026,BR1017,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,11,La Sal - Pursuit,2,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7000,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,12,Beaver -An y Legal Weapon,10,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7003,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,14,Manti North - Any Legal Weapon,19,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7005,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,16,Nebo - Any Legal Weapon,7,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7007,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,17,"Fillmore, Pahvant - Any Legal Weapon",1,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7008,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,18,La Sal - Any Legal Weapon,43,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,TERMINAL_DROPOFF_CANDIDATE,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7009,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,19,Mt Dutton - Any Legal Weapon,4,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7010,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,20,Panguitch Lake/zion - Any Legal Weapon,9,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7011,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,21,Paunsaugunt - Any Legal Weapon,4,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7012,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,22,Boulder/kaiparowits - Any Legal Weapon,22,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
