hunt_code,hunt_name,species,sex_type,hunt_type,universe_status,delete_recommendation,successor_hunt_code,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_status,notes
BR1017,La Sal,Black Bear,Either Sex,Restricted Pursuit - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,0.0,2.0,2,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR1018,Black Bear Pursuit - Nonresident,Black Bear,Either Sex,Pursuit,ACTIVE_RECONCILIATION_ROW,KEEP,,,,,,Included in active 2026 permit reconciliation union.
BR7000,Beaver,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,9.0,1.0,10,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7001,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,49.0,5.0,54,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7003,Manti North,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,17.0,2.0,19,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7004,Manti South/San Rafael North,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,18.0,2.0,20,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7005,Nebo,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,7.0,0.0,7,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7007,Fillmore Pahvant,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7008,La Sal,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,49.0,5.0,54,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,Included in active 2026 permit reconciliation union.
BR7009,Mt Dutton,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,4.0,0.0,4,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7010,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,9.0,0.0,9,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7011,Paunsaugunt,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,4.0,0.0,4,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7012,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,20.0,2.0,22,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7013,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,7.0,0.0,7,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7014,San Juan,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,35.0,3.0,38,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7015,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,7.0,0.0,7,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7016,Wasatch Mtns West-Central,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,36.0,4.0,40,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7017,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,2.0,0.0,2,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7018,Kamas/North Slope Summit,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,5.0,0.0,5,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7019,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,,,,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,Included in active 2026 permit reconciliation union.
BR7020,Monroe,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7021,Dolores Triangle,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,2.0,0.0,2,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7022,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,40.0,3.0,43,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7100,Beaver,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,9.0,1.0,10,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7101,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,14.0,1.0,15,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7102,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,5.0,0.0,5,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7104,Manti North,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,17.0,1.0,18,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7105,Manti South/San Rafael North,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,18.0,2.0,20,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7106,Nebo,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,8.0,0.0,8,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7108,La Sal,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,25.0,2.0,27,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,Included in active 2026 permit reconciliation union.
BR7109,Mt Dutton,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,3.0,0.0,3,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7110,Nine Mile,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,18.0,2.0,20,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7111,North Slope Three Corners/West Daggett,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7112,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,5.0,0.0,5,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7113,Paunsaugunt,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,3.0,0.0,3,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7114,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,13.0,1.0,14,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7115,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,7.0,0.0,7,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7116,San Juan,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,22.0,2.0,24,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7117,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,5.0,0.0,5,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7118,Yellowstone,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,5.0,0.0,5,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7119,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,5.0,0.0,5,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7120,Wasatch Mtns West-Central,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,22.0,1.0,23,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7121,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,4.0,0.0,4,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7122,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,7.0,0.0,7,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7123,Kamas/North Slope Summit,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,6.0,0.0,6,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7124,Fillmore Pahvant,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,2.0,0.0,2,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7125,Monroe,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7126,Dolores Triangle,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,6.0,0.0,6,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7127,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,25.0,2.0,27,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7200,Beaver,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,9.0,1.0,10,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7201,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,18.0,2.0,20,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7203,Manti North,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,10.0,1.0,11,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7204,Manti South/San Rafael North,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,18.0,2.0,20,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7205,Nebo,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,5.0,0.0,5,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7207,Fillmore Pahvant,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7208,La Sal,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,6.0,0,6,RECONCILED_2026_TOTAL_MATCH_SPLIT_FILLED,Included in active 2026 permit reconciliation union.
BR7210,Mt Dutton,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,3.0,0.0,3,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7211,Nine Mile,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,26.0,3.0,29,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7212,North Slope Three Corners/West Daggett,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,2.0,0.0,2,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7213,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,9.0,0.0,9,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7214,Paunsaugunt,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,4.0,0.0,4,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7215,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,9.0,1.0,10,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7216,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,5.0,0.0,5,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7217,San Juan,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,6.0,0.0,6,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7218,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,7.0,0.0,7,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7219,Yellowstone,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,4.0,0.0,4,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7220,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,9.0,0.0,9,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7221,Wasatch Mtns West-Central,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,18.0,2.0,20,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7224,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Limited Entry - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,14.0,1.0,15,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7225,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Spot and Stalk,ACTIVE_RECONCILIATION_ROW,KEEP,,5.0,0.0,5,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7228,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7229,Kamas/North Slope Summit,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,4.0,0.0,4,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7237,Monroe,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7238,Dolores Triangle,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,2.0,0.0,2,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7239,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Fall,ACTIVE_RECONCILIATION_ROW,KEEP,,6.0,0.0,6,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7300,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Multiseason,ACTIVE_RECONCILIATION_ROW,KEEP,,9.0,1.0,10,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7301,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Limited Entry - Multiseason,ACTIVE_RECONCILIATION_ROW,KEEP,,5.0,0.0,5,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7303,Manti North,Black Bear,Either Sex,Limited Entry - Multiseason,ACTIVE_RECONCILIATION_ROW,KEEP,,13.0,1.0,14,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7304,Manti South/San Rafael North,Black Bear,Either Sex,Limited Entry - Multiseason,ACTIVE_RECONCILIATION_ROW,KEEP,,18.0,2.0,20,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7305,Nebo,Black Bear,Either Sex,Limited Entry - Multiseason,ACTIVE_RECONCILIATION_ROW,KEEP,,5.0,0.0,5,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7307,La Sal,Black Bear,Either Sex,Multiseason - Conservation,ACTIVE_RECONCILIATION_ROW,KEEP,,,,4,TOTAL_ONLY,Included in active 2026 permit reconciliation union.
BR7308,North Slope Three Corners/West Daggett,Black Bear,Either Sex,Limited Entry - Multiseason,ACTIVE_RECONCILIATION_ROW,KEEP,,1.0,0.0,1,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7309,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Multiseason,ACTIVE_RECONCILIATION_ROW,KEEP,,4.0,0.0,4,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7310,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Multiseason,ACTIVE_RECONCILIATION_ROW,KEEP,,10.0,1.0,11,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7311,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Multiseason,ACTIVE_RECONCILIATION_ROW,KEEP,,3.0,0.0,3,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7312,San Juan,Black Bear,Either Sex,Limited Entry - Multiseason,ACTIVE_RECONCILIATION_ROW,KEEP,,11.0,1.0,12,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7313,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Multiseason,ACTIVE_RECONCILIATION_ROW,KEEP,,5.0,0.0,5,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7314,Yellowstone,Black Bear,Either Sex,Limited Entry - Multiseason,ACTIVE_RECONCILIATION_ROW,KEEP,,3.0,0.0,3,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7315,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,Either Sex,Limited Entry - Multiseason,ACTIVE_RECONCILIATION_ROW,KEEP,,3.0,0.0,3,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR7316,Wasatch Mtns West-Central,Black Bear,Either Sex,Limited Entry - Multiseason,ACTIVE_RECONCILIATION_ROW,KEEP,,14.0,1.0,15,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
