hunt_code,prefix,first_seen_report_year,last_seen_report_year,observed_years,gap_years_likely_continued,terminal_absent_years_through_2026,gap_count,terminal_absent_year_count,active_in_2026,lifecycle_interpretation
DA1019,DA,2020,2020,2020,,2021|2022|2023|2024|2025|2026,0,6,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1026,DA,2020,2022,2020|2021|2022,,2023|2024|2025|2026,0,4,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1027,DA,2020,2025,2020|2021|2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1028,DA,2020,2022,2020|2021|2022,,2023|2024|2025|2026,0,4,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1029,DA,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1030,DA,2020,2025,2020|2021|2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1031,DA,2020,2025,2020|2021|2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1033,DA,2020,2025,2020|2021|2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1036,DA,2020,2020,2020,,2021|2022|2023|2024|2025|2026,0,6,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1039,DA,2020,2022,2020|2021|2022,,2023|2024|2025|2026,0,4,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1040,DA,2020,2022,2020|2021|2022,,2023|2024|2025|2026,0,4,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1041,DA,2020,2025,2020|2021|2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1042,DA,2020,2025,2020|2021|2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1043,DA,2020,2022,2020|2021|2022,,2023|2024|2025|2026,0,4,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1044,DA,2020,2024,2020|2021|2022|2023|2024,,2025|2026,0,2,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1045,DA,2021,2025,2021|2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1046,DA,2021,2025,2021|2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1047,DA,2022,2025,2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1048,DA,2023,2025,2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1049,DA,2023,2025,2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1050,DA,2024,2025,2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DB0007,DB,2020,2026,2020|2021|2022|2026,2023|2024|2025,,3,0,YES,ACTIVE_2026_WITH_REAPPEARANCE_GAPS_LIKELY_CONTINUED
DB0008,DB,2025,2026,2025|2026,,,0,0,YES,ACTIVE_2026
DB1000,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1001,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1002,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1003,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1004,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1005,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1006,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1007,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1008,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1009,DB,2020,2026,2020|2025|2026,2021|2022|2023|2024,,4,0,YES,ACTIVE_2026_WITH_REAPPEARANCE_GAPS_LIKELY_CONTINUED
DB1010,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1011,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1012,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1013,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1014,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1015,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1016,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1017,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1018,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1019,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1020,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1021,DB,2020,2020,2020,,2021|2022|2023|2024|2025|2026,0,6,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DB1022,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
DB1023,DB,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
