target_hunt_code,candidate_source_hunt_code,target_hunt_name,source_hunt_name,target_species,source_species,target_weapon,source_weapon,name_similarity_jaccard,species_ok,weapon_ok,confidence,source_res,source_nr,source_total,source_file,action,reason
LO1595,DB1595,Pine Valley,Pine Valley - Any Legal Weapon,DEER,DEER,ANY LEGAL WEAPON (EARLY),ANY LEGAL WEAPON,0.4,True,False,LOW,275,25,300,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
EL3031,EB3031,Box Elder Pilot Mtn,Early,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,3,1,4,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3130,EB3130,Box Elder Pilot Mtn,"Box Elder, Pilot Mtn",ELK,ELK,ARCHERY,ARCHERY,1.0,True,True,HIGH,2,0,2,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3000,EB3000,Beaver East,"Beaver, East",ELK,ELK,ARCHERY,ARCHERY,1.0,True,True,HIGH,5,1,6,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3024,EB3024,Beaver East,Early,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,3,1,4,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3025,EB3025,Beaver East,Late,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,5,1,6,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3077,EB3077,Beaver East,"Beaver, East",ELK,ELK,MUZZLELOADER,MUZZLELOADER,1.0,True,True,HIGH,4,1,5,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3158,EB3158,Beaver East,Late,ELK,ELK,ARCHERY,ARCHERY,0.0,True,True,LOW,3,1,4,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3159,EB3159,Beaver East,Mid,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,4,1,5,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
LP5031,PB5031,"Box Elder, West - Private Land Only","Box Elder, West",PRONGHORN,PRONGHORN,ANY LEGAL WEAPON,ANY LEGAL WEAPON,1.0,True,True,HIGH,10,2,12,24_le_pronghorn.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
LO1506,DB1506,Fillmore,Fillmore - Archery,DEER,DEER,ARCHERY,ARCHERY,0.5,True,True,MEDIUM,188,13,201,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
LO1536,DB1536,Fillmore,Fillmore - Any Legal Weapon,DEER,DEER,ANY LEGAL WEAPON (LATE),ANY LEGAL WEAPON,0.25,True,False,LOW,312,35,347,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
