hunt_code,field_name,feeder_source_file,feeder_value,target_value,comparison_status,notes
BI6500,dwr_result_display,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,~1 in 2.0 or 50.0%|~1 in 342.0 or 0.3%,0|20|45.45|~1 in 2.0 or 50.0%|~1 in 342.0 or 0.3%,IMPROVED_FROM_CANONICAL_SOURCE,Target diverges with overlapping values; canonical enhancement allowed.
BI6503,hunt_name,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/pipeline/RAW/hunt_unit_database/2026/csv/hunt_master_canonical_2026_built.csv,Henry Mtns,Henry Mtns,MATCH,Feeder values preserved in target set.
BI6503,species,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/pipeline/RAW/hunt_unit_database/2026/csv/hunt_master_canonical_2026_built.csv,Bison,Bison,MATCH,Feeder values preserved in target set.
BI6503,weapon,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/pipeline/RAW/hunt_unit_database/2026/csv/hunt_master_canonical_2026_built.csv,Any Legal Weapon,Any Legal Weapon,MATCH,Feeder values preserved in target set.
BI6503,hunt_type,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/pipeline/RAW/hunt_unit_database/2026/csv/hunt_master_canonical_2026_built.csv,Once-in-a-Lifetime,Once-in-a-Lifetime,MATCH,Feeder values preserved in target set.
BI6503,residency,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,Nonresident|Resident,Nonresident|Resident,MATCH,Feeder values preserved in target set.
BI6503,draw_pool,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,standard,standard,MATCH,Feeder values preserved in target set.
BI6503,points,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0|1|10|11|12|13|14|15|...(+25 more),0|1|10|11|12|13|14|15|...(+25 more),MATCH,Feeder values preserved in target set.
BI6503,draw_outlook,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,GREEN LIGHT|LONG ODDS|MAY DRAW IN 5-10 YEARS,GREEN LIGHT|LONG ODDS|MAY DRAW IN 5-10 YEARS,MATCH,Feeder values preserved in target set.
BI6503,status,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,MAX POOL|MIXED CUTOFF|RANDOM ONLY,MAX POOL|MIXED CUTOFF|RANDOM ONLY,MATCH,Feeder values preserved in target set.
BI6503,trend,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,GREEN|YELLOW,GREEN|YELLOW,MATCH,Feeder values preserved in target set.
BI6503,display_odds_pct,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0.0|0.6|1.2|12.3|18.1|40.0|98.7,0|1.2|12.3|18.1|40|60|98.7,IMPROVED_FROM_CANONICAL_SOURCE,Target diverges with overlapping values; canonical enhancement allowed.
BI6503,p_draw_mean,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0.000000|0.000004|0.000008|0.000013|0.000016|0.000017|0.000021|0.000024|...(+52 more),0|0.0001|0.0002|0.0061|0.0117|0.1233|0.1805|0.4001|...(+1 more),MISMATCH,Feeder and target values diverge with no overlap.
BI6503,p_draw_p10,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0.000000|0.073311|0.130537|0.350127|0.937500,0|0.0733|0.1305|0.3501|0.9375,MISMATCH,Feeder and target values diverge with no overlap.
BI6503,p_draw_p90,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0.050000|0.050004|0.050008|0.050013|0.050016|0.050017|0.050021|0.050024|...(+52 more),0.05|0.0501|0.0502|0.0561|0.0617|0.1733|0.2305|0.4501|...(+1 more),MISMATCH,Feeder and target values diverge with no overlap.
BI6503,point_pool_zone,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,max_pool_cutoff_mixed|max_pool_guaranteed|random_pool,max_pool_cutoff_mixed|max_pool_guaranteed|random_pool,MATCH,Feeder values preserved in target set.
BI6503,guaranteed_at_2026,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,30,30,MATCH,Feeder values preserved in target set.
BI6503,permits_2026_res,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,4,4,MATCH,Feeder values preserved in target set.
BI6503,permits_2026_nr,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,2,2,MATCH,Feeder values preserved in target set.
BI6503,permits_2026_total,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,6,6,MATCH,Feeder values preserved in target set.
BI6503,harvest_success_pct,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,93.3,93.3,MATCH,Feeder values preserved in target set.
BI6503,average_days_hunted,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,2.4,2.4,MATCH,Feeder values preserved in target set.
BI6503,average_harvest_age,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI6503,current_age_3yr_average,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI6503,management_objective_type,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/management_context/hunt_management_objective_context.json,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI6503,management_objective_range,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/management_context/hunt_management_objective_context.json,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
