hunt_code,prefix,present_2018,source_count_2018,present_2019,source_count_2019,present_2020,source_count_2020,present_2021,source_count_2021,present_2022,source_count_2022,present_2023,source_count_2023,present_2024,source_count_2024,present_2025,source_count_2025,present_2026,source_count_2026
BR7106,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7108,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,NO,0
BR7109,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7110,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7111,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7112,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7113,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7114,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7115,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7116,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7117,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7118,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7119,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7120,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7121,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7122,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7123,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7124,BR,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1
BR7125,BR,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1
BR7126,BR,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1
BR7127,BR,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1
BR7200,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7201,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7203,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7204,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7205,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7207,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7208,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,NO,0
BR7209,BR,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7210,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7211,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7212,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7213,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7214,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7215,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7216,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7217,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7218,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7219,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7220,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7221,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7224,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7225,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7226,BR,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7227,BR,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7228,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7229,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7230,BR,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7231,BR,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7232,BR,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7233,BR,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7234,BR,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7235,BR,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7236,BR,NO,0,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,NO,0
BR7237,BR,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1,NO,0
BR7238,BR,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1
BR7239,BR,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1
BR7300,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7301,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7303,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7304,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7305,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7307,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,NO,0
BR7308,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7309,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
BR7310,BR,NO,0,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
