source_family,source_file,source_row_count,hunt_code,source_hunt_name,species,sex_type,weapon,hunt_type,hunt_class,source_res,source_nr,source_total,source_permit_shape,mapping_status,notes
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1056,Book Cliffs (North & South),Deer,Buck,Any Legal Weapon,conservation,MDF;SFW,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1058,Paunsaugunt,Deer,Buck,Any Legal Weapon,L.E.,Cactus Buck,18,2,20,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1065,North Slope,Deer,Buck,Muzzleloader,L.E.,,14,2,16,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1073,Paunsaugunt,Deer,Buck,Archery,L.E.,Management,10,1,11,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1074,Paunsaugunt,Deer,Buck,Muzzleloader,L.E.,Management,10,1,11,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1075,Book Cliffs (North & South),Deer,Buck,Archery,conservation,UAA;WCF,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1076,Book Cliffs (North & South),Deer,Buck,Muzzleloader,conservation,UHA;WCF,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1077,Box Elder,Deer,Buck,Muzzleloader,L.E.,,23,3,26,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1078,Cache,Deer,Buck,Muzzleloader,L.E.,,11,1,12,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1079,Manti/San Rafael,Deer,Buck,Muzzleloader,L.E.,,40,5,45,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1080,Nebo,Deer,Buck,Muzzleloader,L.E.,,23,3,26,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1081,La Sal Mtns,Deer,Buck,Muzzleloader,L.E.,,8,1,9,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1083,Panguitch Lake,Deer,Buck,Muzzleloader,L.E.,,12,1,13,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1084,Boulder/Kaiparowits,Deer,Buck,Muzzleloader,L.E.,,12,1,13,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1085,"San Juan, Abajo Mtns",Deer,Buck,Muzzleloader,L.E.,,13,1,14,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1086,Vernal/Bonanza,Deer,Buck,Muzzleloader,L.E.,,6,1,7,RES_NR_SPLIT,DIRECT_HUNT_CODE,
