hunt_code,hunt_name,species,sex,sex_class,weapon,season,hunt_category,hunt_type,hunt_class,draw_design,draw_method,point_system,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2024_res,permits_2024_nr,permits_2024_total,permits_2023_res,permits_2023_nr,permits_2023_total,percent_harvest_success_previous_hunting_season,average_harvest_age,dwr_huntplanner_age_objective,dwr_huntplanner_population_objective,dwr_huntplanner_current_population_estimate,resident_p_draw_percent,nonresident_p_draw_percent,total_p_draw_percent,p_draw_percent,engine_route
DB1793,Southwest Desert,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,46,,,46,1,1,2,21,2,23,30,3,33,28.0,,,3500,2050,,,,,PREFERENCE_DRAW
DB1779,Monroe,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,45,,,45,59,2,61,43,2,45,31,3,34,44.3,,,7000,5000,,,,,PREFERENCE_DRAW
DB1780,Mt Dutton,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,26,,,26,5,1,6,19,2,21,16,1,17,43.9,,,3200,1500,,,,,PREFERENCE_DRAW
DB1788,Fishlake,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,49,,,49,76,6,82,52,3,55,14,1,15,47.0,,,7000,4640,,,,,PREFERENCE_DRAW
DB1785,Panguitch Lake,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,112,,,112,178,20,198,56,6,62,50,5,55,49.3,,,11000,9500,,,,,PREFERENCE_DRAW
DB1798,Zion,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,256,,,256,32,3,35,186,21,207,160,17,177,34.5,,,19000,14650,,,,,PREFERENCE_DRAW
DB1786,Pine Valley,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,228,,,228,1,1,2,193,21,214,216,23,239,28.8,,,19500,13000,,,,,PREFERENCE_DRAW
DB1803,"Beaver, West",Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,44,,,44,30,4,34,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DB1802,"Beaver, East",Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,61,,,61,137,8,145,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DB1775,Fillmore,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,42,,,42,159,14,173,127,5,132,2,1,3,34.2,,,9600,,,,,,PREFERENCE_DRAW
DB1804,Cedar/Stansbury,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,42,,,42,48,2,50,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DB1806,"West Desert, Swasey",Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,36,,,36,18,0,18,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DB1805,Oquirrh/Tintic,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,65,,,65,154,3,157,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA2000,Antlerless Elk Control,Elk,Antlerless,Antlerless,Any Legal Weapon,"Valid for the season/weapon listed on your qualifying permit on the Chalk Creek, East Canyon, Kamas, Henry Mtns, Morgan-S. Rich, Ogden, Pine Valley & Zion Units",,O.T.C.,Capped Permits,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1073,Paunsaugunt,Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,18,2,20,18,2,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1073,Paunsaugunt,Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,18,2,20,18,2,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1073,Paunsaugunt,Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,18,2,20,18,2,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1073,Paunsaugunt,Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,18,2,20,18,2,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1073,Paunsaugunt,Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,18,2,20,18,2,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1073,Paunsaugunt,Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,18,2,20,18,2,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1073,Paunsaugunt,Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,18,2,20,18,2,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1073,Paunsaugunt,Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,18,2,20,18,2,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1073,Paunsaugunt,Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,18,2,20,18,2,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1073,Paunsaugunt,Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,18,2,20,18,2,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1073,Paunsaugunt,Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,18,2,20,18,2,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1073,Paunsaugunt,Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,18,2,20,18,2,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1073,Paunsaugunt,Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,18,2,20,18,2,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1073,Paunsaugunt,Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,18,2,20,18,2,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1073,Paunsaugunt,Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,18,2,20,18,2,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1073,Paunsaugunt,Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,18,2,20,18,2,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1073,Paunsaugunt,Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,18,2,20,18,2,20,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1075,"Plateau, Boulder East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1075,"Plateau, Boulder East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1075,"Plateau, Boulder East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1075,"Plateau, Boulder East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1075,"Plateau, Boulder East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1075,"Plateau, Boulder East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1075,"Plateau, Boulder East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1075,"Plateau, Boulder East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1075,"Plateau, Boulder East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1075,"Plateau, Boulder East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1075,"Plateau, Boulder East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1075,"Plateau, Boulder East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1075,"Plateau, Boulder East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1075,"Plateau, Boulder East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1075,"Plateau, Boulder East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1075,"Plateau, Boulder East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1075,"Plateau, Boulder East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1076,"Plateau, Boulder West",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1076,"Plateau, Boulder West",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1076,"Plateau, Boulder West",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1076,"Plateau, Boulder West",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1076,"Plateau, Boulder West",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1076,"Plateau, Boulder West",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1076,"Plateau, Boulder West",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1076,"Plateau, Boulder West",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1076,"Plateau, Boulder West",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1076,"Plateau, Boulder West",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1076,"Plateau, Boulder West",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1076,"Plateau, Boulder West",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1076,"Plateau, Boulder West",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1076,"Plateau, Boulder West",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1076,"Plateau, Boulder West",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1076,"Plateau, Boulder West",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1076,"Plateau, Boulder West",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,45,5,50,45,5,50,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1078,"Plateau, Fishlake/thousand Lakes",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,243,27,270,243,27,270,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1078,"Plateau, Fishlake/thousand Lakes",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,243,27,270,243,27,270,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1078,"Plateau, Fishlake/thousand Lakes",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,243,27,270,243,27,270,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1078,"Plateau, Fishlake/thousand Lakes",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,243,27,270,243,27,270,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1078,"Plateau, Fishlake/thousand Lakes",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,243,27,270,243,27,270,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1078,"Plateau, Fishlake/thousand Lakes",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,243,27,270,243,27,270,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1078,"Plateau, Fishlake/thousand Lakes",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,243,27,270,243,27,270,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1078,"Plateau, Fishlake/thousand Lakes",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,243,27,270,243,27,270,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1078,"Plateau, Fishlake/thousand Lakes",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,243,27,270,243,27,270,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1078,"Plateau, Fishlake/thousand Lakes",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,243,27,270,243,27,270,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1078,"Plateau, Fishlake/thousand Lakes",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,243,27,270,243,27,270,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1078,"Plateau, Fishlake/thousand Lakes",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,243,27,270,243,27,270,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1078,"Plateau, Fishlake/thousand Lakes",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,243,27,270,243,27,270,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1078,"Plateau, Fishlake/thousand Lakes",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,243,27,270,243,27,270,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1078,"Plateau, Fishlake/thousand Lakes",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,243,27,270,243,27,270,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1078,"Plateau, Fishlake/thousand Lakes",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,243,27,270,243,27,270,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1078,"Plateau, Fishlake/thousand Lakes",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,243,27,270,243,27,270,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1079,"Plateau, Fishlake/thousand Lakes East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,58,7,65,58,7,65,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1079,"Plateau, Fishlake/thousand Lakes East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,58,7,65,58,7,65,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1079,"Plateau, Fishlake/thousand Lakes East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,58,7,65,58,7,65,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1079,"Plateau, Fishlake/thousand Lakes East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,58,7,65,58,7,65,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1079,"Plateau, Fishlake/thousand Lakes East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,58,7,65,58,7,65,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1079,"Plateau, Fishlake/thousand Lakes East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,58,7,65,58,7,65,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1079,"Plateau, Fishlake/thousand Lakes East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,58,7,65,58,7,65,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1079,"Plateau, Fishlake/thousand Lakes East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,58,7,65,58,7,65,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1079,"Plateau, Fishlake/thousand Lakes East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,58,7,65,58,7,65,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1079,"Plateau, Fishlake/thousand Lakes East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,58,7,65,58,7,65,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1079,"Plateau, Fishlake/thousand Lakes East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,58,7,65,58,7,65,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1079,"Plateau, Fishlake/thousand Lakes East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,58,7,65,58,7,65,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
EA1079,"Plateau, Fishlake/thousand Lakes East",Elk,Antlerless,Antlerless,Any Legal Weapon,,,General Season,Youth,,,,58,7,65,58,7,65,,,,,,,,,,,,,,,,,,,PREFERENCE_DRAW
