row_number,hunt_code,year,match_method
91,PB5074,2025,identity
91,PB5074,2026,identity
92,PB5075,2019,no_match
92,PB5075,2020,no_match
92,PB5075,2021,no_match
92,PB5075,2022,no_match
92,PB5075,2023,identity
92,PB5075,2024,identity
92,PB5075,2025,identity
92,PB5075,2026,identity
93,EA1011,2019,identity
93,EA1011,2020,identity
93,EA1011,2021,unique_hunt_code
93,EA1011,2022,identity
93,EA1011,2023,identity
93,EA1011,2024,unique_hunt_code
93,EA1011,2025,identity
93,EA1011,2026,identity
94,EA1012,2019,identity
94,EA1012,2020,identity
94,EA1012,2021,unique_hunt_code
94,EA1012,2022,identity
94,EA1012,2023,identity
94,EA1012,2024,unique_hunt_code
94,EA1012,2025,identity
94,EA1012,2026,no_match
95,EA1206,2019,identity
95,EA1206,2020,identity
95,EA1206,2021,unique_hunt_code
95,EA1206,2022,identity
95,EA1206,2023,identity
95,EA1206,2024,unique_hunt_code
95,EA1206,2025,identity
95,EA1206,2026,no_match
96,EB3005,2019,identity
96,EB3005,2020,identity
96,EB3005,2021,identity
96,EB3005,2022,identity
96,EB3005,2023,identity
96,EB3005,2024,identity
96,EB3005,2025,identity
96,EB3005,2026,identity
97,EB3036,2019,unique_hunt_code
97,EB3036,2020,unique_hunt_code
97,EB3036,2021,unique_hunt_code
97,EB3036,2022,unique_hunt_code
97,EB3036,2023,unique_hunt_code
97,EB3036,2024,unique_hunt_code
97,EB3036,2025,unique_hunt_code
97,EB3036,2026,identity
98,EB3037,2019,unique_hunt_code
98,EB3037,2020,unique_hunt_code
98,EB3037,2021,unique_hunt_code
98,EB3037,2022,unique_hunt_code
98,EB3037,2023,unique_hunt_code
98,EB3037,2024,unique_hunt_code
98,EB3037,2025,unique_hunt_code
98,EB3037,2026,identity
99,EB3083,2019,identity
99,EB3083,2020,identity
99,EB3083,2021,identity
99,EB3083,2022,identity
99,EB3083,2023,identity
99,EB3083,2024,identity
99,EB3083,2025,identity
99,EB3083,2026,identity
100,EB3107,2019,identity
100,EB3107,2020,identity
100,EB3107,2021,unique_hunt_code
100,EB3107,2022,unique_hunt_code
100,EB3107,2023,unique_hunt_code
