surface,source_csv,hunt_code,legacy_hunt_code_prefix,hunt_code_prefix_status,residency,point_level,hunt_name,species,hunt_category,applicants,permits,source_file,source_namespace,raw_hunt_code_status
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,29,Buck Deer Bonus Point,Buck Deer,Bonus Point,2,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,23,Buck Deer Bonus Point,Buck Deer,Bonus Point,88,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,12,Buck Deer Bonus Point,Buck Deer,Bonus Point,437,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,21,Buck Deer Bonus Point,Buck Deer,Bonus Point,136,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,22,Buck Deer Bonus Point,Buck Deer,Bonus Point,105,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,4,Buck Deer Bonus Point,Buck Deer,Bonus Point,585,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,10,Buck Deer Bonus Point,Buck Deer,Bonus Point,506,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,3,Buck Deer Bonus Point,Buck Deer,Bonus Point,578,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,13,Buck Deer Bonus Point,Buck Deer,Bonus Point,406,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,19,Buck Deer Bonus Point,Buck Deer,Bonus Point,142,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,16,Buck Deer Bonus Point,Buck Deer,Bonus Point,521,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,30,Buck Deer Bonus Point,Buck Deer,Bonus Point,4,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,31,Buck Deer Bonus Point,Buck Deer,Bonus Point,2,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,2,Buck Deer Bonus Point,Buck Deer,Bonus Point,1189,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,25,Buck Deer Bonus Point,Buck Deer,Bonus Point,49,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,32,Buck Deer Bonus Point,Buck Deer,Bonus Point,3,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,19,Buck Deer Bonus Point,Buck Deer,Bonus Point,130,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,18,Buck Deer Bonus Point,Buck Deer,Bonus Point,171,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,6,Buck Deer Bonus Point,Buck Deer,Bonus Point,519,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,24,Buck Deer Bonus Point,Buck Deer,Bonus Point,59,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,23,Buck Deer Bonus Point,Buck Deer,Bonus Point,81,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,14,Buck Deer Bonus Point,Buck Deer,Bonus Point,427,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,8,Buck Deer Bonus Point,Buck Deer,Bonus Point,399,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,24,Buck Deer Bonus Point,Buck Deer,Bonus Point,61,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,15,Buck Deer Bonus Point,Buck Deer,Bonus Point,421,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,14,Buck Deer Bonus Point,Buck Deer,Bonus Point,262,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,13,Buck Deer Bonus Point,Buck Deer,Bonus Point,270,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,2,Buck Deer Bonus Point,Buck Deer,Bonus Point,610,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,20,Buck Deer Bonus Point,Buck Deer,Bonus Point,111,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,26,Buck Deer Bonus Point,Buck Deer,Bonus Point,38,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,28,Buck Deer Bonus Point,Buck Deer,Bonus Point,32,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,11,Buck Deer Bonus Point,Buck Deer,Bonus Point,252,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,29,Buck Deer Bonus Point,Buck Deer,Bonus Point,5,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Resident,25,Buck Deer Bonus Point,Buck Deer,Bonus Point,42,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,DEE,,,Nonresident,0,Buck Deer Bonus Point,Buck Deer,Bonus Point,1536,0,,,FAMILY_AGGREGATE_LABEL
