hunt_code,hunt_name,species,sex_type,weapon,hunt_type,best_crosswalk_status,best_confidence,recommended_resolution_bucket,boundary_confirmed,regulation_present,permit_conflict,evidence_source_count,evidence_sources,status_counts,notes
EA1054,"Nine Mile, West Anthro",Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|NEEDS_MANUAL_REMAP:2,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
EA1063,Ogden,Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|NEEDS_MANUAL_REMAP:2,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
EA1069,Panguitch Lake,Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner.
EA1129,Deseret CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner.
EA1134,Ensign Ranches CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|NEEDS_MANUAL_REMAP:2,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
EA1139,Hardscrabble CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner.
EA1149,Minnie Maud Ridge CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|NEEDS_MANUAL_REMAP:3,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
EA1193,"Cache, Rich",Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,4,boundary_xlsx|conservation_area|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|MERGED_UNITS:1|NEEDS_MANUAL_REMAP:8,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. Merge/split/structure evidence is present. At least one source still calls for manual remap/review.
EA1208,Nebo,Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|NEEDS_MANUAL_REMAP:3,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
EA1222,"Beaver, East",Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|NEEDS_MANUAL_REMAP:1,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
EA1223,"Beaver, East",Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|NEEDS_MANUAL_REMAP:1,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
EA1251,"Southwest Desert, Burbank/Garrison",Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|NEEDS_MANUAL_REMAP:2,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
EA1266,"Box Elder, Hansel Mtn",Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|NEEDS_MANUAL_REMAP:2,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
EA1267,Cache,Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,5,boundary_id_to_hunt_code|boundary_xlsx|conservation_area|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:6|MERGED_UNITS:1|NEEDS_MANUAL_REMAP:5,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. Merge/split/structure evidence is present. At least one source still calls for manual remap/review.
EA1269,Ogden (Excludes Hyrum),Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|NEEDS_MANUAL_REMAP:2,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
EA1284,Panguitch Lake,Elk,Antlerless,Muzzleloader,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,2,boundary_xlsx|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:2,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner.
EA1285,Panguitch Lake,Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:2|NEEDS_MANUAL_REMAP:1,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
EA2033,Kamas,Elk,Antlerless,Archery,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner.
EA2036,"Oquirrh-Stansbury, East",Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner.
MA1005,Morgan-South Rich,Moose,Antlerless,Any Legal Weapon,Limited Entry,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner.
MA1007,Morgan-South Rich,Moose,Antlerless,Archery,Limited Entry,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,2,boundary_xlsx|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:2,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner.
MA1008,"Wasatch Mtns, Salt Lake-Timpanogos",Moose,Antlerless,Any Legal Weapon,Limited Entry,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:2|NEEDS_MANUAL_REMAP:2,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
PD1000,"Box Elder, Snowville",Pronghorn,Doe,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|NEEDS_MANUAL_REMAP:4,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
PD1012,"Box Elder, Promontory",Pronghorn,Doe,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|NEEDS_MANUAL_REMAP:2,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
PD1016,Zane CWMU,Pronghorn,Doe,Any Legal Weapon,CWMU,NEEDS_MANUAL_REMAP,HIGH,MANUAL_REMAP_REQUIRED,false,true,true,1,model_year_crosswalk,NEEDS_MANUAL_REMAP:1,Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
PD1017,"Box Elder, West",Pronghorn,Doe,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|NEEDS_MANUAL_REMAP:2,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
PD1026,Pahvant Ensign CWMU,Pronghorn,Doe,Any Legal Weapon,CWMU,NEEDS_MANUAL_REMAP,HIGH,MANUAL_REMAP_REQUIRED,false,true,true,1,model_year_crosswalk,NEEDS_MANUAL_REMAP:1,Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
PD1044,Vernal-Ouray Valley,Pronghorn,Doe,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner.
PD1056,Parker Mtn,Pronghorn,Doe,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:4,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner.
PD1057,"Parker Mtn, Highlands",Pronghorn,Doe,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:2|NEEDS_MANUAL_REMAP:1,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
PD1059,"Parker Mtn, Plains",Pronghorn,Doe,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:2|NEEDS_MANUAL_REMAP:1,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
BR7307,La Sal,Black Bear,Either Sex,Multiseason,Multiseason - Conservation,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,false,6,black_bear_primary|black_bear_secondary|boundary_id_to_hunt_code|boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:6|EXACT_MATCH:6,Boundary workbook/current database confirms current-code boundary.
BR7324,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Multiseason,Conservation,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,false,4,black_bear_primary|black_bear_secondary|boundary_xlsx|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:2|EXACT_MATCH:2,Boundary workbook/current database confirms current-code boundary.
DB1056,Book Cliffs (North & South),Deer,Buck,Any Legal Weapon,Conservation,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,false,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:2|NEEDS_MANUAL_REMAP:3,Boundary workbook/current database confirms current-code boundary. At least one source still calls for manual remap/review.
DB1075,Book Cliffs (North & South),Deer,Buck,Archery,Conservation,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,false,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:2|NEEDS_MANUAL_REMAP:1,Boundary workbook/current database confirms current-code boundary. At least one source still calls for manual remap/review.
DB1076,Book Cliffs (North & South),Deer,Buck,Muzzleloader,Conservation,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,false,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:2|NEEDS_MANUAL_REMAP:1,Boundary workbook/current database confirms current-code boundary. At least one source still calls for manual remap/review.
DB1118,Dolores Triangle,Deer,Buck,Multiseason,Conservation,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,false,2,boundary_xlsx|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:2,Boundary workbook/current database confirms current-code boundary.
EA1220,Manti (Expo),Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,false,4,boundary_id_to_hunt_code|boundary_xlsx|conservation_area|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:3|EXACT_MATCH:1|STRUCTURE_CHANGED:1,Boundary workbook/current database confirms current-code boundary. Merge/split/structure evidence is present.
EA1221,Fishlake/Thousand Lake (Expo),Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,false,4,boundary_id_to_hunt_code|boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:3|EXACT_MATCH:1|NEEDS_MANUAL_REMAP:4,Boundary workbook/current database confirms current-code boundary. At least one source still calls for manual remap/review.
EA1258,La Sal (Expo),Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,false,4,boundary_id_to_hunt_code|boundary_xlsx|conservation_area|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:3|EXACT_MATCH:1|STRUCTURE_CHANGED:1,Boundary workbook/current database confirms current-code boundary. Merge/split/structure evidence is present.
EB1001,Any Bull Elk Units,Elk,Bull,Any Legal Weapon,General Season - Any Bull,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,false,4,boundary_id_to_hunt_code|boundary_unit_fill|boundary_xlsx|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:3|EXACT_MATCH:100,Boundary workbook/current database confirms current-code boundary.
EB1002,Any Bull Elk Units,Elk,Bull,Muzzleloader,General Season - Any Bull,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,false,4,boundary_id_to_hunt_code|boundary_unit_fill|boundary_xlsx|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:3|EXACT_MATCH:125,Boundary workbook/current database confirms current-code boundary.
EB1003,Spike Only Units,Elk,Bull,Any Legal Weapon,General Season - Spike Bull,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,false,4,boundary_id_to_hunt_code|boundary_unit_fill|boundary_xlsx|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:3|EXACT_MATCH:102,Boundary workbook/current database confirms current-code boundary.
EB1004,Spike Only Units,Elk,Bull,Muzzleloader,General Season - Spike Bull,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,false,4,boundary_id_to_hunt_code|boundary_unit_fill|boundary_xlsx|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:3|EXACT_MATCH:102,Boundary workbook/current database confirms current-code boundary.
EB1005,Archery Hunters Choice Elk,Elk,Bull,Archery,General Season - Archery,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,false,3,boundary_id_to_hunt_code|boundary_xlsx|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:3|EXACT_MATCH:2,Boundary workbook/current database confirms current-code boundary.
EB1010,Any Bull Elk Units,Elk,Bull,Any Legal Weapon,General Season - Any Bull,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,false,4,boundary_id_to_hunt_code|boundary_unit_fill|boundary_xlsx|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:3|EXACT_MATCH:100,Boundary workbook/current database confirms current-code boundary.
LO1531,Box Elder,Deer,Buck,Any Legal Weapon (Late),General Season - Private Land Only,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,false,2,boundary_xlsx|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:2,Boundary workbook/current database confirms current-code boundary.
LO1534,Nebo,Deer,Buck,Any Legal Weapon (Late),General Season - Private Land Only,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,false,2,boundary_xlsx|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:2,Boundary workbook/current database confirms current-code boundary.
LO1536,Fillmore,Deer,Buck,Any Legal Weapon (Late),General Season - Private Land Only,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,BOUNDARY_CONFIRMED_IDENTITY_READY,true,false,false,2,boundary_xlsx|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:2,Boundary workbook/current database confirms current-code boundary.
