hunt_code,hunt_name,species,sex_type,weapon,hunt_type,split_bucket,recommended_action,source_support_count,hanumber_res,hanumber_nr,hanumber_total,hunttable_res,hunttable_nr,hunttable_total,utahdraws_res,utahdraws_nr,utahdraws_total,database_res_reference,database_nr_reference,database_total_reference,recommended_res,recommended_nr,recommended_total,winner_source,conflicting_sources,database_alignment,regulation_presence_status,matched_pdf_count,matched_pdfs,matched_pages,snippet,notes
EA1054,"Nine Mile, West Anthro",Elk,Antlerless,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,45,5,50,90,10,100,,,,45,5,50,45,5,50,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:28,"antlerless_guidebook.pdf p.28: ine Mile, Range Creek EA1239 Oct. 3–25 Nine Mile, Range Creek EA1240 Nov. 25, 2026–Jan. 31, 2027 Nine Mile, West Anthro EA1054 Dec. 12–31 Nine Mile, West Anthro (new) EA1053 Jan. 16–24, 2027 North Slope, Greendale EA1056 Nov. 14–29 North Slope, H","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1063,Ogden,Elk,Antlerless,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,67,8,75,90,10,100,,,,67,8,75,67,8,75,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:28,"antlerless_guidebook.pdf p.28: ov. 21–29 North Slope, Three Corners EA1273 Dec. 19, 2026–Jan. 3, 2027 North Slope, West Daggett EA1250 Oct. 3–25 Ogden EA1063 Oct. 3–25 Ogden EA1064 Nov. 7–29 Ogden (excludes Hyrum) EA1269 Dec. 1–31 Oquirrh-Stansbury, East EA2036 Nov. 7, 2026–Ja","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1069,Panguitch Lake,Elk,Antlerless,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,31,4,35,22,3,25,,,,31,4,35,31,4,35,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:28,"antlerless_guidebook.pdf p.28: . 7–29 Ogden (excludes Hyrum) EA1269 Dec. 1–31 Oquirrh-Stansbury, East EA2036 Nov. 7, 2026–Jan. 31, 2027 Panguitch Lake EA1069 Nov. 21–29 Panguitch Lake EA1285 Dec. 12–20 Paunsaugunt EA1073 Nov. 21–Dec. 31 Paunsaugunt, East Creek (new) EA1294 Aug","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1129,Deseret CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,425,0,425,,,360,,,,425,0,425,425,0,425,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:36,antlerless_guidebook.pdf p.36: ing EA1122 Weber 5 Chimney Rock EA1124 Morgan 12 Circle E Ranch EA1143 Grand 21 Coldwater Ranch EA1125 Cache 25 Deseret EA1129 Rich 360 Double Cone EA1130 Box Elder 7 Double R Ranch EA1200 Wasatch 10 Durst Mountain EA1131 Morgan 30 East Fork Chal,"Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1134,Ensign Ranches CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,60,0,60,,,48,,,,60,0,60,60,0,60,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:36,antlerless_guidebook.pdf p.36: Double R Ranch EA1200 Wasatch 10 Durst Mountain EA1131 Morgan 30 East Fork Chalk Creek EA1132 Summit 30 Ensign Ranches EA1134 Summit 48 Folley Ridge EA1135 Morgan 20 Grass Valley/Clark Canyon EA1136 Summit 50 Grazing Pasture EA1137 Sevier 9 Guil,"Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1139,Hardscrabble CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,10,0,10,,,5,,,,10,0,10,10,0,10,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:37,antlerless_guidebook.pdf p.37: visit wildlife.utah.gov/cwmu. CWMU antlerless elk hunts (continued) Hunt name Hunt # County Public permits Hardscrabble EA1139 Morgan 5 Heaston East EA1140 Salt Lake 24 Hiawatha EA1141 Carbon 12 Indian Head EA1142 Carbon 12 Johnson Mountain Ranch,"Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1149,Minnie Maud Ridge CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,15,0,15,,,16,,,,15,0,15,15,0,15,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:37,antlerless_guidebook.pdf p.37: 20 Jump Creek EA1146 Carbon 9 Little Pole Canyon EA1256 Wasatch 9 Little Red Creek EA1147 Wasatch 15 Minnie Maud Ridge EA1149 Carbon 16 Moon Ranch EA1151 Duchesne 6 Mountain Sky Ranch EA1201 Utah 10 Mt Carmel DA1013 Kane 5 Old Woman Plateau EA11,"Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1193,"Cache, Rich",Elk,Antlerless,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,18,2,20,31,4,35,,,,18,2,20,18,2,20,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:26,"antlerless_guidebook.pdf p.26: EA1203 Aug. 1–15 Box Elder, Pilot Mtn EA1204 Oct. 10–31 Cache EA1267 Oct. 3–25 Cache, Rich EA1010 Oct. 3–25 Cache, Rich EA1193 Nov. 14, 2026–Jan. 15, 2027 Cache, Richards Hollow EA1011 Nov. 14–Dec. 31 Chalk Creek EA1026 Nov. 7, 2026–Jan. 30, 2027","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1208,Nebo,Elk,Antlerless,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,247,28,275,292,33,325,,,,247,28,275,247,28,275,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:28,"antlerless_guidebook.pdf p.28: North (new) EA1291 Nov. 21–Dec. 6 Mt Dutton, North (new) EA1292 Dec. 19, 2026–Jan. 10, 2027 Nebo EA1021 Oct. 3–15 Nebo EA1208 Nov. 14, 2026–Jan. 31, 2027 Nebo, Moroni Hills EA1207 Aug. 1–19 Nebo, Moroni Hills EA1226 Sept. 12–Oct. 2 Nine Mile, Ra","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1222,"Beaver, East",Elk,Antlerless,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,27,3,30,36,4,40,,,,27,3,30,27,3,30,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:26,"antlerless_guidebook.pdf p.26: 8 Aug. 15–Sept. 4 Yellowstone EA2037 Aug. 15–Sept. 16 Any legal weapon hunts Hunt name Hunt # Season dates Beaver, East EA1222 Nov. 21–Dec. 11 Beaver, East EA1223 Dec. 12–26 Book Cliffs, Bitter Creek/South EA1224 Oct. 3–15 Book Cliffs, Bitter Cre","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1223,"Beaver, East",Elk,Antlerless,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,27,3,30,36,4,40,,,,27,3,30,27,3,30,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:26,"antlerless_guidebook.pdf p.26: Aug. 15–Sept. 16 Any legal weapon hunts Hunt name Hunt # Season dates Beaver, East EA1222 Nov. 21–Dec. 11 Beaver, East EA1223 Dec. 12–26 Book Cliffs, Bitter Creek/South EA1224 Oct. 3–15 Book Cliffs, Bitter Creek/South EA1225 Nov. 16–Dec. 13 Boul","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1251,"Southwest Desert, Burbank/Garrison",Elk,Antlerless,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,13,2,15,11,1,12,,,,13,2,15,13,2,15,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:29,"antlerless_guidebook.pdf p.29: A1084 Nov. 7, 2026–Jan. 31, 2027 Southwest Desert EA1101 Nov. 20, 2026–Jan. 10, 2027 Southwest Desert, Burbank/Garrison EA1251 Aug. 1–13 Vernal, Buckskin Hills-Jensen EA1242 Dec. 1–31 Vernal, Buckskin Hills-Jensen EA1243 Jan. 1–31, 2027 Vernal, M","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1266,"Box Elder, Hansel Mtn",Elk,Antlerless,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,18,2,20,27,3,30,,,,18,2,20,18,2,20,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:26,"antlerless_guidebook.pdf p.26: EA1077 Oct. 7, 2026–Jan. 10, 2027 Box Elder, Grouse Creek (new) EA1007 Nov. 6, 2026–Jan. 31, 2027 Box Elder, Hansel Mtn EA1266 Aug. 1, 2026–Jan. 31, 2027 Box Elder, Pilot Mtn EA1203 Aug. 1–15 Box Elder, Pilot Mtn EA1204 Oct. 10–31 Cache EA1267 Oc","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1267,Cache,Elk,Antlerless,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,81,9,90,180,20,200,,,,81,9,90,81,9,90,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:26,"antlerless_guidebook.pdf p.26: tn EA1266 Aug. 1, 2026–Jan. 31, 2027 Box Elder, Pilot Mtn EA1203 Aug. 1–15 Box Elder, Pilot Mtn EA1204 Oct. 10–31 Cache EA1267 Oct. 3–25 Cache, Rich EA1010 Oct. 3–25 Cache, Rich EA1193 Nov. 14, 2026–Jan. 15, 2027 Cache, Richards Hollow EA1011 Nov","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1269,Ogden (Excludes Hyrum),Elk,Antlerless,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,180,20,200,270,30,300,,,,180,20,200,180,20,200,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:28,"antlerless_guidebook.pdf p.28: 3, 2027 North Slope, West Daggett EA1250 Oct. 3–25 Ogden EA1063 Oct. 3–25 Ogden EA1064 Nov. 7–29 Ogden (excludes Hyrum) EA1269 Dec. 1–31 Oquirrh-Stansbury, East EA2036 Nov. 7, 2026–Jan. 31, 2027 Panguitch Lake EA1069 Nov. 21–29 Panguitch Lake EA1","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1284,Panguitch Lake,Elk,Antlerless,Muzzleloader,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,31,4,35,49,6,55,,,,31,4,35,31,4,35,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:30,"antlerless_guidebook.pdf p.30: n dates North Slope, West Daggett EA1061 Sept. 23–Oct. 1 North Slope, West Daggett EA1060 Oct. 28–Nov. 5 Panguitch Lake EA1284 Oct. 28–Nov. 5 Wasatch Mtns, Avintaquin (new) EA1295 Oct. 28–Nov. 5 Wasatch Mtns, Currant Creek (new) EA1296 Oct. 28–No","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1285,Panguitch Lake,Elk,Antlerless,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,31,4,35,22,3,25,,,,31,4,35,31,4,35,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:28,"antlerless_guidebook.pdf p.28: 269 Dec. 1–31 Oquirrh-Stansbury, East EA2036 Nov. 7, 2026–Jan. 31, 2027 Panguitch Lake EA1069 Nov. 21–29 Panguitch Lake EA1285 Dec. 12–20 Paunsaugunt EA1073 Nov. 21–Dec. 31 Paunsaugunt, East Creek (new) EA1294 Aug. 1–12 Pine Valley EA1254 Nov. 11","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA2033,Kamas,Elk,Antlerless,Archery,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,225,25,250,180,20,200,,,,225,25,250,225,25,250,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:26,"antlerless_guidebook.pdf p.26: nt $649. Use the hunt number to apply. Elk preference point code: ANE Archery hunts Hunt name Hunt # Season dates Kamas EA2033 Aug. 15–Sept. 16 Nine Mile, Anthro EA2034 Aug. 15–Sept. 16 North Slope, Summit EA1268 Aug. 15–Sept. 16 North Slope, Thr","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA2036,"Oquirrh-Stansbury, East",Elk,Antlerless,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,54,6,60,63,7,70,,,,54,6,60,54,6,60,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:28,"antlerless_guidebook.pdf p.28: Oct. 3–25 Ogden EA1063 Oct. 3–25 Ogden EA1064 Nov. 7–29 Ogden (excludes Hyrum) EA1269 Dec. 1–31 Oquirrh-Stansbury, East EA2036 Nov. 7, 2026–Jan. 31, 2027 Panguitch Lake EA1069 Nov. 21–29 Panguitch Lake EA1285 Dec. 12–20 Paunsaugunt EA1073 Nov. 21","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
MA1005,Morgan-South Rich,Moose,Antlerless,Any Legal Weapon,Limited Entry,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,6,1,7,2,1,3,,,,6,1,7,6,1,7,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:34,"antlerless_guidebook.pdf p.34: Season dates Morgan-South Rich MA1007 Aug. 1–Sept. 18 Any legal weapon Hunt name Hunt # Season dates Morgan-South Rich MA1005 Sept. 19–Oct. 18 Wasatch Mtns, Salt Lake-Timpanogos MA1008 Sept. 19–Oct. 18 Ewe Rocky Mountain bighorn sheep Permit fee","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
MA1007,Morgan-South Rich,Moose,Antlerless,Archery,Limited Entry,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,3,0,3,2,0,2,,,,3,0,3,3,0,3,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:34,"antlerless_guidebook.pdf p.34: 2,200 Use the hunt number to apply. Moose bonus point code: ANM Archery Hunt name Hunt # Season dates Morgan-South Rich MA1007 Aug. 1–Sept. 18 Any legal weapon Hunt name Hunt # Season dates Morgan-South Rich MA1005 Sept. 19–Oct. 18 Wasatch Mtns,","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
MA1008,"Wasatch Mtns, Salt Lake-Timpanogos",Moose,Antlerless,Any Legal Weapon,Limited Entry,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,4,1,5,2,0,2,,,,4,1,5,4,1,5,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:34,"antlerless_guidebook.pdf p.34: legal weapon Hunt name Hunt # Season dates Morgan-South Rich MA1005 Sept. 19–Oct. 18 Wasatch Mtns, Salt Lake-Timpanogos MA1008 Sept. 19–Oct. 18 Ewe Rocky Mountain bighorn sheep Permit fee: Resident $110, Nonresident $2,100 Use the hunt number to","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
PD1000,"Box Elder, Snowville",Pronghorn,Doe,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,72,8,80,36,4,40,,,,72,8,80,72,8,80,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:33,"antlerless_guidebook.pdf p.33: 29–Sept. 11 Any legal weapon Hunt name Hunt # Season dates Box Elder, Promontory PD1012 Oct. 3–25 Box Elder, Snowville PD1000 Nov. 7–Dec. 6 Box Elder, West PD1017 Oct. 3–25 Fillmore, Oak Creek South PD1034 Aug. 1–13 Fillmore, Oak Creek South PD1","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
