hunt_code,hunt_name,species_x,sex_type_x,weapon_x,hunt_type_x,season_x,source_presence,hanumber_res,hanumber_nr,hanumber_total,hunttable_res,hunttable_nr,hunttable_total,utahdraws_res,utahdraws_nr,utahdraws_total,buck_deer_res,buck_deer_nr,buck_deer_total,database_res_reference,database_nr_reference,database_total_reference,recommended_res,recommended_nr,recommended_total,winner_source,confidence,source_support_count,conflicting_sources,database_alignment,recommended_action,decision_reason,hanumber_status,hunttable_status,utahdraws_status,buck_deer_status,database_status,split_bucket,matching_non_database_sources,matching_source_count,matching_res,matching_nr,matching_total,split_review_note,remaining_unresolved_bucket,remaining_review_required,current_hunt_code,current_prefix,current_hunt_name,species_y,sex_type_y,weapon_y,hunt_type_y,season_y,relationship_type,crosswalk_status,mapping_confidence,mapping_method,data_quality_grade,historical_hunt_code,historical_prefix,historical_years,candidate_historical_codes,recommended_model_behavior,crosswalk_present,crosswalk_bucket
EA1054,"Nine Mile, West Anthro",Elk,Antlerless,Any Legal Weapon,General Season,Dec 13 2025 - Dec 30 2025,HANUMBER|HUNTTABLE|DATABASE,45.0,5.0,50.0,90.0,10.0,100.0,,,,,,,45.0,5.0,50.0,45.0,5.0,50.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,90.0,10.0,100.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1063,Ogden,Elk,Antlerless,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,HANUMBER|HUNTTABLE|DATABASE,67.0,8.0,75.0,90.0,10.0,100.0,,,,,,,67.0,8.0,75.0,67.0,8.0,75.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,90.0,10.0,100.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1069,Panguitch Lake,Elk,Antlerless,Any Legal Weapon,General Season,Nov 22 2025 - Nov 30 2025,HANUMBER|HUNTTABLE|DATABASE,31.0,4.0,35.0,22.0,3.0,25.0,,,,,,,31.0,4.0,35.0,31.0,4.0,35.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,31.0,4.0,35.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1129,Deseret CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,HANUMBER|HUNTTABLE|DATABASE,425.0,0.0,425.0,,,360.0,,,,,,,425.0,0.0,425.0,425.0,0.0,425.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true_source_conflicts,HANUMBER,1,425.0,0.0,425.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1134,Ensign Ranches CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,HANUMBER|HUNTTABLE|DATABASE,60.0,0.0,60.0,,,48.0,,,,,,,60.0,0.0,60.0,60.0,0.0,60.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true_source_conflicts,HANUMBER,1,60.0,0.0,60.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1139,Hardscrabble CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,HANUMBER|HUNTTABLE|DATABASE,10.0,0.0,10.0,,,5.0,,,,,,,10.0,0.0,10.0,10.0,0.0,10.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true_source_conflicts,HANUMBER,1,10.0,0.0,10.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1149,Minnie Maud Ridge CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,HANUMBER|HUNTTABLE|DATABASE,15.0,0.0,15.0,,,16.0,,,,,,,15.0,0.0,15.0,15.0,0.0,15.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true_source_conflicts,HANUMBER,1,15.0,0.0,15.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1193,"Cache, Rich",Elk,Antlerless,Any Legal Weapon,General Season,Nov 15 2025 - Jan 10 2026,HANUMBER|HUNTTABLE|DATABASE,18.0,2.0,20.0,31.0,4.0,35.0,,,,,,,18.0,2.0,20.0,18.0,2.0,20.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,31.0,4.0,35.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1208,Nebo,Elk,Antlerless,Any Legal Weapon,General Season,Nov 15 2025 - Jan 18 2026,HANUMBER|HUNTTABLE|DATABASE,247.0,28.0,275.0,292.0,33.0,325.0,,,,,,,247.0,28.0,275.0,247.0,28.0,275.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,292.0,33.0,325.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1222,"Beaver, East",Elk,Antlerless,Any Legal Weapon,General Season,Nov 22 2025 - Dec 12 2025,HANUMBER|HUNTTABLE|DATABASE,27.0,3.0,30.0,36.0,4.0,40.0,,,,,,,27.0,3.0,30.0,27.0,3.0,30.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,36.0,4.0,40.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1223,"Beaver, East",Elk,Antlerless,Any Legal Weapon,General Season,Dec 13 2025 - Dec 27 2025,HANUMBER|HUNTTABLE|DATABASE,27.0,3.0,30.0,36.0,4.0,40.0,,,,,,,27.0,3.0,30.0,27.0,3.0,30.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,36.0,4.0,40.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1251,"Southwest Desert, Burbank/Garrison",Elk,Antlerless,Any Legal Weapon,General Season,Aug 01 2025 - Aug 15 2025,HANUMBER|HUNTTABLE|DATABASE,13.0,2.0,15.0,11.0,1.0,12.0,,,,,,,13.0,2.0,15.0,13.0,2.0,15.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,13.0,2.0,15.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1266,"Box Elder, Hansel Mtn",Elk,Antlerless,Any Legal Weapon,General Season,Aug 01 2025 - Jan 31 2026,HANUMBER|HUNTTABLE|DATABASE,18.0,2.0,20.0,27.0,3.0,30.0,,,,,,,18.0,2.0,20.0,18.0,2.0,20.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,27.0,3.0,30.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1267,Cache,Elk,Antlerless,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,HANUMBER|HUNTTABLE|DATABASE,81.0,9.0,90.0,180.0,20.0,200.0,,,,,,,81.0,9.0,90.0,81.0,9.0,90.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,81.0,9.0,90.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1269,Ogden (Excludes Hyrum),Elk,Antlerless,Any Legal Weapon,General Season,Dec 01 2025 - Dec 31 2025,HANUMBER|HUNTTABLE|DATABASE,180.0,20.0,200.0,270.0,30.0,300.0,,,,,,,180.0,20.0,200.0,180.0,20.0,200.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,270.0,30.0,300.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1284,Panguitch Lake,Elk,Antlerless,Muzzleloader,General Season,Oct 29 2025 - Nov 06 2025,HANUMBER|HUNTTABLE|DATABASE,31.0,4.0,35.0,49.0,6.0,55.0,,,,,,,31.0,4.0,35.0,31.0,4.0,35.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,49.0,6.0,55.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA1285,Panguitch Lake,Elk,Antlerless,Any Legal Weapon,General Season,Dec 13 2025 - Dec 21 2025,HANUMBER|HUNTTABLE|DATABASE,31.0,4.0,35.0,22.0,3.0,25.0,,,,,,,31.0,4.0,35.0,31.0,4.0,35.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,31.0,4.0,35.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA2033,Kamas,Elk,Antlerless,Archery,General Season,Aug 16 2025 - Sep 17 2025,HANUMBER|HUNTTABLE|DATABASE,225.0,25.0,250.0,180.0,20.0,200.0,,,,,,,225.0,25.0,250.0,225.0,25.0,250.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,225.0,25.0,250.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
EA2036,"Oquirrh-Stansbury, East",Elk,Antlerless,Any Legal Weapon,General Season,Nov 08 2025 - Jan 31 2026,HANUMBER|HUNTTABLE|DATABASE,54.0,6.0,60.0,63.0,7.0,70.0,,,,,,,54.0,6.0,60.0,54.0,6.0,60.0,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,63.0,7.0,70.0,Non-database sources conflict and fewer than three current sources match.,true_source_conflicts,True,,,,,,,,,,,,,,,,,,,False,UNMATCHED
