hunt_code,database_boundary_id,resolved_boundary_id,boundary_resolution_status,can_close_identity_boundary,database_status,display_boundary_id,hunt_boundary_crosswalk_id,split_index_boundary_id,direct_hunt_code_geojson,direct_boundary_id_geojson,confirmed_boundary_ids_from_evidence,candidate_boundary_ids_from_evidence,boundary_source_count,boundary_sources,notes
EA1063,609,609,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,609,609,609,true,false,609,609,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1069,634,634,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,634,634,634,true,false,634,634,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1129,568,568,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,568,568,568,true,false,568,568,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1134,522,522,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,522,522,522,true,false,522,522,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1139,577,577,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,577,577,577,true,false,577,577,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1149,551,551,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,551,551,551,true,false,551,551,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1193,38,38,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,38,38,38,true,false,38,38,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1208,616,616,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,616,616,616,true,false,616,616,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1222,685,685,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,685,685,685,true,false,685,685,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1223,685,685,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,685,685,685,true,false,685,685,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1251,893,893,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,893,893,893,true,false,893,893,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1266,18,18,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,18,18,18,true,false,18,18,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1267,29,29,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,29,29,29,true,true,29,29,5,DATABASE|boundary_id_to_hunt_code_crosswalk_2026.csv|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1269,924,924,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,924,924,924,true,false,924,924,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1284,634,634,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,634,634,634,true,false,634,634,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA1285,634,634,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,634,634,634,true,false,634,634,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA2033,611,611,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,611,611,611,true,false,611,611,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
EA2036,86,86,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,86,86,86,true,false,86,86,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
MA1005,117,117,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,117,117,117,true,false,117,117,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
MA1007,117,117,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,117,117,117,true,false,117,117,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
MA1008,937,937,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,937,937,937,true,false,937,937,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
PD1000,27,27,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,27,27,27,true,false,27,27,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
PD1012,24,24,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,24,24,24,true,false,24,24,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
PD1016,537,537,BOUNDARY_ID_CONFIRMED,false,MANUAL_REMAP_REQUIRED,,,537,true,false,,537,2,DATABASE|hunt_research_2026_split.index,Keep in active review bucket.
PD1017,755,755,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,755,755,755,true,false,755,755,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
PD1026,826,826,BOUNDARY_ID_CONFIRMED,false,MANUAL_REMAP_REQUIRED,,,826,true,false,,826,2,DATABASE|hunt_research_2026_split.index,Keep in active review bucket.
PD1044,895,895,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,895,895,895,true,false,895,895,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
PD1056,703,703,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,703,703,703,true,false,703,703,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
PD1057,873,873,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,873,873,873,true,false,873,873,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
PD1059,940,940,BOUNDARY_ID_CONFIRMED,false,PERMIT_CONFLICT_REVIEW_REQUIRED,940,940,940,true,false,940,940,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Keep in active review bucket.
BR7307,684,684,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,684,684,684,true,true,684,684,5,DATABASE|boundary_id_to_hunt_code_crosswalk_2026.csv|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
BR7324,610,610,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,610,610,610,true,false,610,610,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
DB1056,7,7,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,7,7,7,true,false,7,7,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
DB1075,7,7,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,7,7,7,true,false,7,7,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
DB1076,7,7,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,7,7,7,true,false,7,7,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
DB1118,108,108,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,108,108,108,true,false,108,108,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
EA1220,5112,5112,DATABASE_BOUNDARY_ID_WITH_ADDITIONAL_CANDIDATES,true,DATABASE_IDENTITY_READY,5112,5112,5112,true,true,5112,5112,5,DATABASE|boundary_id_to_hunt_code_crosswalk_2026.csv|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
EA1221,5145,5145,DATABASE_BOUNDARY_ID_WITH_ADDITIONAL_CANDIDATES,true,DATABASE_IDENTITY_READY,5145,5145,5145,true,true,5145,5145,5,DATABASE|boundary_id_to_hunt_code_crosswalk_2026.csv|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
EA1258,5113,5113,DATABASE_BOUNDARY_ID_WITH_ADDITIONAL_CANDIDATES,true,DATABASE_IDENTITY_READY,5113,5113,5113,true,true,5113,5113,5,DATABASE|boundary_id_to_hunt_code_crosswalk_2026.csv|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
EB1001,5120,5120,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,5120,5120,5120,true,true,5120,5120,5,DATABASE|boundary_id_to_hunt_code_crosswalk_2026.csv|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
EB1002,5121,5121,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,5121,5121,5121,true,true,5121,5121,5,DATABASE|boundary_id_to_hunt_code_crosswalk_2026.csv|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
EB1003,5122,5122,DATABASE_BOUNDARY_ID_WITH_ADDITIONAL_CANDIDATES,true,DATABASE_IDENTITY_READY,5122,5122,5122,true,true,5122,5122,5,DATABASE|boundary_id_to_hunt_code_crosswalk_2026.csv|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
EB1004,5123,5123,DATABASE_BOUNDARY_ID_WITH_ADDITIONAL_CANDIDATES,true,DATABASE_IDENTITY_READY,5123,5123,5123,true,true,5123,5123,5,DATABASE|boundary_id_to_hunt_code_crosswalk_2026.csv|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
EB1005,5124,5124,DATABASE_BOUNDARY_ID_WITH_ADDITIONAL_CANDIDATES,true,DATABASE_IDENTITY_READY,5124,5124,5124,true,true,5124,5124,5,DATABASE|boundary_id_to_hunt_code_crosswalk_2026.csv|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
EB1010,5127,5127,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,5127,5127,5127,true,true,5127,5127,5,DATABASE|boundary_id_to_hunt_code_crosswalk_2026.csv|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1531,607,607,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,607,607,607,true,false,607,607,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1534,616,616,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,616,616,616,true,false,616,616,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1536,804,804,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,804,804,804,true,false,804,804,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1538,611,611,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,611,611,611,true,false,611,611,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1540,629,629,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,629,629,629,true,false,629,629,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1541,630,630,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,630,630,630,true,false,630,630,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1542,615,615,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,615,615,615,true,false,615,615,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1544,609,609,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,609,609,609,true,false,609,609,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1547,636,636,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,636,636,636,true,false,636,636,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1549,633,633,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,633,633,633,true,false,633,633,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1559,635,635,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,635,635,635,true,false,635,635,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1591,804,804,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,804,804,804,true,false,804,804,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1592,611,611,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,611,611,611,true,false,611,611,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1593,615,615,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,615,615,615,true,false,615,615,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1595,636,636,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,636,636,636,true,false,636,636,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1596,633,633,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,633,633,633,true,false,633,633,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1597,635,635,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,635,635,635,true,false,635,635,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1627,29,29,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,29,29,29,true,true,29,29,5,DATABASE|boundary_id_to_hunt_code_crosswalk_2026.csv|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1628,29,29,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,29,29,29,true,true,29,29,5,DATABASE|boundary_id_to_hunt_code_crosswalk_2026.csv|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
LO1631,607,607,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,607,607,607,true,false,607,607,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
TK1012,887,887,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,887,887,887,true,false,887,887,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
TK1013,886,886,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,886,886,886,true,false,886,886,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
TK1014,888,888,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,888,888,888,true,false,888,888,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
TK1015,884,884,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,884,884,884,true,false,884,884,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
TK1016,885,885,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,885,885,885,true,false,885,885,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
BR1001,5002,5002,DATABASE_BOUNDARY_ID_WITH_ADDITIONAL_CANDIDATES,true,DATABASE_IDENTITY_READY,5002,5002,5002,true,true,5002,5002,5,DATABASE|boundary_id_to_hunt_code_crosswalk_2026.csv|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
BR1007,5003,5003,DATABASE_BOUNDARY_ID_WITH_ADDITIONAL_CANDIDATES,true,DATABASE_IDENTITY_READY,5003,5003,5003,true,true,5003,5003,5,DATABASE|boundary_id_to_hunt_code_crosswalk_2026.csv|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
BR1018,5013,5013,DATABASE_BOUNDARY_ID_WITH_ADDITIONAL_CANDIDATES,true,DATABASE_IDENTITY_READY,5013,5013,5013,true,true,5013,5013,5,DATABASE|boundary_id_to_hunt_code_crosswalk_2026.csv|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
BR7019,610,610,BOUNDARY_ID_CONFIRMED,false,MANUAL_REMAP_REQUIRED,,,610,true,false,,610,2,DATABASE|hunt_research_2026_split.index,Keep in active review bucket.
DB0001,866,866,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,866,866,866,true,false,866,866,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
DB0002,866,866,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,866,866,866,true,false,866,866,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
DB0003,866,866,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,866,866,866,true,false,866,866,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
DB0004,865,865,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,865,865,865,true,false,865,865,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
DB0005,865,865,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,865,865,865,true,false,865,865,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
DB0006,865,865,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,865,865,865,true,false,865,865,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
DB0009,1,1,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,1,1,1,true,false,1,1,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
DB0010,865,865,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,865,865,865,true,false,865,865,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
DB0011,865,865,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,865,865,865,true,false,865,865,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
DB0012,865,865,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,865,865,865,true,false,865,865,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
DB0013,865,865,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,865,865,865,true,false,865,865,4,DATABASE|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
EA2000,5116,5116,BOUNDARY_ID_CONFIRMED,true,DATABASE_IDENTITY_READY,5116,5116,5116,true,true,5116,5116,5,DATABASE|boundary_id_to_hunt_code_crosswalk_2026.csv|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
EB1009,5126,5126,DATABASE_BOUNDARY_ID_WITH_ADDITIONAL_CANDIDATES,true,DATABASE_IDENTITY_READY,5126,5126,5126,true,true,5126,5126,5,DATABASE|boundary_id_to_hunt_code_crosswalk_2026.csv|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
EB1011,5128,5128,DATABASE_BOUNDARY_ID_WITH_ADDITIONAL_CANDIDATES,true,DATABASE_IDENTITY_READY,5128,5128,5128,true,true,5128,5128,5,DATABASE|boundary_id_to_hunt_code_crosswalk_2026.csv|display-boundary-index-2026.csv|hunt_boundary_crosswalk_2026.csv|hunt_research_2026_split.index,Identity/boundary can close.
