hunt_code,residency,points,field,pdf_value,canonical_value,pdf_source_file,pdf_hunt_name,canonical_hunt_name
MB6262,Resident,3,regular_permits,5,0,19_bg-odds.pdf,Cwmu Bull Moose - Junction Valley - Any Legal Weapon,Junction Valley
MB6262,Resident,3,total_permits,5,0,19_bg-odds.pdf,Cwmu Bull Moose - Junction Valley - Any Legal Weapon,Junction Valley
MB6262,Nonresident,3,eligible_applicants,515,0,19_bg-odds.pdf,Cwmu Bull Moose - Junction Valley - Any Legal Weapon,Junction Valley
MB6262,Resident,2,eligible_applicants,1430,3,19_bg-odds.pdf,Cwmu Bull Moose - Junction Valley - Any Legal Weapon,Junction Valley
MB6262,Resident,2,regular_permits,11,0,19_bg-odds.pdf,Cwmu Bull Moose - Junction Valley - Any Legal Weapon,Junction Valley
MB6262,Resident,2,total_permits,11,0,19_bg-odds.pdf,Cwmu Bull Moose - Junction Valley - Any Legal Weapon,Junction Valley
MB6262,Nonresident,2,eligible_applicants,736,0,19_bg-odds.pdf,Cwmu Bull Moose - Junction Valley - Any Legal Weapon,Junction Valley
MB6262,Resident,1,eligible_applicants,1662,4,19_bg-odds.pdf,Cwmu Bull Moose - Junction Valley - Any Legal Weapon,Junction Valley
MB6262,Resident,1,regular_permits,13,0,19_bg-odds.pdf,Cwmu Bull Moose - Junction Valley - Any Legal Weapon,Junction Valley
MB6262,Resident,1,total_permits,13,0,19_bg-odds.pdf,Cwmu Bull Moose - Junction Valley - Any Legal Weapon,Junction Valley
MB6262,Nonresident,1,eligible_applicants,808,0,19_bg-odds.pdf,Cwmu Bull Moose - Junction Valley - Any Legal Weapon,Junction Valley
MB6262,Nonresident,1,regular_permits,2,0,19_bg-odds.pdf,Cwmu Bull Moose - Junction Valley - Any Legal Weapon,Junction Valley
MB6262,Nonresident,1,total_permits,2,0,19_bg-odds.pdf,Cwmu Bull Moose - Junction Valley - Any Legal Weapon,Junction Valley
BI6520,Nonresident,26,eligible_applicants,13,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,25,eligible_applicants,28,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,25,regular_permits,1,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,25,total_permits,1,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,24,eligible_applicants,7,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,24,bonus_permits,7,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,24,total_permits,7,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,24,eligible_applicants,36,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,23,eligible_applicants,29,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,23,bonus_permits,7,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,23,total_permits,7,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,23,eligible_applicants,46,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,22,eligible_applicants,57,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,22,bonus_permits,13,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,22,regular_permits,1,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,22,total_permits,14,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,22,eligible_applicants,54,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,21,eligible_applicants,98,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,21,bonus_permits,6,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,21,regular_permits,1,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,21,total_permits,7,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,21,eligible_applicants,44,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,20,eligible_applicants,103,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,20,bonus_permits,2,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,20,total_permits,2,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,20,eligible_applicants,83,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,19,eligible_applicants,151,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,19,eligible_applicants,133,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,18,eligible_applicants,140,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,18,bonus_permits,0,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,18,regular_permits,2,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,18,total_permits,2,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,18,eligible_applicants,161,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,18,regular_permits,1,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,18,total_permits,1,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,17,eligible_applicants,176,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,17,regular_permits,1,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,17,total_permits,1,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,17,eligible_applicants,191,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,17,bonus_permits,0,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,17,total_permits,0,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,16,eligible_applicants,205,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,16,bonus_permits,0,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,16,regular_permits,4,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,16,total_permits,4,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,16,eligible_applicants,200,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,15,eligible_applicants,217,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,15,regular_permits,3,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,15,total_permits,3,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,15,eligible_applicants,262,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,14,eligible_applicants,250,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,14,bonus_permits,0,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,14,regular_permits,1,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,14,eligible_applicants,281,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,13,eligible_applicants,276,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,13,regular_permits,3,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,13,total_permits,3,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,13,eligible_applicants,276,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,13,bonus_permits,0,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,13,total_permits,0,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,12,eligible_applicants,254,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,12,bonus_permits,0,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,12,total_permits,0,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,12,eligible_applicants,313,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,11,eligible_applicants,258,2,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,11,bonus_permits,0,2,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,11,total_permits,0,2,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,11,eligible_applicants,333,2,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,10,eligible_applicants,251,3,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,10,bonus_permits,0,3,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,10,regular_permits,1,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,10,total_permits,1,3,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,10,eligible_applicants,1138,10,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,9,eligible_applicants,280,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,9,bonus_permits,0,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,9,regular_permits,2,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,9,total_permits,2,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,9,eligible_applicants,669,2,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,8,eligible_applicants,298,4,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,8,bonus_permits,0,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,8,regular_permits,2,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,8,total_permits,2,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,8,eligible_applicants,574,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,8,regular_permits,0,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,8,total_permits,0,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,7,eligible_applicants,292,6,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Nonresident,7,eligible_applicants,540,0,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,6,eligible_applicants,324,4,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6520,Resident,6,regular_permits,2,1,19_bg-odds.pdf,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
