raw_heading,matched_hunt_code,matched_hunt_name,permits,match_status,score,matched_tokens
Buck Deer - Limited Entry - Archery - Diamond Mtn - Permits: 1,DB1015,Diamond Mtn,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,9,diamond
Buck Deer - Limited Entry - Muzzleloader - Diamond Mtn - Permits: 1,DB1038,Diamond Mtn,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,9,diamond
"Buck Deer - Limited Entry - Late-season Muzzleloader - Wasatch Mtns, West - Permits: 1",DB1041,"Wasatch Mtns, East",1,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,19,wasatch
"Buck Deer - Limited Entry - Late-season Muzzleloader - Wasatch Mtns, East - Permits: 1",DB1041,"Wasatch Mtns, East",1,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,19,wasatch
"Buck Deer - Limited Entry - Any Weapon - West Desert, Vernon - Permits: 4",DB1024,"West Desert, Vernon",4,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,13,desert|vernon
"Buck Deer - Limited Entry - Archery - West Desert, Vernon - Permits: 3",DB1016,"West Desert, Vernon",3,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,13,desert|vernon
"Buck Deer - Limited Entry - Muzzleloader - West Desert, Vernon - Permits: 2",DB1048,"West Desert, Vernon",2,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,20,desert|vernon
Buck Deer - Limited Entry - Late-season Muzzleloader - Zion - Permits: 1,DB1043,Zion,1,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,19,zion
"Bull Elk - Limited Entry - Any Weapon (mid) - Beaver, East - Permits: 1",EB3159,Beaver East,1,AMBIGUOUS_EXPO_MATCH,19,beaver
"Bull Elk - Limited Entry - Archery - Beaver, East - Permits: 1",EB3158,Beaver East,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,19,beaver
"Bull Elk - Limited Entry - Archery (late) - Beaver, East - Permits: 1",EB3158,Beaver East,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,19,beaver
"Bull Elk - Limited Entry - Any Weapon (mid) - Book Cliffs, Bitter Creek/East - Permits: 1",EB3164,Book Cliffs Bitter Creek/East,1,AMBIGUOUS_EXPO_MATCH,31,bitter|book|cliffs|creek
"Bull Elk - Limited Entry - Any Weapon (late) - Book Cliffs, Bitter Creek/East - Permits: 1",EB3164,Book Cliffs Bitter Creek/East,1,AMBIGUOUS_EXPO_MATCH,31,bitter|book|cliffs|creek
"Bull Elk - Limited Entry - Archery - Book Cliffs, Bitter Creek/East - Permits: 1",EB3165,Book Cliffs Bitter Creek/East,1,AMBIGUOUS_EXPO_MATCH,28,bitter|book|cliffs|creek
"Bull Elk - Limited Entry - Archery - Cache, Meadowville - Permits: 1",EB3105,Cache Meadowville,1,AMBIGUOUS_EXPO_MATCH,20,cache|meadowville
"Bull Elk - Limited Entry - Any Weapon (early) - Cache, South - Permits: 1",EB3037,Cache South,1,AMBIGUOUS_EXPO_MATCH,19,cache
"Bull Elk - Limited Entry - Archery - Cache, South - Permits: 1",EB3005,Cache South,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,19,cache
Bull Elk - Limited Entry - Any Weapon (early) - Diamond Mtn - Permits: 1,EB3196,Diamond Mtn,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,19,diamond
Bull Elk - Limited Entry - Any Weapon (mid) - Diamond Mtn - Permits: 1,EB3196,Diamond Mtn,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,19,diamond
Bull Elk - Limited Entry - Archery - Diamond Mtn - Permits: 1,EB3020,Diamond Mtn,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,19,diamond
Bull Elk - Limited Entry - Any Weapon (early) - Manti - Permits: 2,EB3038,Manti,2,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,19,manti
Bull Elk - Limited Entry - Any Weapon (mid) - Manti - Permits: 5,EB3039,Manti,5,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,19,manti
Bull Elk - Limited Entry - Any Weapon (late) - Manti - Permits: 3,EB3006,Manti,3,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,16,manti
Bull Elk - Limited Entry - Archery - Manti - Permits: 3,EB3006,Manti,3,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,19,manti
Bull Elk - Limited Entry - Muzzleloader - Manti - Permits: 3,EB3006,Manti,3,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,16,manti
Bull Elk - Limited Entry - Any Weapon (early) - Nebo/San Pitch Mtns - Permits: 1,EB3178,Nebo/San Pitch Mtns,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,24,nebo|pitch|san
Bull Elk - Limited Entry - Any Weapon (mid) - Nebo/San Pitch Mtns - Permits: 1,EB3178,Nebo/San Pitch Mtns,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,24,nebo|pitch|san
"Bull Elk - Limited Entry - Archery - Nebo/San Pitch Mtns
- Permits: 1",EB3178,Nebo/San Pitch Mtns,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,24,nebo|pitch|san
"Bull Elk - Limited Entry - Any Weapon (late) - Fillmore, Pahvant - Permits: 1",EB3110,Fillmore Pahvant,1,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,20,fillmore|pahvant
"Bull Elk - Limited Entry - Archery - Fillmore, Pahvant - Permits: 1",EB3110,Fillmore Pahvant,1,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,20,fillmore|pahvant
"Bull Elk - Limited Entry - Any Weapon (early) - La Sal, La Sal Mtns - Permits: 1",EB3183,La Sal Mtns,1,AMBIGUOUS_EXPO_MATCH,9,sal
"Bull Elk - Limited Entry - Any Weapon (mid) - La Sal, La Sal Mtns - Permits: 2",EB3046,La Sal Mtns,2,AMBIGUOUS_EXPO_MATCH,19,sal
"Bull Elk - Limited Entry - Any Weapon (late) - La Sal, La Sal Mtns - Permits: 1",EB3183,La Sal Mtns,1,AMBIGUOUS_EXPO_MATCH,9,sal
"Bull Elk - Limited Entry - Archery - La Sal, La Sal Mtns - Permits: 1",EB3182,La Sal Mtns,1,AMBIGUOUS_EXPO_MATCH,9,sal
"Bull Elk - Limited Entry - Any Weapon (mid) - Mt Dutton
- Permits: 1",EB3113,Mt Dutton,1,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,16,dutton
"Bull Elk - Limited Entry - Any Weapon (late) - Mt Dutton
- Permits: 1",EB3113,Mt Dutton,1,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,16,dutton
Bull Elk - Limited Entry - Archery - Mt Dutton - Permits: 1,EB3113,Mt Dutton,1,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,16,dutton
Bull Elk - Limited Entry - Any Weapon (early) - Panguitch Lake - Permits: 1,EB3057,Panguitch Lake,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,23,lake|panguitch
Bull Elk - Limited Entry - Any Weapon (mid) - Panguitch Lake - Permits: 1,EB3057,Panguitch Lake,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,23,lake|panguitch
Bull Elk - Limited Entry - Archery - Panguitch Lake - Permits: 1,EB3015,Panguitch Lake,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,23,lake|panguitch
Bull Elk - Limited Entry - Any Weapon (early) - Boulder - Permits: 1,EB3151,Boulder,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,19,boulder
Bull Elk - Limited Entry - Any Weapon (mid) - Boulder - Permits: 2,EB3148,Boulder,2,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,19,boulder
Bull Elk - Limited Entry - Archery - Boulder - Permits: 1,EB3156,Boulder,1,AMBIGUOUS_EXPO_MATCH,16,boulder
Bull Elk - Limited Entry - Any Weapon (mid) - Fishlake/Thousand Lakes - Permits: 5,EB3065,Fishlake/Thousand Lakes,5,AMBIGUOUS_EXPO_MATCH,17,fishlake|lakes|thousand
Bull Elk - Limited Entry - Any Weapon (late) - Fishlake/Thousand Lakes - Permits: 2,EB3120,Fishlake/Thousand Lakes,2,AMBIGUOUS_EXPO_MATCH,24,fishlake|lakes|thousand
Bull Elk - Limited Entry - Archery - Fishlake/Thousand Lakes - Permits: 3,EB3063,Fishlake/Thousand Lakes,3,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,24,fishlake|lakes|thousand
Bull Elk - Limited Entry - Muzzleloader - Fishlake/Thousand Lakes - Permits: 1,EB3096,Fishlake/Thousand Lakes,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,17,fishlake|lakes|thousand
Bull Elk - Limited Entry - Any Weapon (early) - San Juan Bull Elk - Permits: 1,EB3067,San Juan Bull Elk,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,23,juan|san
Bull Elk - Limited Entry - Any Weapon (mid) - San Juan Bull Elk - Permits: 1,EB3067,San Juan Bull Elk,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,23,juan|san
Bull Elk - Limited Entry - Archery - San Juan Bull Elk - Permits: 1,EB3121,San Juan Bull Elk,1,AMBIGUOUS_EXPO_MATCH,20,juan|san
"Bull Elk - Limited Entry - Any Weapon (early) - Southwest Desert, South - Permits: 1",EB3136,Southwest Desert North,1,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,20,desert|southwest
"Bull Elk - Limited Entry - Any Weapon (mid) - Southwest Desert, South - Permits: 2",EB3149,Southwest Desert South,2,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,23,desert|southwest
"Bull Elk - Limited Entry - Any Weapon (late) - Southwest Desert, South - Permits: 1",EB3136,Southwest Desert North,1,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,20,desert|southwest
"Bull Elk - Limited Entry - Archery - Southwest Desert, South - Permits: 1",EB3136,Southwest Desert North,1,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,23,desert|southwest
Bull Elk - Limited Entry - Any Weapon (early) - Wasatch Mtns - Permits: 3,EB3073,Wasatch Mtns,3,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,19,wasatch
Bull Elk - Limited Entry - Any Weapon (mid) - Wasatch Mtns - Permits: 4,EB3127,Wasatch Mtns,4,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,19,wasatch
Bull Elk - Limited Entry - Any Weapon (late) - Wasatch Mtns - Permits: 3,EB3073,Wasatch Mtns,3,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,19,wasatch
Bull Elk - Limited Entry - Archery - Wasatch Mtns - Permits: 6,EB3022,Wasatch Mtns,6,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,19,wasatch
Bull Elk - Limited Entry - Archery (late) - Wasatch Mtns - Permits: 1,EB3199,Wasatch Mtns,1,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,19,wasatch
Bull Elk - Limited Entry - Muzzleloader - Wasatch Mtns - Permits: 4,EB3100,Wasatch Mtns,4,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,19,wasatch
Bull Elk - Limited Entry - Multi-Season - Wasatch Mtns - Permits: 1,EB3199,Wasatch Mtns,1,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,16,wasatch
Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - Manti - Permits: 3,EB3006,Manti,3,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,14,manti
Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - La Sal - Permits: 1,EB3183,La Sal Mtns,1,AMBIGUOUS_EXPO_MATCH,4,sal
Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - Fishlake/Thousand Lakes - Permits: 1,EB3192,Fishlake/Thousand Lakes,1,AMBIGUOUS_EXPO_MATCH,12,fishlake|lakes|thousand
"Buck Pronghorn - Limited Entry - Any Weapon - Beaver
- Permits: 1",PB5025,Beaver,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,9,beaver
"Buck Pronghorn - Limited Entry - Any Weapon - Book Cliffs, Bitter Creek - Permits: 1",PB5026,"Book Cliffs, Bitter Creek",1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,21,bitter|book|cliffs|creek
Buck Pronghorn - Limited Entry - Any Weapon - Diamond Mtn/Bonanza - Permits: 3,PB5047,Diamond Mtn/Bonanza,3,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,23,bonanza|diamond
"Buck Pronghorn - Limited Entry - Any Weapon - Fillmore, Oak Creek South - Permits: 2",PB5330,George Creek CWMU,2,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,17,creek
"Buck Pronghorn - Limited Entry - Archery - Fillmore, Oak Creek South - Permits: 1",PB5008,"Fillmore, Oak Creek South",1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,27,creek|fillmore|oak
Buck Pronghorn - Limited Entry - Any Weapon - Mt Dutton/Paunsaugunt - Permits: 1,PB5331,Mt Dutton/Paunsaugunt,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,13,dutton|paunsaugunt
"Buck Pronghorn - Limited Entry - Any Weapon - Nine Mile, Anthro-Myton Bench - Permits: 3",PB5037,"Nine Mile, Anthro-Myton Bench",3,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,25,anthro|bench|mile|myton|nine
"Buck Pronghorn - Limited Entry - Archery - Nine Mile, Anthro-Myton Bench - Permits: 1",PB5038,"Nine Mile, Range Creek",1,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,20,mile|nine
"Buck Pronghorn - Limited Entry - Muzzleloader - Nine Mile, Anthro-Myton Bench - Permits: 1",PB5038,"Nine Mile, Range Creek",1,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,20,mile|nine
Buck Pronghorn - Limited Entry - Any Weapon - Parker Mtn - Permits: 1,PB5076,Parker Mtn,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,9,parker
Buck Pronghorn - Limited Entry - Archery - Parker Mtn - Permits: 1,PB5077,Parker Mtn,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,9,parker
Buck Pronghorn - Limited Entry - Any Weapon - Pine Valley - Permits: 1,PB5051,"West Desert, Rush Valley",1,AMBIGUOUS_EXPO_MATCH,19,valley
"Buck Pronghorn - Limited Entry - Any Weapon - San Rafael, North - Permits: 4",PB5046,"San Rafael, North",4,AMBIGUOUS_EXPO_MATCH,13,rafael|san
"Buck Pronghorn - Limited Entry - Archery - San Rafael, North - Permits: 1",PB5055,"San Rafael, Desert",1,AMBIGUOUS_EXPO_MATCH,13,rafael|san
"Buck Pronghorn - Limited Entry - Muzzleloader - San Rafael, North - Permits: 1",PB5056,"San Rafael, North",1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,13,rafael|san
Buck Pronghorn - Limited Entry - Any Weapon - Southwest Desert - Permits: 3,PB5049,Southwest Desert,3,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,13,desert|southwest
Buck Pronghorn - Limited Entry - Archery - Southwest Desert - Permits: 1,PB5018,Southwest Desert,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,23,desert|southwest
Buck Pronghorn - Limited Entry - Muzzleloader - Southwest Desert - Permits: 1,PB5024,Southwest Desert,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,23,desert|southwest
"Buck Pronghorn - Limited Entry - Any Weapon - West Desert, Riverbed - Permits: 1",PB5051,"West Desert, Rush Valley",1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,19,desert
Bull Moose - Once-in-a-lifetime - - Wasatch Mtns/Central Mtns - Permits: 2,MB6011,Wasatch Mtns/Central Mtns,2,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,10,central|wasatch
"Bison - Once-in-a-lifetime - - Book Cliffs, Little Creek/South - Hunters Choice - Permits: 1",,,1,NO_TOKEN_MATCH,0,
Bison - Once-in-a-lifetime - - Henry Mtns - Hunters Choice (early) - Permits: 1,,,1,NO_TOKEN_MATCH,0,
"Bison - Once-in-a-lifetime - - Book Cliffs, Bitter Creek - Cow Only - Permits: 1",,,1,NO_TOKEN_MATCH,0,
Bison - Once-in-a-lifetime - - Henry Mtns - Cow Only (early) - Permits: 1,,,1,NO_TOKEN_MATCH,0,
"Black Bear - Limited Entry - Summer, Any Legal Weapon, No Dogs - Wasatch Mtns, West-Central - Permits: 2",,,2,NO_TOKEN_MATCH,0,
"Black Bear - Limited Entry - Spring, Any Legal Weapon, No Bait - La Sal - Permits: 2",,,2,NO_TOKEN_MATCH,0,
"Black Bear - Limited Entry - Fall, Any Legal Weapon - Nine Mile - Permits: 1",,,1,NO_TOKEN_MATCH,0,
"Black Bear - Limited Entry - Fall, Any Legal Weapon - Boulder/Kaiparowits - Permits: 1",,,1,NO_TOKEN_MATCH,0,
"Black Bear - Limited Entry - Spring, Any Legal Weapon, No Bait - Book Cliffs, Bitter Creek/South - Permits: 1",,,1,NO_TOKEN_MATCH,0,
"Black Bear - Limited Entry - Spring, Any Legal Weapon, No Bait - Diamond Mtn/Vernal/Bonanza - Permits: 1",,,1,NO_TOKEN_MATCH,0,
"Black Bear - Limited Entry - Spring, Any Legal Weapon, No Bait - Manti North - Permits: 1",,,1,NO_TOKEN_MATCH,0,
"Black Bear - Limited Entry - Spring, Any Legal Weapon, No Bait - Nebo - Permits: 1",,,1,NO_TOKEN_MATCH,0,
"Black Bear - Limited Entry - Spring, Any Legal Weapon, No Bait - San Juan - Permits: 2",,,2,NO_TOKEN_MATCH,0,
"Desert Bighorn Sheep - Once-in-a-lifetime - - Kaiparowits, East - Permits: 1",DS6603,"Kaiparowits, West",1,AMBIGUOUS_EXPO_MATCH,6,kaiparowits
"Desert Bighorn Sheep - Once-in-a-lifetime - - San Rafael, North - Permits: 1",DS6624,"San Rafael, Dirty Devil",1,AMBIGUOUS_EXPO_MATCH,20,rafael|san
"Rocky Mtn. Bighorn Sheep - Once-in-a-lifetime - - Box Elder, Newfoundland Mtn (early) - Permits: 1",RS6722,"Box Elder, Newfoundland Mtn",1,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,24,box|elder|newfoundland
"Rocky Mtn. Bighorn Sheep - Once-in-a-lifetime - - Fillmore, Oak Creek (early) - Permits: 1",RS6726,"Fillmore, Oak Creek",1,AMBIGUOUS_EXPO_MATCH,24,creek|fillmore|oak
Mountain Goat - Once-in-a-lifetime - Hunter Choice Archery - Nebo - Permits: 1,GO6821,Nebo,1,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,19,nebo
Mountain Goat - Once-in-a-lifetime - Hunter Choice - Beaver Early - Permits: 1,GO6822,Beaver,1,AMBIGUOUS_EXPO_MATCH,6,beaver
"Turkey - Public Lands - Spring, Limited Entry - Northern Area - Permits: 1",,,1,NO_TOKEN_MATCH,0,
"Turkey - Public Lands - Spring, Limited Entry - Northeastern Area - Permits: 1",,,1,NO_TOKEN_MATCH,0,
"Turkey - Public Lands - Spring, Limited Entry - Central Area - Permits: 2",,,2,NO_TOKEN_MATCH,0,
"Turkey - Public Lands - Spring, Limited Entry - Southern Area - Permits: 2",,,2,NO_TOKEN_MATCH,0,
