hunt_code,year,in_2026_database,overall_status,reconciliation_action,permit_status,harvest_permits,draw_total_permits_reconciled,harvest_permits_unique,draw_total_permits_unique,draw_permits_by_residency,metadata_status,metadata_matching_columns,metadata_fill_candidate_columns,metadata_conflict_columns,harvest_row_count,draw_row_count,draw_points_count,harvest_model_target_years,harvest_source_files,draw_source_files,draw_statuses,harvest_boundary_id,draw_boundary_id,harvest_hunt_name,draw_hunt_name,harvest_species,draw_species,harvest_sex_type,draw_sex_type,harvest_hunt_type,draw_hunt_type,harvest_weapon,draw_weapon,harvest_hunt_class,draw_hunt_class
BI6521,2021,FALSE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_MATCH,5,5,5,0|1|2,"{""Nonresident"": ""4"", ""Resident"": ""1""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,52,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Book Cliffs (archery, hunter's choice)",Bison Archery (hunter’s Choice) - Book Cliffs (hunter's Choice) - Archery,Bison,,,,,Limited Entry,,,,Limited Entry
BI6523,2021,FALSE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,5,3,5,0|1|2,"{""Nonresident"": ""3"", ""Resident"": ""0""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,51,28,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Book Cliffs, Bitter Creek/South (hunter's choice)","Bison (hunter’s Choice) - Book Cliffs, Bitter Creek/south (hunter's Choice) - Any Legal Weapon",Bison,,,,,Limited Entry,,,,Limited Entry
BI6524,2021,FALSE,MATCHED_HARVEST_AND_DRAW_YEAR,REVIEW_CONFLICT_DO_NOT_AUTOFILL,PERMIT_CONFLICT_REVIEW,18,19,18,0|1|2|3,"{""Nonresident"": ""18"", ""Resident"": ""1""}",METADATA_CONFLICT,,hunt_type|hunt_class,hunt_name,8,49,27,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,21_bg-odds.pdf,,,,"Book Cliffs, Little Creek Roadless (cow only)","Bison (cow Only) - Book Cliffs, Little Creek Roadless (cow Only) - Any Legal Weapon",Bison,,,,,Limited Entry,,,,Limited Entry
BI6526,2021,FALSE,DRAW_ONLY_YEAR,SOURCE_BACKED_FILL_CANDIDATE,HARVEST_PERMIT_BLANK_DRAW_AVAILABLE,,0,,0,"{""Nonresident"": ""0"", ""Resident"": ""0""}",METADATA_FILL_CANDIDATE,,hunt_name|hunt_type|hunt_class,,0,50,28,,,21_bg-odds.pdf,,,,,"Bison (hunter’s Choice) - Book Cliffs, Wild Horse Bench (hunter's Choice) - Closed - Any Legal Weapon",,,,,,Limited Entry,,,,Limited Entry
BI6527,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,163,,163,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,Nine Mile,,Bison,,,,,,,,,
BR7000,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,10,,10,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,Beaver,,Black Bear,,,,,,,,,
BR7001,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,45,,45,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"Book Cliffs, Bitter Creek/South",,Black Bear,,,,,,,,,
BR7003,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,19,,19,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"Central Mtns, Manti-North",,Black Bear,,,,,,,,,
BR7004,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,14,,14,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"Central Mtns, Manti-South/San Rafael, North",,Black Bear,,,,,,,,,
BR7005,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,12,,12,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"Central Mtns, Nebo",,Black Bear,,,,,,,,,
BR7007,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,1,,1,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"Fillmore, Pahvant",,Black Bear,,,,,,,,,
BR7008,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,45,,45,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,La Sal,,Black Bear,,,,,,,,,
BR7009,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,3,,3,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,Mt Dutton,,Black Bear,,,,,,,,,
BR7010,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,9,,9,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,Panguitch Lake/Zion,,Black Bear,,,,,,,,,
BR7011,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,3,,3,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,Paunsaugunt,,Black Bear,,,,,,,,,
BR7012,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,28,,28,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"Plateau, Boulder/Kaiparowits",,Black Bear,,,,,,,,,
BR7013,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,4,,4,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"Plateau, Fishlake/Thousand Lakes",,Black Bear,,,,,,,,,
BR7014,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,45,,45,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,San Juan,,Black Bear,,,,,,,,,
BR7015,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,13,,13,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"South Slope, Bonanza/Diamond Mtn/Vernal",,Black Bear,,,,,,,,,
BR7016,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,37,,37,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"Wasatch Mtns, West-Central",,Black Bear,,,,,,,,,
BR7017,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,1,,1,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,Cache/Ogden,,Black Bear,,,,,,,,,
BR7018,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,7,,7,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"Kamas/North Slope, Summit",,Black Bear,,,,,,,,,
BR7100,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,10,,10,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,Beaver,,Black Bear,,,,,,,,,
BR7101,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,15,,15,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"Book Cliffs, Bitter Creek/South",,Black Bear,,,,,,,,,
BR7102,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,2,,2,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"Book Cliffs, Little Creek Roadless",,Black Bear,,,,,,,,,
BR7104,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,13,,13,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"Central Mtns, Manti-North",,Black Bear,,,,,,,,,
BR7105,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,14,,14,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"Central Mtns, Manti-South/San Rafael, North",,Black Bear,,,,,,,,,
BR7106,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,11,,11,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"Central Mtns, Nebo",,Black Bear,,,,,,,,,
BR7108,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,27,,27,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,La Sal,,Black Bear,,,,,,,,,
BR7109,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,3,,3,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,Mt Dutton,,Black Bear,,,,,,,,,
BR7110,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,14,,14,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,Nine Mile,,Black Bear,,,,,,,,,
BR7111,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,3,,3,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"North Slope, Three Corners/West Daggett",,Black Bear,,,,,,,,,
BR7112,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,3,,3,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,Panguitch Lake/Zion,,Black Bear,,,,,,,,,
BR7113,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,3,,3,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,Paunsaugunt,,Black Bear,,,,,,,,,
BR7114,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,20,,20,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"Plateau, Boulder/Kaiparowits",,Black Bear,,,,,,,,,
BR7115,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,4,,4,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"Plateau, Fishlake/Thousand Lakes",,Black Bear,,,,,,,,,
BR7116,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,27,,27,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,San Juan,,Black Bear,,,,,,,,,
BR7117,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,9,,9,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"South Slope, Bonanza/Diamond Mtn/Vernal",,Black Bear,,,,,,,,,
BR7118,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,6,,6,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"South Slope, Yellowstone",,Black Bear,,,,,,,,,
BR7119,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,5,,5,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"Wasatch Mtns, Avintaquin/Currant Creek",,Black Bear,,,,,,,,,
BR7120,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,24,,24,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"Wasatch Mtns, West-Central",,Black Bear,,,,,,,,,
BR7121,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,1,,1,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,Cache/Ogden,,Black Bear,,,,,,,,,
BR7122,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,6,,6,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,Chalk Creek/East Canyon/Morgan-South Rich,,Black Bear,,,,,,,,,
BR7123,2021,TRUE,HARVEST_ONLY_YEAR,NO_ACTION_OR_SOURCE_NEEDED,DRAW_PERMIT_BLANK_HARVEST_AVAILABLE,8,,8,,{},NO_METADATA_TO_COMPARE,,,,8,0,0,2022,21_black_bear_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,,,,,"Kamas/North Slope, Summit",,Black Bear,,,,,,,,,
