hunt_code,species,sex_type,hunt_name,hunt_type,weapon,source_scope,comparison_status,draw_total_permits,expo_permits_matched,draw_plus_expo_total,harvest_permits,permit_delta_harvest_minus_draw,permit_delta_harvest_minus_draw_plus_expo,draw_plus_expo_status,expo_match_status,expo_match_sources,draw_source_files,harvest_source_files,draw_row_count,harvest_row_count,draw_residencies,draw_points_count,harvest_unique_permit_values,in_2026_database,same_total_match_ready,notes
BI6528,Bison,Hunters Choice,"Book Cliffs, Little Creek/South",Once-in-a-lifetime,Archery,OIL_OR_BIG_GAME_SCOPE,TOTAL_PERMIT_MATCH,5,0,5,5,0,0,TOTAL_PERMIT_MATCH,NO_EXPO_MATCH,,2025 O.I.L. Draw Results(1).pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,5,TRUE,TRUE,Exact hunt-code total match between normalized draw result and preliminary harvest permit count.
BI6529,Bison,Cow Only,"Book Cliffs, Little Creek/South",Once-in-a-lifetime,Any Legal Weapon,OIL_OR_BIG_GAME_SCOPE,DRAW_GREATER_THAN_HARVEST,8,0,8,5,-3,-3,SOURCE_GREATER_THAN_HARVEST,NO_EXPO_MATCH,,2025 O.I.L. Draw Results(1).pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,5,TRUE,FALSE,"Draw-result total is higher; review extraction grain, hunt status, or whether harvest report filtered the permit universe."
BI6531,Bison,Hunters Choice,"Book Cliffs, Little Creek/South",Once-in-a-lifetime,Any Legal Weapon,OIL_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,7,0,7,8,1,1,HARVEST_GREATER_THAN_SOURCE,NO_EXPO_MATCH,,2025 O.I.L. Draw Results(1).pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,8,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
BI6532,Bison,Hunters Choice,"Book Cliffs, Bitter Creek",Once-in-a-lifetime,Archery,OIL_OR_BIG_GAME_SCOPE,DRAW_GREATER_THAN_HARVEST,5,0,5,4,-1,-1,SOURCE_GREATER_THAN_HARVEST,NO_EXPO_MATCH,,2025 O.I.L. Draw Results(1).pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,4,TRUE,FALSE,"Draw-result total is higher; review extraction grain, hunt status, or whether harvest report filtered the permit universe."
BI6534,Bison,Hunters Choice,"Book Cliffs, Bitter Creek",Once-in-a-lifetime,Any Legal Weapon,OIL_OR_BIG_GAME_SCOPE,TOTAL_PERMIT_MATCH,5,0,5,5,0,0,TOTAL_PERMIT_MATCH,NO_EXPO_MATCH,,2025 O.I.L. Draw Results(1).pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,5,TRUE,TRUE,Exact hunt-code total match between normalized draw result and preliminary harvest permit count.
BI6535,Bison,Hunters Choice,"Book Cliffs, Bitter Creek",Once-in-a-lifetime,Any Legal Weapon,OIL_OR_BIG_GAME_SCOPE,TOTAL_PERMIT_MATCH,5,0,5,5,0,0,TOTAL_PERMIT_MATCH,NO_EXPO_MATCH,,2025 O.I.L. Draw Results(1).pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,5,TRUE,TRUE,Exact hunt-code total match between normalized draw result and preliminary harvest permit count.
BI6536,Bison,Cow Only,"Book Cliffs, Bitter Creek",Once-in-a-lifetime,Any Legal Weapon,OIL_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,2,0,2,3,1,1,HARVEST_GREATER_THAN_SOURCE,NO_EXPO_MATCH,,2025 O.I.L. Draw Results(1).pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,3,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
BI6537,Bison,Hunters Choice,"Book Cliffs, Little Creek/South",Once-in-a-lifetime,Any Legal Weapon,OIL_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,10,0,10,11,1,1,HARVEST_GREATER_THAN_SOURCE,NO_EXPO_MATCH,,2025 O.I.L. Draw Results(1).pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,11,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
DA1001,Deer,Female Only,"Box Elder, West Bear River",Antlerless,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,29,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,29,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DA1002,Deer,Female Only,"Box Elder, West Bear River",Antlerless,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,29,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,29,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DA1003,Deer,Female Only,"Monroe/Plateau, Sevier Valley",Antlerless,"Archery, Muzzleloader, Shotgun",NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,14,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,14,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DA1009,Deer,Female Only,"Pine Valley, Enterprise",Antlerless,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,25,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,25,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DA1011,Deer,Female Only,George Creek,CWMU Antlerless,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,5,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,5,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DA1012,Deer,Female Only,Junction Valley,CWMU Antlerless,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,15,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,15,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DA1013,Deer,Female Only,Mt Carmel,CWMU Antlerless,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,5,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,5,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DA1018,Deer,Female Only,"Pine Valley, New Harmony",Antlerless,"Archery, Muzzleloader, Shotgun",NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,18,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,18,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DA1027,Deer,Female Only,"East Canyon, Davis-North Salt Lake",Antlerless,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,30,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,30,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DA1030,Deer,Female Only,"Nine Mile, Price River Valley",Antlerless,Archery,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,24,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,24,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DA1031,Deer,Female Only,"Oquirrh-Stansbury, Settlement Cyn",Antlerless,Archery,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,20,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,20,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DA1033,Deer,Female Only,"San Juan, Monticello",Antlerless,Archery,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,5,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,5,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DA1041,Deer,Female Only,"Nine Mile, Green River Valley",Antlerless,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,15,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,15,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DA1042,Deer,Female Only,"San Juan, Monticello",Antlerless,Archery,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,5,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,5,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DA1045,Deer,Female Only,"Fillmore, Oak City",Antlerless,Archery,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,18,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,18,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DA1046,Deer,Female Only,"Nine Mile, Price River Valley",Antlerless,"Archery, Muzzleloader, Shotgun",NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,25,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,25,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DA1047,Deer,Female Only,Vernal-Ouray Valley,Antlerless,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,23,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,23,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DA1048,Deer,Female Only,Fillmore City,Antlerless,Archery,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,14,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,14,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DA1049,Deer,Female Only,"Vernal, Ashley Valley",Antlerless,Archery,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,35,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,35,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DA1050,Deer,Female Only,The Rose of Snowville,CWMU Antlerless,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,10,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,10,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB0007,Deer,Male Only,Buck Deer - Statewide Permit,Sportsman,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,2,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,2,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB0008,Deer,Hunter's Choice,Deer Extended Archery Only,General Season,Extended Archery,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,1904,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,1904,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB0009,Deer,Male Only,Antelope Island,Premium Limited Entry,Any Legal Weapon,NO_DRAW_SOURCE,HARVEST_ONLY_TOTAL,,0,,1,,,HARVEST_ONLY_TOTAL,NO_EXPO_MATCH,,,2026-03-06-2025-preliminary-bg-harvest.xlsx,0,9,,0,1,TRUE,FALSE,Harvest source has permit total but selected 2025 draw-result source scope has no matching hunt-code total.
DB1000,Deer,Buck,Henry Mtns,Premium Limited Entry,Archery,LE_OR_BIG_GAME_SCOPE,TOTAL_PERMIT_MATCH,9,0,9,9,0,0,TOTAL_PERMIT_MATCH,NO_EXPO_MATCH,,2025 LE Deer Draw Results.pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,9,TRUE,TRUE,Exact hunt-code total match between normalized draw result and preliminary harvest permit count.
DB1001,Deer,Buck,Paunsaugunt,Premium Limited Entry,Archery,LE_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,28,0,28,34,6,6,HARVEST_GREATER_THAN_SOURCE,NO_EXPO_MATCH,,2025 LE Deer Draw Results.pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,34,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
DB1002,Deer,Buck,Antelope Island,Premium Limited Entry,Any Legal Weapon,LE_OR_BIG_GAME_SCOPE,TOTAL_PERMIT_MATCH,1,0,1,1,0,0,TOTAL_PERMIT_MATCH,NO_EXPO_MATCH,,2025 LE Deer Draw Results.pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,1,TRUE,TRUE,Exact hunt-code total match between normalized draw result and preliminary harvest permit count.
DB1003,Deer,Buck,Henry Mtns,Premium Limited Entry,Any Legal Weapon,LE_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,24,0,24,27,3,3,HARVEST_GREATER_THAN_SOURCE,NO_EXPO_MATCH,,2025 LE Deer Draw Results.pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,27,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
DB1004,Deer,Buck,Paunsaugunt,Premium Limited Entry,Any Legal Weapon,LE_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,80,0,80,90,10,10,HARVEST_GREATER_THAN_SOURCE,NO_EXPO_MATCH,,2025 LE Deer Draw Results.pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,90,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
DB1005,Deer,Buck,Henry Mtns,Premium Limited Entry,Muzzleloader,LE_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,9,0,9,10,1,1,HARVEST_GREATER_THAN_SOURCE,NO_EXPO_MATCH,,2025 LE Deer Draw Results.pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,10,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
DB1006,Deer,Buck,Paunsaugunt,Premium Limited Entry,Muzzleloader,LE_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,28,0,28,30,2,2,HARVEST_GREATER_THAN_SOURCE,NO_EXPO_MATCH,,2025 LE Deer Draw Results.pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,30,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
DB1007,Deer,Buck,Henry Mtns,Premium Limited Entry,Multiseason,LE_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,1,0,1,2,1,1,HARVEST_GREATER_THAN_SOURCE,NO_EXPO_MATCH,,2025 LE Deer Draw Results.pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,2,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
DB1008,Deer,Buck,Paunsaugunt,Premium Limited Entry,Multiseason,LE_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,4,0,4,6,2,2,HARVEST_GREATER_THAN_SOURCE,NO_EXPO_MATCH,,2025 LE Deer Draw Results.pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,6,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
DB1009,Deer,Buck,Henry Mtns (Management Buck Deer),Management Buck Deer,Any Legal Weapon,LE_OR_BIG_GAME_SCOPE,TOTAL_PERMIT_MATCH,11,0,11,11,0,0,TOTAL_PERMIT_MATCH,NO_EXPO_MATCH,,2025 LE Deer Draw Results.pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,11,TRUE,TRUE,Exact hunt-code total match between normalized draw result and preliminary harvest permit count.
DB1010,Deer,Buck,Paunsaugunt,Management Buck Deer,Any Legal Weapon,LE_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,26,3,29,29,3,0,TOTAL_PERMIT_MATCH,EXPO_MATCHED_BY_EXACT_GAP_AND_SPECIES_UNIT,Buck Deer - Premium Limited Entry - Premium Any Weapon - Paunsaugunt - Permits: 3,2025 LE Deer Draw Results.pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,29,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
DB1011,Deer,Buck,Book Cliffs,Limited Entry,Archery,LE_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,48,0,48,52,4,4,HARVEST_GREATER_THAN_SOURCE,NO_EXPO_MATCH,,2025 LE Deer Draw Results.pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,52,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
DB1012,Deer,Buck,"Fillmore, Oak Creek LE",Limited Entry,Archery,LE_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,12,0,12,13,1,1,HARVEST_GREATER_THAN_SOURCE,NO_EXPO_MATCH,,2025 LE Deer Draw Results.pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,13,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
DB1013,Deer,Buck,Dolores Triangle,Limited Entry,Archery,LE_OR_BIG_GAME_SCOPE,TOTAL_PERMIT_MATCH,4,0,4,4,0,0,TOTAL_PERMIT_MATCH,NO_EXPO_MATCH,,2025 LE Deer Draw Results.pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,4,TRUE,TRUE,Exact hunt-code total match between normalized draw result and preliminary harvest permit count.
DB1014,Deer,Buck,"San Juan, Elk Ridge",Limited Entry,Archery,LE_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,16,0,16,17,1,1,HARVEST_GREATER_THAN_SOURCE,NO_EXPO_MATCH,,2025 LE Deer Draw Results.pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,17,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
DB1015,Deer,Buck,Diamond Mtn,Limited Entry,Archery,LE_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,21,1,22,23,2,1,HARVEST_GREATER_THAN_SOURCE,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,Buck Deer - Limited Entry - Archery - Diamond Mtn - Permits: 1,2025 LE Deer Draw Results.pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,23,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
DB1016,Deer,Buck,"West Desert, Vernon",Limited Entry,Archery,LE_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,43,3,46,51,8,5,HARVEST_GREATER_THAN_SOURCE,EXPO_MATCHED_BY_SPECIES_UNIT_TOKENS,"Buck Deer - Limited Entry - Archery - West Desert, Vernon - Permits: 3",2025 LE Deer Draw Results.pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,51,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
DB1017,Deer,Buck,"Book Cliffs, North",Limited Entry,Any Legal Weapon,LE_OR_BIG_GAME_SCOPE,HARVEST_GREATER_THAN_DRAW,123,0,123,128,5,5,HARVEST_GREATER_THAN_SOURCE,NO_EXPO_MATCH,,2025 LE Deer Draw Results.pdf,2026-03-06-2025-preliminary-bg-harvest.xlsx,66,9,Nonresident|Resident,33,128,TRUE,FALSE,"Harvest permit total is higher; likely needs overlay/source-channel review such as expo, conservation, CWMU, or other field-issued permits."
