hunt_code,hunt_name,species,residency,hunt_class,modeled_draw_probability,harvest_success_pct,permits_2026_total,sleeper_score,sleeper_reasons,data_limitations
EB3050,Mt Dutton,Elk,Resident,Mature Bull,0.4,93.3,15,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3056,Panguitch Lake,Elk,Resident,Mature Bull,0.1,91.7,8,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3057,Panguitch Lake,Elk,Resident,Mature Bull,0.5,84.6,13,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3063,Fishlake/Thousand Lakes,Elk,Nonresident,Mature Bull,0.1,84.2,38,4,harvest success above peer median; permit count at or above peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3063,Fishlake/Thousand Lakes,Elk,Resident,Mature Bull,0.9,84.2,38,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3064,Fishlake/Thousand Lakes,Elk,Nonresident,Mature Bull,0.3,57.9,110,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3064,Fishlake/Thousand Lakes,Elk,Resident,Mature Bull,0,57.9,110,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3065,Fishlake/Thousand Lakes,Elk,Nonresident,Mature Bull,0.3,84.4,63,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3065,Fishlake/Thousand Lakes,Elk,Resident,Mature Bull,2.3,84.4,63,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3067,San Juan Bull Elk,Elk,Nonresident,Mature Bull,0.1,70,22,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3067,San Juan Bull Elk,Elk,Resident,Mature Bull,0.6,70,22,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3068,Diamond Mtn,Elk,Resident,Mature Bull,0.1,81.8,11,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3069,Diamond Mtn,Elk,Nonresident,Mature Bull,0.1,80,33,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3069,Diamond Mtn,Elk,Resident,Mature Bull,2.6,80,33,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3077,"Beaver, East",Elk,Nonresident,Mature Bull,0.1,92.9,15,4,harvest success above peer median; permit count at or above peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3077,"Beaver, East",Elk,Resident,Mature Bull,0.8,92.9,15,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3084,Manti,Elk,Nonresident,Mature Bull,0.6,72.1,99,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3084,Manti,Elk,Resident,Mature Bull,5.4,72.1,99,5,better odds than peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3087,La Sal Mtns,Elk,Resident,Mature Bull,0,58.3,24,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3088,Monroe,Elk,Resident,Mature Bull,1,83.3,14,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3093,Panguitch Lake,Elk,Resident,Mature Bull,0.7,75,11,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3096,Fishlake/Thousand Lakes,Elk,Nonresident,Mature Bull,0.4,76.4,56,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3096,Fishlake/Thousand Lakes,Elk,Resident,Mature Bull,1.7,76.4,56,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3097,San Juan Bull Elk,Elk,Nonresident,Mature Bull,0.1,76.5,19,4,harvest success above peer median; permit count at or above peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3097,San Juan Bull Elk,Elk,Resident,Mature Bull,1.3,76.5,19,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3098,Diamond Mtn,Elk,Nonresident,Mature Bull,0.2,66.7,17,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3098,Diamond Mtn,Elk,Resident,Mature Bull,0,66.7,17,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3102,"Beaver, East",Elk,Nonresident,Mature Bull,0,100,3,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3102,"Beaver, East",Elk,Resident,Mature Bull,0,100,3,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3107,"Cache, South",Elk,Nonresident,Mature Bull,0,100,1,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
