source_pdf,pdf_page,table_index,row_index,hunt_code,reason,tokens
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,12,0,33,DB1010,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 617 | 12 | 11 | 23 | 1 in 26.8 | Totals | 222 | 2 | 1 | 3 | 1 in 74.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,13,0,33,DB1011,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 831 | 22 | 22 | 44 | 1 in 18.9 | Totals | 268 | 2 | 2 | 4 | 1 in 67.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,14,0,33,DB1012,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 321 | 6 | 5 | 11 | 1 in 29.2 | Totals | 226 | 0 | 1 | 1 | 1 in 226.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,15,0,33,DB1013,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 86 | 2 | 2 | 4 | 1 in 21.5 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,16,0,33,DB1014,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 496 | 7 | 7 | 14 | 1 in 35.4 | Totals | 272 | 1 | 1 | 2 | 1 in 136.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,17,0,33,DB1015,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 198 | 10 | 9 | 19 | 1 in 10.4 | Totals | 122 | 1 | 1 | 2 | 1 in 61.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,18,0,33,DB1016,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 368 | 20 | 19 | 39 | 1 in 9.4 | Totals | 91 | 2 | 2 | 4 | 1 in 22.8
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,19,0,33,DB1017,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 2454 | 56 | 55 | 111 | 1 in 22.1 | Totals | 628 | 6 | 6 | 12 | 1 in 52.3
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,20,0,33,DB1018,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 679 | 14 | 13 | 27 | 1 in 25.1 | Totals | 260 | 1 | 1 | 2 | 1 in 130.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,21,0,33,DB1019,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 2408 | 15 | 14 | 29 | 1 in 83.0 | Totals | 868 | 2 | 1 | 3 | 1 in 289.3
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,22,0,33,DB1020,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 507 | 6 | 5 | 11 | 1 in 46.1 | Totals | 444 | 0 | 1 | 1 | 1 in 444.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,23,0,33,DB1022,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 864 | 20 | 19 | 39 | 1 in 22.2 | Totals | 434 | 2 | 1 | 3 | 1 in 144.7
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,24,0,33,DB1023,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 952 | 28 | 27 | 55 | 1 in 17.3 | Totals | 320 | 3 | 2 | 5 | 1 in 64.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,25,0,33,DB1024,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 2659 | 58 | 57 | 115 | 1 in 23.1 | Totals | 462 | 6 | 6 | 12 | 1 in 38.5
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,26,0,33,DB1025,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 473 | 22 | 21 | 43 | 1 in 11.0 | Totals | 115 | 2 | 2 | 4 | 1 in 28.8
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,27,0,33,DB1026,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 252 | 3 | 3 | 6 | 1 in 42.0 | Totals | 64 | 0 | 1 | 1 | 1 in 64.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,28,0,33,DB1028,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 99 | 5 | 5 | 10 | 1 in 9.9 | Totals | 27 | 0 | 1 | 1 | 1 in 27.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,29,0,33,DB1029,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 256 | 6 | 5 | 11 | 1 in 23.3 | Totals | 190 | 0 | 1 | 1 | 1 in 190.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,30,0,33,DB1030,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 25 | 3 | 2 | 5 | 1 in 5.0 | Totals | 5 | 0 | 1 | 1 | 1 in 5.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,31,0,33,DB1031,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 102 | 2 | 2 | 4 | 1 in 25.5 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,32,0,33,DB1032,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 31 | 3 | 2 | 5 | 1 in 6.2 | Totals | 11 | 0 | 1 | 1 | 1 in 11.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,33,0,33,DB1033,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 54 | 3 | 3 | 6 | 1 in 9.0 | Totals | 12 | 0 | 1 | 1 | 1 in 12.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,34,0,33,DB1034,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 163 | 6 | 6 | 12 | 1 in 13.6 | Totals | 94 | 1 | 1 | 2 | 1 in 47.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,35,0,33,DB1037,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 240 | 7 | 7 | 14 | 1 in 17.1 | Totals | 92 | 1 | 1 | 2 | 1 in 46.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,36,0,33,DB1038,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 122 | 10 | 9 | 19 | 1 in 6.4 | Totals | 59 | 1 | 1 | 2 | 1 in 29.5
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,37,0,33,DB1039,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 47 | 3 | 3 | 6 | 1 in 7.8 | Totals | 6 | 0 | 1 | 1 | 1 in 6.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,38,0,33,DB1040,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 63 | 2 | 2 | 4 | 1 in 15.8 | Totals | 37 | 0 | 1 | 1 | 1 in 37.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,39,0,33,DB1041,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 221 | 13 | 13 | 26 | 1 in 8.5 | Totals | 27 | 2 | 1 | 3 | 1 in 9.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,40,0,33,DB1042,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 300 | 20 | 20 | 40 | 1 in 7.5 | Totals | 60 | 2 | 2 | 4 | 1 in 15.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,41,0,33,DB1043,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 78 | 6 | 6 | 12 | 1 in 6.5 | Totals | 36 | 1 | 1 | 2 | 1 in 18.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,42,0,33,DB1044,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 255 | 3 | 3 | 6 | 1 in 42.5 | Totals | 93 | 0 | 1 | 1 | 1 in 93.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,43,0,33,DB1045,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 255 | 1 | 1 | 2 | 1 in 127.5 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,44,0,33,DB1046,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 105 | 1 | 1 | 2 | 1 in 52.5 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,45,0,33,DB1047,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 88 | 2 | 1 | 3 | 1 in 29.3 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,46,0,33,DB1048,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 200 | 3 | 3 | 6 | 1 in 33.3 | Totals | 69 | 0 | 1 | 1 | 1 in 69.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,47,0,33,DB1053,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 20 | 2 | 2 | 4 | 1 in 5.0 | Totals | 4 | 0 | 1 | 1 | 1 in 4.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,48,0,33,DB1054,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 41 | 6 | 5 | 11 | 1 in 3.7 | Totals | 1 | 0 | 1 | 1 | 1 in 1.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,49,0,33,DB1055,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 53 | 3 | 2 | 5 | 1 in 10.6 | Totals | 11 | 0 | 1 | 1 | 1 in 11.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,50,0,33,DB1058,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 132 | 14 | 13 | 27 | 1 in 4.9 | Totals | 64 | 2 | 1 | 3 | 1 in 21.3
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,51,0,33,DB1065,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 49 | 7 | 6 | 13 | 1 in 3.8 | Totals | 7 | 1 | 1 | 2 | 1 in 3.5
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,52,0,33,DB1073,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 60 | 4 | 4 | 8 | 1 in 7.5 | Totals | 26 | 0 | 1 | 1 | 1 in 26.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,53,0,33,DB1074,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 53 | 4 | 4 | 8 | 1 in 6.6 | Totals | 14 | 0 | 1 | 1 | 1 in 14.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,54,0,33,DB1077,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 62 | 11 | 11 | 22 | 1 in 2.8 | Totals | 27 | 2 | 1 | 3 | 1 in 9.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,55,0,33,DB1078,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 93 | 5 | 4 | 9 | 1 in 10.3 | Totals | 12 | 0 | 1 | 1 | 1 in 12.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,56,0,33,DB1079,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 197 | 19 | 18 | 37 | 1 in 5.3 | Totals | 37 | 2 | 2 | 4 | 1 in 9.3
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,57,0,33,DB1080,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 74 | 11 | 11 | 22 | 1 in 3.4 | Totals | 8 | 2 | 1 | 3 | 1 in 2.7
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,58,0,33,DB1081,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 38 | 4 | 4 | 8 | 1 in 4.8 | Totals | 10 | 0 | 1 | 1 | 1 in 10.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,59,0,33,DB1083,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 34 | 6 | 5 | 11 | 1 in 3.1 | Totals | 23 | 0 | 1 | 1 | 1 in 23.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,60,0,33,DB1084,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 40 | 6 | 5 | 11 | 1 in 3.6 | Totals | 19 | 0 | 1 | 1 | 1 in 19.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,61,0,33,DB1085,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 27 | 6 | 6 | 12 | 1 in 2.3 | Totals | 8 | 0 | 1 | 1 | 1 in 8.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,62,0,33,DB1086,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 28 | 3 | 2 | 5 | 1 in 5.6 | Totals | 4 | 0 | 1 | 1 | 1 in 4.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,63,0,33,DB1087,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 69 | 15 | 14 | 29 | 1 in 2.4 | Totals | 8 | 2 | 1 | 3 | 1 in 2.7
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,64,0,33,DB1090,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 60 | 3 | 3 | 6 | 1 in 10.0 | Totals | 56 | 0 | 1 | 1 | 1 in 56.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,65,0,33,DB1091,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 79 | 2 | 2 | 4 | 1 in 19.8 | Totals | 49 | 0 | 1 | 1 | 1 in 49.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,66,0,33,DB1100,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 61 | 5 | 5 | 10 | 1 in 6.1 | Totals | 3 | 0 | 1 | 1 | 1 in 3.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,67,0,33,DB1101,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 26 | 5 | 4 | 9 | 1 in 2.9 | Totals | 2 | 0 | 1 | 1 | 1 in 2.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,68,0,33,DB1103,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 11 | 4 | 3 | 7 | 1 in 1.6 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,69,0,33,DB1105,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 32 | 3 | 3 | 6 | 1 in 5.3 | Totals | 10 | 0 | 1 | 1 | 1 in 10.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,70,0,33,DB1106,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 9 | 4 | 5 | 9 | 1 in 1.0 | Totals | 3 | 1 | 1 | 2 | 1 in 1.5
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,71,0,33,DB1107,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 2 | 1 | 1 | 2 | 1 in 1.0 | Totals | 2 | 1 | 1 | 2 | 1 in 1.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,72,0,33,DB1108,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 46 | 13 | 12 | 25 | 1 in 1.8 | Totals | 12 | 2 | 1 | 3 | 1 in 4.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,73,0,33,DB1110,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 30 | 5 | 4 | 9 | 1 in 3.3 | Totals | 31 | 0 | 1 | 1 | 1 in 31.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,74,0,33,DB1111,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 21 | 2 | 2 | 4 | 1 in 5.3 | Totals | 3 | 0 | 1 | 1 | 1 in 3.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,75,0,33,DB1112,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 8 | 2 | 2 | 4 | 1 in 2.0 | Totals | 2 | 0 | 1 | 1 | 1 in 2.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,76,0,33,DB1113,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 60 | 6 | 5 | 11 | 1 in 5.5 | Totals | 7 | 0 | 1 | 1 | 1 in 7.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,77,0,33,DB1114,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 37 | 3 | 2 | 5 | 1 in 7.4 | Totals | 15 | 0 | 1 | 1 | 1 in 15.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,78,0,33,DB1115,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 1348 | 2 | 2 | 4 | 1 in 337.0 | Totals | 959 | 0 | 1 | 1 | 1 in 959.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,79,0,33,DB1116,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 54 | 2 | 2 | 4 | 1 in 13.5 | Totals | 45 | 0 | 1 | 1 | 1 in 45.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,80,0,33,DB1119,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 19 | 5 | 4 | 9 | 1 in 2.1 | Totals | 20 | 0 | 1 | 1 | 1 in 20.0
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,81,0,33,DB1120,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 74 | 7 | 6 | 13 | 1 in 5.7 | Totals | 53 | 1 | 1 | 2 | 1 in 26.5
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,82,0,33,DB1200,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 299 | 2 | 1 | 3 | 1 in 99.7 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,83,0,33,DB1201,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 51 | 0 | 1 | 1 | 1 in 51.0 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,84,0,33,DB1202,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 1 | 0 | 1 | 1 | 1 in 1.0 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,85,0,33,DB1203,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 2 | 0 | 1 | 1 | 1 in 2.0 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,86,0,33,DB1204,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 31 | 0 | 1 | 1 | 1 in 31.0 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,87,0,33,DB1205,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 3 | 0 | 1 | 1 | 1 in 3.0 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,88,0,33,DB1206,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 28 | 0 | 1 | 1 | 1 in 28.0 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,89,0,33,DB1207,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 10 | 0 | 1 | 1 | 1 in 10.0 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,90,0,33,DB1208,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 5 | 0 | 1 | 1 | 1 in 5.0 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,91,0,33,DB1209,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 19 | 0 | 1 | 1 | 1 in 19.0 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,92,0,33,DB1211,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 10 | 0 | 1 | 1 | 1 in 10.0 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,93,0,33,DB1212,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 15 | 0 | 1 | 1 | 1 in 15.0 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,94,0,33,DB1213,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 10 | 1 | 1 | 2 | 1 in 5.0 | Totals | 0 | 0 | 0 | 0 | N/A
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,95,0,33,DB1215,POINT_LIKE_ROW_NOT_STANDARD_12_TOKEN_SHAPE,Totals | 19 | 0 | 1 | 1 | 1 in 19.0 | Totals | 0 | 0 | 0 | 0 | N/A
